"ple0097","year","e11103","n","percent","lower_confidence","upper_confidence","value"
"Neither","1999","Not Working","25","","","","3"
"Neither","1999","Part Time","19","","","","3"
"Neither","1999","Full Time","68","0.012525662766006","0.00967573781016658","0.0153755877218454","3"
"Private health insurance","1999","Not Working","310","0.0766291907506468","0.0692301800624669","0.0840282014388267","2"
"Private health insurance","1999","Part Time","210","0.0873321686604632","0.0771409095049761","0.0975234278159503","2"
"Private health insurance","1999","Full Time","696","0.143758175477633","0.134767658758214","0.152748692197051","2"
"Public health insurance","1999","Full Time","5086","0.843716161756361","0.834410968945505","0.853021354567218","1"
"Public health insurance","1999","Part Time","2719","0.904731484989922","0.894133607339634","0.91532936264021","1"
"Public health insurance","1999","Not Working","4630","0.918326798300211","0.910709045350688","0.925944551249733","1"
"Neither","2000","Not Working","52","0.00542490019247845","0.00391238878293986","0.00693741160201704","3"
"Neither","2000","Part Time","26","","","","3"
"Neither","2000","Full Time","63","0.00579088295457579","0.00431007113125188","0.0072716947778997","3"
"Private health insurance","2000","Not Working","684","0.0805213134364169","0.0749184472444316","0.0861241796284022","2"
"Private health insurance","2000","Part Time","394","0.080892413100879","0.0734031176354015","0.0883817085663564","2"
"Private health insurance","2000","Full Time","1453","0.151878170231751","0.144873859440996","0.158882481022506","2"
"Public health insurance","2000","Full Time","8570","0.842330946813673","0.835218758989294","0.849443134638053","1"
"Public health insurance","2000","Part Time","4672","0.912804749743511","0.90505586407004","0.920553635416982","1"
"Public health insurance","2000","Not Working","8324","0.914053786371105","0.908282358897839","0.91982521384437","1"
"Neither","2001","Not Working","36","0.00564515597307001","0.00401716763015278","0.00727314431598724","3"
"Neither","2001","Part Time","32","0.00668308418139548","0.00438697556226025","0.0089791928005307","3"
"Neither","2001","Full Time","63","0.00808528204485217","0.00624368638582797","0.00992687770387637","3"
"Private health insurance","2001","Not Working","642","0.0832206145921569","0.0772186904781964","0.0892225387061174","2"
"Private health insurance","2001","Part Time","376","0.0863143779937323","0.0784003056602169","0.0942284503272478","2"
"Private health insurance","2001","Full Time","1319","0.153330314283829","0.145920956843206","0.160739671724453","2"
"Public health insurance","2001","Full Time","7702","0.838584403671318","0.831018589568547","0.84615021777409","1"
"Public health insurance","2001","Part Time","4429","0.907002537824872","0.898817892826389","0.915187182823355","1"
"Public health insurance","2001","Not Working","7458","0.911134229434773","0.904951203646897","0.917317255222649","1"
"Neither","2002","Not Working","33","0.00396005648935929","0.00260916756784888","0.0053109454108697","3"
"Neither","2002","Part Time","17","","","","3"
"Neither","2002","Full Time","67","0.00614904928346579","0.00458444900534827","0.00771364956158331","3"
"Private health insurance","2002","Part Time","611","0.0791760111884036","0.071872132336578","0.0864798900402293","2"
"Private health insurance","2002","Not Working","780","0.0785561239218099","0.0727691031745837","0.0843431446690362","2"
"Private health insurance","2002","Full Time","1906","0.154476394370768","0.147243156992213","0.161709631749322","2"
"Public health insurance","2002","Full Time","7617","0.839374556345766","0.832025630624943","0.846723482066589","1"
"Public health insurance","2002","Part Time","4622","0.918422234498929","0.911018078905138","0.92582639009272","1"
"Public health insurance","2002","Not Working","7490","0.917483819588831","0.911565487407453","0.923402151770208","1"
"Neither","2003","Not Working","48","0.00637644420189035","0.00465466786956184","0.00809822053421886","3"
"Neither","2003","Part Time","16","","","","3"
"Neither","2003","Full Time","65","0.0071097374914719","0.00536615269881286","0.00885332228413094","3"
"Private health insurance","2003","Part Time","580","0.0808920082645891","0.0734356049967707","0.0883484115324075","2"
"Private health insurance","2003","Not Working","777","0.0777225824132094","0.0719312177630384","0.0835139470633805","2"
"Private health insurance","2003","Full Time","1766","0.155544499178501","0.148023398940287","0.163065599416716","2"
"Public health insurance","2003","Full Time","7089","0.837345763330027","0.829687138994184","0.845004387665869","1"
"Public health insurance","2003","Part Time","4541","0.9165697787329","0.909007759586682","0.924131797879117","1"
"Public health insurance","2003","Not Working","7385","0.9159009733849","0.909897587533761","0.92190435923604","1"
"Neither","2004","Not Working","","","","","3"
"Neither","2004","Part Time","","","","","3"
"Neither","2004","Full Time","","","","","3"
"Private health insurance","2004","Part Time","579","0.0809490053256715","0.0733924892056364","0.0885055214457067","2"
"Private health insurance","2004","Not Working","796","0.074960328548756","0.0692451207141853","0.0806755363833266","2"
"Private health insurance","2004","Full Time","1679","0.160228844974983","0.152379779747154","0.168077910202811","2"
"Public health insurance","2004","Full Time","6711","0.839771155025017","0.831922089797189","0.847620220252846","1"
"Public health insurance","2004","Part Time","4426","0.919050994674328","0.911494478554293","0.926607510794364","1"
"Public health insurance","2004","Not Working","7359","0.925039671451244","0.919324463616673","0.930754879285815","1"
"Neither","2005","Not Working","","","","","3"
"Neither","2005","Part Time","","","","","3"
"Neither","2005","Full Time","","","","","3"
"Private health insurance","2005","Part Time","540","0.078431442613905","0.0708146756255189","0.0860482096022911","2"
"Private health insurance","2005","Full Time","1593","0.162702588749232","0.154574373609422","0.170830803889041","2"
"Private health insurance","2005","Not Working","784","0.0769899416313243","0.0710955372567979","0.0828843460058507","2"
"Public health insurance","2005","Full Time","6328","0.837297411250768","0.829169196110959","0.845425626390578","1"
"Public health insurance","2005","Part Time","4246","0.921568557386095","0.913951790397709","0.929185324374481","1"
"Public health insurance","2005","Not Working","7073","0.923010058368676","0.917115653994149","0.928904462743202","1"
"Neither","2006","Not Working","","","","","3"
"Neither","2006","Part Time","","","","","3"
"Neither","2006","Full Time","","","","","3"
