"ple0097","year","education","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Public health insurance","1999","lower secondary degree","1-pers.-HH","795","0.957309688495038","0.943548317134482","0.971071059855594"
"Public health insurance","1999","lower secondary degree","(Married) couple without C. ","1984","0.935534709494064","0.925033774031492","0.946035644956637"
"Public health insurance","1999","lower secondary degree","Single parent ","266","0.953633503384215","0.928870626527698","0.978396380240732"
"Public health insurance","1999","lower secondary degree","Couple + C. LE 16 ","870","0.916919090922802","0.899199395103682","0.934638786741921"
"Public health insurance","1999","lower secondary degree","Couple + C. GT 16 ","809","0.933588651595099","0.916956614446685","0.950220688743513"
"Public health insurance","1999","lower secondary degree","Couple + C. LE and GT 16","294","0.954373552818771","0.93103110333906","0.977716002298482"
"Public health insurance","1999","secondary school degree","1-pers.-HH","374","0.878595574018392","0.847435130461572","0.909756017575211"
"Public health insurance","1999","secondary school degree","(Married) couple without C. ","852","0.880698265829378","0.860193754504149","0.901202777154607"
"Public health insurance","1999","secondary school degree","Single parent ","205","0.913695437256071","0.876756090571574","0.950634783940569"
"Public health insurance","1999","secondary school degree","Couple + C. LE 16 ","1030","0.884520274494841","0.865902333693947","0.903138215295736"
"Public health insurance","1999","secondary school degree","Couple + C. GT 16 ","619","0.911115299532191","0.889647062539044","0.932583536525338"
"Public health insurance","1999","secondary school degree","Couple + C. LE and GT 16","346","0.905916883986715","0.876407904407532","0.935425863565899"
"Public health insurance","1999","college entrance qualification","1-pers.-HH","240","0.759233622986417","0.712093557128889","0.806373688843945"
"Public health insurance","1999","college entrance qualification","(Married) couple without C. ","480","0.704174309006995","0.669380226158935","0.738968391855055"
"Public health insurance","1999","college entrance qualification","Single parent ","76","0.773595443459459","0.688992845926876","0.858198040992042"
"Public health insurance","1999","college entrance qualification","Couple + C. LE 16 ","424","0.709694540712618","0.67193167596007","0.747457405465166"
"Public health insurance","1999","college entrance qualification","Couple + C. GT 16 ","305","0.747569329313867","0.704120380175234","0.7910182784525"
"Public health insurance","1999","college entrance qualification","Couple + C. LE and GT 16","103","0.673145827452394","0.598081420589805","0.748210234314982"
"Public health insurance","1999","Other degree","1-pers.-HH","63","0.889358227579","0.813679460354121","0.96503699480388"
"Public health insurance","1999","Other degree","(Married) couple without C. ","222","0.964650814822362","0.940681509969839","0.988620119674885"
"Public health insurance","1999","Other degree","Single parent ","32","0.985067153523096","0.943686691040693","1.0264476160055"
"Public health insurance","1999","Other degree","Couple + C. LE 16 ","227","0.975886653393947","0.956147317731099","0.995625989056795"
"Public health insurance","1999","Other degree","Couple + C. GT 16 ","212","0.933398101992388","0.900224320196939","0.966571883787838"
"Public health insurance","1999","Other degree","Couple + C. LE and GT 16","107","1","1","1"
"Public health insurance","1999","no degree/no degree yet","1-pers.-HH","26","","",""
"Public health insurance","1999","no degree/no degree yet","(Married) couple without C. ","116","1","1","1"
"Public health insurance","1999","no degree/no degree yet","Single parent ","54","0.910023156285184","0.837618905357504","0.982427407212864"
"Public health insurance","1999","no degree/no degree yet","Couple + C. LE 16 ","69","1","1","1"
"Public health insurance","1999","no degree/no degree yet","Couple + C. GT 16 ","252","0.860871806710294","0.82011641968062","0.901627193739968"
"Public health insurance","1999","no degree/no degree yet","Couple + C. LE and GT 16","158","0.820727262922962","0.764846109942345","0.87660841590358"
"Private health insurance","1999","lower secondary degree","1-pers.-HH","29","","",""
"Private health insurance","1999","lower secondary degree","(Married) couple without C. ","110","0.061161516779522","0.0509151563199074","0.0714078772391366"
"Private health insurance","1999","lower secondary degree","Single parent ","8","","",""
"Private health insurance","1999","lower secondary degree","Couple + C. LE 16 ","57","0.0759092412104638","0.0589054887640821","0.0929129936568455"
"Private health insurance","1999","lower secondary degree","Couple + C. GT 16 ","44","0.0606468118467952","0.0447039985645564","0.0765896251290339"
"Private health insurance","1999","lower secondary degree","Couple + C. LE and GT 16","11","","",""
"Private health insurance","1999","secondary school degree","1-pers.-HH","45","0.110275039907079","0.0803896886616897","0.140160391152468"
"Private health insurance","1999","secondary school degree","(Married) couple without C. ","97","0.109582014967952","0.0898223727274397","0.129341657208464"
"Private health insurance","1999","secondary school degree","Single parent ","16","","",""
"Private health insurance","1999","secondary school degree","Couple + C. LE 16 ","89","0.100920983176114","0.0833735117059655","0.118468454646263"
