"ple0097","year","pgcasmin","sampreg","n","percent","lower_confidence","upper_confidence"
"Public health insurance","1999","(0) in school","West Germany","176","0.773956742419707","0.71830582261347","0.829607662225945"
"Public health insurance","1999","(0) in school","East Germany","95","0.912553861358192","0.857999553423663","0.967108169292722"
"Public health insurance","1999","(1a) inadequately completed","West Germany","447","0.991918085504686","0.983663906106503","1.00017226490287"
"Public health insurance","1999","(1a) inadequately completed","East Germany","21","","",""
"Public health insurance","1999","(1b) general elementary school","West Germany","1675","0.961975551504296","0.952973592647784","0.970977510360808"
"Public health insurance","1999","(1b) general elementary school","East Germany","224","1","1","1"
"Public health insurance","1999","(1c) basic vocational qualification","West Germany","2925","0.915861403721843","0.906196456624205","0.925526350819481"
"Public health insurance","1999","(1c) basic vocational qualification","East Germany","937","0.995463704016806","0.991172431984116","0.999754976049495"
"Public health insurance","1999","(2b) intermediate general qualification","West Germany","354","0.927646021914188","0.901631972944622","0.953660070883753"
"Public health insurance","1999","(2b) intermediate general qualification","East Germany","152","0.980813447494357","0.959217417549432","1.00240947743928"
"Public health insurance","1999","(2a) intermediate vocational","West Germany","1396","0.856572383531428","0.839472437071896","0.873672329990959"
"Public health insurance","1999","(2a) intermediate vocational","East Germany","1179","0.946608781524957","0.93411100636255","0.959106556687364"
"Public health insurance","1999","(2c_gen) general maturity certificate","West Germany","322","0.821711549196329","0.783478491918974","0.859944606473685"
"Public health insurance","1999","(2c_gen) general maturity certificate","East Germany","84","0.928482378040786","0.876389598656418","0.980575157425154"
"Public health insurance","1999","(2c_voc) vocational maturity certificate","West Germany","483","0.812216388317984","0.780322933424936","0.844109843211032"
"Public health insurance","1999","(2c_voc) vocational maturity certificate","East Germany","86","0.853071491923283","0.782617115938345","0.92352586790822"
"Public health insurance","1999","(3a) lower tertiary education","West Germany","293","0.721417044746291","0.677756309040385","0.765077780452197"
"Public health insurance","1999","(3a) lower tertiary education","East Germany","515","0.941937746646314","0.922375444498313","0.961500048794315"
"Public health insurance","1999","(3b) higher tertiary education","West Germany","450","0.620394987039241","0.584572672576705","0.656217301501776"
"Public health insurance","1999","(3b) higher tertiary education","East Germany","271","0.864515291192345","0.826539898384536","0.902490684000154"
"Private health insurance","1999","(0) in school","West Germany","41","0.226043257580293","0.170392337774055","0.28169417738653"
"Private health insurance","1999","(0) in school","East Germany","7","","",""
"Private health insurance","1999","(1a) inadequately completed","West Germany","3","","",""
"Private health insurance","1999","(1a) inadequately completed","East Germany","3","","",""
"Private health insurance","1999","(1b) general elementary school","West Germany","49","0.0330310221271237","0.0246191856500078","0.0414428586042395"
"Private health insurance","1999","(1b) general elementary school","East Germany","","","",""
"Private health insurance","1999","(1c) basic vocational qualification","West Germany","222","0.0762721105727877","0.0670306230479155","0.0855135980976598"
"Private health insurance","1999","(1c) basic vocational qualification","East Germany","3","","",""
"Private health insurance","1999","(2b) intermediate general qualification","West Germany","25","","",""
"Private health insurance","1999","(2b) intermediate general qualification","East Germany","2","","",""
"Private health insurance","1999","(2a) intermediate vocational","West Germany","194","0.128820102188753","0.112476715049327","0.145163489328178"
"Private health insurance","1999","(2a) intermediate vocational","East Germany","55","0.0475382163717906","0.035708951731531","0.0593674810120502"
"Private health insurance","1999","(2c_gen) general maturity certificate","West Germany","57","0.155982513196748","0.119738906802878","0.192226119590618"
"Private health insurance","1999","(2c_gen) general maturity certificate","East Germany","7","","",""
"Private health insurance","1999","(2c_voc) vocational maturity certificate","West Germany","82","0.170803034660707","0.140069430557311","0.201536638764103"
