"ple0097","year","e11102","migback","n","percent","lower_confidence","upper_confidence"
"Public health insurance","1999","Not Employed","no migration background","3556","0.912645036889496","0.903737673319202","0.921552400459789"
"Public health insurance","1999","Not Employed","direct migration background","891","0.95215294034591","0.938300328816403","0.966005551875416"
"Public health insurance","1999","Not Employed","indirect migration background","183","0.922653150120224","0.884964551758982","0.960341748481465"
"Public health insurance","1999","Employed","no migration background","6151","0.851779088137825","0.843495508578479","0.86006266769717"
"Public health insurance","1999","Employed","direct migration background","1257","0.925007571930514","0.910750573667827","0.939264570193201"
"Public health insurance","1999","Employed","indirect migration background","397","0.959800190122223","0.940992152064245","0.978608228180201"
"Private health insurance","1999","Not Employed","no migration background","288","0.0837614751989144","0.0750220902043693","0.0925008601934595"
"Private health insurance","1999","Not Employed","direct migration background","14","","",""
"Private health insurance","1999","Not Employed","indirect migration background","8","","",""
"Private health insurance","1999","Employed","no migration background","839","0.135932282123228","0.127942498562397","0.14392206568406"
"Private health insurance","1999","Employed","direct migration background","51","0.0719821683478157","0.0579915352243618","0.0859728014712696"
"Private health insurance","1999","Employed","indirect migration background","16","","",""
"Neither","1999","Not Employed","no migration background","16","","",""
"Neither","1999","Not Employed","direct migration background","7","","",""
"Neither","1999","Not Employed","indirect migration background","2","","",""
"Neither","1999","Employed","no migration background","78","0.0122886297389469","0.00972020658285917","0.0148570528950347"
"Neither","1999","Employed","direct migration background","3","","",""
"Neither","1999","Employed","indirect migration background","6","","",""
"Public health insurance","2000","Not Employed","no migration background","6769","0.907182388060369","0.900591864537134","0.913772911583604"
"Public health insurance","2000","Not Employed","direct migration background","1322","0.955440016884002","0.944498010504761","0.966382023263242"
"Public health insurance","2000","Not Employed","indirect migration background","233","0.928242625306626","0.896056874922633","0.960428375690618"
"Public health insurance","2000","Employed","no migration background","10828","0.854152667605577","0.847993996167378","0.860311339043775"
"Public health insurance","2000","Employed","direct migration background","1861","0.92471024831442","0.913079289331539","0.936341207297301"
"Public health insurance","2000","Employed","indirect migration background","553","0.944355713635535","0.925763985415844","0.962947441855225"
"Private health insurance","2000","Not Employed","no migration background","642","0.0887726358123673","0.082312965573264","0.0952323060514705"
"Private health insurance","2000","Not Employed","direct migration background","30","0.0331864025673535","0.0236874831202596","0.0426853220144473"
"Private health insurance","2000","Not Employed","indirect migration background","12","","",""
"Private health insurance","2000","Employed","no migration background","1714","0.139970068957869","0.133916041159881","0.146024096755856"
"Private health insurance","2000","Employed","direct migration background","108","0.0698684312119328","0.0586312484408224","0.0811056139830432"
"Private health insurance","2000","Employed","indirect migration background","25","","",""
"Neither","2000","Not Employed","no migration background","36","0.00404497612726399","0.0026034077104003","0.00548654454412768"
"Neither","2000","Not Employed","direct migration background","14","","",""
"Neither","2000","Not Employed","indirect migration background","2","","",""
"Neither","2000","Employed","no migration background","75","0.00587726343655464","0.00454350364240878","0.0072110232307005"
"Neither","2000","Employed","direct migration background","8","","",""
"Neither","2000","Employed","indirect migration background","6","","",""
"Public health insurance","2001","Not Employed","no migration background","6132","0.905716622197583","0.898746932357707","0.912686312037458"
