"ple0097","year","bula_h","education","n","percent","lower_confidence","upper_confidence"
"Public health insurance","1999","Schleswig-Holstein","lower secondary degree","131","0.915166382813418","0.869337640319868","0.960995125306968"
"Public health insurance","1999","Schleswig-Holstein","secondary school degree","79","0.880047181668266","0.814365786295504","0.945728577041028"
"Public health insurance","1999","Schleswig-Holstein","college entrance qualification","44","0.752622553491052","0.645218440777338","0.860026666204766"
"Public health insurance","1999","Schleswig-Holstein","Other degree","8","","",""
"Public health insurance","1999","Schleswig-Holstein","no degree/no degree yet","15","","",""
"Public health insurance","1999","Hamburg","lower secondary degree","54","0.887692780682662","0.806434191948657","0.968951369416667"
"Public health insurance","1999","Hamburg","secondary school degree","28","","",""
"Public health insurance","1999","Hamburg","college entrance qualification","21","","",""
"Public health insurance","1999","Hamburg","Other degree","15","","",""
"Public health insurance","1999","Hamburg","no degree/no degree yet","7","","",""
"Public health insurance","1999","Lower Saxony","lower secondary degree","442","0.944911392163911","0.924350405006812","0.965472379321009"
"Public health insurance","1999","Lower Saxony","secondary school degree","295","0.878998495685373","0.844022965359619","0.913974026011128"
"Public health insurance","1999","Lower Saxony","college entrance qualification","133","0.687941222142185","0.621533106641811","0.754349337642559"
"Public health insurance","1999","Lower Saxony","Other degree","86","0.979567769231515","0.950009303277405","1.00912623518563"
"Public health insurance","1999","Lower Saxony","no degree/no degree yet","60","0.961295989081279","0.913282994023339","1.00930898413922"
"Public health insurance","1999","Bremen","lower secondary degree","42","0.99238631972271","0.96640557681617","1.01836706262925"
"Public health insurance","1999","Bremen","secondary school degree","17","","",""
"Public health insurance","1999","Bremen","college entrance qualification","11","","",""
"Public health insurance","1999","Bremen","Other degree","6","","",""
"Public health insurance","1999","Bremen","no degree/no degree yet","5","","",""
"Public health insurance","1999","North Rhine-Westphalia","lower secondary degree","1030","0.934873360729741","0.920298307221751","0.949448414237732"
"Public health insurance","1999","North Rhine-Westphalia","secondary school degree","469","0.868001668245619","0.839764375695955","0.896238960795283"
"Public health insurance","1999","North Rhine-Westphalia","college entrance qualification","377","0.72115718418764","0.682238540208698","0.760075828166582"
"Public health insurance","1999","North Rhine-Westphalia","Other degree","238","0.935497130923278","0.904674910354114","0.966319351492442"
"Public health insurance","1999","North Rhine-Westphalia","no degree/no degree yet","189","0.858653730431712","0.811647213804271","0.905660247059153"
"Public health insurance","1999","Hesse","lower secondary degree","336","0.930739088636662","0.904364774797206","0.957113402476118"
"Public health insurance","1999","Hesse","secondary school degree","154","0.863076755164729","0.812144563111374","0.914008947218083"
"Public health insurance","1999","Hesse","college entrance qualification","128","0.688825648540315","0.621002471908077","0.756648825172554"
"Public health insurance","1999","Hesse","Other degree","88","0.973097925735384","0.939483612345532","1.00671223912524"
"Public health insurance","1999","Hesse","no degree/no degree yet","70","0.95546402985665","0.907816052209377","1.00311200750392"
"Public health insurance","1999","Rhineland-Palatinate,Saarland","lower secondary degree","382","0.881936650351961","0.851186010770107","0.912687289933816"
"Public health insurance","1999","Rhineland-Palatinate,Saarland","secondary school degree","123","0.900929269866923","0.850155395889937","0.951703143843908"
"Public health insurance","1999","Rhineland-Palatinate,Saarland","college entrance qualification","51","0.588370001941794","0.483128456355914","0.693611547527673"
"Public health insurance","1999","Rhineland-Palatinate,Saarland","Other degree","68","0.94523805153432","0.891940272095486","0.998535830973154"
"Public health insurance","1999","Rhineland-Palatinate,Saarland","no degree/no degree yet","35","0.829549955023585","0.711535387381922","0.947564522665248"
"Public health insurance","1999","Baden-Württemberg","lower secondary degree","713","0.942638265235824","0.926095394573516","0.959181135898132"
"Public health insurance","1999","Baden-Württemberg","secondary school degree","264","0.904116427729641","0.870229408022633","0.938003447436649"
