"ple0097","year","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Neither","1999","Urban Area","72","0.00818046912000446","0.00632313752980074","0.0100378007102082","3"
"Neither","1999","Rural Area","40","0.00933879427686669","0.00659711064350492","0.0120804779102285","3"
"Private health insurance","1999","Urban Area","902","0.115375269174031","0.108787780000946","0.121962758347117","2"
"Private health insurance","1999","Rural Area","314","0.0801688253309892","0.0724283758696118","0.0879092747923665","2"
"Public health insurance","1999","Urban Area","8061","0.876444261705964","0.869658827815102","0.883229695596826","1"
"Public health insurance","1999","Rural Area","4374","0.910492380392144","0.902355133020986","0.918629627763302","1"
"Neither","2000","Urban Area","94","0.00600362382502587","0.00480439220984735","0.00720285544020439","3"
"Neither","2000","Rural Area","47","0.00517484073702127","0.00363125442395528","0.00671842705008727","3"
"Private health insurance","2000","Urban Area","1857","0.120066569445036","0.11502065488633","0.125112484003742","2"
"Private health insurance","2000","Rural Area","675","0.0845417491095494","0.0785567521945848","0.0905267460245139","2"
"Public health insurance","2000","Urban Area","13989","0.873929806729938","0.868776945844412","0.879082667615465","1"
"Public health insurance","2000","Rural Area","7578","0.910283410153429","0.904135411870629","0.91643140843623","1"
"Neither","2001","Urban Area","86","0.00671472738601977","0.00538654975493162","0.00804290501710791","3"
"Neither","2001","Rural Area","45","0.00708926004449908","0.0051946507432336","0.00898386934576457","3"
"Private health insurance","2001","Urban Area","1736","0.124665651213471","0.119293288066196","0.130038014360746","2"
"Private health insurance","2001","Rural Area","601","0.0825171759887806","0.0763036909504704","0.0887306610270908","2"
"Public health insurance","2001","Urban Area","12702","0.868619621400509","0.863125667092539","0.874113575708479","1"
"Public health insurance","2001","Rural Area","6887","0.91039356396672","0.903943733508363","0.916843394425078","1"
"Neither","2002","Urban Area","69","0.00411867776512452","0.00310958870938466","0.00512776682086437","3"
"Neither","2002","Rural Area","48","0.00523171012328618","0.00361712284987802","0.00684629739669434","3"
"Private health insurance","2002","Urban Area","2477","0.119614271665547","0.114501283450576","0.124727259880517","2"
"Private health insurance","2002","Rural Area","820","0.0818904095451276","0.0757536019720229","0.0880272171182324","2"
"Public health insurance","2002","Urban Area","12928","0.876267050569329","0.87107895797836","0.881455143160298","1"
"Public health insurance","2002","Rural Area","6801","0.912877880331586","0.906566137714655","0.919189622948517","1"
"Neither","2003","Urban Area","83","0.00535424541032673","0.00418327200239045","0.006525218818263","3"
"Neither","2003","Rural Area","46","0.00684780490308282","0.00496208726261307","0.00873352254355257","3"
"Private health insurance","2003","Urban Area","2348","0.11912234626639","0.113924563853809","0.124320128678971","2"
"Private health insurance","2003","Rural Area","775","0.0811998438286629","0.0749541427019893","0.0874455449553365","2"
"Public health insurance","2003","Urban Area","12489","0.875523408323284","0.87022626889164","0.880820547754927","1"
"Public health insurance","2003","Rural Area","6526","0.911952351268254","0.905472903008913","0.918431799527595","1"
"Neither","2004","Urban Area","","","","","3"
"Neither","2004","Rural Area","","","","","3"
"Private health insurance","2004","Urban Area","2293","0.117445963036318","0.11219008193831","0.122701844134325","2"
"Private health insurance","2004","Rural Area","761","0.0846392237323273","0.0781811551093338","0.0910972923553208","2"
"Public health insurance","2004","Urban Area","12121","0.882554036963682","0.877298155865675","0.88780991806169","1"
"Public health insurance","2004","Rural Area","6375","0.915360776267673","0.908902707644679","0.921818844890666","1"
"Neither","2005","Urban Area","","","","","3"
"Neither","2005","Rural Area","","","","","3"
"Private health insurance","2005","Urban Area","2206","0.11829443567015","0.112902022134883","0.123686849205417","2"
"Private health insurance","2005","Rural Area","711","0.0880508324736051","0.0813082663564679","0.0947933985907422","2"
"Public health insurance","2005","Urban Area","11573","0.88170556432985","0.876313150794583","0.887097977865117","1"
