"ple0097","year","age_gr","sex","n","percent","lower_confidence","upper_confidence"
"Public health insurance","1999","16-34 y.","Male","2041","0.879446231533563","0.866051617498231","0.892840845568895"
"Public health insurance","1999","16-34 y.","Female","2196","0.926866250014556","0.916330837556986","0.937401662472125"
"Public health insurance","1999","35-65 y.","Male","3083","0.828000299545273","0.815700076908132","0.840300522182414"
"Public health insurance","1999","35-65 y.","Female","3411","0.906521066823259","0.897137473230841","0.915904660415677"
"Public health insurance","1999","66 and older","Male","689","0.892770594749059","0.87071523832396","0.914825951174157"
"Public health insurance","1999","66 and older","Female","1015","0.93285840307536","0.917918684802244","0.947798121348475"
"Private health insurance","1999","16-34 y.","Male","186","0.0988883970106395","0.0866084322129105","0.111168361808368"
"Private health insurance","1999","16-34 y.","Female","144","0.0717641869259295","0.0613201804689368","0.0822081933829222"
"Private health insurance","1999","35-65 y.","Male","495","0.160549512296523","0.148583872685965","0.172515151907081"
"Private health insurance","1999","35-65 y.","Female","268","0.0881552398684534","0.0790160461090587","0.0972944336278481"
"Private health insurance","1999","66 and older","Male","64","0.102774084045726","0.0811279718340058","0.124420196257447"
"Private health insurance","1999","66 and older","Female","59","0.0627109628274035","0.0482383410128683","0.0771835846419386"
"Neither","1999","16-34 y.","Male","43","0.0216653714557975","0.0156762662083678","0.0276544767032272"
"Neither","1999","16-34 y.","Female","6","","",""
"Neither","1999","35-65 y.","Male","38","0.0114501881582042","0.00798250450876494","0.0149178718076434"
"Neither","1999","35-65 y.","Female","18","","",""
"Neither","1999","66 and older","Male","3","","",""
"Neither","1999","66 and older","Female","4","","",""
"Public health insurance","2000","16-34 y.","Male","3067","0.876175794267948","0.865191166990893","0.887160421545004"
"Public health insurance","2000","16-34 y.","Female","3403","0.922716750109676","0.914090102203313","0.93134339801604"
"Public health insurance","2000","35-65 y.","Male","5537","0.825753435978817","0.816632475260034","0.8348743966976"
"Public health insurance","2000","35-65 y.","Female","6215","0.909718551240931","0.902916988805602","0.91652011367626"
"Public health insurance","2000","66 and older","Male","1388","0.891390193359956","0.875875174946882","0.906905211773029"
"Public health insurance","2000","66 and older","Female","1956","0.929727079357082","0.918779162400589","0.940674996313576"
"Private health insurance","2000","16-34 y.","Male","338","0.110403856326527","0.0999524317248073","0.120855280928247"
"Private health insurance","2000","16-34 y.","Female","265","0.0740419908011204","0.065583363841718","0.0825006177605229"
"Private health insurance","2000","35-65 y.","Male","1058","0.16610670575886","0.157157549267299","0.17505586225042"
"Private health insurance","2000","35-65 y.","Female","583","0.0873537692823496","0.080652640556737","0.0940548980079623"
"Private health insurance","2000","66 and older","Male","155","0.107446707002451","0.092004922676925","0.122888491327976"
"Private health insurance","2000","66 and older","Female","132","0.0665824578390613","0.0559047596041418","0.0772601560739809"
