"ple0097","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Neither","1999","66 and older","higher vocational","","","","","3"
"Neither","1999","66 and older","higher education","","","","","3"
"Neither","1999","66 and older","in school","","","","","3"
"Neither","1999","66 and older","inadequately","","","","","3"
"Neither","1999","66 and older","general elemantary","3","","","","3"
"Neither","1999","66 and older","middle vocational","3","","","","3"
"Neither","1999","66 and older","vocational + Abi","1","","","","3"
"Neither","1999","16-34 y.","in school","1","","","","3"
"Neither","1999","16-34 y.","inadequately","","","","","3"
"Neither","1999","16-34 y.","general elemantary","4","","","","3"
"Neither","1999","16-34 y.","middle vocational","31","0.0153064710887186","0.0102052850422915","0.0204076571351456","3"
"Neither","1999","16-34 y.","vocational + Abi","2","","","","3"
"Neither","1999","16-34 y.","higher vocational","6","","","","3"
"Neither","1999","16-34 y.","higher education","3","","","","3"
"Neither","1999","35-65 y.","in school","","","","","3"
"Neither","1999","35-65 y.","inadequately","1","","","","3"
"Neither","1999","35-65 y.","general elemantary","6","","","","3"
"Neither","1999","35-65 y.","middle vocational","31","0.0097820033292318","0.00667559251725987","0.0128884141412037","3"
"Neither","1999","35-65 y.","vocational + Abi","2","","","","3"
"Neither","1999","35-65 y.","higher vocational","4","","","","3"
"Neither","1999","35-65 y.","higher education","11","","","","3"
"Private health insurance","1999","16-34 y.","general elemantary","23","","","","2"
"Private health insurance","1999","66 and older","in school","","","","","2"
"Private health insurance","1999","66 and older","inadequately","","","","","2"
"Private health insurance","1999","66 and older","general elemantary","20","","","","2"
"Private health insurance","1999","66 and older","higher vocational","7","","","","2"
"Private health insurance","1999","66 and older","higher education","44","0.267985879984271","0.20660278553614","0.329368974432402","2"
"Private health insurance","1999","16-34 y.","in school","49","0.202936551591798","0.158801937394756","0.24707116578884","2"
"Private health insurance","1999","16-34 y.","inadequately","1","","","","2"
"Private health insurance","1999","16-34 y.","higher vocational","27","","","","2"
"Private health insurance","1999","16-34 y.","higher education","83","0.214930252411863","0.175504230491647","0.254356274332078","2"
"Private health insurance","1999","16-34 y.","middle vocational","128","0.0614305114216187","0.0514533186187798","0.0714077042244576","2"
"Private health insurance","1999","16-34 y.","vocational + Abi","7","","","","2"
"Private health insurance","1999","66 and older","middle vocational","48","0.0659764627995204","0.0496214879763837","0.082331437622657","2"
"Private health insurance","1999","66 and older","vocational + Abi","4","","","","2"
"Private health insurance","1999","35-65 y.","in school","","","","","2"
"Private health insurance","1999","35-65 y.","inadequately","2","","","","2"
"Private health insurance","1999","35-65 y.","general elemantary","33","0.0405949035264186","0.0284239621230663","0.0527658449297709","2"
"Private health insurance","1999","35-65 y.","middle vocational","309","0.0921204088818538","0.0829924929081014","0.101248324855606","2"
"Private health insurance","1999","35-65 y.","vocational + Abi","32","0.159092762135306","0.110087754562611","0.208097769708","2"
"Private health insurance","1999","35-65 y.","higher vocational","75","0.170391589949904","0.137888310464344","0.202894869435464","2"
"Private health insurance","1999","35-65 y.","higher education","301","0.273740830574652","0.249991336444294","0.29749032470501","2"
"Public health insurance","1999","16-34 y.","in school","269","0.794827928597737","0.750513165649552","0.839142691545922","1"
"Public health insurance","1999","16-34 y.","inadequately","82","0.99186586755504","0.972542129695732","1.01118960541435","1"
"Public health insurance","1999","16-34 y.","general elemantary","859","0.966340147696666","0.954464635646982","0.978215659746351","1"
"Public health insurance","1999","16-34 y.","middle vocational","2066","0.923263017489663","0.912203194861578","0.934322840117748","1"
"Public health insurance","1999","16-34 y.","vocational + Abi","255","0.956656734386937","0.93209353074586","0.981219938028014","1"
"Public health insurance","1999","16-34 y.","higher vocational","191","0.749038256872635","0.692260289250575","0.805816224494695","1"
"Public health insurance","1999","16-34 y.","higher education","331","0.780111545311753","0.740359486177112","0.819863604446393","1"
"Public health insurance","1999","35-65 y.","in school","2","","","","1"
"Public health insurance","1999","35-65 y.","inadequately","284","0.995861592623141","0.988434424512998","1.00328876073328","1"
"Public health insurance","1999","35-65 y.","general elemantary","971","0.953234974873334","0.94021386587314","0.966256083873528","1"
"Public health insurance","1999","35-65 y.","middle vocational","3516","0.898097587788914","0.888549122455567","0.907646053122261","1"
"Public health insurance","1999","35-65 y.","vocational + Abi","180","0.832295368782492","0.782239791849691","0.882350945715292","1"
"Public health insurance","1999","35-65 y.","higher vocational","435","0.822317609428263","0.789272399049352","0.855362819807174","1"
