"ple0097","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence"
"Public health insurance","1999","1-pers.-HH","in school","1","","",""
"Public health insurance","1999","1-pers.-HH","inadequately","26","","",""
"Public health insurance","1999","1-pers.-HH","general elemantary","385","0.964846143549513","0.946729891356471","0.982962395742555"
"Public health insurance","1999","1-pers.-HH","middle vocational","799","0.921041696793442","0.903060037315476","0.939023356271408"
"Public health insurance","1999","1-pers.-HH","vocational + Abi","65","0.904381387400732","0.836923352179346","0.971839422622118"
"Public health insurance","1999","1-pers.-HH","higher vocational","71","0.82823138033765","0.747087308257974","0.909375452417325"
"Public health insurance","1999","1-pers.-HH","higher education","169","0.71933916003988","0.662013396020051","0.776664924059708"
"Public health insurance","1999","(Married) couple without C. ","in school","2","","",""
"Public health insurance","1999","(Married) couple without C. ","inadequately","94","1","1","1"
"Public health insurance","1999","(Married) couple without C. ","general elemantary","631","0.940281731106312","0.922298497821195","0.958264964391429"
"Public health insurance","1999","(Married) couple without C. ","middle vocational","2079","0.915866773241775","0.90440713099562","0.92732641548793"
"Public health insurance","1999","(Married) couple without C. ","vocational + Abi","131","0.860347661885422","0.805060956002726","0.915634367768118"
"Public health insurance","1999","(Married) couple without C. ","higher vocational","235","0.840378109164891","0.796772030228913","0.88398418810087"
"Public health insurance","1999","(Married) couple without C. ","higher education","514","0.761550881608618","0.729040396763427","0.794061366453809"
"Public health insurance","1999","Single parent ","in school","32","0.882861927012833","0.777812842362882","0.987911011662784"
"Public health insurance","1999","Single parent ","inadequately","23","","",""
"Public health insurance","1999","Single parent ","general elemantary","171","0.95490884707015","0.924595180670394","0.985222513469906"
"Public health insurance","1999","Single parent ","middle vocational","335","0.918590634532831","0.890223715149034","0.946957553916627"
"Public health insurance","1999","Single parent ","vocational + Abi","11","","",""
"Public health insurance","1999","Single parent ","higher vocational","13","","",""
"Public health insurance","1999","Single parent ","higher education","58","0.794237093258619","0.69953541024285","0.888938776274389"
"Public health insurance","1999","Couple + C. LE 16 ","in school","2","","",""
"Public health insurance","1999","Couple + C. LE 16 ","inadequately","60","1","1","1"
"Public health insurance","1999","Couple + C. LE 16 ","general elemantary","348","0.961880950676765","0.942017912587345","0.981743988766184"
"Public health insurance","1999","Couple + C. LE 16 ","middle vocational","1486","0.902553028087675","0.888107108115881","0.916998948059469"
"Public health insurance","1999","Couple + C. LE 16 ","vocational + Abi","151","0.903979449465336","0.859025537210931","0.948933361719741"
"Public health insurance","1999","Couple + C. LE 16 ","higher vocational","206","0.750354854404718","0.696488552402499","0.804221156406938"
"Public health insurance","1999","Couple + C. LE 16 ","higher education","395","0.705837145542561","0.665936915591145","0.745737375493977"
"Public health insurance","1999","Couple + C. GT 16 ","in school","122","0.792670005518369","0.726685590564362","0.858654420472375"
"Public health insurance","1999","Couple + C. GT 16 ","inadequately","127","0.997513687670904","0.988886278816438","1.00614109652537"
"Public health insurance","1999","Couple + C. GT 16 ","general elemantary","479","0.968899829501894","0.953607758131781","0.984191900872006"
"Public health insurance","1999","Couple + C. GT 16 ","middle vocational","1081","0.896015664061265","0.878607021650772","0.913424306471757"
"Public health insurance","1999","Couple + C. GT 16 ","vocational + Abi","63","0.916983889614635","0.849388021885283","0.984579757343987"
"Public health insurance","1999","Couple + C. GT 16 ","higher vocational","105","0.864925392369641","0.803770156019441","0.926080628719841"
"Public health insurance","1999","Couple + C. GT 16 ","higher education","245","0.757501408648172","0.709558405387231","0.805444411909113"
"Public health insurance","1999","Couple + C. LE and GT 16","in school","105","0.758029259852587","0.683543947752071","0.832514571953102"
"Public health insurance","1999","Couple + C. LE and GT 16","inadequately","51","0.987744726379089","0.957840657451158","1.01764879530702"
"Public health insurance","1999","Couple + C. LE and GT 16","general elemantary","246","0.973540894208332","0.953685618995193","0.99339616942147"
"Public health insurance","1999","Couple + C. LE and GT 16","middle vocational","432","0.908110530249613","0.882050235688439","0.934170824810787"
"Public health insurance","1999","Couple + C. LE and GT 16","vocational + Abi","30","0.912486133400644","0.816071557762377","1.00890070903891"
"Public health insurance","1999","Couple + C. LE and GT 16","higher vocational","51","0.823284306478946","0.726771500125789","0.919797112832102"
"Public health insurance","1999","Couple + C. LE and GT 16","higher education","103","0.684802723408952","0.606720422155135","0.762885024662768"
"Private health insurance","1999","1-pers.-HH","in school","","","",""
