"ple0097","year","bula_h","regtyp","n","percent","lower_confidence","upper_confidence"
"Public health insurance","1999","Schleswig-Holstein","Urban Area","138","0.815319378467056","0.756466948181469","0.874171808752643"
"Public health insurance","1999","Schleswig-Holstein","Rural Area","144","0.911225169234253","0.867562320349167","0.954888018119339"
"Public health insurance","1999","Hamburg","Urban Area","128","0.885218020671101","0.832416546093555","0.938019495248647"
"Public health insurance","1999","Hamburg","Rural Area","","","",""
"Public health insurance","1999","Lower Saxony","Urban Area","547","0.879210646014389","0.85351765577995","0.904903636248828"
"Public health insurance","1999","Lower Saxony","Rural Area","496","0.896325889923892","0.871032961203651","0.921618818644134"
"Public health insurance","1999","Bremen","Urban Area","84","0.960527532764418","0.920074123037135","1.0009809424917"
"Public health insurance","1999","Bremen","Rural Area","","","",""
"Public health insurance","1999","North Rhine-Westphalia","Urban Area","2333","0.87210132943034","0.859380788197672","0.884821870663009"
"Public health insurance","1999","North Rhine-Westphalia","Rural Area","55","0.834043792073323","0.744287004281799","0.923800579864847"
"Public health insurance","1999","Hesse","Urban Area","677","0.86010574301244","0.835428134525815","0.884783351499064"
"Public health insurance","1999","Hesse","Rural Area","127","0.901487932051283","0.852472978502747","0.95050288559982"
"Public health insurance","1999","Rhineland-Palatinate,Saarland","Urban Area","524","0.860976274349497","0.833177243113113","0.888775305585881"
"Public health insurance","1999","Rhineland-Palatinate,Saarland","Rural Area","160","0.873414514312832","0.824703885720742","0.922125142904923"
"Public health insurance","1999","Baden-Württemberg","Urban Area","1403","0.902798948423863","0.888018209978026","0.9175796868697"
"Public health insurance","1999","Baden-Württemberg","Rural Area","173","0.81618100460018","0.762365181331078","0.869996827869283"
"Public health insurance","1999","Bavaria","Urban Area","758","0.827385032560699","0.80251482919467","0.852255235926729"
"Public health insurance","1999","Bavaria","Rural Area","820","0.873260098929412","0.851715974709649","0.894804223149174"
"Public health insurance","1999","Berlin","Urban Area","454","0.868147833933218","0.838955842857105","0.897339825009331"
"Public health insurance","1999","Berlin","Rural Area","","","",""
"Public health insurance","1999","Brandenburg","Urban Area","31","0.814611295029163","0.689394069119636","0.939828520938689"
"Public health insurance","1999","Brandenburg","Rural Area","546","0.963477901504198","0.948010313066537","0.97894548994186"
"Public health insurance","1999","Mecklenburg-Western Pomerania","Urban Area","49","0.932507902018074","0.864967618288754","1.00004818574739"
"Public health insurance","1999","Mecklenburg-Western Pomerania","Rural Area","321","0.932778781031679","0.906507702757985","0.959049859305374"
"Public health insurance","1999","Saxony","Urban Area","531","0.948294641735553","0.930003815760262","0.966585467710844"
"Public health insurance","1999","Saxony","Rural Area","575","0.963875689436806","0.948869681716279","0.978881697157334"
"Public health insurance","1999","Saxony-Anhalt","Urban Area","186","0.966043147681932","0.94049076449357","0.991595530870295"
"Public health insurance","1999","Saxony-Anhalt","Rural Area","482","0.961584191261457","0.944754433085183","0.978413949437732"
"Public health insurance","1999","Thuringia","Urban Area","218","0.962741610641576","0.938103802312589","0.987379418970562"
"Public health insurance","1999","Thuringia","Rural Area","475","0.966312662709005","0.950434529886623","0.982190795531388"
"Private health insurance","1999","Schleswig-Holstein","Urban Area","24","","",""
"Private health insurance","1999","Schleswig-Holstein","Rural Area","15","","",""
"Private health insurance","1999","Hamburg","Urban Area","11","","",""
"Private health insurance","1999","Hamburg","Rural Area","","","",""
"Private health insurance","1999","Lower Saxony","Urban Area","61","0.101762788844657","0.0779262126483123","0.125599365041001"
"Private health insurance","1999","Lower Saxony","Rural Area","55","0.0838650498659879","0.0608664592802856","0.10686364045169"
"Private health insurance","1999","Bremen","Urban Area","3","","",""
"Private health insurance","1999","Bremen","Rural Area","","","",""
"Private health insurance","1999","North Rhine-Westphalia","Urban Area","297","0.122022568980996","0.109555887636671","0.134489250325321"
"Private health insurance","1999","North Rhine-Westphalia","Rural Area","8","","",""
"Private health insurance","1999","Hesse","Urban Area","79","0.134726908015195","0.110436714560964","0.159017101469426"
"Private health insurance","1999","Hesse","Rural Area","15","","",""
"Private health insurance","1999","Rhineland-Palatinate,Saarland","Urban Area","68","0.134852135305371","0.107407106427366","0.162297164183376"
"Private health insurance","1999","Rhineland-Palatinate,Saarland","Rural Area","16","","",""
"Private health insurance","1999","Baden-Württemberg","Urban Area","129","0.0886595272875645","0.0744765253386317","0.102842529236497"
"Private health insurance","1999","Baden-Württemberg","Rural Area","24","","",""
"Private health insurance","1999","Bavaria","Urban Area","120","0.162782689417722","0.138488104101575","0.187077274733869"
"Private health insurance","1999","Bavaria","Rural Area","88","0.120310798704368","0.0992430907443467","0.141378506664389"
"Private health insurance","1999","Berlin","Urban Area","60","0.131216055985237","0.1020839002334","0.160348211737073"
"Private health insurance","1999","Berlin","Rural Area","","","",""
"Private health insurance","1999","Brandenburg","Urban Area","6","","",""
"Private health insurance","1999","Brandenburg","Rural Area","15","","",""
"Private health insurance","1999","Mecklenburg-Western Pomerania","Urban Area","4","","",""
"Private health insurance","1999","Mecklenburg-Western Pomerania","Rural Area","25","","",""
"Private health insurance","1999","Saxony","Urban Area","26","","",""
"Private health insurance","1999","Saxony","Rural Area","16","","",""
"Private health insurance","1999","Saxony-Anhalt","Urban Area","7","","",""
"Private health insurance","1999","Saxony-Anhalt","Rural Area","18","","",""
"Private health insurance","1999","Thuringia","Urban Area","7","","",""
"Private health insurance","1999","Thuringia","Rural Area","19","","",""
"Neither","1999","Schleswig-Holstein","Urban Area","5","","",""
"Neither","1999","Schleswig-Holstein","Rural Area","4","","",""
"Neither","1999","Hamburg","Urban Area","1","","",""
"Neither","1999","Hamburg","Rural Area","","","",""
"Neither","1999","Lower Saxony","Urban Area","10","","",""
"Neither","1999","Lower Saxony","Rural Area","7","","",""
"Neither","1999","Bremen","Urban Area","2","","",""
"Neither","1999","Bremen","Rural Area","","","",""
"Neither","1999","North Rhine-Westphalia","Urban Area","18","","",""
"Neither","1999","North Rhine-Westphalia","Rural Area","3","","",""
"Neither","1999","Hesse","Urban Area","3","","",""
"Neither","1999","Hesse","Rural Area","","","",""
"Neither","1999","Rhineland-Palatinate,Saarland","Urban Area","3","","",""
"Neither","1999","Rhineland-Palatinate,Saarland","Rural Area","3","","",""
"Neither","1999","Baden-Württemberg","Urban Area","11","","",""
"Neither","1999","Baden-Württemberg","Rural Area","2","","",""
"Neither","1999","Bavaria","Urban Area","9","","",""
"Neither","1999","Bavaria","Rural Area","8","","",""
"Neither","1999","Berlin","Urban Area","2","","",""
"Neither","1999","Berlin","Rural Area","","","",""
"Neither","1999","Brandenburg","Urban Area","","","",""
"Neither","1999","Brandenburg","Rural Area","4","","",""
"Neither","1999","Mecklenburg-Western Pomerania","Urban Area","","","",""
"Neither","1999","Mecklenburg-Western Pomerania","Rural Area","3","","",""
"Neither","1999","Saxony","Urban Area","6","","",""
"Neither","1999","Saxony","Rural Area","3","","",""
"Neither","1999","Saxony-Anhalt","Urban Area","","","",""
"Neither","1999","Saxony-Anhalt","Rural Area","1","","",""
"Neither","1999","Thuringia","Urban Area","2","","",""
"Neither","1999","Thuringia","Rural Area","2","","",""
"Public health insurance","2000","Schleswig-Holstein","Urban Area","235","0.816064947382191","0.771550989665844","0.860578905098539"
"Public health insurance","2000","Schleswig-Holstein","Rural Area","360","0.877205779850192","0.845817815494543","0.908593744205841"
"Public health insurance","2000","Hamburg","Urban Area","259","0.872259856937208","0.834424386443378","0.910095327431038"
"Public health insurance","2000","Hamburg","Rural Area","","","",""
"Public health insurance","2000","Lower Saxony","Urban Area","897","0.872014308899641","0.851582567468803","0.892446050330479"
"Public health insurance","2000","Lower Saxony","Rural Area","912","0.915096559337421","0.897914760917","0.932278357757842"
"Public health insurance","2000","Bremen","Urban Area","176","0.941358175406463","0.907592704920392","0.975123645892533"
"Public health insurance","2000","Bremen","Rural Area","","","",""
"Public health insurance","2000","North Rhine-Westphalia","Urban Area","4391","0.873034555126517","0.86383656133703","0.882232548916004"
"Public health insurance","2000","North Rhine-Westphalia","Rural Area","126","0.911197205821624","0.864410397037788","0.95798401460546"
"Public health insurance","2000","Hesse","Urban Area","1196","0.872303128637868","0.854499642517472","0.890106614758265"
"Public health insurance","2000","Hesse","Rural Area","287","0.868296072110197","0.831974950087057","0.904617194133337"
"Public health insurance","2000","Rhineland-Palatinate,Saarland","Urban Area","971","0.88534864653829","0.866563537994585","0.904133755081994"
"Public health insurance","2000","Rhineland-Palatinate,Saarland","Rural Area","313","0.872869751690316","0.838458853384176","0.907280649996457"
"Public health insurance","2000","Baden-Württemberg","Urban Area","2370","0.882387004200713","0.870163031083129","0.894610977318296"
"Public health insurance","2000","Baden-Württemberg","Rural Area","247","0.801427782661154","0.756583948399346","0.846271616922962"
"Public health insurance","2000","Bavaria","Urban Area","1328","0.816478558371527","0.797570325118461","0.835386791624592"
"Public health insurance","2000","Bavaria","Rural Area","1569","0.870706211501294","0.855141049946857","0.886271373055731"
"Public health insurance","2000","Berlin","Urban Area","722","0.881493420400257","0.859371545397425","0.903615295403089"
