"ple0097","year","e11103","migback","n","percent","lower_confidence","upper_confidence","value"
"Neither","1999","Not Working","indirect migration background","2","","","","3"
"Neither","1999","Not Working","direct migration background","7","","","","3"
"Neither","1999","Not Working","no migration background","16","","","","3"
"Neither","1999","Part Time","indirect migration background","2","","","","3"
"Neither","1999","Part Time","direct migration background","1","","","","3"
"Neither","1999","Part Time","no migration background","16","","","","3"
"Neither","1999","Full Time","indirect migration background","4","","","","3"
"Neither","1999","Full Time","direct migration background","2","","","","3"
"Neither","1999","Full Time","no migration background","62","0.0138406210459333","0.0105210098866547","0.0171602322052119","3"
"Private health insurance","1999","Part Time","indirect migration background","4","","","","2"
"Private health insurance","1999","Part Time","direct migration background","12","","","","2"
"Private health insurance","1999","Part Time","no migration background","194","0.0953191509144753","0.0833440306933701","0.10729427113558","2"
"Private health insurance","1999","Not Working","no migration background","288","0.0837614751989144","0.0750220902043693","0.0925008601934595","2"
"Private health insurance","1999","Full Time","no migration background","645","0.156642249231764","0.146314724403012","0.166969774060517","2"
"Private health insurance","1999","Full Time","indirect migration background","12","","","","2"
"Private health insurance","1999","Full Time","direct migration background","39","0.080999974939316","0.0626366901846536","0.0993632596939785","2"
"Private health insurance","1999","Not Working","direct migration background","14","","","","2"
"Private health insurance","1999","Not Working","indirect migration background","8","","","","2"
"Public health insurance","1999","Full Time","no migration background","4051","0.829517129722302","0.818831775447525","0.840202483997079","1"
"Public health insurance","1999","Full Time","direct migration background","807","0.914788472636675","0.895997049085105","0.933579896188245","1"
"Public health insurance","1999","Full Time","indirect migration background","228","0.955289083615743","0.929357599631379","0.981220567600108","1"
"Public health insurance","1999","Part Time","no migration background","2100","0.895435740674021","0.882957569288343","0.9079139120597","1"
"Public health insurance","1999","Part Time","direct migration background","450","0.943511961307088","0.922483400596551","0.964540522017626","1"
"Public health insurance","1999","Part Time","indirect migration background","169","0.965420572598892","0.938350074927674","0.99249107027011","1"
"Public health insurance","1999","Not Working","no migration background","3556","0.912645036889496","0.903737673319202","0.921552400459789","1"
"Public health insurance","1999","Not Working","direct migration background","891","0.95215294034591","0.938300328816403","0.966005551875416","1"
"Public health insurance","1999","Not Working","indirect migration background","183","0.922653150120224","0.884964551758982","0.960341748481465","1"
"Neither","2000","Not Working","indirect migration background","2","","","","3"
"Neither","2000","Not Working","direct migration background","14","","","","3"
"Neither","2000","Not Working","no migration background","36","0.00404497612726399","0.0026034077104003","0.00548654454412768","3"
"Neither","2000","Part Time","indirect migration background","3","","","","3"
"Neither","2000","Part Time","direct migration background","6","","","","3"
"Neither","2000","Part Time","no migration background","17","","","","3"
"Neither","2000","Full Time","indirect migration background","3","","","","3"
"Neither","2000","Full Time","direct migration background","2","","","","3"
"Neither","2000","Full Time","no migration background","58","0.00629104483394405","0.00460949972972309","0.00797258993816502","3"
"Private health insurance","2000","Part Time","indirect migration background","4","","","","2"
"Private health insurance","2000","Part Time","direct migration background","28","","","","2"
"Private health insurance","2000","Part Time","no migration background","362","0.0885935342059887","0.0799210038453999","0.0972660645665774","2"
"Private health insurance","2000","Full Time","indirect migration background","21","","","","2"
"Private health insurance","2000","Full Time","direct migration background","80","0.0799359867273664","0.0649200389984037","0.0949519344563292","2"
"Private health insurance","2000","Full Time","no migration background","1352","0.165021991709468","0.157127467520001","0.172916515898934","2"
"Private health insurance","2000","Not Working","no migration background","642","0.0887726358123673","0.082312965573264","0.0952323060514705","2"
"Private health insurance","2000","Not Working","direct migration background","30","0.0331864025673535","0.0236874831202596","0.0426853220144473","2"
"Private health insurance","2000","Not Working","indirect migration background","12","","","","2"
"Public health insurance","2000","Full Time","no migration background","7083","0.828686963456588","0.820673726433614","0.836700200479563","1"
"Public health insurance","2000","Full Time","direct migration background","1171","0.918431868511743","0.903276856501701","0.933586880521785","1"
"Public health insurance","2000","Full Time","indirect migration background","316","0.927602688653838","0.900057176550335","0.955148200757341","1"
"Public health insurance","2000","Part Time","no migration background","3745","0.90637778609905","0.897487149835002","0.915268422363098","1"
"Public health insurance","2000","Part Time","direct migration background","690","0.935730422068404","0.917867318900436","0.953593525236373","1"
"Public health insurance","2000","Part Time","indirect migration background","237","0.967076104130733","0.944686876402952","0.989465331858514","1"
"Public health insurance","2000","Not Working","no migration background","6769","0.907182388060369","0.900591864537134","0.913772911583604","1"
"Public health insurance","2000","Not Working","direct migration background","1322","0.955440016884002","0.944498010504761","0.966382023263242","1"
"Public health insurance","2000","Not Working","indirect migration background","233","0.928242625306626","0.896056874922633","0.960428375690618","1"
"Neither","2001","Not Working","indirect migration background","2","","","","3"
"Neither","2001","Not Working","direct migration background","8","","","","3"
"Neither","2001","Not Working","no migration background","26","","","","3"
"Neither","2001","Part Time","indirect migration background","2","","","","3"
"Neither","2001","Part Time","direct migration background","5","","","","3"
"Neither","2001","Part Time","no migration background","25","","","","3"
"Neither","2001","Full Time","indirect migration background","2","","","","3"
"Neither","2001","Full Time","direct migration background","3","","","","3"
"Neither","2001","Full Time","no migration background","58","0.00877074892344945","0.0066827075468643","0.0108587903000346","3"
