"ple0097","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"Public health insurance","1999","no migration background","West Germany","6215","0.855782291385604","0.847699516698382","0.863865066072826"
"Public health insurance","1999","no migration background","East Germany","3492","0.953467733443286","0.946653986461326","0.960281480425246"
"Public health insurance","1999","direct migration background","West Germany","2039","0.933704187348364","0.923095881192067","0.944312493504662"
"Public health insurance","1999","direct migration background","East Germany","109","0.983240827552517","0.959252057297092","1.00722959780794"
"Public health insurance","1999","indirect migration background","West Germany","559","0.948228395062121","0.930350170928787","0.966106619195455"
"Public health insurance","1999","indirect migration background","East Germany","21","","",""
"Private health insurance","1999","no migration background","West Germany","969","0.134683178927667","0.126828765055447","0.142537592799886"
"Private health insurance","1999","no migration background","East Germany","158","0.0407658213425356","0.0343689690957739","0.0471626735892973"
"Private health insurance","1999","direct migration background","West Germany","64","0.06055052397604","0.0503811548961321","0.0707198930559479"
"Private health insurance","1999","direct migration background","East Germany","1","","",""
"Private health insurance","1999","indirect migration background","West Germany","23","","",""
"Private health insurance","1999","indirect migration background","East Germany","1","","",""
"Neither","1999","no migration background","West Germany","73","0.00953452968672984","0.00729869938891161","0.0117703599845481"
"Neither","1999","no migration background","East Germany","21","","",""
"Neither","1999","direct migration background","West Germany","10","","",""
"Neither","1999","direct migration background","East Germany","","","",""
"Neither","1999","indirect migration background","West Germany","8","","",""
"Neither","1999","indirect migration background","East Germany","","","",""
"Public health insurance","2000","no migration background","West Germany","12215","0.854885975496439","0.84912762260547","0.860644328387408"
"Public health insurance","2000","no migration background","East Germany","5383","0.949771122003024","0.944097954866281","0.955444289139767"
"Public health insurance","2000","direct migration background","West Germany","3035","0.935455219171234","0.926930919359042","0.943979518983425"
"Public health insurance","2000","direct migration background","East Germany","148","0.975221949814644","0.950428045816213","1.00001585381307"
"Public health insurance","2000","indirect migration background","West Germany","762","0.941566105563563","0.925362637597789","0.957769573529338"
"Public health insurance","2000","indirect migration background","East Germany","24","","",""
"Private health insurance","2000","no migration background","West Germany","2066","0.139312227025605","0.133651047584102","0.144973406467108"
"Private health insurance","2000","no migration background","East Germany","291","0.0474827836502787","0.0419589083963589","0.0530066589041985"
"Private health insurance","2000","direct migration background","West Germany","135","0.056297107245318","0.0483010235230211","0.064293190967615"
"Private health insurance","2000","direct migration background","East Germany","3","","",""
"Private health insurance","2000","indirect migration background","West Germany","35","0.0435335129380265","0.0294374806233587","0.0576295452526942"
"Private health insurance","2000","indirect migration background","East Germany","2","","",""
"Neither","2000","no migration background","West Germany","91","0.00580179747795571","0.00456012442516679","0.00704347053074464"
"Neither","2000","no migration background","East Germany","20","","",""
"Neither","2000","direct migration background","West Germany","22","","",""
"Neither","2000","direct migration background","East Germany","","","",""
"Neither","2000","indirect migration background","West Germany","8","","",""
"Neither","2000","indirect migration background","East Germany","","","",""
"Public health insurance","2001","no migration background","West Germany","11044","0.852701302559324","0.846613547168705","0.858789057949943"
"Public health insurance","2001","no migration background","East Germany","5018","0.943169727467851","0.936946145687596","0.949393309248106"
"Public health insurance","2001","direct migration background","West Germany","2676","0.932527973686158","0.92327163240396","0.941784314968356"
"Public health insurance","2001","direct migration background","East Germany","122","0.976069670085044","0.949169687401921","1.00296965276817"
"Public health insurance","2001","indirect migration background","West Germany","707","0.928766282557722","0.910382486407661","0.947150078707783"
"Public health insurance","2001","indirect migration background","East Germany","22","","",""
"Private health insurance","2001","no migration background","West Germany","1890","0.140552443678477","0.134582253461754","0.146522633895199"
"Private health insurance","2001","no migration background","East Germany","274","0.050955834049688","0.0450443601823104","0.0568673079170657"
"Private health insurance","2001","direct migration background","West Germany","129","0.0605605037766417","0.0517586186752896","0.0693623888779938"
"Private health insurance","2001","direct migration background","East Germany","2","","",""
