"ple0097","year","age_gr","e11103","n","percent","lower_confidence","upper_confidence","value"
"Neither","1999","66 and older","Not Working","7","","","","3"
"Neither","1999","66 and older","Part Time","","","","","3"
"Neither","1999","66 and older","Full Time","","","","","3"
"Neither","1999","35-65 y.","Not Working","8","","","","3"
"Neither","1999","35-65 y.","Part Time","11","","","","3"
"Neither","1999","35-65 y.","Full Time","37","0.0100363041948387","0.00678924393875837","0.013283364450919","3"
"Neither","1999","16-34 y.","Not Working","10","","","","3"
"Neither","1999","16-34 y.","Part Time","8","","","","3"
"Neither","1999","16-34 y.","Full Time","31","0.0175417585142733","0.0120808460143674","0.0230026710141792","3"
"Private health insurance","1999","35-65 y.","Not Working","110","0.0717601240128923","0.0604518519742991","0.0830683960514854","2"
"Private health insurance","1999","35-65 y.","Part Time","134","0.0985698110632679","0.0843666202058113","0.112773001920725","2"
"Private health insurance","1999","35-65 y.","Full Time","519","0.167695643053962","0.155525497303228","0.179865788804697","2"
"Private health insurance","1999","66 and older","Full Time","2","","","","2"
"Private health insurance","1999","16-34 y.","Full Time","175","0.0963317782756742","0.0840584910590281","0.10860506549232","2"
"Private health insurance","1999","16-34 y.","Not Working","85","0.0908178532327066","0.0745868294921368","0.107048876973277","2"
"Private health insurance","1999","16-34 y.","Part Time","70","0.0616192031411609","0.0479684202947721","0.0752699859875497","2"
"Private health insurance","1999","66 and older","Part Time","6","","","","2"
"Private health insurance","1999","66 and older","Not Working","115","0.0752316092083399","0.0629088369758338","0.0875543814408459","2"
"Public health insurance","1999","16-34 y.","Full Time","2014","0.886126463210053","0.872912567895913","0.899340358524192","1"
"Public health insurance","1999","16-34 y.","Part Time","1114","0.933607554929474","0.919473997969292","0.947741111889657","1"
"Public health insurance","1999","16-34 y.","Not Working","1109","0.900919417793468","0.88404331755638","0.917795518030555","1"
"Public health insurance","1999","35-65 y.","Full Time","3064","0.822268052751199","0.809814786774407","0.834721318727991","1"
"Public health insurance","1999","35-65 y.","Part Time","1547","0.891181499188052","0.876343260192768","0.906019738183336","1"
"Public health insurance","1999","35-65 y.","Not Working","1883","0.924155934232422","0.912555934530664","0.93575593393418","1"
"Public health insurance","1999","66 and older","Full Time","8","","","","1"
"Public health insurance","1999","66 and older","Part Time","58","0.840638130516481","0.750966543793227","0.930309717239735","1"
"Public health insurance","1999","66 and older","Not Working","1638","0.920153382197556","0.907489987805377","0.932816776589736","1"
"Neither","2000","66 and older","Not Working","8","","","","3"
"Neither","2000","66 and older","Part Time","","","","","3"
"Neither","2000","66 and older","Full Time","","","","","3"
"Neither","2000","35-65 y.","Not Working","29","","","","3"
"Neither","2000","35-65 y.","Part Time","10","","","","3"
"Neither","2000","35-65 y.","Full Time","32","0.0045718383275595","0.00295263760433933","0.00619103905077968","3"
"Neither","2000","16-34 y.","Not Working","15","","","","3"
"Neither","2000","16-34 y.","Part Time","16","","","","3"
"Neither","2000","16-34 y.","Full Time","31","0.00838355515483073","0.00530929958682609","0.0114578107228354","3"
