"ple0097","year","migback","sex","n","percent","lower_confidence","upper_confidence"
"Public health insurance","1999","no migration background","Male","4451","0.837724000832192","0.827716164308417","0.847731837355968"
"Public health insurance","1999","no migration background","Female","5256","0.912589391366876","0.905266244348608","0.919912538385145"
"Public health insurance","1999","direct migration background","Male","1072","0.925540089499918","0.910145065268369","0.940935113731467"
"Public health insurance","1999","direct migration background","Female","1076","0.947431050736958","0.934278530375346","0.96058357109857"
"Public health insurance","1999","indirect migration background","Male","290","0.946793924597413","0.921849342038006","0.97173850715682"
"Public health insurance","1999","indirect migration background","Female","290","0.945398551296256","0.919731593747877","0.971065508844636"
"Private health insurance","1999","no migration background","Male","689","0.147756632862826","0.13812460155866","0.157388664166991"
"Private health insurance","1999","no migration background","Female","438","0.0840142991555143","0.0768214835901747","0.0912071147208539"
"Private health insurance","1999","direct migration background","Male","41","0.0684821529574492","0.053670422604608","0.0832938833102903"
"Private health insurance","1999","direct migration background","Female","24","","",""
"Private health insurance","1999","indirect migration background","Male","15","","",""
"Private health insurance","1999","indirect migration background","Female","9","","",""
"Neither","1999","no migration background","Male","74","0.0145193663049819","0.0112725295346615","0.0177662030753023"
"Neither","1999","no migration background","Female","20","","",""
"Neither","1999","direct migration background","Male","4","","",""
"Neither","1999","direct migration background","Female","6","","",""
"Neither","1999","indirect migration background","Male","6","","",""
"Neither","1999","indirect migration background","Female","2","","",""
"Public health insurance","2000","no migration background","Male","8057","0.83545443922381","0.828034153711364","0.842874724736255"
"Public health insurance","2000","no migration background","Female","9541","0.912572726760635","0.907163585982203","0.917981867539066"
"Public health insurance","2000","direct migration background","Male","1552","0.929487456330495","0.917104724372614","0.941870188288375"
"Public health insurance","2000","direct migration background","Female","1631","0.94485709516798","0.934009741037921","0.955704449298039"
"Public health insurance","2000","indirect migration background","Male","384","0.932287647023917","0.907997166975268","0.956578127072566"
"Public health insurance","2000","indirect migration background","Female","402","0.946074883456771","0.92447349094186","0.967676275971683"
"Private health insurance","2000","no migration background","Male","1452","0.156463056372268","0.149192391883903","0.163733720860633"
"Private health insurance","2000","no migration background","Female","905","0.0850197634676424","0.07967858759992","0.0903609393353649"
"Private health insurance","2000","direct migration background","Male","78","0.0610262000553502","0.0494478569237704","0.0726045431869299"
"Private health insurance","2000","direct migration background","Female","60","0.0488461069263068","0.0386028914878186","0.059089322364795"
