"ple0097","year","education","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Public health insurance","1999","lower secondary degree","(0) in school","","","",""
"Public health insurance","1999","lower secondary degree","(1a) inadequately completed","","","",""
"Public health insurance","1999","lower secondary degree","(1b) general elementary school","1503","0.962091962275463","0.952609124750153","0.971574799800773"
"Public health insurance","1999","lower secondary degree","(1c) basic vocational qualification","3558","0.92839085225103","0.92019073070752","0.93659097379454"
"Public health insurance","1999","lower secondary degree","(2b) intermediate general qualification","2","","",""
"Public health insurance","1999","lower secondary degree","(2a) intermediate vocational","29","","",""
"Public health insurance","1999","lower secondary degree","(2c_gen) general maturity certificate","6","","",""
"Public health insurance","1999","lower secondary degree","(2c_voc) vocational maturity certificate","12","","",""
"Public health insurance","1999","lower secondary degree","(3a) lower tertiary education","95","0.967810102125686","0.933041649030121","1.00257855522125"
"Public health insurance","1999","lower secondary degree","(3b) higher tertiary education","23","","",""
"Public health insurance","1999","secondary school degree","(0) in school","","","",""
"Public health insurance","1999","secondary school degree","(1a) inadequately completed","","","",""
"Public health insurance","1999","secondary school degree","(1b) general elementary school","","","",""
"Public health insurance","1999","secondary school degree","(1c) basic vocational qualification","","","",""
"Public health insurance","1999","secondary school degree","(2b) intermediate general qualification","504","0.935838213558888","0.915054838562394","0.956621588555381"
"Public health insurance","1999","secondary school degree","(2a) intermediate vocational","2546","0.883082555987867","0.871239911347664","0.894925200628069"
"Public health insurance","1999","secondary school degree","(2c_gen) general maturity certificate","6","","",""
"Public health insurance","1999","secondary school degree","(2c_voc) vocational maturity certificate","5","","",""
"Public health insurance","1999","secondary school degree","(3a) lower tertiary education","388","0.860890443008463","0.828257319496814","0.893523566520112"
"Public health insurance","1999","secondary school degree","(3b) higher tertiary education","49","0.852075974781457","0.762243992348634","0.94190795721428"
"Public health insurance","1999","college entrance qualification","(0) in school","","","",""
"Public health insurance","1999","college entrance qualification","(1a) inadequately completed","","","",""
"Public health insurance","1999","college entrance qualification","(1b) general elementary school","","","",""
"Public health insurance","1999","college entrance qualification","(1c) basic vocational qualification","","","",""
"Public health insurance","1999","college entrance qualification","(2b) intermediate general qualification","","","",""
"Public health insurance","1999","college entrance qualification","(2a) intermediate vocational","","","",""
"Public health insurance","1999","college entrance qualification","(2c_gen) general maturity certificate","344","0.81417404450364","0.776841131575388","0.851506957431892"
"Public health insurance","1999","college entrance qualification","(2c_voc) vocational maturity certificate","468","0.799082529654283","0.766130771475768","0.832034287832798"
"Public health insurance","1999","college entrance qualification","(3a) lower tertiary education","308","0.751895162935489","0.709726305971709","0.794064019899269"
"Public health insurance","1999","college entrance qualification","(3b) higher tertiary education","566","0.617900785204069","0.58513902835839","0.650662542049748"
"Public health insurance","1999","Other degree","(0) in school","","","",""
"Public health insurance","1999","Other degree","(1a) inadequately completed","","","",""
"Public health insurance","1999","Other degree","(1b) general elementary school","396","0.989121050068266","0.97895537306631","0.999286727070223"
"Public health insurance","1999","Other degree","(1c) basic vocational qualification","304","0.934805249642381","0.907456164271991","0.96215433501277"
"Public health insurance","1999","Other degree","(2b) intermediate general qualification","","","",""
"Public health insurance","1999","Other degree","(2a) intermediate vocational","","","",""
"Public health insurance","1999","Other degree","(2c_gen) general maturity certificate","50","1","1","1"
"Public health insurance","1999","Other degree","(2c_voc) vocational maturity certificate","84","0.902589840449632","0.840638015709853","0.964541665189411"
"Public health insurance","1999","Other degree","(3a) lower tertiary education","10","","",""
"Public health insurance","1999","Other degree","(3b) higher tertiary education","70","0.947559171394863","0.896770111568511","0.998348231221214"
"Public health insurance","1999","no degree/no degree yet","(0) in school","271","0.80166873264009","0.757980329806449","0.84535713547373"
"Public health insurance","1999","no degree/no degree yet","(1a) inadequately completed","455","0.990593844179526","0.981782310101006","0.999405378258046"
"Public health insurance","1999","no degree/no degree yet","(1b) general elementary school","","","",""
"Public health insurance","1999","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"Public health insurance","1999","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"Public health insurance","1999","no degree/no degree yet","(2a) intermediate vocational","","","",""
"Public health insurance","1999","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"Public health insurance","1999","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"Public health insurance","1999","no degree/no degree yet","(3a) lower tertiary education","","","",""
"Public health insurance","1999","no degree/no degree yet","(3b) higher tertiary education","","","",""
"Private health insurance","1999","lower secondary degree","(0) in school","","","",""
"Private health insurance","1999","lower secondary degree","(1a) inadequately completed","","","",""
"Private health insurance","1999","lower secondary degree","(1b) general elementary school","47","0.033107437027393","0.0242232794070653","0.0419915946477206"
"Private health insurance","1999","lower secondary degree","(1c) basic vocational qualification","217","0.0645609967578574","0.0567453762967401","0.0723766172189748"
"Private health insurance","1999","lower secondary degree","(2b) intermediate general qualification","","","",""
"Private health insurance","1999","lower secondary degree","(2a) intermediate vocational","","","",""
"Private health insurance","1999","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"Private health insurance","1999","lower secondary degree","(2c_voc) vocational maturity certificate","","","",""
"Private health insurance","1999","lower secondary degree","(3a) lower tertiary education","3","","",""
"Private health insurance","1999","lower secondary degree","(3b) higher tertiary education","","","",""
"Private health insurance","1999","secondary school degree","(0) in school","","","",""
"Private health insurance","1999","secondary school degree","(1a) inadequately completed","","","",""
"Private health insurance","1999","secondary school degree","(1b) general elementary school","","","",""
"Private health insurance","1999","secondary school degree","(1c) basic vocational qualification","","","",""
"Private health insurance","1999","secondary school degree","(2b) intermediate general qualification","27","","",""
"Private health insurance","1999","secondary school degree","(2a) intermediate vocational","249","0.104881695387277","0.0935889780645411","0.116174412710012"
"Private health insurance","1999","secondary school degree","(2c_gen) general maturity certificate","","","",""
"Private health insurance","1999","secondary school degree","(2c_voc) vocational maturity certificate","","","",""
"Private health insurance","1999","secondary school degree","(3a) lower tertiary education","42","0.12963522745549","0.0979600988333344","0.161310356077645"
"Private health insurance","1999","secondary school degree","(3b) higher tertiary education","10","","",""
"Private health insurance","1999","college entrance qualification","(0) in school","","","",""
"Private health insurance","1999","college entrance qualification","(1a) inadequately completed","","","",""
"Private health insurance","1999","college entrance qualification","(1b) general elementary school","","","",""
"Private health insurance","1999","college entrance qualification","(1c) basic vocational qualification","","","",""
"Private health insurance","1999","college entrance qualification","(2b) intermediate general qualification","","","",""
"Private health insurance","1999","college entrance qualification","(2a) intermediate vocational","","","",""
"Private health insurance","1999","college entrance qualification","(2c_gen) general maturity certificate","64","0.161065417106797","0.12578406154214","0.196346772671455"
"Private health insurance","1999","college entrance qualification","(2c_voc) vocational maturity certificate","89","0.182435548891155","0.150674878795302","0.214196218987008"
"Private health insurance","1999","college entrance qualification","(3a) lower tertiary education","93","0.243318480745187","0.201425652656306","0.285211308834067"
"Private health insurance","1999","college entrance qualification","(3b) higher tertiary education","272","0.376071902137345","0.343411430501026","0.408732373773664"
"Private health insurance","1999","Other degree","(0) in school","","","",""
"Private health insurance","1999","Other degree","(1a) inadequately completed","","","",""
"Private health insurance","1999","Other degree","(1b) general elementary school","2","","",""
"Private health insurance","1999","Other degree","(1c) basic vocational qualification","8","","",""
"Private health insurance","1999","Other degree","(2b) intermediate general qualification","","","",""
"Private health insurance","1999","Other degree","(2a) intermediate vocational","","","",""
"Private health insurance","1999","Other degree","(2c_gen) general maturity certificate","","","",""
"Private health insurance","1999","Other degree","(2c_voc) vocational maturity certificate","3","","",""
"Private health insurance","1999","Other degree","(3a) lower tertiary education","","","",""
"Private health insurance","1999","Other degree","(3b) higher tertiary education","4","","",""
"Private health insurance","1999","no degree/no degree yet","(0) in school","48","0.196099725740665","0.152597379225995","0.239602072255335"
"Private health insurance","1999","no degree/no degree yet","(1a) inadequately completed","4","","",""
"Private health insurance","1999","no degree/no degree yet","(1b) general elementary school","","","",""
"Private health insurance","1999","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"Private health insurance","1999","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"Private health insurance","1999","no degree/no degree yet","(2a) intermediate vocational","","","",""
"Private health insurance","1999","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"Private health insurance","1999","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"Private health insurance","1999","no degree/no degree yet","(3a) lower tertiary education","","","",""
"Private health insurance","1999","no degree/no degree yet","(3b) higher tertiary education","","","",""
"Neither","1999","lower secondary degree","(0) in school","","","",""
"Neither","1999","lower secondary degree","(1a) inadequately completed","","","",""
"Neither","1999","lower secondary degree","(1b) general elementary school","8","","",""
"Neither","1999","lower secondary degree","(1c) basic vocational qualification","23","","",""
"Neither","1999","lower secondary degree","(2b) intermediate general qualification","","","",""
"Neither","1999","lower secondary degree","(2a) intermediate vocational","","","",""
"Neither","1999","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"Neither","1999","lower secondary degree","(2c_voc) vocational maturity certificate","","","",""
"Neither","1999","lower secondary degree","(3a) lower tertiary education","1","","",""
"Neither","1999","lower secondary degree","(3b) higher tertiary education","","","",""
"Neither","1999","secondary school degree","(0) in school","","","",""
"Neither","1999","secondary school degree","(1a) inadequately completed","","","",""
"Neither","1999","secondary school degree","(1b) general elementary school","","","",""
"Neither","1999","secondary school degree","(1c) basic vocational qualification","","","",""
"Neither","1999","secondary school degree","(2b) intermediate general qualification","3","","",""
"Neither","1999","secondary school degree","(2a) intermediate vocational","33","0.0120357486248567","0.0080167712813452","0.0160547259683683"
"Neither","1999","secondary school degree","(2c_gen) general maturity certificate","","","",""
"Neither","1999","secondary school degree","(2c_voc) vocational maturity certificate","","","",""
"Neither","1999","secondary school degree","(3a) lower tertiary education","2","","",""
"Neither","1999","secondary school degree","(3b) higher tertiary education","1","","",""
"Neither","1999","college entrance qualification","(0) in school","","","",""
"Neither","1999","college entrance qualification","(1a) inadequately completed","","","",""
"Neither","1999","college entrance qualification","(1b) general elementary school","","","",""
"Neither","1999","college entrance qualification","(1c) basic vocational qualification","","","",""
"Neither","1999","college entrance qualification","(2b) intermediate general qualification","","","",""
"Neither","1999","college entrance qualification","(2a) intermediate vocational","","","",""
