"ple0097","year","age_gr","n","percent","lower_confidence","upper_confidence"
"Public health insurance","1999","16-34 y.","4237","0.902627260894029","0.894074858875975","0.911179662912084"
"Public health insurance","1999","35-65 y.","6494","0.866919807570681","0.859135025176674","0.874704589964688"
"Public health insurance","1999","66 and older","1704","0.917279364131501","0.9046725262184","0.929886202044603"
"Private health insurance","1999","16-34 y.","330","0.0856288680080276","0.0775567677842001","0.0937009682318552"
"Private health insurance","1999","35-65 y.","763","0.124666655258423","0.117095499261552","0.132237811255294"
"Private health insurance","1999","66 and older","123","0.0782804077966182","0.0659869409436536","0.0905738746495828"
"Neither","1999","16-34 y.","49","0.0117438710979432","0.00863605303147431","0.0148516891644121"
"Neither","1999","35-65 y.","56","0.00841353717089522","0.00632012421440282","0.0105069501273876"
"Neither","1999","66 and older","7","","",""
"Public health insurance","2000","16-34 y.","6470","0.898971344417909","0.891978621605949","0.90596406722987"
"Public health insurance","2000","35-65 y.","11752","0.867493882336063","0.86176707971908","0.873220684953045"
"Public health insurance","2000","66 and older","3344","0.914629252185343","0.905550333014161","0.923708171356524"
"Private health insurance","2000","16-34 y.","603","0.092593978679206","0.0858681886730504","0.0993197686853617"
"Private health insurance","2000","35-65 y.","1641","0.126957319609484","0.121333807305329","0.132580831913639"
"Private health insurance","2000","66 and older","287","0.0826756108254046","0.0737279968423556","0.0916232248084536"
"Neither","2000","16-34 y.","62","0.00843467690288448","0.00631267390534527","0.0105566799004237"
"Neither","2000","35-65 y.","71","0.00554879805445339","0.00429406240406705","0.00680353370483973"
"Neither","2000","66 and older","8","","",""
"Public health insurance","2001","16-34 y.","5693","0.895864218426912","0.888320806071975","0.903407630781848"
"Public health insurance","2001","35-65 y.","10741","0.863546442246026","0.857483494883583","0.869609389608469"
"Public health insurance","2001","66 and older","3155","0.911053497432179","0.901547671535369","0.920559323328989"
"Private health insurance","2001","16-34 y.","540","0.092184908728321","0.0850403505522725","0.0993294669043694"
"Private health insurance","2001","35-65 y.","1511","0.13014804294249","0.124205258061247","0.136090827823732"
"Private health insurance","2001","66 and older","286","0.0871787085549004","0.0777586939920214","0.0965987231177794"
"Neither","2001","16-34 y.","65","0.0119508728447673","0.00926716123411212","0.0146345844554224"
"Neither","2001","35-65 y.","62","0.00630551481148408","0.00490742448349256","0.0077036051394756"
"Neither","2001","66 and older","4","","",""
"Public health insurance","2002","16-34 y.","5489","0.903164576132373","0.895791999492431","0.910537152772316"
"Public health insurance","2002","35-65 y.","10937","0.867443608048691","0.86168522382169","0.873201992275692"
"Public health insurance","2002","66 and older","3303","0.921092578133714","0.912335719877982","0.929849436389445"
"Private health insurance","2002","16-34 y.","648","0.0900895741319207","0.0829519231682017","0.0972272250956396"
"Private health insurance","2002","35-65 y.","2322","0.12866636063182","0.122980392439513","0.134352328824128"
"Private health insurance","2002","66 and older","327","0.0756868814285774","0.0670956065297135","0.0842781563274412"
"Neither","2002","16-34 y.","44","0.00674584973570592","0.00470520574349726","0.00878649372791458"
"Neither","2002","35-65 y.","62","0.00389003131948867","0.00283294641982522","0.00494711621915212"
"Neither","2002","66 and older","11","","",""
