"ple0097","year","pgcasmin","pgisced97","n","percent","lower_confidence","upper_confidence"
"Public health insurance","1999","(0) in school","in school","270","0.801502333213263","0.757731698118511","0.845272968308016"
"Public health insurance","1999","(0) in school","inadequately","","","",""
"Public health insurance","1999","(0) in school","general elemantary","","","",""
"Public health insurance","1999","(0) in school","middle vocational","1","","",""
"Public health insurance","1999","(0) in school","vocational + Abi","","","",""
"Public health insurance","1999","(0) in school","higher vocational","","","",""
"Public health insurance","1999","(0) in school","higher education","","","",""
"Public health insurance","1999","(1a) inadequately completed","in school","1","","",""
"Public health insurance","1999","(1a) inadequately completed","inadequately","390","0.995107884818541","0.988218453092739","1.00199731654434"
"Public health insurance","1999","(1a) inadequately completed","general elemantary","","","",""
"Public health insurance","1999","(1a) inadequately completed","middle vocational","73","0.945257303631513","0.894115103408192","0.996399503854834"
"Public health insurance","1999","(1a) inadequately completed","vocational + Abi","","","",""
"Public health insurance","1999","(1a) inadequately completed","higher vocational","4","","",""
"Public health insurance","1999","(1a) inadequately completed","higher education","","","",""
"Public health insurance","1999","(1b) general elementary school","in school","","","",""
"Public health insurance","1999","(1b) general elementary school","inadequately","34","1","1","1"
"Public health insurance","1999","(1b) general elementary school","general elemantary","1865","0.964660224963059","0.956410021986611","0.972910427939506"
"Public health insurance","1999","(1b) general elementary school","middle vocational","","","",""
"Public health insurance","1999","(1b) general elementary school","vocational + Abi","","","",""
"Public health insurance","1999","(1b) general elementary school","higher vocational","","","",""
"Public health insurance","1999","(1b) general elementary school","higher education","","","",""
"Public health insurance","1999","(1c) basic vocational qualification","in school","","","",""
"Public health insurance","1999","(1c) basic vocational qualification","inadequately","","","",""
"Public health insurance","1999","(1c) basic vocational qualification","general elemantary","","","",""
"Public health insurance","1999","(1c) basic vocational qualification","middle vocational","3606","0.933271261061384","0.925367949388165","0.941174572734602"
"Public health insurance","1999","(1c) basic vocational qualification","vocational + Abi","","","",""
"Public health insurance","1999","(1c) basic vocational qualification","higher vocational","256","0.870463845909256","0.831202444326192","0.909725247492321"
"Public health insurance","1999","(1c) basic vocational qualification","higher education","","","",""
"Public health insurance","1999","(2b) intermediate general qualification","in school","","","",""
"Public health insurance","1999","(2b) intermediate general qualification","inadequately","","","",""
"Public health insurance","1999","(2b) intermediate general qualification","general elemantary","506","0.936004936422612","0.915285496901127","0.956724375944097"
"Public health insurance","1999","(2b) intermediate general qualification","middle vocational","","","",""
"Public health insurance","1999","(2b) intermediate general qualification","vocational + Abi","","","",""
"Public health insurance","1999","(2b) intermediate general qualification","higher vocational","","","",""
"Public health insurance","1999","(2b) intermediate general qualification","higher education","","","",""
"Public health insurance","1999","(2a) intermediate vocational","in school","","","",""
"Public health insurance","1999","(2a) intermediate vocational","inadequately","","","",""
"Public health insurance","1999","(2a) intermediate vocational","general elemantary","","","",""
"Public health insurance","1999","(2a) intermediate vocational","middle vocational","2246","0.881023900485523","0.868309820601345","0.8937379803697"
"Public health insurance","1999","(2a) intermediate vocational","vocational + Abi","","","",""
"Public health insurance","1999","(2a) intermediate vocational","higher vocational","329","0.906068035513511","0.876180186836855","0.935955884190168"
"Public health insurance","1999","(2a) intermediate vocational","higher education","","","",""
"Public health insurance","1999","(2c_gen) general maturity certificate","in school","","","",""
"Public health insurance","1999","(2c_gen) general maturity certificate","inadequately","","","",""
"Public health insurance","1999","(2c_gen) general maturity certificate","general elemantary","","","",""
"Public health insurance","1999","(2c_gen) general maturity certificate","middle vocational","406","0.833496778553948","0.800135428484716","0.866858128623179"
"Public health insurance","1999","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"Public health insurance","1999","(2c_gen) general maturity certificate","higher vocational","","","",""
"Public health insurance","1999","(2c_gen) general maturity certificate","higher education","","","",""
"Public health insurance","1999","(2c_voc) vocational maturity certificate","in school","","","",""
"Public health insurance","1999","(2c_voc) vocational maturity certificate","inadequately","","","",""
"Public health insurance","1999","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"Public health insurance","1999","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"Public health insurance","1999","(2c_voc) vocational maturity certificate","vocational + Abi","462","0.895891253177131","0.869385859404891","0.922396646949372"
"Public health insurance","1999","(2c_voc) vocational maturity certificate","higher vocational","107","0.590108015546346","0.514606658340935","0.665609372751758"
"Public health insurance","1999","(2c_voc) vocational maturity certificate","higher education","","","",""
"Public health insurance","1999","(3a) lower tertiary education","in school","","","",""
"Public health insurance","1999","(3a) lower tertiary education","inadequately","","","",""
"Public health insurance","1999","(3a) lower tertiary education","general elemantary","","","",""
"Public health insurance","1999","(3a) lower tertiary education","middle vocational","","","",""
"Public health insurance","1999","(3a) lower tertiary education","vocational + Abi","","","",""
"Public health insurance","1999","(3a) lower tertiary education","higher vocational","","","",""
"Public health insurance","1999","(3a) lower tertiary education","higher education","808","0.81381546580841","0.789114799171355","0.838516132445465"
"Public health insurance","1999","(3b) higher tertiary education","in school","","","",""
"Public health insurance","1999","(3b) higher tertiary education","inadequately","","","",""
"Public health insurance","1999","(3b) higher tertiary education","general elemantary","","","",""
"Public health insurance","1999","(3b) higher tertiary education","middle vocational","","","",""
"Public health insurance","1999","(3b) higher tertiary education","vocational + Abi","","","",""
"Public health insurance","1999","(3b) higher tertiary education","higher vocational","","","",""
"Public health insurance","1999","(3b) higher tertiary education","higher education","721","0.666034970292244","0.63704908111771","0.695020859466777"
"Private health insurance","1999","(0) in school","in school","48","0.196264252909771","0.152679961015044","0.239848544804499"
"Private health insurance","1999","(0) in school","inadequately","","","",""
"Private health insurance","1999","(0) in school","general elemantary","","","",""
"Private health insurance","1999","(0) in school","middle vocational","","","",""
"Private health insurance","1999","(0) in school","vocational + Abi","","","",""
"Private health insurance","1999","(0) in school","higher vocational","","","",""
"Private health insurance","1999","(0) in school","higher education","","","",""
"Private health insurance","1999","(1a) inadequately completed","in school","1","","",""
