"ple0097","year","sex","n","percent","lower_confidence","upper_confidence"
"Public health insurance","1999","Male","5813","0.853190318741536","0.844678958689174","0.861701678793899"
"Public health insurance","1999","Female","6622","0.917963556780688","0.911589825792611","0.924337287768764"
"Private health insurance","1999","Male","745","0.133539293344079","0.125358835168862","0.141719751519295"
"Private health insurance","1999","Female","471","0.0779409037518301","0.0717144653631199","0.0841673421405403"
"Neither","1999","Male","84","0.0132703879143851","0.0105184442106523","0.0160223316181178"
"Neither","1999","Female","28","","",""
"Public health insurance","2000","Male","9993","0.850569534015112","0.844094061274516","0.857045006755707"
"Public health insurance","2000","Female","11574","0.917587352452134","0.912785017944968","0.9223896869593"
"Private health insurance","2000","Male","1551","0.140942906111229","0.134622723628147","0.147263088594311"
"Private health insurance","2000","Female","981","0.0792281158058725","0.0745113158942696","0.0839449157174754"
"Neither","2000","Male","100","0.0084875598736595","0.00682132008137587","0.0101537996659431"
"Neither","2000","Female","41","0.00318453174199367","0.00220060686674925","0.00416845661723808"
"Public health insurance","2001","Male","9048","0.844477814549405","0.837572307789844","0.851383321308965"
"Public health insurance","2001","Female","10541","0.916329533732893","0.911263759426312","0.921395308039474"
"Private health insurance","2001","Male","1426","0.143677323058941","0.136993605431717","0.150361040686166"
"Private health insurance","2001","Female","911","0.0815508487626858","0.0765438705514454","0.0865578269739263"
"Neither","2001","Male","106","0.0118448623916542","0.00978336479190804","0.0139063599914004"
"Neither","2001","Female","25","","",""
"Public health insurance","2002","Male","9103","0.854098060607388","0.847551609861226","0.860644511353551"
"Public health insurance","2002","Female","10626","0.9191995619442","0.914318004977834","0.924081118910567"
"Private health insurance","2002","Male","1977","0.138885376584761","0.13247209591002","0.145298657259502"
"Private health insurance","2002","Female","1320","0.0787276245524399","0.0739036589977916","0.0835515901070883"
"Neither","2002","Male","90","0.00701656280785065","0.00546862069636444","0.00856450491933686"
"Neither","2002","Female","27","","",""
"Public health insurance","2003","Male","8758","0.852849658309425","0.846141092470593","0.859558224148256"
"Public health insurance","2003","Female","10257","0.91879643954157","0.913816084502717","0.923776794580422"
"Private health insurance","2003","Male","1855","0.137918014443927","0.131388248836997","0.144447780050857"
"Private health insurance","2003","Female","1268","0.0786011707543438","0.0736943357861308","0.0835080057225569"
"Neither","2003","Male","99","0.00923232724664819","0.00742117767333233","0.0110434768199641"
"Neither","2003","Female","30","0.00260238970408659","0.00167345873071094","0.00353132067746224"
"Public health insurance","2004","Male","8493","0.860921333917303","0.854241713023684","0.867600954810922"
"Public health insurance","2004","Female","10003","0.922608263512406","0.917668552037435","0.927547974987377"
"Private health insurance","2004","Male","1816","0.139078666082697","0.132399045189078","0.145758286976316"
"Private health insurance","2004","Female","1238","0.0773917364875941","0.0724520250126232","0.0823314479625651"
"Neither","2004","Male","","","",""
"Neither","2004","Female","","","",""
"Public health insurance","2005","Male","8072","0.860521270323726","0.853659676435092","0.86738286421236"
"Public health insurance","2005","Female","9575","0.919669409011676","0.914536347962566","0.924802470060786"
"Private health insurance","2005","Male","1721","0.139478729676274","0.13261713578764","0.146340323564908"
"Private health insurance","2005","Female","1196","0.0803305909883244","0.0751975299392142","0.0854636520374345"
"Neither","2005","Male","","","",""
"Neither","2005","Female","","","",""
"Public health insurance","2006","Male","8529","0.85195753690794","0.845136640871862","0.858778432944019"
