"ple0097","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Neither","1999","higher education","West Germany","11","","","","3"
"Neither","1999","higher education","East Germany","3","","","","3"
"Neither","1999","higher vocational","East Germany","","","","","3"
"Neither","1999","higher vocational","West Germany","10","","","","3"
"Neither","1999","vocational + Abi","East Germany","1","","","","3"
"Neither","1999","in school","West Germany","","","","","3"
"Neither","1999","general elemantary","East Germany","1","","","","3"
"Neither","1999","middle vocational","East Germany","14","","","","3"
"Neither","1999","vocational + Abi","West Germany","4","","","","3"
"Neither","1999","in school","East Germany","1","","","","3"
"Neither","1999","middle vocational","West Germany","51","0.0114379661158541","0.00845454508782194","0.0144213871438863","3"
"Neither","1999","inadequately","West Germany","1","","","","3"
"Neither","1999","inadequately","East Germany","","","","","3"
"Neither","1999","general elemantary","West Germany","12","","","","3"
"Private health insurance","1999","higher vocational","West Germany","96","0.203654402960194","0.170823572731074","0.236485233189315","2"
"Private health insurance","1999","in school","West Germany","41","0.226280353546887","0.17048006404978","0.282080643043993","2"
"Private health insurance","1999","general elemantary","East Germany","2","","","","2"
"Private health insurance","1999","in school","East Germany","8","","","","2"
"Private health insurance","1999","inadequately","West Germany","2","","","","2"
"Private health insurance","1999","inadequately","East Germany","1","","","","2"
"Private health insurance","1999","general elemantary","West Germany","74","0.0391039529637296","0.0307895440829068","0.0474183618445524","2"
"Private health insurance","1999","middle vocational","West Germany","429","0.0929518941469201","0.084805180291436","0.101098608002404","2"
"Private health insurance","1999","middle vocational","East Germany","56","0.0265046057032708","0.0196114424611448","0.0333977689453969","2"
"Private health insurance","1999","vocational + Abi","West Germany","36","0.0905541891361674","0.0636172941719842","0.117491084100351","2"
"Private health insurance","1999","vocational + Abi","East Germany","7","","","","2"
"Private health insurance","1999","higher vocational","East Germany","13","","","","2"
"Private health insurance","1999","higher education","West Germany","356","0.335650229873194","0.307870471072156","0.363429988674231","2"
"Private health insurance","1999","higher education","East Germany","72","0.0825669044570797","0.0641830438649795","0.10095076504918","2"
"Public health insurance","1999","in school","West Germany","175","0.773719646453113","0.717919356956007","0.82951993595022","1"
"Public health insurance","1999","in school","East Germany","96","0.884894497922871","0.823849900972355","0.945939094873387","1"
"Public health insurance","1999","inadequately","West Germany","409","0.997227680615578","0.99215055070177","1.00230481052939","1"
"Public health insurance","1999","inadequately","East Germany","15","","","","1"
"Public health insurance","1999","general elemantary","West Germany","2002","0.955099636697087","0.946217200199619","0.963982073194555","1"
"Public health insurance","1999","general elemantary","East Germany","369","0.993957961470452","0.986082928610539","1.00183299433036","1"
"Public health insurance","1999","middle vocational","West Germany","4400","0.895610139737226","0.887031333891324","0.904188945583127","1"
"Public health insurance","1999","middle vocational","East Germany","2016","0.967809752712032","0.960235355217773","0.975384150206292","1"
"Public health insurance","1999","vocational + Abi","West Germany","396","0.900059721896369","0.871907622523944","0.928211821268794","1"
"Public health insurance","1999","vocational + Abi","East Germany","66","0.855275106590931","0.775115280516468","0.935434932665394","1"
"Public health insurance","1999","higher vocational","West Germany","472","0.783009196483778","0.749405406077238","0.816612986890318","1"
"Public health insurance","1999","higher vocational","East Germany","232","0.963249940444542","0.939690576138256","0.986809304750828","1"
"Public health insurance","1999","higher education","West Germany","743","0.657436397971999","0.629518412164739","0.68535438377926","1"
"Public health insurance","1999","higher education","East Germany","786","0.914441319809533","0.895757895605343","0.933124744013722","1"
"Neither","2000","higher education","West Germany","18","","","","3"
"Neither","2000","higher education","East Germany","2","","","","3"
"Neither","2000","higher vocational","West Germany","16","","","","3"
"Neither","2000","higher vocational","East Germany","","","","","3"
"Neither","2000","middle vocational","East Germany","13","","","","3"
"Neither","2000","vocational + Abi","West Germany","6","","","","3"
"Neither","2000","vocational + Abi","East Germany","","","","","3"
"Neither","2000","in school","West Germany","1","","","","3"
"Neither","2000","in school","East Germany","1","","","","3"
"Neither","2000","general elemantary","East Germany","4","","","","3"
"Neither","2000","middle vocational","West Germany","62","0.00630368746127209","0.00472056674654331","0.00788680817600087","3"
"Neither","2000","inadequately","West Germany","4","","","","3"
"Neither","2000","inadequately","East Germany","","","","","3"
"Neither","2000","general elemantary","West Germany","13","","","","3"
"Private health insurance","2000","in school","West Germany","74","0.223499513578991","0.180102922362816","0.266896104795166","2"
"Private health insurance","2000","general elemantary","East Germany","4","","","","2"
"Private health insurance","2000","higher vocational","West Germany","188","0.134809489734302","0.116823294203313","0.152795685265292","2"
"Private health insurance","2000","in school","East Germany","8","","","","2"
"Private health insurance","2000","inadequately","West Germany","1","","","","2"
"Private health insurance","2000","inadequately","East Germany","1","","","","2"
"Private health insurance","2000","general elemantary","West Germany","96","0.0349656115804344","0.0284592610538964","0.0414719621069724","2"
"Private health insurance","2000","middle vocational","West Germany","890","0.0920605761541037","0.0862775502519589","0.0978436020562485","2"
"Private health insurance","2000","middle vocational","East Germany","101","0.0300007501215892","0.0241484744950962","0.0358530257480822","2"
"Private health insurance","2000","vocational + Abi","West Germany","90","0.103445183595258","0.0845794102001223","0.122310956990394","2"
"Private health insurance","2000","vocational + Abi","East Germany","10","","","","2"
"Private health insurance","2000","higher vocational","East Germany","31","0.0574011774799494","0.0371737765872905","0.0776285783726083","2"
"Private health insurance","2000","higher education","West Germany","895","0.348587475053052","0.330066712982218","0.367108237123886","2"
"Private health insurance","2000","higher education","East Germany","141","0.101314816756087","0.0848677255432403","0.117761907968933","2"
"Public health insurance","2000","in school","West Germany","279","0.774165952753847","0.730608928419129","0.817722977088565","1"
"Public health insurance","2000","in school","East Germany","135","0.943816864086513","0.906205966368179","0.981427761804848","1"
"Public health insurance","2000","inadequately","West Germany","381","0.984814092744813","0.972614314470002","0.997013871019624","1"
"Public health insurance","2000","inadequately","East Germany","19","","","","1"
"Public health insurance","2000","general elemantary","West Germany","2953","0.961263907547218","0.954429124708988","0.968098690385447","1"
"Public health insurance","2000","general elemantary","East Germany","508","0.988165830499942","0.978835284697309","0.997496376302575","1"
"Public health insurance","2000","middle vocational","West Germany","8649","0.901635736384624","0.895678784571466","0.907592688197782","1"
"Public health insurance","2000","middle vocational","East Germany","3150","0.966806511963797","0.960660841842216","0.972952182085378","1"
"Public health insurance","2000","vocational + Abi","West Germany","905","0.889272792279704","0.869833711302636","0.908711873256772","1"
"Public health insurance","2000","vocational + Abi","East Germany","115","0.898552796824593","0.845624865034634","0.951480728614552","1"
"Public health insurance","2000","higher vocational","West Germany","1181","0.85643529710076","0.837968383318098","0.874902210883422","1"
"Public health insurance","2000","higher vocational","East Germany","477","0.942598822520051","0.922371421627392","0.96282622341271","1"
"Public health insurance","2000","higher education","West Germany","1630","0.643534311153192","0.624919028653903","0.662149593652481","1"
"Public health insurance","2000","higher education","East Germany","1150","0.897631107100849","0.881108378127292","0.914153836074406","1"
"Neither","2001","higher vocational","West Germany","9","","","","3"
