"ple0097","year","education","pgisced97","n","percent","lower_confidence","upper_confidence"
"Public health insurance","1999","lower secondary degree","in school","","","",""
"Public health insurance","1999","lower secondary degree","inadequately","","","",""
"Public health insurance","1999","lower secondary degree","general elemantary","1505","0.962119175750688","0.95264568714195","0.971592664359427"
"Public health insurance","1999","lower secondary degree","middle vocational","3341","0.933707771734636","0.925530583214527","0.941884960254746"
"Public health insurance","1999","lower secondary degree","vocational + Abi","11","","",""
"Public health insurance","1999","lower secondary degree","higher vocational","253","0.868168163872224","0.828399795635789","0.907936532108659"
"Public health insurance","1999","lower secondary degree","higher education","118","0.974184409656985","0.94604404029065","1.00232477902332"
"Public health insurance","1999","secondary school degree","in school","","","",""
"Public health insurance","1999","secondary school degree","inadequately","","","",""
"Public health insurance","1999","secondary school degree","general elemantary","504","0.935838213558888","0.915054838562394","0.956621588555381"
"Public health insurance","1999","secondary school degree","middle vocational","2225","0.87998955148493","0.867173687145137","0.892805415824722"
"Public health insurance","1999","secondary school degree","vocational + Abi","5","","",""
"Public health insurance","1999","secondary school degree","higher vocational","327","0.905687653208929","0.875663490937928","0.93571181547993"
"Public health insurance","1999","secondary school degree","higher education","437","0.859632995785346","0.828938917699512","0.89032707387118"
"Public health insurance","1999","college entrance qualification","in school","","","",""
"Public health insurance","1999","college entrance qualification","inadequately","","","",""
"Public health insurance","1999","college entrance qualification","general elemantary","","","",""
"Public health insurance","1999","college entrance qualification","middle vocational","344","0.81417404450364","0.776841131575388","0.851506957431892"
"Public health insurance","1999","college entrance qualification","vocational + Abi","363","0.889825585396844","0.859406671280089","0.9202444995136"
"Public health insurance","1999","college entrance qualification","higher vocational","105","0.587549398328938","0.511509186736791","0.663589609921086"
"Public health insurance","1999","college entrance qualification","higher education","874","0.662182715490946","0.63594230335352","0.688423127628372"
"Public health insurance","1999","Other degree","in school","","","",""
"Public health insurance","1999","Other degree","inadequately","34","1","1","1"
"Public health insurance","1999","Other degree","general elemantary","362","0.987353696417082","0.975905799027168","0.998801593806995"
"Public health insurance","1999","Other degree","middle vocational","348","0.942891748763357","0.918820737765179","0.966962759761535"
"Public health insurance","1999","Other degree","vocational + Abi","83","0.901688672742185","0.839125530747099","0.964251814737272"
"Public health insurance","1999","Other degree","higher vocational","7","","",""
"Public health insurance","1999","Other degree","higher education","80","0.954497980415661","0.909931196879363","0.99906476395196"
"Public health insurance","1999","no degree/no degree yet","in school","270","0.801502333213263","0.757731698118511","0.845272968308016"
"Public health insurance","1999","no degree/no degree yet","inadequately","386","0.995093063438916","0.988157961349156","1.00202816552868"
"Public health insurance","1999","no degree/no degree yet","general elemantary","","","",""
"Public health insurance","1999","no degree/no degree yet","middle vocational","68","0.966875751502756","0.924952262159913","1.0087992408456"
"Public health insurance","1999","no degree/no degree yet","vocational + Abi","","","",""
"Public health insurance","1999","no degree/no degree yet","higher vocational","2","","",""
"Public health insurance","1999","no degree/no degree yet","higher education","","","",""
