"ple0097","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Neither","1999","16-34 y.","East Germany","13","","","","3"
"Neither","1999","35-65 y.","West Germany","48","0.00936076558702669","0.00673736625151338","0.01198416492254","3"
"Neither","1999","66 and older","East Germany","","","","","3"
"Neither","1999","35-65 y.","East Germany","8","","","","3"
"Neither","1999","16-34 y.","West Germany","36","0.0117380113240184","0.00814041121684801","0.0153356114311887","3"
"Neither","1999","66 and older","West Germany","7","","","","3"
"Private health insurance","1999","35-65 y.","West Germany","671","0.143020146773035","0.13348263970111","0.15255765384496","2"
"Private health insurance","1999","35-65 y.","East Germany","92","0.0449064687917898","0.0361258881747","0.0536870494088796","2"
"Private health insurance","1999","16-34 y.","East Germany","68","0.0598423953932258","0.0462685186515188","0.0734162721349327","2"
"Private health insurance","1999","66 and older","East Germany","","","","","2"
"Private health insurance","1999","16-34 y.","West Germany","262","0.0916970117069601","0.0820571114004187","0.101336912013502","2"
"Private health insurance","1999","66 and older","West Germany","123","0.0961189906225348","0.0803430982838982","0.111894882961171","2"
"Public health insurance","1999","16-34 y.","West Germany","3145","0.896564976969022","0.886393025667926","0.906736928270117","1"
"Public health insurance","1999","16-34 y.","East Germany","1092","0.928388832499999","0.913633316004887","0.943144348995111","1"
"Public health insurance","1999","35-65 y.","West Germany","4457","0.847619087639939","0.837828323105992","0.857409852173885","1"
"Public health insurance","1999","35-65 y.","East Germany","2037","0.950796437768852","0.94162604629004","0.959966829247664","1"
"Public health insurance","1999","66 and older","West Germany","1211","0.898428939665311","0.88226078103306","0.914597098297562","1"
"Public health insurance","1999","66 and older","East Germany","493","1","1","1","1"
"Neither","2000","16-34 y.","East Germany","14","","","","3"
"Neither","2000","35-65 y.","West Germany","65","0.00645524682771972","0.0048978684873178","0.00801262516812164","3"
"Neither","2000","66 and older","East Germany","","","","","3"
"Neither","2000","16-34 y.","West Germany","48","0.00877282901610476","0.00629867035850441","0.0112469876737051","3"
"Neither","2000","35-65 y.","East Germany","6","","","","3"
"Neither","2000","66 and older","West Germany","8","","","","3"
"Private health insurance","2000","35-65 y.","West Germany","1450","0.142739340866319","0.135936782493328","0.149541899239311","2"
"Private health insurance","2000","35-65 y.","East Germany","191","0.0582447013833459","0.050261190639376","0.0662282121273158","2"
"Private health insurance","2000","16-34 y.","East Germany","102","0.0605369362861779","0.0491265016708653","0.0719473709014906","2"
"Private health insurance","2000","66 and older","East Germany","2","","","","2"
"Private health insurance","2000","16-34 y.","West Germany","501","0.0998736573844862","0.0919185082264196","0.107828806542553","2"
"Private health insurance","2000","66 and older","West Germany","285","0.103057787256011","0.0917027448184463","0.114412829693575","2"
"Public health insurance","2000","16-34 y.","West Germany","4908","0.891353513599409","0.883096862225795","0.899610164973023","1"
"Public health insurance","2000","16-34 y.","East Germany","1562","0.93251748503459","0.920514860120158","0.944520109949022","1"
"Public health insurance","2000","35-65 y.","West Germany","8643","0.850805412305961","0.843876969391219","0.857733855220703","1"
"Public health insurance","2000","35-65 y.","East Germany","3109","0.940153046285679","0.932067358463527","0.948238734107831","1"
"Public health insurance","2000","66 and older","West Germany","2461","0.893564772138768","0.882046910965398","0.905082633312138","1"
"Public health insurance","2000","66 and older","East Germany","883","0.99783511245666","0.99477298321004","1.00089724170328","1"
"Neither","2001","66 and older","East Germany","","","","","3"
"Neither","2001","16-34 y.","West Germany","50","0.0115641773843654","0.00852631929156418","0.0146020354771665","3"
"Neither","2001","16-34 y.","East Germany","15","","","","3"
"Neither","2001","35-65 y.","West Germany","53","0.00678731773717761","0.00511321416214183","0.00846142131221339","3"
"Neither","2001","35-65 y.","East Germany","9","","","","3"
"Neither","2001","66 and older","West Germany","4","","","","3"
"Private health insurance","2001","16-34 y.","East Germany","101","0.076462944671311","0.0631908215177958","0.0897350678248263","2"
"Private health insurance","2001","35-65 y.","West Germany","1335","0.146519513066186","0.139309158244015","0.153729867888357","2"
"Private health insurance","2001","35-65 y.","East Germany","176","0.0576816698475306","0.049440025086177","0.0659233146088841","2"
"Private health insurance","2001","66 and older","East Germany","2","","","","2"
"Private health insurance","2001","16-34 y.","West Germany","439","0.0957965897170043","0.0874339388278703","0.104159240606138","2"
"Private health insurance","2001","66 and older","West Germany","284","0.108157752423112","0.0962058798879122","0.120109624958311","2"
"Public health insurance","2001","16-34 y.","West Germany","4269","0.89263923289863","0.88384300119797","0.901435464599291","1"
"Public health insurance","2001","16-34 y.","East Germany","1424","0.909902863234936","0.895602708354006","0.924203018115865","1"
"Public health insurance","2001","35-65 y.","West Germany","7852","0.846693169196637","0.839347085258588","0.854039253134686","1"
"Public health insurance","2001","35-65 y.","East Germany","2889","0.938145458915921","0.929629823797253","0.946661094034589","1"
"Public health insurance","2001","66 and older","West Germany","2306","0.889631341727404","0.877572904581525","0.901689778873282","1"
"Public health insurance","2001","66 and older","East Germany","849","0.996517155754506","0.992559001389196","1.00047531011982","1"
"Neither","2002","66 and older","East Germany","1","","","","3"
"Neither","2002","16-34 y.","West Germany","33","0.00604016582517455","0.00382168439774572","0.00825864725260339","3"
"Neither","2002","16-34 y.","East Germany","11","","","","3"
"Neither","2002","35-65 y.","West Germany","54","0.00393766740079453","0.00272579094057309","0.00514954386101597","3"
"Neither","2002","35-65 y.","East Germany","8","","","","3"
"Neither","2002","66 and older","West Germany","10","","","","3"
"Private health insurance","2002","35-65 y.","West Germany","2053","0.143792832477083","0.137003084959232","0.150582579994935","2"
"Private health insurance","2002","16-34 y.","East Germany","98","0.0672726924088633","0.0545750162874478","0.0799703685302788","2"
"Private health insurance","2002","35-65 y.","East Germany","269","0.0601973916878493","0.0517727263518133","0.0686220570238853","2"
"Private health insurance","2002","66 and older","East Germany","2","","","","2"
"Private health insurance","2002","16-34 y.","West Germany","550","0.0955226605249062","0.0871067908946029","0.10393853015521","2"
"Private health insurance","2002","66 and older","West Germany","325","0.0946598100367964","0.0837005233583596","0.105619096715233","2"
"Public health insurance","2002","35-65 y.","West Germany","8152","0.852269500122122","0.84540325769283","0.859135742551415","1"
"Public health insurance","2002","35-65 y.","East Germany","2785","0.936128198547041","0.927467204417939","0.944789192676143","1"
"Public health insurance","2002","16-34 y.","West Germany","4103","0.898437173649919","0.889788327047408","0.907086020252431","1"
"Public health insurance","2002","16-34 y.","East Germany","1386","0.923017855741309","0.909505609599693","0.936530101882925","1"
"Public health insurance","2002","66 and older","West Germany","2406","0.9013685672238","0.890206299137986","0.912530835309614","1"
"Public health insurance","2002","66 and older","East Germany","897","0.998384659580158","0.99576099799736","1.00100832116296","1"
"Neither","2003","66 and older","East Germany","1","","","","3"
"Neither","2003","16-34 y.","West Germany","43","0.00954690729653093","0.0066762879527682","0.0124175266402937","3"
"Neither","2003","16-34 y.","East Germany","13","","","","3"
"Neither","2003","35-65 y.","West Germany","49","0.00458557302011839","0.00324162652394602","0.00592951951629076","3"
"Neither","2003","35-65 y.","East Germany","7","","","","3"
"Neither","2003","66 and older","West Germany","16","","","","3"
"Private health insurance","2003","35-65 y.","West Germany","1905","0.142475220634165","0.135522156816661","0.149428284451669","2"
"Private health insurance","2003","16-34 y.","East Germany","101","0.0613766914544551","0.0490859896231352","0.073667393285775","2"
