"ple0097","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence","value"
"Neither","1999","1-pers.-HH","direct migration background","2","","","","3"
"Neither","1999","(Married) couple without C. ","no migration background","25","","","","3"
"Neither","1999","(Married) couple without C. ","direct migration background","2","","","","3"
"Neither","1999","(Married) couple without C. ","indirect migration background","","","","","3"
"Neither","1999","1-pers.-HH","indirect migration background","1","","","","3"
"Neither","1999","Single parent ","no migration background","5","","","","3"
"Neither","1999","Couple + C. LE and GT 16","indirect migration background","1","","","","3"
"Neither","1999","Couple + C. LE and GT 16","direct migration background","1","","","","3"
"Neither","1999","Couple + C. LE and GT 16","no migration background","8","","","","3"
"Neither","1999","Couple + C. GT 16 ","indirect migration background","5","","","","3"
"Neither","1999","1-pers.-HH","no migration background","12","","","","3"
"Neither","1999","Single parent ","direct migration background","2","","","","3"
"Neither","1999","Single parent ","indirect migration background","","","","","3"
"Neither","1999","Couple + C. LE 16 ","no migration background","24","","","","3"
"Neither","1999","Couple + C. LE 16 ","direct migration background","1","","","","3"
"Neither","1999","Couple + C. LE 16 ","indirect migration background","","","","","3"
"Neither","1999","Couple + C. GT 16 ","no migration background","17","","","","3"
"Neither","1999","Couple + C. GT 16 ","direct migration background","","","","","3"
"Private health insurance","1999","(Married) couple without C. ","direct migration background","19","","","","2"
"Private health insurance","1999","(Married) couple without C. ","indirect migration background","6","","","","2"
"Private health insurance","1999","Single parent ","direct migration background","3","","","","2"
"Private health insurance","1999","Single parent ","indirect migration background","","","","","2"
"Private health insurance","1999","Couple + C. LE 16 ","no migration background","262","0.148699530368106","0.134320630239025","0.163078430497187","2"
"Private health insurance","1999","Couple + C. LE and GT 16","indirect migration background","","","","","2"
"Private health insurance","1999","Single parent ","no migration background","47","0.0882337913367467","0.0648256055460401","0.111641977127453","2"
"Private health insurance","1999","(Married) couple without C. ","no migration background","368","0.111134317884631","0.100690409817453","0.12157822595181","2"
"Private health insurance","1999","Couple + C. LE and GT 16","direct migration background","1","","","","2"
"Private health insurance","1999","1-pers.-HH","indirect migration background","9","","","","2"
"Private health insurance","1999","Couple + C. LE and GT 16","no migration background","104","0.152446096318781","0.128238693109665","0.176653499527896","2"
"Private health insurance","1999","1-pers.-HH","direct migration background","8","","","","2"
"Private health insurance","1999","1-pers.-HH","no migration background","136","0.0926570676292504","0.0778348075330982","0.107479327725403","2"
"Private health insurance","1999","Couple + C. GT 16 ","indirect migration background","6","","","","2"
"Private health insurance","1999","Couple + C. LE 16 ","indirect migration background","3","","","","2"
"Private health insurance","1999","Couple + C. GT 16 ","no migration background","183","0.107667842872092","0.0936379700901107","0.121697715654073","2"
"Private health insurance","1999","Couple + C. GT 16 ","direct migration background","14","","","","2"
"Private health insurance","1999","Couple + C. LE 16 ","direct migration background","19","","","","2"
"Public health insurance","1999","1-pers.-HH","no migration background","1322","0.899554123887055","0.88418783022488","0.914920417549229","1"
"Public health insurance","1999","1-pers.-HH","direct migration background","158","0.905372265610036","0.861111770828586","0.949632760391485","1"
"Public health insurance","1999","1-pers.-HH","indirect migration background","51","0.844903601608873","0.754061408448127","0.935745794769618","1"
"Public health insurance","1999","(Married) couple without C. ","no migration background","3086","0.882387293698598","0.871682516783229","0.893092070613967","1"
"Public health insurance","1999","(Married) couple without C. ","direct migration background","559","0.93846201043352","0.918904476405433","0.958019544461606","1"
"Public health insurance","1999","(Married) couple without C. ","indirect migration background","78","0.932400020103691","0.87871132254433","0.986088717663052","1"
"Public health insurance","1999","Single parent ","no migration background","512","0.902537220181448","0.87806009005923","0.927014350303667","1"
"Public health insurance","1999","Single parent ","direct migration background","98","0.935569790123879","0.888155162229843","0.982984418017915","1"
"Public health insurance","1999","Single parent ","indirect migration background","52","1","1","1","1"
"Public health insurance","1999","Couple + C. LE 16 ","no migration background","2066","0.83984258949626","0.825020757075261","0.854664421917259","1"
"Public health insurance","1999","Couple + C. LE 16 ","direct migration background","563","0.937003460565628","0.917281832792697","0.95672508833856","1"
"Public health insurance","1999","Couple + C. LE 16 ","indirect migration background","96","0.969412078973817","0.935491778770148","1.00333237917749","1"
"Public health insurance","1999","Couple + C. GT 16 ","no migration background","1675","0.884402559978875","0.869929959989826","0.898875159967924","1"
"Public health insurance","1999","Couple + C. GT 16 ","direct migration background","424","0.925356645285723","0.900743836103595","0.949969454467851","1"
"Public health insurance","1999","Couple + C. GT 16 ","indirect migration background","184","0.941593175524908","0.908678147153679","0.974508203896136","1"
"Public health insurance","1999","Couple + C. LE and GT 16","no migration background","735","0.839336795624298","0.814606305167186","0.86406728608141","1"
"Public health insurance","1999","Couple + C. LE and GT 16","direct migration background","216","0.984869611700216","0.968665163390835","1.0010740600096","1"
"Public health insurance","1999","Couple + C. LE and GT 16","indirect migration background","98","0.996932039909411","0.986038021031115","1.00782605878771","1"
"Neither","2000","Couple + C. LE and GT 16","indirect migration background","","","","","3"
"Neither","2000","1-pers.-HH","direct migration background","2","","","","3"
"Neither","2000","Couple + C. LE and GT 16","no migration background","8","","","","3"
"Neither","2000","(Married) couple without C. ","indirect migration background","2","","","","3"
"Neither","2000","1-pers.-HH","indirect migration background","2","","","","3"
"Neither","2000","(Married) couple without C. ","no migration background","36","0.00527685346269528","0.00353515134229355","0.00701855558309701","3"
"Neither","2000","(Married) couple without C. ","direct migration background","9","","","","3"
"Neither","2000","Couple + C. GT 16 ","indirect migration background","4","","","","3"
"Neither","2000","Couple + C. LE and GT 16","direct migration background","1","","","","3"
"Neither","2000","1-pers.-HH","no migration background","16","","","","3"
"Neither","2000","Single parent ","no migration background","11","","","","3"
"Neither","2000","Single parent ","direct migration background","1","","","","3"
"Neither","2000","Single parent ","indirect migration background","","","","","3"
"Neither","2000","Couple + C. LE 16 ","no migration background","19","","","","3"
"Neither","2000","Couple + C. LE 16 ","direct migration background","4","","","","3"
"Neither","2000","Couple + C. LE 16 ","indirect migration background","","","","","3"
"Neither","2000","Couple + C. GT 16 ","no migration background","20","","","","3"
"Neither","2000","Couple + C. GT 16 ","direct migration background","","","","","3"
"Private health insurance","2000","(Married) couple without C. ","indirect migration background","9","","","","2"
"Private health insurance","2000","1-pers.-HH","indirect migration background","7","","","","2"
"Private health insurance","2000","(Married) couple without C. ","no migration background","770","0.11498685213877","0.10731793217239","0.122655772105151","2"
"Private health insurance","2000","(Married) couple without C. ","direct migration background","53","0.0799011276581307","0.0613316433274106","0.0984706119888508","2"
"Private health insurance","2000","Couple + C. LE 16 ","no migration background","552","0.145331153626551","0.134629109050526","0.156033198202576","2"
"Private health insurance","2000","Single parent ","no migration background","72","0.0805341872900934","0.063488493662771","0.0975798809174158","2"
"Private health insurance","2000","Single parent ","direct migration background","5","","","","2"
"Private health insurance","2000","Single parent ","indirect migration background","","","","","2"
"Private health insurance","2000","Couple + C. LE and GT 16","no migration background","182","0.133993514676411","0.116387092571704","0.151599936781119","2"
"Private health insurance","2000","Couple + C. LE and GT 16","indirect migration background","3","","","","2"
"Private health insurance","2000","Couple + C. LE and GT 16","direct migration background","6","","","","2"
"Private health insurance","2000","1-pers.-HH","direct migration background","17","","","","2"
"Private health insurance","2000","Couple + C. GT 16 ","indirect migration background","10","","","","2"
"Private health insurance","2000","1-pers.-HH","no migration background","345","0.112355948068611","0.101025002857762","0.123686893279459","2"
"Private health insurance","2000","Couple + C. GT 16 ","direct migration background","19","","","","2"
"Private health insurance","2000","Couple + C. LE 16 ","indirect migration background","8","","","","2"
