"ple0097","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Neither","1999","indirect migration background","higher vocational","","","","","3"
"Neither","1999","indirect migration background","higher education","1","","","","3"
"Neither","1999","indirect migration background","in school","","","","","3"
"Neither","1999","indirect migration background","inadequately","","","","","3"
"Neither","1999","indirect migration background","general elemantary","1","","","","3"
"Neither","1999","indirect migration background","middle vocational","5","","","","3"
"Neither","1999","indirect migration background","vocational + Abi","","","","","3"
"Neither","1999","no migration background","in school","1","","","","3"
"Neither","1999","no migration background","inadequately","","","","","3"
"Neither","1999","no migration background","general elemantary","8","","","","3"
"Neither","1999","no migration background","middle vocational","56","0.00994811371118204","0.00742771009152794","0.0124685173308362","3"
"Neither","1999","no migration background","vocational + Abi","4","","","","3"
"Neither","1999","no migration background","higher vocational","10","","","","3"
"Neither","1999","no migration background","higher education","13","","","","3"
"Neither","1999","direct migration background","in school","","","","","3"
"Neither","1999","direct migration background","inadequately","1","","","","3"
"Neither","1999","direct migration background","general elemantary","4","","","","3"
"Neither","1999","direct migration background","middle vocational","4","","","","3"
"Neither","1999","direct migration background","vocational + Abi","1","","","","3"
"Neither","1999","direct migration background","higher vocational","","","","","3"
"Neither","1999","direct migration background","higher education","","","","","3"
"Private health insurance","1999","no migration background","general elemantary","67","0.0417532098083042","0.032101822604784","0.0514045970118244","2"
"Private health insurance","1999","indirect migration background","in school","3","","","","2"
"Private health insurance","1999","indirect migration background","inadequately","","","","","2"
"Private health insurance","1999","indirect migration background","general elemantary","3","","","","2"
"Private health insurance","1999","indirect migration background","higher vocational","1","","","","2"
"Private health insurance","1999","indirect migration background","higher education","4","","","","2"
"Private health insurance","1999","no migration background","in school","45","0.256440410488405","0.200250903733838","0.312629917242972","2"
"Private health insurance","1999","no migration background","inadequately","1","","","","2"
"Private health insurance","1999","no migration background","higher vocational","104","0.172780283985965","0.145777525436818","0.199783042535112","2"
"Private health insurance","1999","no migration background","higher education","402","0.276336885557277","0.255468615496708","0.297205155617847","2"
"Private health insurance","1999","no migration background","middle vocational","458","0.0845384256146057","0.0774733325942105","0.091603518635001","2"
"Private health insurance","1999","no migration background","vocational + Abi","35","0.0984869909236509","0.0676208730006088","0.129353108846693","2"
"Private health insurance","1999","indirect migration background","middle vocational","8","","","","2"
"Private health insurance","1999","indirect migration background","vocational + Abi","2","","","","2"
"Private health insurance","1999","direct migration background","in school","1","","","","2"
"Private health insurance","1999","direct migration background","inadequately","2","","","","2"
"Private health insurance","1999","direct migration background","general elemantary","6","","","","2"
"Private health insurance","1999","direct migration background","middle vocational","19","","","","2"
"Private health insurance","1999","direct migration background","vocational + Abi","6","","","","2"
"Private health insurance","1999","direct migration background","higher vocational","4","","","","2"
"Private health insurance","1999","direct migration background","higher education","22","","","","2"
