"ple0097","year","sampreg","n","percent","lower_confidence","upper_confidence"
"Public health insurance","1999","West Germany","8813","0.871040899934664","0.864458811809044","0.877622988060285"
"Public health insurance","1999","East Germany","3622","0.954299211046558","0.947661947547078","0.960936474546039"
"Private health insurance","1999","West Germany","1056","0.119734304083478","0.113358505222284","0.126110102944672"
"Private health insurance","1999","East Germany","160","0.0401865601951231","0.0339446321390189","0.0464284882512274"
"Neither","1999","West Germany","91","0.00922479598185768","0.00734727684932166","0.0111023151143937"
"Neither","1999","East Germany","21","","",""
"Public health insurance","2000","West Germany","16012","0.870017892631435","0.865154814881838","0.874880970381032"
"Public health insurance","2000","East Germany","5555","0.950222332423776","0.94465916745063","0.955785497396921"
"Private health insurance","2000","West Germany","2236","0.123511500273246","0.118753415849584","0.128269584696908"
"Private health insurance","2000","East Germany","296","0.0471299758351907","0.0417092493837588","0.0525507022866225"
"Neither","2000","West Germany","121","0.00647060709531886","0.00531111388803797","0.00763010030259974"
"Neither","2000","East Germany","20","","",""
"Public health insurance","2001","West Germany","14427","0.867129358635094","0.861964538730606","0.872294178539581"
"Public health insurance","2001","East Germany","5162","0.943613329250583","0.937497740572416","0.94972891792875"
"Private health insurance","2001","West Germany","2058","0.125773143806647","0.120727637518884","0.13081865009441"
"Private health insurance","2001","East Germany","279","0.050708051085933","0.0448911541869398","0.0565249479849262"
"Neither","2001","West Germany","107","0.00709749755825885","0.00582016303570423","0.00837483208081347"
"Neither","2001","East Germany","24","","",""
"Public health insurance","2002","West Germany","14661","0.873934604015663","0.86904278146479","0.878826426566537"
"Public health insurance","2002","East Germany","5068","0.946889599817359","0.940939687382009","0.952839512252709"
"Private health insurance","2002","West Germany","2928","0.12159563517964","0.116779046993787","0.126412223365494"
"Private health insurance","2002","East Germany","369","0.0486613347103874","0.0429527204690642","0.0543699489517106"
"Neither","2002","West Germany","97","0.00446976080469646","0.00348664959010086","0.00545287201929205"
"Neither","2002","East Germany","20","","",""
"Public health insurance","2003","West Germany","14046","0.87378621624658","0.868779114388615","0.878793318104546"
"Public health insurance","2003","East Germany","4969","0.943292443833565","0.937105943614692","0.949478944052438"
"Private health insurance","2003","West Germany","2744","0.120041306168365","0.115140958001448","0.124941654335282"
"Private health insurance","2003","East Germany","379","0.0524293283097832","0.0464672957816905","0.0583913608378758"
"Neither","2003","West Germany","108","0.00617247758505465","0.00499157055311205","0.00735338461699725"
"Neither","2003","East Germany","21","","",""
"Public health insurance","2004","West Germany","13647","0.880143283631478","0.875160684155026","0.885125883107931"
"Public health insurance","2004","East Germany","4849","0.947556719763799","0.941513486290898","0.9535999532367"
"Private health insurance","2004","West Germany","2676","0.119856716368522","0.114874116892069","0.124839315844974"
"Private health insurance","2004","East Germany","378","0.0524432802362011","0.0464000467633004","0.0584865137091019"
"Neither","2004","West Germany","","","",""
"Neither","2004","East Germany","","","",""
"Public health insurance","2005","West Germany","12998","0.878189643054617","0.873051127261312","0.883328158847921"
"Public health insurance","2005","East Germany","4649","0.948123490832653","0.941976854917034","0.954270126748273"
"Private health insurance","2005","West Germany","2565","0.121810356945383","0.116671841152079","0.126948872738688"
"Private health insurance","2005","East Germany","352","0.0518765091673465","0.0457298732517269","0.0580231450829661"
"Neither","2005","West Germany","","","",""
"Neither","2005","East Germany","","","",""
"Public health insurance","2006","West Germany","13860","0.873220175248746","0.868165501314444","0.878274849183049"
"Public health insurance","2006","East Germany","4888","0.944049931127712","0.937838462432493","0.950261399822932"
"Private health insurance","2006","West Germany","2785","0.126779824751254","0.121725150816951","0.131834498685556"
"Private health insurance","2006","East Germany","371","0.0559500688722877","0.0497386001770683","0.062161537567507"
"Neither","2006","West Germany","","","",""
"Neither","2006","East Germany","","","",""
"Public health insurance","2007","West Germany","12850","0.873249720458576","0.867998458574988","0.878500982342163"
"Public health insurance","2007","East Germany","4618","0.938815572851976","0.932161774030396","0.945469371673556"
"Private health insurance","2007","West Germany","2569","0.126750279541424","0.121499017657837","0.132001541425012"
"Private health insurance","2007","East Germany","366","0.0611844271480242","0.054530628326444","0.0678382259696045"
"Neither","2007","West Germany","","","",""
"Neither","2007","East Germany","","","",""
"Public health insurance","2008","West Germany","12175","0.874867994668433","0.869501601164944","0.880234388171923"
"Public health insurance","2008","East Germany","4438","0.941162606848574","0.934493664794389","0.947831548902759"
"Private health insurance","2008","West Germany","2428","0.125132005331567","0.119765611828077","0.130498398835056"
"Private health insurance","2008","East Germany","345","0.0588373931514259","0.0521684510972409","0.065506335205611"
"Neither","2008","West Germany","","","",""
"Neither","2008","East Germany","","","",""
"Public health insurance","2009","West Germany","11256","0.870231614516586","0.864571508041458","0.875891720991714"
"Public health insurance","2009","East Germany","4225","0.933698546225842","0.926478577482335","0.940918514969348"
"Private health insurance","2009","West Germany","2285","0.129768385483414","0.124108279008286","0.135428491958542"
"Private health insurance","2009","East Germany","337","0.0663014537741585","0.0590814850306524","0.0735214225176647"
"Neither","2009","West Germany","","","",""
"Neither","2009","East Germany","","","",""
"Public health insurance","2010","West Germany","15730","0.869005977370253","0.864150316172862","0.873861638567644"
"Public health insurance","2010","East Germany","5073","0.931825478319066","0.925157113065085","0.938493843573046"
"Private health insurance","2010","West Germany","2817","0.130994022629747","0.126138361432356","0.135849683827138"
"Private health insurance","2010","East Germany","415","0.0681745216809341","0.0615061564269535","0.0748428869349148"
"Neither","2010","West Germany","","","",""
"Neither","2010","East Germany","","","",""
"Public health insurance","2011","West Germany","18785","0.864686398519837","0.860175530673615","0.86919726636606"
"Public health insurance","2011","East Germany","5850","0.93161930350535","0.925402550152115","0.937836056858584"
"Private health insurance","2011","West Germany","3304","0.135313601480163","0.13080273363394","0.139824469326385"
"Private health insurance","2011","East Germany","482","0.0683806964946502","0.0621639431414159","0.0745974498478846"
"Neither","2011","West Germany","","","",""
"Neither","2011","East Germany","","","",""
"Public health insurance","2012","West Germany","18298","0.864864746870576","0.86029526362277","0.869434230118383"
"Public health insurance","2012","East Germany","5729","0.931176555230635","0.9248736386022","0.93747947185907"
"Private health insurance","2012","West Germany","3204","0.135135253129424","0.130565769881617","0.13970473637723"
