"ple0097","year","e11103","sex","n","percent","lower_confidence","upper_confidence"
"Public health insurance","1999","Full Time","Male","3303","0.818690595892178","0.806586517119568","0.830794674664788"
"Public health insurance","1999","Full Time","Female","1783","0.898528251389861","0.885153670311623","0.9119028324681"
"Public health insurance","1999","Part Time","Male","902","0.880006454445802","0.859865967671779","0.900146941219824"
"Public health insurance","1999","Part Time","Female","1817","0.918345286596694","0.906184903841506","0.930505669351882"
"Public health insurance","1999","Not Working","Male","1608","0.90308341428057","0.889222494413743","0.916944334147397"
"Public health insurance","1999","Not Working","Female","3022","0.926688564740859","0.917678864014269","0.935698265467449"
"Private health insurance","1999","Full Time","Male","528","0.164186126037869","0.152547956188405","0.175824295887333"
"Private health insurance","1999","Full Time","Female","168","0.099015984103695","0.0857861942865333","0.112245773920857"
"Private health insurance","1999","Part Time","Male","88","0.109001553625034","0.0896861891107507","0.128316918139317"
"Private health insurance","1999","Part Time","Female","122","0.0754008302007589","0.0636756796388606","0.0871259807626572"
"Private health insurance","1999","Not Working","Male","129","0.0895730178578161","0.0761935071914563","0.102952528524176"
"Private health insurance","1999","Not Working","Female","181","0.0695288474818013","0.0607367686329967","0.0783209263306058"
"Neither","1999","Full Time","Male","61","0.0171232780699532","0.0130475551218964","0.0211990010180101"
"Neither","1999","Full Time","Female","7","","",""
"Neither","1999","Part Time","Male","10","","",""
"Neither","1999","Part Time","Female","9","","",""
"Neither","1999","Not Working","Male","13","","",""
"Neither","1999","Not Working","Female","12","","",""
"Public health insurance","2000","Full Time","Male","5585","0.814398425071348","0.805142099121933","0.823654751020764"
"Public health insurance","2000","Full Time","Female","2985","0.903307278761707","0.893237629269988","0.913376928253426"
"Public health insurance","2000","Part Time","Male","1418","0.892302006967591","0.876997134168691","0.907606879766491"
"Public health insurance","2000","Part Time","Female","3254","0.922811991551848","0.913990232528316","0.931633750575381"
"Public health insurance","2000","Not Working","Male","2989","0.899980399041262","0.88972838419878","0.910232413883745"
"Public health insurance","2000","Not Working","Female","5335","0.921952158686386","0.915030744719023","0.928873572653749"
"Private health insurance","2000","Full Time","Male","1134","0.177578600611141","0.16848005736012","0.186677143862162"
"Private health insurance","2000","Full Time","Female","319","0.0957744647203926","0.0857476507419776","0.105801278698808"
"Private health insurance","2000","Part Time","Male","140","0.0934695242586353","0.0790982193082325","0.107840829209038"
"Private health insurance","2000","Part Time","Female","254","0.0747536152833582","0.0660606397598771","0.0834465908068394"
"Private health insurance","2000","Not Working","Male","277","0.0932726059489742","0.0833353708232522","0.103209841074696"
"Private health insurance","2000","Not Working","Female","407","0.0733649371209812","0.0666373578464997","0.0800925163954627"
"Neither","2000","Full Time","Male","58","0.00802297431751068","0.0058990068708925","0.0101469417641289"
"Neither","2000","Full Time","Female","5","","",""
"Neither","2000","Part Time","Male","18","","",""
"Neither","2000","Part Time","Female","8","","",""
"Neither","2000","Not Working","Male","24","","",""
"Neither","2000","Not Working","Female","28","","",""
"Public health insurance","2001","Full Time","Male","5005","0.810070688617095","0.800216885151795","0.819924492082395"
"Public health insurance","2001","Full Time","Female","2697","0.900002786875734","0.889262383436756","0.910743190314712"
"Public health insurance","2001","Part Time","Male","1283","0.876494892488241","0.859519020979765","0.893470763996718"
"Public health insurance","2001","Part Time","Female","3146","0.921499171996649","0.912450668355693","0.930547675637605"
"Public health insurance","2001","Not Working","Male","2760","0.893350272521956","0.882395863988139","0.904304681055774"
"Public health insurance","2001","Not Working","Female","4698","0.921637868738761","0.914252142801615","0.929023594675907"
"Private health insurance","2001","Full Time","Male","1024","0.178520565123089","0.168900258496458","0.188140871749721"
"Private health insurance","2001","Full Time","Female","295","0.0990706544633235","0.0883746247150328","0.109766684211614"
"Private health insurance","2001","Part Time","Male","134","0.105960498876563","0.090079958497033","0.121841039256093"
"Private health insurance","2001","Part Time","Female","242","0.0769789270210237","0.0680111684681898","0.0859466855738576"
"Private health insurance","2001","Not Working","Male","268","0.0966465400783225","0.0861602906677472","0.107132789488898"
"Private health insurance","2001","Not Working","Female","374","0.0752909350883075","0.0680393354923152","0.0825425346842999"
"Neither","2001","Full Time","Male","58","0.0114087462598158","0.00874082024001801","0.0140766722796136"
"Neither","2001","Full Time","Female","5","","",""
"Neither","2001","Part Time","Male","26","","",""
"Neither","2001","Part Time","Female","6","","",""
"Neither","2001","Not Working","Male","22","","",""
"Neither","2001","Not Working","Female","14","","",""
"Public health insurance","2002","Full Time","Male","4940","0.815194099556361","0.80571809937126","0.824670099741462"
"Public health insurance","2002","Full Time","Female","2677","0.892489221521065","0.881663290406091","0.903315152636038"
"Public health insurance","2002","Part Time","Male","1323","0.892223968256234","0.876746356748192","0.907701579764275"
"Public health insurance","2002","Part Time","Female","3299","0.930507153575084","0.922322352347782","0.938691954802387"
"Public health insurance","2002","Not Working","Male","2840","0.904529858174433","0.894321050803336","0.914738665545531"
"Public health insurance","2002","Not Working","Female","4650","0.925415733777134","0.918219501701106","0.932611965853162"
"Private health insurance","2002","Full Time","Male","1444","0.176758375619156","0.167445360853148","0.186071390385164"
"Private health insurance","2002","Full Time","Female","462","0.105531910659899","0.094794190228424","0.116269631091374"
"Private health insurance","2002","Part Time","Male","207","0.101405463422365","0.0863387520715479","0.116472174773183"
"Private health insurance","2002","Part Time","Female","404","0.0689218543344327","0.0607682473958695","0.0770754612729958"
"Private health insurance","2002","Not Working","Male","326","0.0899523315636861","0.0800127510784029","0.0998919120489694"
"Private health insurance","2002","Not Working","Female","454","0.0715780468536649","0.0645168920477491","0.0786392016595806"
"Neither","2002","Full Time","Male","61","0.00804752482448274","0.00586623574338948","0.010228813905576"
"Neither","2002","Full Time","Female","6","","",""
"Neither","2002","Part Time","Male","12","","",""
"Neither","2002","Part Time","Female","5","","",""
"Neither","2002","Not Working","Male","17","","",""
"Neither","2002","Not Working","Female","16","","",""
"Public health insurance","2003","Full Time","Male","4577","0.809401078773175","0.799441118860702","0.819361038685647"
"Public health insurance","2003","Full Time","Female","2512","0.897822272191807","0.886885100556027","0.908759443827586"
"Public health insurance","2003","Part Time","Male","1342","0.908565083360863","0.894174419479288","0.922955747242438"
"Public health insurance","2003","Part Time","Female","3199","0.920558908055111","0.911720243650363","0.929397572459859"
"Public health insurance","2003","Not Working","Male","2839","0.897311570252928","0.886789306996355","0.907833833509501"
