"ple0097","year","migback","regtyp","n","percent","lower_confidence","upper_confidence"
"Public health insurance","1999","no migration background","Urban Area","5762","0.860492848953507","0.852161068213771","0.868824629693243"
"Public health insurance","1999","no migration background","Rural Area","3945","0.909898415797561","0.901325366010947","0.918471465584175"
"Public health insurance","1999","direct migration background","Urban Area","1804","0.942154663773722","0.931565267319767","0.952744060227677"
"Public health insurance","1999","direct migration background","Rural Area","344","0.90757715021561","0.877491836365249","0.937662464065972"
"Public health insurance","1999","indirect migration background","Urban Area","495","0.941754276748922","0.921720203327028","0.961788350170815"
"Public health insurance","1999","indirect migration background","Rural Area","85","0.979653461084984","0.949986710870571","1.0093202112994"
"Private health insurance","1999","no migration background","Urban Area","823","0.131115992614919","0.122999382214337","0.139232603015502"
"Private health insurance","1999","no migration background","Rural Area","304","0.0806861050104075","0.0725314805490171","0.0888407294717979"
"Private health insurance","1999","direct migration background","Urban Area","56","0.052751255963713","0.0426115735353567","0.0628909383920693"
"Private health insurance","1999","direct migration background","Rural Area","9","","",""
"Private health insurance","1999","indirect migration background","Urban Area","23","","",""
"Private health insurance","1999","indirect migration background","Rural Area","1","","",""
"Neither","1999","no migration background","Urban Area","58","0.00839115843157364","0.00619761054124991","0.0105847063218974"
"Neither","1999","no migration background","Rural Area","36","0.00941547919203162","0.0065238695748657","0.0123070888091975"
"Neither","1999","direct migration background","Urban Area","7","","",""
"Neither","1999","direct migration background","Rural Area","3","","",""
"Neither","1999","indirect migration background","Urban Area","7","","",""
"Neither","1999","indirect migration background","Rural Area","1","","",""
"Public health insurance","2000","no migration background","Urban Area","10670","0.858391448924789","0.852266736075187","0.86451616177439"
"Public health insurance","2000","no migration background","Rural Area","6928","0.908797573176342","0.90233263488955","0.915262511463134"
"Public health insurance","2000","direct migration background","Urban Area","2639","0.940435569472078","0.93162329838724","0.949247840556916"
"Public health insurance","2000","direct migration background","Rural Area","544","0.92204420992024","0.90007319404695","0.944015225793531"
"Public health insurance","2000","indirect migration background","Urban Area","680","0.936049121108653","0.918190289705957","0.953907952511349"
"Public health insurance","2000","indirect migration background","Rural Area","106","0.964066405162082","0.929284324619946","0.998848485704218"
"Private health insurance","2000","no migration background","Urban Area","1705","0.135999999365087","0.129978222958558","0.142021775771617"
"Private health insurance","2000","no migration background","Rural Area","652","0.0869796438892324","0.0806514955689907","0.0933077922094741"
"Private health insurance","2000","direct migration background","Urban Area","118","0.053501184374727","0.0451225823242766","0.0618797864251773"
"Private health insurance","2000","direct migration background","Rural Area","20","","",""
"Private health insurance","2000","indirect migration background","Urban Area","34","0.0490013743955029","0.0332443381514329","0.0647584106395729"
"Private health insurance","2000","indirect migration background","Rural Area","3","","",""
"Neither","2000","no migration background","Urban Area","73","0.00560855171012424","0.00429664680534278","0.00692045661490569"
"Neither","2000","no migration background","Rural Area","38","0.00422278293442531","0.00276662634933702","0.00567893951951361"
"Neither","2000","direct migration background","Urban Area","14","","",""
"Neither","2000","direct migration background","Rural Area","8","","",""
"Neither","2000","indirect migration background","Urban Area","7","","",""
"Neither","2000","indirect migration background","Rural Area","1","","",""
"Public health insurance","2001","no migration background","Urban Area","9757","0.853663025870124","0.847178929991414","0.860147121748835"
"Public health insurance","2001","no migration background","Rural Area","6305","0.908815215535668","0.902033139584132","0.915597291487203"
"Public health insurance","2001","direct migration background","Urban Area","2311","0.93655962717057","0.926874002935469","0.946245251405671"
"Public health insurance","2001","direct migration background","Rural Area","487","0.924522237181561","0.901640905274923","0.947403569088199"
"Public health insurance","2001","indirect migration background","Urban Area","634","0.921898632209566","0.901685916772354","0.942111347646777"
"Public health insurance","2001","indirect migration background","Rural Area","95","0.956521815282752","0.916552083644098","0.996491546921407"
"Private health insurance","2001","no migration background","Urban Area","1590","0.140215696507282","0.133845948819217","0.146585444195348"
"Private health insurance","2001","no migration background","Rural Area","574","0.0837595279076441","0.0772329502099258","0.0902861056053624"
"Private health insurance","2001","direct migration background","Urban Area","108","0.0559889655123068","0.0468537921499031","0.0651241388747105"
"Private health insurance","2001","direct migration background","Rural Area","23","","",""
"Private health insurance","2001","indirect migration background","Urban Area","38","0.0609228512217508","0.042905352364135","0.0789403500793665"
"Private health insurance","2001","indirect migration background","Rural Area","4","","",""
"Neither","2001","no migration background","Urban Area","67","0.00612127762259334","0.00469035255525916","0.00755220268992752"
"Neither","2001","no migration background","Rural Area","42","0.00742525655668827","0.00540269844528518","0.00944781466809137"
"Neither","2001","direct migration background","Urban Area","14","","",""
"Neither","2001","direct migration background","Rural Area","2","","",""
"Neither","2001","indirect migration background","Urban Area","5","","",""
"Neither","2001","indirect migration background","Rural Area","1","","",""
"Public health insurance","2002","no migration background","Urban Area","10107","0.860353155165315","0.854264800882535","0.866441509448096"
"Public health insurance","2002","no migration background","Rural Area","6263","0.909984295421793","0.903321410263481","0.916647180580104"
"Public health insurance","2002","direct migration background","Urban Area","2188","0.945904145459891","0.936731022203843","0.95507726871594"
"Public health insurance","2002","direct migration background","Rural Area","450","0.945951922505734","0.925807720514075","0.966096124497393"
"Public health insurance","2002","indirect migration background","Urban Area","633","0.932083048458681","0.913268832728806","0.950897264188556"
"Public health insurance","2002","indirect migration background","Rural Area","88","0.945188223526369","0.899892383954306","0.990484063098432"
"Private health insurance","2002","no migration background","Urban Area","2286","0.135703343900468","0.129687830958167","0.141718856842769"
"Private health insurance","2002","no migration background","Rural Area","779","0.084397746440615","0.0779262444627141","0.0908692484185158"
"Private health insurance","2002","direct migration background","Urban Area","142","0.0505791019495775","0.0416926863129282","0.0594655175862268"
"Private health insurance","2002","direct migration background","Rural Area","32","0.0530884269676714","0.0331137368253714","0.0730631171099714"
"Private health insurance","2002","indirect migration background","Urban Area","49","0.0571943904801904","0.0398300809248452","0.0745587000355355"
"Private health insurance","2002","indirect migration background","Rural Area","9","","",""
"Neither","2002","no migration background","Urban Area","58","0.00394350093421669","0.0028426489355815","0.00504435293285188"
"Neither","2002","no migration background","Rural Area","46","0.00561795813759247","0.00387794662320916","0.00735796965197578"
"Neither","2002","direct migration background","Urban Area","6","","",""
"Neither","2002","direct migration background","Rural Area","2","","",""
"Neither","2002","indirect migration background","Urban Area","5","","",""
"Neither","2002","indirect migration background","Rural Area","","","",""
"Public health insurance","2003","no migration background","Urban Area","9804","0.858536272086705","0.852314409675857","0.864758134497553"
"Public health insurance","2003","no migration background","Rural Area","6001","0.9087752044309","0.901923638277624","0.915626770584175"
"Public health insurance","2003","direct migration background","Urban Area","2053","0.949842089671377","0.9406816634612","0.959002515881553"
"Public health insurance","2003","direct migration background","Rural Area","433","0.944732065086132","0.923895887514102","0.965568242658162"
"Public health insurance","2003","indirect migration background","Urban Area","632","0.930934438865319","0.911973491037599","0.949895386693038"
"Public health insurance","2003","indirect migration background","Rural Area","92","0.954427276847734","0.913753798386462","0.995100755309007"
"Private health insurance","2003","no migration background","Urban Area","2183","0.136762807621179","0.130628470984773","0.142897144257585"
"Private health insurance","2003","no migration background","Rural Area","738","0.0838417974914684","0.0772467079120326","0.0904368870709041"
"Private health insurance","2003","direct migration background","Urban Area","116","0.0439883833678146","0.0353819969084187","0.0525947698272105"
"Private health insurance","2003","direct migration background","Rural Area","28","","",""
"Private health insurance","2003","indirect migration background","Urban Area","49","0.0534701487398059","0.0366475697519209","0.0702927277276908"
"Private health insurance","2003","indirect migration background","Rural Area","9","","",""
"Neither","2003","no migration background","Urban Area","65","0.00470092029211611","0.00347972035154841","0.00592212023268382"
"Neither","2003","no migration background","Rural Area","45","0.00738299807763214","0.00534589781901824","0.00942009833624605"
"Neither","2003","direct migration background","Urban Area","12","","",""
"Neither","2003","direct migration background","Rural Area","1","","",""
"Neither","2003","indirect migration background","Urban Area","6","","",""
"Neither","2003","indirect migration background","Rural Area","","","",""
"Public health insurance","2004","no migration background","Urban Area","9505","0.864795527815333","0.858580966465271","0.871010089165395"
"Public health insurance","2004","no migration background","Rural Area","5853","0.912430332144125","0.905599433131979","0.919261231156271"
"Public health insurance","2004","direct migration background","Urban Area","1982","0.956681037062672","0.947972113475132","0.965389960650213"
"Public health insurance","2004","direct migration background","Rural Area","414","0.937037665201197","0.91439352200461","0.959681808397783"
"Public health insurance","2004","indirect migration background","Urban Area","634","0.946072760094625","0.929157870369102","0.962987649820149"
"Public health insurance","2004","indirect migration background","Rural Area","108","0.973055472271834","0.943589336608209","1.00252160793546"
"Private health insurance","2004","no migration background","Urban Area","2125","0.135204472184667","0.128989910834605","0.141419033534729"
"Private health insurance","2004","no migration background","Rural Area","725","0.0875696678558748","0.0807387688437286","0.094400566868021"
"Private health insurance","2004","direct migration background","Urban Area","117","0.0433189629373276","0.0346100393497875","0.0520278865248678"
"Private health insurance","2004","direct migration background","Rural Area","28","","",""
"Private health insurance","2004","indirect migration background","Urban Area","51","0.0539272399053745","0.0370123501798513","0.0708421296308978"
"Private health insurance","2004","indirect migration background","Rural Area","8","","",""
"Neither","2004","no migration background","Urban Area","","","",""
"Neither","2004","no migration background","Rural Area","","","",""
"Neither","2004","direct migration background","Urban Area","","","",""
"Neither","2004","direct migration background","Rural Area","","","",""
"Neither","2004","indirect migration background","Urban Area","","","",""
"Neither","2004","indirect migration background","Rural Area","","","",""
"Public health insurance","2005","no migration background","Urban Area","9073","0.863458996332723","0.857073390459245","0.8698446022062"
"Public health insurance","2005","no migration background","Rural Area","5594","0.908143683344577","0.900996949140764","0.91529041754839"
"Public health insurance","2005","direct migration background","Urban Area","1839","0.952768318458558","0.943364915053251","0.962171721863865"
"Public health insurance","2005","direct migration background","Rural Area","380","0.945418325599532","0.923294714545282","0.967541936653782"
"Public health insurance","2005","indirect migration background","Urban Area","661","0.951031117806516","0.93523515974103","0.966827075872003"
"Public health insurance","2005","indirect migration background","Rural Area","100","0.974230432029242","0.944067082064753","1.00439378199373"
"Private health insurance","2005","no migration background","Urban Area","2034","0.136541003667277","0.1301553977938","0.142926609540755"
"Private health insurance","2005","no migration background","Rural Area","680","0.0918563166554229","0.08470958245161","0.0990030508592359"
"Private health insurance","2005","direct migration background","Urban Area","116","0.0472316815414422","0.0378282781361351","0.0566350849467492"
"Private health insurance","2005","direct migration background","Rural Area","25","","",""
"Private health insurance","2005","indirect migration background","Urban Area","56","0.0489688821934836","0.0331729241279972","0.0647648402589701"
"Private health insurance","2005","indirect migration background","Rural Area","6","","",""
"Neither","2005","no migration background","Urban Area","","","",""
"Neither","2005","no migration background","Rural Area","","","",""
"Neither","2005","direct migration background","Urban Area","","","",""
"Neither","2005","direct migration background","Rural Area","","","",""
"Neither","2005","indirect migration background","Urban Area","","","",""
"Neither","2005","indirect migration background","Rural Area","","","",""
