"year","education","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","college entrance qualification","direct migration background","6.05","6","266","5","5.67","6.67","7","7","5.95","6.15","2.33","7","6","6.33333349227905"
"2005","college entrance qualification","indirect migration background","5.43","5.67","197","4","4.67","6.33","6.67","7","5.29","5.57","2.67","7","5.66666650772095","6"
"2005","college entrance qualification","no migration background","5.77","6","4738","4.67","5","6.67","7","7","5.74","5.8","1.33","7","6","6"
"2005","lower secondary degree","direct migration background","5.93","6.33","598","4.5","5.33","6.67","7","7","5.85","6.01","1.33","7","6","6.33333349227905"
"2005","lower secondary degree","indirect migration background","5.82","6","254","4.67","5.33","6.67","7","7","5.69","5.95","1","7","6","6.33333349227905"
"2005","lower secondary degree","no migration background","5.98","6.33","6245","4.67","5.33","6.67","7","7","5.96","6","1","7","6","6.33333349227905"
"2005","no degree/no degree yet","direct migration background","5.71","6","219","4.33","5","6.33","7","7","5.57","5.85","2","7","5.66666650772095","6"
"2005","no degree/no degree yet","indirect migration background","5.09","5.33","98","3.33","4","6.33","7","7","4.86","5.32","1.67","7","4.33333349227905","5.33333349227905"
"2005","no degree/no degree yet","no migration background","5.14","5.33","586","3.67","4.33","6","6.67","7","5.05","5.23","1","7","5","5.33333349227905"
"2005","Other degree","direct migration background","5.96","6.33","993","4.67","5.33","6.67","7","7","5.9","6.02","2.67","7","6","6.33333349227905"
"2005","Other degree","indirect migration background","","","","","","","","","","","","","",""
"2005","Other degree","no migration background","5.78","6","110","4.33","5","6.67","7","7","5.58","5.98","2.67","7","5.66666650772095","6.33333349227905"
"2005","secondary school degree","direct migration background","5.83","6","241","4.33","5","6.67","7","7","5.72","5.94","2","7","6","6.33333349227905"
"2005","secondary school degree","indirect migration background","5.78","5.98","203","4.67","5.33","6.67","7","7","5.66","5.9","2.5","7","6","6.33333349227905"
"2005","secondary school degree","no migration background","5.99","6","5582","4.67","5.33","6.67","7","7","5.97","6.01","1","7","6","6.33333349227905"
"2006","college entrance qualification","direct migration background","","","","","","","","","","","","","",""
"2006","college entrance qualification","indirect migration background","","","","","","","","","","","","","",""
"2006","college entrance qualification","no migration background","","","","","","","","","","","","","",""
"2006","lower secondary degree","direct migration background","","","","","","","","","","","","","",""
"2006","lower secondary degree","indirect migration background","","","","","","","","","","","","","",""
"2006","lower secondary degree","no migration background","","","","","","","","","","","","","",""
"2006","no degree/no degree yet","direct migration background","","","","","","","","","","","","","",""
"2006","no degree/no degree yet","indirect migration background","","","","","","","","","","","","","",""
"2006","no degree/no degree yet","no migration background","","","","","","","","","","","","","",""
"2006","Other degree","direct migration background","","","","","","","","","","","","","",""
"2006","Other degree","indirect migration background","","","","","","","","","","","","","",""
"2006","Other degree","no migration background","","","","","","","","","","","","","",""
"2006","secondary school degree","direct migration background","","","","","","","","","","","","","",""
"2006","secondary school degree","indirect migration background","","","","","","","","","","","","","",""
"2006","secondary school degree","no migration background","","","","","","","","","","","","","",""
"2007","college entrance qualification","direct migration background","","","","","","","","","","","","","",""
"2007","college entrance qualification","indirect migration background","","","","","","","","","","","","","",""
"2007","college entrance qualification","no migration background","","","","","","","","","","","","","",""
"2007","lower secondary degree","direct migration background","","","","","","","","","","","","","",""
"2007","lower secondary degree","indirect migration background","","","","","","","","","","","","","",""
"2007","lower secondary degree","no migration background","","","","","","","","","","","","","",""
"2007","no degree/no degree yet","direct migration background","","","","","","","","","","","","","",""
"2007","no degree/no degree yet","indirect migration background","","","","","","","","","","","","","",""
"2007","no degree/no degree yet","no migration background","","","","","","","","","","","","","",""
"2007","Other degree","direct migration background","","","","","","","","","","","","","",""
"2007","Other degree","indirect migration background","","","","","","","","","","","","","",""
"2007","Other degree","no migration background","","","","","","","","","","","","","",""
"2007","secondary school degree","direct migration background","","","","","","","","","","","","","",""
"2007","secondary school degree","indirect migration background","","","","","","","","","","","","","",""
"2007","secondary school degree","no migration background","","","","","","","","","","","","","",""
"2008","college entrance qualification","direct migration background","","","","","","","","","","","","","",""
"2008","college entrance qualification","indirect migration background","","","","","","","","","","","","","",""
"2008","college entrance qualification","no migration background","","","","","","","","","","","","","",""
"2008","lower secondary degree","direct migration background","","","","","","","","","","","","","",""
"2008","lower secondary degree","indirect migration background","","","","","","","","","","","","","",""
"2008","lower secondary degree","no migration background","","","","","","","","","","","","","",""
"2008","no degree/no degree yet","direct migration background","","","","","","","","","","","","","",""
"2008","no degree/no degree yet","indirect migration background","","","","","","","","","","","","","",""
"2008","no degree/no degree yet","no migration background","","","","","","","","","","","","","",""
"2008","Other degree","direct migration background","","","","","","","","","","","","","",""
"2008","Other degree","indirect migration background","","","","","","","","","","","","","",""
"2008","Other degree","no migration background","","","","","","","","","","","","","",""
"2008","secondary school degree","direct migration background","","","","","","","","","","","","","",""
"2008","secondary school degree","indirect migration background","","","","","","","","","","","","","",""
"2008","secondary school degree","no migration background","","","","","","","","","","","","","",""
"2009","college entrance qualification","direct migration background","5.82","6","224","4.67","5.33","6.67","7","7","5.7","5.94","3.33","7","5.66666650772095","6"
"2009","college entrance qualification","indirect migration background","5.53","5.67","182","4","5","6.33","6.67","7","5.38","5.68","1.33","7","5.66666650772095","6"
"2009","college entrance qualification","no migration background","5.63","5.67","4489","4.33","5","6.33","7","7","5.6","5.66","1.33","7","5.66666650772095","6"
"2009","lower secondary degree","direct migration background","5.88","6","410","4.5","5.33","6.67","7","7","5.79","5.97","2","7","6","6.33333349227905"
"2009","lower secondary degree","indirect migration background","5.92","6","207","4.67","5.33","6.67","7","7","5.79","6.05","2.67","7","6","6.33333349227905"
"2009","lower secondary degree","no migration background","5.86","6","5318","4.33","5.33","6.67","7","7","5.83","5.89","1","7","6","6"
"2009","no degree/no degree yet","direct migration background","5.8","6","113","4.33","5","6.67","7","7","5.6","6","1","7","5.66666650772095","6.33333349227905"
"2009","no degree/no degree yet","indirect migration background","4.99","5.33","56","3","4","6.33","6.67","7","4.64","5.34","2","7","4.66666650772095","5.66666650772095"
"2009","no degree/no degree yet","no migration background","4.97","5","317","3.67","4","6","6.67","7","4.84","5.1","1","7","5","5.33333349227905"
"2009","Other degree","direct migration background","5.87","6","682","4.67","5.33","6.67","7","7","5.8","5.94","1","7","6","6"
"2009","Other degree","indirect migration background","","","","","","","","","","","","","",""
"2009","Other degree","no migration background","5.54","5.67","109","3.67","4.67","6.67","6.67","7","5.32","5.76","2.33","7","5.66666650772095","6.33333349227905"
"2009","secondary school degree","direct migration background","5.78","6","181","4","5.33","6.67","7","7","5.64","5.92","3","7","5.66666650772095","6"
"2009","secondary school degree","indirect migration background","5.8","5.67","174","4.67","5.33","6.67","7","7","5.66","5.94","3","7","5.66666650772095","6"
"2009","secondary school degree","no migration background","5.87","6","5061","4.67","5.33","6.67","7","7","5.85","5.89","1.33","7","6","6"
"2010","college entrance qualification","direct migration background","","","","","","","","","","","","","",""
"2010","college entrance qualification","indirect migration background","","","","","","","","","","","","","",""
"2010","college entrance qualification","no migration background","","","","","","","","","","","","","",""
"2010","lower secondary degree","direct migration background","","","","","","","","","","","","","",""
"2010","lower secondary degree","indirect migration background","","","","","","","","","","","","","",""
"2010","lower secondary degree","no migration background","","","","","","","","","","","","","",""
"2010","no degree/no degree yet","direct migration background","","","","","","","","","","","","","",""
"2010","no degree/no degree yet","indirect migration background","","","","","","","","","","","","","",""
"2010","no degree/no degree yet","no migration background","","","","","","","","","","","","","",""
"2010","Other degree","direct migration background","","","","","","","","","","","","","",""
"2010","Other degree","indirect migration background","","","","","","","","","","","","","",""
"2010","Other degree","no migration background","","","","","","","","","","","","","",""
"2010","secondary school degree","direct migration background","","","","","","","","","","","","","",""
"2010","secondary school degree","indirect migration background","","","","","","","","","","","","","",""
"2010","secondary school degree","no migration background","","","","","","","","","","","","","",""
"2011","college entrance qualification","direct migration background","","","","","","","","","","","","","",""
"2011","college entrance qualification","indirect migration background","","","","","","","","","","","","","",""
"2011","college entrance qualification","no migration background","","","","","","","","","","","","","",""
"2011","lower secondary degree","direct migration background","","","","","","","","","","","","","",""
"2011","lower secondary degree","indirect migration background","","","","","","","","","","","","","",""
"2011","lower secondary degree","no migration background","","","","","","","","","","","","","",""
"2011","no degree/no degree yet","direct migration background","","","","","","","","","","","","","",""
"2011","no degree/no degree yet","indirect migration background","","","","","","","","","","","","","",""
"2011","no degree/no degree yet","no migration background","","","","","","","","","","","","","",""
"2011","Other degree","direct migration background","","","","","","","","","","","","","",""
"2011","Other degree","indirect migration background","","","","","","","","","","","","","",""
"2011","Other degree","no migration background","","","","","","","","","","","","","",""
"2011","secondary school degree","direct migration background","","","","","","","","","","","","","",""
