"year","migback","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","direct migration background","Rural Area","5.99","6.33","404","4.67","5.33","6.67","7","7","5.9","6.08","2","7","6","6.33333349227905"
"2005","direct migration background","Urban Area","5.9","6","1965","4.33","5.33","6.67","7","7","5.86","5.94","1.33","7","6","6.33333349227905"
"2005","indirect migration background","Rural Area","5.67","5.9","107","4.33","5","6.67","7","7","5.44","5.9","1.33","7","5.33333349227905","6"
"2005","indirect migration background","Urban Area","5.59","5.67","725","4","5","6.33","7","7","5.51","5.67","1","7","5.66666650772095","6"
"2005","no migration background","Rural Area","5.93","6","6344","4.67","5.33","6.67","7","7","5.91","5.95","1","7","6","6"
"2005","no migration background","Urban Area","5.88","6","11190","4.67","5.33","6.67","7","7","5.86","5.9","1","7","6","6"
"2006","direct migration background","Rural Area","","","","","","","","","","","","","",""
"2006","direct migration background","Urban Area","","","","","","","","","","","","","",""
"2006","indirect migration background","Rural Area","","","","","","","","","","","","","",""
"2006","indirect migration background","Urban Area","","","","","","","","","","","","","",""
"2006","no migration background","Rural Area","","","","","","","","","","","","","",""
"2006","no migration background","Urban Area","","","","","","","","","","","","","",""
"2007","direct migration background","Rural Area","","","","","","","","","","","","","",""
"2007","direct migration background","Urban Area","","","","","","","","","","","","","",""
"2007","indirect migration background","Rural Area","","","","","","","","","","","","","",""
"2007","indirect migration background","Urban Area","","","","","","","","","","","","","",""
"2007","no migration background","Rural Area","","","","","","","","","","","","","",""
"2007","no migration background","Urban Area","","","","","","","","","","","","","",""
"2008","direct migration background","Rural Area","","","","","","","","","","","","","",""
"2008","direct migration background","Urban Area","","","","","","","","","","","","","",""
"2008","indirect migration background","Rural Area","","","","","","","","","","","","","",""
"2008","indirect migration background","Urban Area","","","","","","","","","","","","","",""
"2008","no migration background","Rural Area","","","","","","","","","","","","","",""
"2008","no migration background","Urban Area","","","","","","","","","","","","","",""
"2009","direct migration background","Rural Area","5.85","6","315","4.33","5.33","6.67","7","7","5.74","5.96","1","7","6","6.33333349227905"
"2009","direct migration background","Urban Area","5.83","6","1340","4.33","5.33","6.67","7","7","5.78","5.88","1","7","6","6"
"2009","indirect migration background","Rural Area","5.79","6","118","3.67","5","7","7","7","5.59","5.99","3","7","5.33333349227905","6"
"2009","indirect migration background","Urban Area","5.62","5.67","595","4.33","5","6.33","7","7","5.54","5.7","1.33","7","5.66666650772095","6"
"2009","no migration background","Rural Area","5.8","6","5801","4.33","5.33","6.67","7","7","5.78","5.82","1","7","6","6"
"2009","no migration background","Urban Area","5.75","6","9874","4.33","5","6.67","7","7","5.73","5.77","1.33","7","6","6"
"2010","direct migration background","Rural Area","","","","","","","","","","","","","",""
"2010","direct migration background","Urban Area","","","","","","","","","","","","","",""
"2010","indirect migration background","Rural Area","","","","","","","","","","","","","",""
"2010","indirect migration background","Urban Area","","","","","","","","","","","","","",""
"2010","no migration background","Rural Area","","","","","","","","","","","","","",""
"2010","no migration background","Urban Area","","","","","","","","","","","","","",""
"2011","direct migration background","Rural Area","","","","","","","","","","","","","",""
"2011","direct migration background","Urban Area","","","","","","","","","","","","","",""
"2011","indirect migration background","Rural Area","","","","","","","","","","","","","",""
"2011","indirect migration background","Urban Area","","","","","","","","","","","","","",""
"2011","no migration background","Rural Area","","","","","","","","","","","","","",""
"2011","no migration background","Urban Area","","","","","","","","","","","","","",""
"2012","direct migration background","Rural Area","5.98","6","300","4.67","5.33","6.67","7","7","5.87","6.09","2.67","7","6","6.33333349227905"
"2012","direct migration background","Urban Area","5.91","6","791","4.67","5.33","6.67","7","7","5.84","5.98","2.33","7","6","6"
"2012","indirect migration background","Rural Area","5.78","6","98","4.33","5","6.67","7","7","5.58","5.98","3.33","7","5.66666650772095","6.33333349227905"
"2012","indirect migration background","Urban Area","5.62","5.67","386","4.33","5","6.33","7","7","5.51","5.73","1.33","7","5.66666650772095","6"
"2012","no migration background","Rural Area","5.85","6","2285","4.67","5.33","6.67","7","7","5.81","5.89","2.33","7","6","6"
"2012","no migration background","Urban Area","5.79","6","3271","4.67","5.33","6.67","7","7","5.76","5.82","1","7","6","6"
"2013","direct migration background","Rural Area","5.99","6","392","5","5.33","6.67","7","7","5.9","6.08","2.67","7","6","6.33333349227905"
"2013","direct migration background","Urban Area","5.84","6","1293","4.5","5.33","6.67","7","7","5.79","5.89","1","7","6","6"
"2013","indirect migration background","Rural Area","5.61","6","136","3.33","5","6.67","7","7","5.43","5.79","1","7","5.66666650772095","6.33333349227905"
"2013","indirect migration background","Urban Area","5.61","5.67","579","4.33","5","6.33","7","7","5.53","5.69","2.33","7","5.66666650772095","6"
"2013","no migration background","Rural Area","5.88","6","6133","4.67","5.33","6.67","7","7","5.86","5.9","1.33","7","6","6"
