"year","age_gr","education","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","16-34 y.","college entrance qualification","5.57","5.67","1579","4.33333349227905","5","6.33333349227905","6.66666650772095","5.52","5.62","5.66666650772095","5.66666650772095"
"2005","16-34 y.","lower secondary degree","5.75","6","949","4.33333349227905","5","6.66666650772095","7","5.68","5.82","5.66666650772095","6"
"2005","16-34 y.","no degree/no degree yet","5.06","5","693","3.66666674613953","4","6","6.66666650772095","4.98","5.14","5","5.33333349227905"
"2005","16-34 y.","Other degree","5.69","5.67","156","4.33333349227905","5","6.33333349227905","7","5.53","5.85","5.66666650772095","6"
"2005","16-34 y.","secondary school degree","5.84","6","1613","4.66666650772095","5.33333349227905","6.66666650772095","7","5.8","5.88","6","6"
"2005","35-65 y.","college entrance qualification","5.87","6","3054","4.66666650772095","5.33333349227905","6.66666650772095","7","5.84","5.9","6","6"
"2005","35-65 y.","lower secondary degree","6.05","6.33","3722","4.66666650772095","5.66666650772095","6.66666650772095","7","6.02","6.08","6.33333349227905","6.33333349227905"
"2005","35-65 y.","no degree/no degree yet","5.83","6","145","4.66666650772095","5.33333349227905","6.66666650772095","7","5.66","6","6","6.33333349227905"
"2005","35-65 y.","Other degree","6.01","6.33","790","4.66666650772095","5.33333349227905","7","7","5.94","6.08","6","6.33333349227905"
"2005","35-65 y.","secondary school degree","6.05","6.33","3869","5","5.66666650772095","6.66666650772095","7","6.02","6.08","6.33333349227905","6.33333349227905"
"2005","66 and older","college entrance qualification","5.94","6","568","4.66666650772095","5.33333349227905","6.66666650772095","7","5.86","6.02","6","6.33333349227905"
"2005","66 and older","lower secondary degree","5.93","6","2426","4.66666650772095","5.33333349227905","6.66666650772095","7","5.89","5.97","6","6.33333349227905"
"2005","66 and older","no degree/no degree yet","5.73","6.04","65","4","5","6.66666650772095","7","5.42","6.04","5.33333349227905","6.33333349227905"
"2005","66 and older","Other degree","5.89","6.33","175","4","5.33333349227905","6.66666650772095","7","5.73","6.05","5.66666650772095","6.33333349227905"
"2005","66 and older","secondary school degree","5.94","6","544","4.66666650772095","5.33333349227905","6.66666650772095","7","5.86","6.02","6","6.33333349227905"
"2006","16-34 y.","college entrance qualification","","","","","","","","","","",""
"2006","16-34 y.","lower secondary degree","","","","","","","","","","",""
"2006","16-34 y.","no degree/no degree yet","","","","","","","","","","",""
"2006","16-34 y.","Other degree","","","","","","","","","","",""
"2006","16-34 y.","secondary school degree","","","","","","","","","","",""
"2006","35-65 y.","college entrance qualification","","","","","","","","","","",""
"2006","35-65 y.","lower secondary degree","","","","","","","","","","",""
"2006","35-65 y.","no degree/no degree yet","","","","","","","","","","",""
"2006","35-65 y.","Other degree","","","","","","","","","","",""
"2006","35-65 y.","secondary school degree","","","","","","","","","","",""
"2006","66 and older","college entrance qualification","","","","","","","","","","",""
"2006","66 and older","lower secondary degree","","","","","","","","","","",""
"2006","66 and older","no degree/no degree yet","","","","","","","","","","",""
"2006","66 and older","Other degree","","","","","","","","","","",""
"2006","66 and older","secondary school degree","","","","","","","","","","",""
"2007","16-34 y.","college entrance qualification","","","","","","","","","","",""
"2007","16-34 y.","lower secondary degree","","","","","","","","","","",""
"2007","16-34 y.","no degree/no degree yet","","","","","","","","","","",""
"2007","16-34 y.","Other degree","","","","","","","","","","",""
"2007","16-34 y.","secondary school degree","","","","","","","","","","",""
"2007","35-65 y.","college entrance qualification","","","","","","","","","","",""
"2007","35-65 y.","lower secondary degree","","","","","","","","","","",""
"2007","35-65 y.","no degree/no degree yet","","","","","","","","","","",""
"2007","35-65 y.","Other degree","","","","","","","","","","",""
"2007","35-65 y.","secondary school degree","","","","","","","","","","",""
"2007","66 and older","college entrance qualification","","","","","","","","","","",""
"2007","66 and older","lower secondary degree","","","","","","","","","","",""
"2007","66 and older","no degree/no degree yet","","","","","","","","","","",""
"2007","66 and older","Other degree","","","","","","","","","","",""
"2007","66 and older","secondary school degree","","","","","","","","","","",""
"2008","16-34 y.","college entrance qualification","","","","","","","","","","",""
"2008","16-34 y.","lower secondary degree","","","","","","","","","","",""
"2008","16-34 y.","no degree/no degree yet","","","","","","","","","","",""
"2008","16-34 y.","Other degree","","","","","","","","","","",""
"2008","16-34 y.","secondary school degree","","","","","","","","","","",""
"2008","35-65 y.","college entrance qualification","","","","","","","","","","",""
"2008","35-65 y.","lower secondary degree","","","","","","","","","","",""
"2008","35-65 y.","no degree/no degree yet","","","","","","","","","","",""
"2008","35-65 y.","Other degree","","","","","","","","","","",""
"2008","35-65 y.","secondary school degree","","","","","","","","","","",""
"2008","66 and older","college entrance qualification","","","","","","","","","","",""
"2008","66 and older","lower secondary degree","","","","","","","","","","",""
"2008","66 and older","no degree/no degree yet","","","","","","","","","","",""
"2008","66 and older","Other degree","","","","","","","","","","",""
"2008","66 and older","secondary school degree","","","","","","","","","","",""
"2009","16-34 y.","college entrance qualification","5.44","5.67","1380","4","4.66666650772095","6.33333349227905","6.66666650772095","5.39","5.49","5.66666650772095","5.66666650772095"
"2009","16-34 y.","lower secondary degree","5.56","5.67","578","4","4.66666650772095","6.33333349227905","7","5.48","5.64","5.66666650772095","6"
"2009","16-34 y.","no degree/no degree yet","4.96","5","338","3.33333325386047","4","6","6.66666650772095","4.83","5.09","4.66666650772095","5.33333349227905"
"2009","16-34 y.","Other degree","5.75","6","96","3.66666674613953","5","6.66666650772095","7","5.5","6","5.33333349227905","6"
"2009","16-34 y.","secondary school degree","5.68","5.67","1150","4.33333349227905","5","6.33333349227905","7","5.62","5.74","5.66666650772095","5.66666650772095"
"2009","35-65 y.","college entrance qualification","5.73","5.67","2797","4.66666650772095","5","6.33333349227905","7","5.7","5.76","6","6"
"2009","35-65 y.","lower secondary degree","5.97","6","2859","4.66666650772095","5.33333349227905","6.66666650772095","7","5.94","6","6","6"
"2009","35-65 y.","no degree/no degree yet","5.69","5.67","91","4","5","6.66666650772095","7","5.47","5.91","5.66666650772095","6.33333349227905"
"2009","35-65 y.","Other degree","5.89","6","531","4.66666650772095","5.33333349227905","6.66666650772095","7","5.81","5.97","6","6.33333349227905"
"2009","35-65 y.","secondary school degree","5.92","6","3555","4.66666650772095","5.33333349227905","6.66666650772095","7","5.89","5.95","6","6"
"2009","66 and older","college entrance qualification","5.78","6","718","4.33333349227905","5","6.66666650772095","7","5.71","5.85","5.66666650772095","6"
"2009","66 and older","lower secondary degree","5.82","6","2498","4.33333349227905","5.33333349227905","6.66666650772095","7","5.78","5.86","6","6"
"2009","66 and older","no degree/no degree yet","5.58","5.45","57","4.5","5","6.33333349227905","7","5.28","5.88","5.33333349227905","6"
"2009","66 and older","Other degree","5.63","5.67","176","4","5","6.66666650772095","7","5.47","5.79","5.66666650772095","6"
"2009","66 and older","secondary school degree","5.9","6","711","4.66666650772095","5.33333349227905","6.66666650772095","7","5.83","5.97","6","6"
"2010","16-34 y.","college entrance qualification","","","","","","","","","","",""
"2010","16-34 y.","lower secondary degree","","","","","","","","","","",""
"2010","16-34 y.","no degree/no degree yet","","","","","","","","","","",""
"2010","16-34 y.","Other degree","","","","","","","","","","",""
"2010","16-34 y.","secondary school degree","","","","","","","","","","",""
"2010","35-65 y.","college entrance qualification","","","","","","","","","","",""
"2010","35-65 y.","lower secondary degree","","","","","","","","","","",""
"2010","35-65 y.","no degree/no degree yet","","","","","","","","","","",""
"2010","35-65 y.","Other degree","","","","","","","","","","",""
"2010","35-65 y.","secondary school degree","","","","","","","","","","",""
"2010","66 and older","college entrance qualification","","","","","","","","","","",""
"2010","66 and older","lower secondary degree","","","","","","","","","","",""
"2010","66 and older","no degree/no degree yet","","","","","","","","","","",""
"2010","66 and older","Other degree","","","","","","","","","","",""
"2010","66 and older","secondary school degree","","","","","","","","","","",""
"2011","16-34 y.","college entrance qualification","","","","","","","","","","",""
"2011","16-34 y.","lower secondary degree","","","","","","","","","","",""
"2011","16-34 y.","no degree/no degree yet","","","","","","","","","","",""
"2011","16-34 y.","Other degree","","","","","","","","","","",""
"2011","16-34 y.","secondary school degree","","","","","","","","","","",""
"2011","35-65 y.","college entrance qualification","","","","","","","","","","",""
"2011","35-65 y.","lower secondary degree","","","","","","","","","","",""
"2011","35-65 y.","no degree/no degree yet","","","","","","","","","","",""
"2011","35-65 y.","Other degree","","","","","","","","","","",""
"2011","35-65 y.","secondary school degree","","","","","","","","","","",""
"2011","66 and older","college entrance qualification","","","","","","","","","","",""
"2011","66 and older","lower secondary degree","","","","","","","","","","",""
"2011","66 and older","no degree/no degree yet","","","","","","","","","","",""
"2011","66 and older","Other degree","","","","","","","","","","",""
"2011","66 and older","secondary school degree","","","","","","","","","","",""
"2012","16-34 y.","college entrance qualification","5.73","5.72","412","4.66666650772095","5","6.33333349227905","7","5.65","5.81","5.66666650772095","6"
"2012","16-34 y.","lower secondary degree","5.71","6","496","4.33333349227905","5","6.66666650772095","7","5.62","5.8","5.66666650772095","6"
"2012","16-34 y.","no degree/no degree yet","5.05","5","274","3.66666674613953","4.33333349227905","5.66666650772095","6.33333349227905","4.93","5.17","5","5.33333349227905"
"2012","16-34 y.","Other degree","5.85","6","198","4.66666650772095","5.33333349227905","6.66666650772095","7","5.72","5.98","5.66666650772095","6"
"2012","16-34 y.","secondary school degree","5.86","6","681","4.66666650772095","5.33333349227905","6.66666650772095","7","5.79","5.93","6","6"
"2012","35-65 y.","college entrance qualification","5.8","6","1732","4.66666650772095","5.33333349227905","6.33333349227905","7","5.76","5.84","6","6"
"2012","35-65 y.","lower secondary degree","5.95","6","902","4.66666650772095","5.33333349227905","6.66666650772095","7","5.89","6.01","6","6"
"2012","35-65 y.","no degree/no degree yet","5.82","5.78","78","5","5","6.66666650772095","7","5.57","6.07","5.33333349227905","6.33333349227905"
"2012","35-65 y.","Other degree","5.95","6","480","4.66666650772095","5.33333349227905","6.66666650772095","7","5.87","6.03","6","6"
"2012","35-65 y.","secondary school degree","6.03","6.33","1700","5","5.66666650772095","6.66666650772095","7","5.99","6.07","6","6.33333349227905"
"2012","66 and older","college entrance qualification","","","","","","","","","","",""
"2012","66 and older","lower secondary degree","","","","","","","","","","",""
"2012","66 and older","no degree/no degree yet","","","","","","","","","","",""
"2012","66 and older","Other degree","","","","","","","","","","",""
"2012","66 and older","secondary school degree","","","","","","","","","","",""
"2013","16-34 y.","college entrance qualification","5.5","5.67","1445","4.33333349227905","5","6.33333349227905","6.66666650772095","5.45","5.55","5.33333349227905","5.66666650772095"
"2013","16-34 y.","lower secondary degree","5.48","5.67","475","4.33333349227905","4.66666650772095","6.33333349227905","7","5.39","5.57","5.66666650772095","5.66666650772095"
"2013","16-34 y.","no degree/no degree yet","5.03","5","296","3.66666674613953","4.33333349227905","5.66666650772095","6.33333349227905","4.92","5.14","4.66666650772095","5"
"2013","16-34 y.","Other degree","5.61","6","98","4","4.66666650772095","6.33333349227905","6.66666650772095","5.42","5.8","5.66666650772095","6"
"2013","16-34 y.","secondary school degree","5.67","5.67","966","4.33333349227905","5","6.33333349227905","7","5.61","5.73","5.66666650772095","5.66666650772095"
"2013","35-65 y.","college entrance qualification","5.75","6","2992","4.66666650772095","5.33333349227905","6.33333349227905","7","5.72","5.78","5.66666650772095","6"
