"plh0190","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"True entirely","1990","no migration background","West Germany","","","",""
"True entirely","1990","no migration background","East Germany","189","0.0542441693332517","0.0465512351031777","0.0619371035633257"
"True entirely","1990","direct migration background","West Germany","","","",""
"True entirely","1990","direct migration background","East Germany","8","","",""
"True entirely","1990","indirect migration background","West Germany","","","",""
"True entirely","1990","indirect migration background","East Germany","","","",""
"Tends to agree","1990","no migration background","West Germany","","","",""
"Tends to agree","1990","no migration background","East Germany","348","0.103359461587833","0.093019705869239","0.113699217306427"
"Tends to agree","1990","direct migration background","West Germany","","","",""
"Tends to agree","1990","direct migration background","East Germany","11","","",""
"Tends to agree","1990","indirect migration background","West Germany","","","",""
"Tends to agree","1990","indirect migration background","East Germany","","","",""
"Rather not true","1990","no migration background","West Germany","","","",""
"Rather not true","1990","no migration background","East Germany","1014","0.298461791297314","0.282920181189761","0.314003401404867"
"Rather not true","1990","direct migration background","West Germany","","","",""
"Rather not true","1990","direct migration background","East Germany","28","","",""
"Rather not true","1990","indirect migration background","West Germany","","","",""
"Rather not true","1990","indirect migration background","East Germany","1","","",""
"Totally disagree","1990","no migration background","West Germany","","","",""
"Totally disagree","1990","no migration background","East Germany","1779","0.543934577781602","0.52701798553635","0.560851170026853"
"Totally disagree","1990","direct migration background","West Germany","","","",""
"Totally disagree","1990","direct migration background","East Germany","51","0.496298022997321","0.397307606053001","0.595288439941641"
"Totally disagree","1990","indirect migration background","West Germany","","","",""
"Totally disagree","1990","indirect migration background","East Germany","1","","",""
"True entirely","1991","no migration background","West Germany","2","","",""
"True entirely","1991","no migration background","East Germany","218","0.0599314536380152","0.0521832215086776","0.0676796857673528"
"True entirely","1991","direct migration background","West Germany","","","",""
"True entirely","1991","direct migration background","East Germany","11","","",""
"True entirely","1991","indirect migration background","West Germany","","","",""
"True entirely","1991","indirect migration background","East Germany","","","",""
"Tends to agree","1991","no migration background","West Germany","2","","",""
"Tends to agree","1991","no migration background","East Germany","390","0.101122979369617","0.091281270274596","0.110964688464639"
"Tends to agree","1991","direct migration background","West Germany","","","",""
"Tends to agree","1991","direct migration background","East Germany","12","","",""
"Tends to agree","1991","indirect migration background","West Germany","","","",""
"Tends to agree","1991","indirect migration background","East Germany","2","","",""
"Rather not true","1991","no migration background","West Germany","13","","",""
"Rather not true","1991","no migration background","East Germany","1093","0.294063771330668","0.279190758483419","0.308936784177917"
"Rather not true","1991","direct migration background","West Germany","","","",""
"Rather not true","1991","direct migration background","East Germany","36","0.301076821302246","0.219001828974055","0.383151813630437"
"Rather not true","1991","indirect migration background","West Germany","","","",""
"Rather not true","1991","indirect migration background","East Germany","","","",""
"Totally disagree","1991","no migration background","West Germany","20","","",""
"Totally disagree","1991","no migration background","East Germany","1904","0.544881795661699","0.528625982112252","0.561137609211147"
"Totally disagree","1991","direct migration background","West Germany","1","","",""
"Totally disagree","1991","direct migration background","East Germany","61","0.495956151439117","0.406499370118614","0.58541293275962"
"Totally disagree","1991","indirect migration background","West Germany","","","",""
"Totally disagree","1991","indirect migration background","East Germany","","","",""
"True entirely","1992","no migration background","West Germany","270","0.0467780700283658","0.0415855661950444","0.0519705738616872"
"True entirely","1992","no migration background","East Germany","210","0.0616325943583352","0.0536835423309676","0.0695816463857027"
"True entirely","1992","direct migration background","West Germany","18","","",""
"True entirely","1992","direct migration background","East Germany","7","","",""
"True entirely","1992","indirect migration background","West Germany","3","","",""
"True entirely","1992","indirect migration background","East Germany","2","","",""
"Tends to agree","1992","no migration background","West Germany","689","0.109616359287554","0.101934171197858","0.11729854737725"
"Tends to agree","1992","no migration background","East Germany","359","0.0980570409178099","0.088227062013575","0.107887019822045"
"Tends to agree","1992","direct migration background","West Germany","47","0.100265166887577","0.0716085991143911","0.128921734660762"
"Tends to agree","1992","direct migration background","East Germany","16","","",""
"Tends to agree","1992","indirect migration background","West Germany","5","","",""
"Tends to agree","1992","indirect migration background","East Germany","3","","",""
"Rather not true","1992","no migration background","West Germany","2176","0.34726803141202","0.335560683958038","0.358975378866002"
"Rather not true","1992","no migration background","East Germany","1138","0.317401941805797","0.302016464578791","0.332787419032803"
"Rather not true","1992","direct migration background","West Germany","135","0.312182555716128","0.267971307710998","0.356393803721258"
"Rather not true","1992","direct migration background","East Germany","36","0.296790802533003","0.2167040700791","0.376877534986906"
"Rather not true","1992","indirect migration background","West Germany","26","","",""
"Rather not true","1992","indirect migration background","East Germany","5","","",""
"Totally disagree","1992","no migration background","West Germany","3218","0.49633753927206","0.484042865306513","0.508632213237607"
