"plh0190","year","age_gr","e11102","n","percent","lower_confidence","upper_confidence"
"True entirely","1992","16-34 y.","Not Employed","40","0.0526379995043046","0.0368240126138569","0.0684519863947522"
"True entirely","1992","16-34 y.","Employed","117","0.0349853540011131","0.0285025898950566","0.0414681181071695"
"True entirely","1992","35-65 y.","Not Employed","61","0.0559463866754579","0.0429758248586556","0.0689169484922602"
"True entirely","1992","35-65 y.","Employed","221","0.05655859336447","0.0495758914338049","0.0635412952951352"
"True entirely","1992","66 and older","Not Employed","68","0.052045782172855","0.0394941059215761","0.0645974584241339"
"True entirely","1992","66 and older","Employed","3","","",""
"Tends to agree","1992","16-34 y.","Not Employed","96","0.125496380787754","0.102036267096148","0.148956494479361"
"Tends to agree","1992","16-34 y.","Employed","323","0.101359750306169","0.0907115593840383","0.112007941228299"
"Tends to agree","1992","35-65 y.","Not Employed","140","0.114369548655403","0.096407498234973","0.132331599075833"
"Tends to agree","1992","35-65 y.","Employed","436","0.108284134837544","0.098890960139143","0.117677309535945"
"Tends to agree","1992","66 and older","Not Employed","122","0.100685839325709","0.083681679017309","0.117689999634109"
"Tends to agree","1992","66 and older","Employed","2","","",""
"Rather not true","1992","16-34 y.","Not Employed","323","0.434103330090018","0.399003999474667","0.469202660705369"
"Rather not true","1992","16-34 y.","Employed","1078","0.351841728825241","0.334993108768648","0.368690348881834"
"Rather not true","1992","35-65 y.","Not Employed","389","0.334453447211419","0.307825879692994","0.361081014729844"
"Rather not true","1992","35-65 y.","Employed","1347","0.323844984551272","0.309699805083453","0.337990164019092"
"Rather not true","1992","66 and older","Not Employed","373","0.323868844431594","0.297425563595499","0.350312125267689"
"Rather not true","1992","66 and older","Employed","6","","",""
"Totally disagree","1992","16-34 y.","Not Employed","307","0.387762289617923","0.353257726745252","0.422266852490595"
"Totally disagree","1992","16-34 y.","Employed","1568","0.511813166867477","0.494177215674084","0.52944911806087"
"Totally disagree","1992","35-65 y.","Not Employed","616","0.49523061745772","0.467012717932327","0.523448516983113"
"Totally disagree","1992","35-65 y.","Employed","2200","0.511312287246714","0.496201901139469","0.526422673353958"
"Totally disagree","1992","66 and older","Not Employed","640","0.523399534069842","0.495176144234688","0.551622923904997"
"Totally disagree","1992","66 and older","Employed","20","","",""
"True entirely","1993","16-34 y.","Not Employed","52","0.0549621550128477","0.0410099568806002","0.0689143531450952"
"True entirely","1993","16-34 y.","Employed","198","0.0532812857329247","0.0459911168697887","0.0605714545960608"
"True entirely","1993","35-65 y.","Not Employed","91","0.0716687226416735","0.0586023958929342","0.0847350493904127"
"True entirely","1993","35-65 y.","Employed","305","0.07204253519816","0.064742446172858","0.079342624223462"
"True entirely","1993","66 and older","Not Employed","87","0.0822909044035467","0.066577959290879","0.0980038495162145"
"True entirely","1993","66 and older","Employed","2","","",""
"Tends to agree","1993","16-34 y.","Not Employed","110","0.120457739253988","0.100531200501547","0.140384278006428"
"Tends to agree","1993","16-34 y.","Employed","409","0.114729818059318","0.104385167389676","0.12507446872896"
"Tends to agree","1993","35-65 y.","Not Employed","205","0.133172820845024","0.115961616917833","0.150384024772214"
"Tends to agree","1993","35-65 y.","Employed","601","0.115291732821811","0.10627459403872","0.124308871604902"
"Tends to agree","1993","66 and older","Not Employed","156","0.128888512342097","0.109729499271664","0.14804752541253"
"Tends to agree","1993","66 and older","Employed","2","","",""
"Rather not true","1993","16-34 y.","Not Employed","447","0.436126982129592","0.405768273556684","0.4664856907025"
"Rather not true","1993","16-34 y.","Employed","1413","0.396941696059552","0.381060515979016","0.412822876140087"
"Rather not true","1993","35-65 y.","Not Employed","585","0.375808837372324","0.351274208499981","0.400343466244667"
