"plh0190","year","pgcasmin","pgisced97","n","percent","lower_confidence","upper_confidence"
"True entirely","1990","(0) in school","in school","1","","",""
"True entirely","1990","(0) in school","inadequately","","","",""
"True entirely","1990","(0) in school","general elemantary","","","",""
"True entirely","1990","(0) in school","middle vocational","","","",""
"True entirely","1990","(0) in school","vocational + Abi","","","",""
"True entirely","1990","(0) in school","higher vocational","","","",""
"True entirely","1990","(0) in school","higher education","","","",""
"True entirely","1990","(1a) inadequately completed","in school","","","",""
"True entirely","1990","(1a) inadequately completed","inadequately","","","",""
"True entirely","1990","(1a) inadequately completed","general elemantary","","","",""
"True entirely","1990","(1a) inadequately completed","middle vocational","","","",""
"True entirely","1990","(1a) inadequately completed","vocational + Abi","","","",""
"True entirely","1990","(1a) inadequately completed","higher vocational","","","",""
"True entirely","1990","(1a) inadequately completed","higher education","","","",""
"True entirely","1990","(1b) general elementary school","in school","","","",""
"True entirely","1990","(1b) general elementary school","inadequately","","","",""
"True entirely","1990","(1b) general elementary school","general elemantary","7","","",""
"True entirely","1990","(1b) general elementary school","middle vocational","","","",""
"True entirely","1990","(1b) general elementary school","vocational + Abi","","","",""
"True entirely","1990","(1b) general elementary school","higher vocational","","","",""
"True entirely","1990","(1b) general elementary school","higher education","","","",""
"True entirely","1990","(1c) basic vocational qualification","in school","","","",""
"True entirely","1990","(1c) basic vocational qualification","inadequately","","","",""
"True entirely","1990","(1c) basic vocational qualification","general elemantary","","","",""
"True entirely","1990","(1c) basic vocational qualification","middle vocational","63","0.0684824991343505","0.0519814276409272","0.0849835706277738"
"True entirely","1990","(1c) basic vocational qualification","vocational + Abi","","","",""
"True entirely","1990","(1c) basic vocational qualification","higher vocational","2","","",""
"True entirely","1990","(1c) basic vocational qualification","higher education","","","",""
"True entirely","1990","(2b) intermediate general qualification","in school","","","",""
"True entirely","1990","(2b) intermediate general qualification","inadequately","","","",""
"True entirely","1990","(2b) intermediate general qualification","general elemantary","8","","",""
"True entirely","1990","(2b) intermediate general qualification","middle vocational","","","",""
"True entirely","1990","(2b) intermediate general qualification","vocational + Abi","","","",""
"True entirely","1990","(2b) intermediate general qualification","higher vocational","","","",""
"True entirely","1990","(2b) intermediate general qualification","higher education","","","",""
"True entirely","1990","(2a) intermediate vocational","in school","","","",""
"True entirely","1990","(2a) intermediate vocational","inadequately","","","",""
"True entirely","1990","(2a) intermediate vocational","general elemantary","","","",""
"True entirely","1990","(2a) intermediate vocational","middle vocational","59","0.0508646414036726","0.0379037275452468","0.0638255552620985"
"True entirely","1990","(2a) intermediate vocational","vocational + Abi","","","",""
"True entirely","1990","(2a) intermediate vocational","higher vocational","10","","",""
"True entirely","1990","(2a) intermediate vocational","higher education","","","",""
"True entirely","1990","(2c_gen) general maturity certificate","in school","","","",""
"True entirely","1990","(2c_gen) general maturity certificate","inadequately","","","",""
"True entirely","1990","(2c_gen) general maturity certificate","general elemantary","","","",""
"True entirely","1990","(2c_gen) general maturity certificate","middle vocational","2","","",""
"True entirely","1990","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"True entirely","1990","(2c_gen) general maturity certificate","higher vocational","","","",""
"True entirely","1990","(2c_gen) general maturity certificate","higher education","","","",""
"True entirely","1990","(2c_voc) vocational maturity certificate","in school","","","",""
"True entirely","1990","(2c_voc) vocational maturity certificate","inadequately","","","",""
"True entirely","1990","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"True entirely","1990","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"True entirely","1990","(2c_voc) vocational maturity certificate","vocational + Abi","3","","",""
"True entirely","1990","(2c_voc) vocational maturity certificate","higher vocational","","","",""
"True entirely","1990","(2c_voc) vocational maturity certificate","higher education","","","",""
"True entirely","1990","(3a) lower tertiary education","in school","","","",""
"True entirely","1990","(3a) lower tertiary education","inadequately","","","",""
"True entirely","1990","(3a) lower tertiary education","general elemantary","","","",""
"True entirely","1990","(3a) lower tertiary education","middle vocational","","","",""
"True entirely","1990","(3a) lower tertiary education","vocational + Abi","","","",""
"True entirely","1990","(3a) lower tertiary education","higher vocational","","","",""
"True entirely","1990","(3a) lower tertiary education","higher education","27","","",""
"True entirely","1990","(3b) higher tertiary education","in school","","","",""
"True entirely","1990","(3b) higher tertiary education","inadequately","","","",""
"True entirely","1990","(3b) higher tertiary education","general elemantary","","","",""
"True entirely","1990","(3b) higher tertiary education","middle vocational","","","",""
"True entirely","1990","(3b) higher tertiary education","vocational + Abi","","","",""
"True entirely","1990","(3b) higher tertiary education","higher vocational","","","",""
"True entirely","1990","(3b) higher tertiary education","higher education","14","","",""
"Tends to agree","1990","(0) in school","in school","","","",""
"Tends to agree","1990","(0) in school","inadequately","","","",""
"Tends to agree","1990","(0) in school","general elemantary","","","",""
"Tends to agree","1990","(0) in school","middle vocational","","","",""
"Tends to agree","1990","(0) in school","vocational + Abi","","","",""
"Tends to agree","1990","(0) in school","higher vocational","","","",""
"Tends to agree","1990","(0) in school","higher education","","","",""
"Tends to agree","1990","(1a) inadequately completed","in school","","","",""
"Tends to agree","1990","(1a) inadequately completed","inadequately","1","","",""
"Tends to agree","1990","(1a) inadequately completed","general elemantary","","","",""
"Tends to agree","1990","(1a) inadequately completed","middle vocational","","","",""
"Tends to agree","1990","(1a) inadequately completed","vocational + Abi","","","",""
"Tends to agree","1990","(1a) inadequately completed","higher vocational","","","",""
"Tends to agree","1990","(1a) inadequately completed","higher education","","","",""
"Tends to agree","1990","(1b) general elementary school","in school","","","",""
