"plh0190","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence","value"
"Rather not true","1990","(Married) couple without C. ","no migration background","151","0.254424976535611","0.219633297162088","0.289216655909134","3"
"Rather not true","1990","Single parent ","indirect migration background","","","","","3"
"Rather not true","1990","Couple + C. LE 16 ","indirect migration background","1","","","","3"
"Rather not true","1990","1-pers.-HH","no migration background","30","0.225160860918514","0.154439938420451","0.295881783416578","3"
"Rather not true","1990","Couple + C. GT 16 ","indirect migration background","","","","","3"
"Rather not true","1990","Couple + C. LE and GT 16","indirect migration background","","","","","3"
"Rather not true","1990","Couple + C. GT 16 ","no migration background","202","0.307530157965356","0.272135657442347","0.342924658488365","3"
"Rather not true","1990","Couple + C. GT 16 ","direct migration background","8","","","","3"
"Rather not true","1990","1-pers.-HH","direct migration background","","","","","3"
"Rather not true","1990","1-pers.-HH","indirect migration background","","","","","3"
"Rather not true","1990","Couple + C. LE and GT 16","no migration background","88","0.339456079300117","0.282869349498986","0.396042809101249","3"
"Rather not true","1990","Couple + C. LE and GT 16","direct migration background","1","","","","3"
"Rather not true","1990","(Married) couple without C. ","direct migration background","7","","","","3"
"Rather not true","1990","(Married) couple without C. ","indirect migration background","","","","","3"
"Rather not true","1990","Single parent ","no migration background","43","0.266553534779729","0.196029678720222","0.337077390839236","3"
"Rather not true","1990","Single parent ","direct migration background","1","","","","3"
"Rather not true","1990","Couple + C. LE 16 ","no migration background","430","0.329133358116175","0.303668089111011","0.354598627121339","3"
"Rather not true","1990","Couple + C. LE 16 ","direct migration background","8","","","","3"
"Tends to agree","1990","(Married) couple without C. ","no migration background","64","0.102496217717885","0.0782679753844444","0.126724460051325","2"
"Tends to agree","1990","Single parent ","indirect migration background","","","","","2"
"Tends to agree","1990","Couple + C. LE 16 ","indirect migration background","","","","","2"
"Tends to agree","1990","1-pers.-HH","no migration background","13","","","","2"
"Tends to agree","1990","Couple + C. LE and GT 16","direct migration background","2","","","","2"
"Tends to agree","1990","Single parent ","direct migration background","","","","","2"
"Tends to agree","1990","(Married) couple without C. ","direct migration background","4","","","","2"
"Tends to agree","1990","1-pers.-HH","direct migration background","1","","","","2"
"Tends to agree","1990","1-pers.-HH","indirect migration background","","","","","2"
"Tends to agree","1990","Couple + C. LE and GT 16","indirect migration background","","","","","2"
"Tends to agree","1990","Couple + C. GT 16 ","indirect migration background","","","","","2"
"Tends to agree","1990","Couple + C. LE and GT 16","no migration background","35","0.120804854635983","0.0818593993500687","0.159750309921896","2"
"Tends to agree","1990","(Married) couple without C. ","indirect migration background","","","","","2"
"Tends to agree","1990","Single parent ","no migration background","16","","","","2"
"Tends to agree","1990","Couple + C. LE 16 ","no migration background","139","0.106996305438641","0.0902447461882318","0.12374786468905","2"
"Tends to agree","1990","Couple + C. LE 16 ","direct migration background","2","","","","2"
"Tends to agree","1990","Couple + C. GT 16 ","no migration background","57","0.0805904443172947","0.0597124977360524","0.101468390898537","2"
"Tends to agree","1990","Couple + C. GT 16 ","direct migration background","1","","","","2"
"Totally disagree","1990","Couple + C. LE 16 ","no migration background","679","0.520697924506271","0.493624587015967","0.547771261996574","4"
"Totally disagree","1990","1-pers.-HH","no migration background","82","0.594094621739321","0.510949666257254","0.677239577221388","4"
"Totally disagree","1990","Single parent ","indirect migration background","1","","","","4"
"Totally disagree","1990","1-pers.-HH","direct migration background","1","","","","4"
"Totally disagree","1990","1-pers.-HH","indirect migration background","","","","","4"
