"plh0190","year","age_gr","sex","n","percent","lower_confidence","upper_confidence"
"True entirely","1990","16-34 y.","Male","33","0.0402406494618058","0.0261193296136273","0.0543619693099843"
"True entirely","1990","16-34 y.","Female","35","0.0492864508145008","0.0328465349470479","0.0657263666819537"
"True entirely","1990","35-65 y.","Male","72","0.0693837197239836","0.0539698404147379","0.0847975990332294"
"True entirely","1990","35-65 y.","Female","55","0.0549287781452932","0.040432810084156","0.0694247462064304"
"True entirely","1990","66 and older","Male","1","","",""
"True entirely","1990","66 and older","Female","1","","",""
"Tends to agree","1990","16-34 y.","Male","94","0.118401744347013","0.0951863516308048","0.141617137063222"
"Tends to agree","1990","16-34 y.","Female","85","0.131147718430583","0.105510888688738","0.156784548172429"
"Tends to agree","1990","35-65 y.","Male","94","0.0934927168874226","0.0758334617671885","0.111151972007657"
"Tends to agree","1990","35-65 y.","Female","84","0.0882158600340344","0.070171796904931","0.106259923163138"
"Tends to agree","1990","66 and older","Male","1","","",""
"Tends to agree","1990","66 and older","Female","1","","",""
"Rather not true","1990","16-34 y.","Male","261","0.346816270889616","0.312616040295228","0.381016501484005"
"Rather not true","1990","16-34 y.","Female","224","0.33791779327865","0.301994804312454","0.373840782244845"
"Rather not true","1990","35-65 y.","Male","304","0.279187565041319","0.251975781211211","0.306399348871427"
"Rather not true","1990","35-65 y.","Female","251","0.260199429586304","0.232285210304304","0.288113648868304"
"Rather not true","1990","66 and older","Male","1","","",""
"Rather not true","1990","66 and older","Female","2","","",""
"Totally disagree","1990","16-34 y.","Male","356","0.494541335301565","0.458615593468264","0.530467077134866"
"Totally disagree","1990","16-34 y.","Female","322","0.481648037476266","0.443700093780688","0.519595981171845"
"Totally disagree","1990","35-65 y.","Male","574","0.557935998347275","0.52781061315408","0.588061383540469"
"Totally disagree","1990","35-65 y.","Female","559","0.596655932234368","0.565444420577268","0.627867443891469"
"Totally disagree","1990","66 and older","Male","13","","",""
"Totally disagree","1990","66 and older","Female","7","","",""
"True entirely","1991","16-34 y.","Male","43","0.0559633992123023","0.0391625936824369","0.0727642047421676"
"True entirely","1991","16-34 y.","Female","46","0.0624153434495607","0.0449028884713589","0.0799277984277625"
"True entirely","1991","35-65 y.","Male","58","0.0564146828456424","0.0423245158192866","0.0705048498719983"
"True entirely","1991","35-65 y.","Female","64","0.0703414620552937","0.0544521908729663","0.0862307332376212"
"True entirely","1991","66 and older","Male","7","","",""
"True entirely","1991","66 and older","Female","13","","",""
"Tends to agree","1991","16-34 y.","Male","89","0.114353392436907","0.0910918556074491","0.137614929266364"
"Tends to agree","1991","16-34 y.","Female","92","0.115403947708757","0.0922737718457551","0.13853412357176"
"Tends to agree","1991","35-65 y.","Male","94","0.100824818051839","0.0824367815208942","0.119212854582784"
"Tends to agree","1991","35-65 y.","Female","106","0.0971105544741117","0.0787118579635165","0.115509250984707"
"Tends to agree","1991","66 and older","Male","12","","",""
"Tends to agree","1991","66 and older","Female","13","","",""
"Rather not true","1991","16-34 y.","Male","254","0.328401806524552","0.294074385693995","0.362729227355109"
"Rather not true","1991","16-34 y.","Female","229","0.326943509575828","0.292984249256763","0.360902769894894"
"Rather not true","1991","35-65 y.","Male","308","0.285986430161546","0.258389839941258","0.313583020381833"
"Rather not true","1991","35-65 y.","Female","272","0.262780835974343","0.235432449803534","0.290129222145152"
"Rather not true","1991","66 and older","Male","17","","",""
"Rather not true","1991","66 and older","Female","62","0.326117270824811","0.25945956641078","0.392774975238842"
"Totally disagree","1991","16-34 y.","Male","333","0.501281401826239","0.464734360530853","0.537828443121624"
"Totally disagree","1991","16-34 y.","Female","366","0.495237199265853","0.459042380711925","0.531432017819781"
"Totally disagree","1991","35-65 y.","Male","570","0.556774068940973","0.526436445298309","0.587111692583637"
"Totally disagree","1991","35-65 y.","Female","553","0.569767147496252","0.539003555856414","0.600530739136089"
