"plh0190","year","hgtyp1hh","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Rather not true","1990","1-pers.-HH","Urban Area","17","","","","3"
"Rather not true","1990","1-pers.-HH","Rural Area","11","","","","3"
"Rather not true","1990","(Married) couple without C. ","Urban Area","57","0.267392052413081","0.209431282983738","0.325352821842423","3"
"Rather not true","1990","(Married) couple without C. ","Rural Area","100","0.243884062573779","0.202215941635968","0.28555218351159","3"
"Rather not true","1990","Single parent ","Urban Area","26","","","","3"
"Rather not true","1990","Single parent ","Rural Area","17","","","","3"
"Rather not true","1990","Couple + C. LE 16 ","Urban Area","166","0.348576243997725","0.305946947910627","0.391205540084823","3"
"Rather not true","1990","Couple + C. LE 16 ","Rural Area","262","0.320181226479662","0.288189949825209","0.352172503134114","3"
"Rather not true","1990","Couple + C. GT 16 ","Urban Area","81","0.393746424087235","0.327665834135662","0.459827014038808","3"
"Rather not true","1990","Couple + C. GT 16 ","Rural Area","128","0.27546054492873","0.234366311285881","0.31655477857158","3"
"Rather not true","1990","Couple + C. LE and GT 16","Urban Area","29","","","","3"
"Rather not true","1990","Couple + C. LE and GT 16","Rural Area","58","0.330322992315302","0.263269826823393","0.39737615780721","3"
"Tends to agree","1990","1-pers.-HH","Urban Area","11","","","","2"
"Tends to agree","1990","1-pers.-HH","Rural Area","2","","","","2"
"Tends to agree","1990","(Married) couple without C. ","Urban Area","34","0.143832990994842","0.0978780109154281","0.189787971074256","2"
"Tends to agree","1990","Single parent ","Urban Area","7","","","","2"
"Tends to agree","1990","(Married) couple without C. ","Rural Area","32","0.0776658795810906","0.0516955608609659","0.103636198301215","2"
"Tends to agree","1990","Single parent ","Rural Area","9","","","","2"
"Tends to agree","1990","Couple + C. LE 16 ","Urban Area","45","0.0941781863462112","0.0680491122064287","0.120307260485994","2"
"Tends to agree","1990","Couple + C. LE 16 ","Rural Area","93","0.116482957118709","0.0944853357693599","0.138480578468057","2"
"Tends to agree","1990","Couple + C. GT 16 ","Urban Area","19","","","","2"
"Tends to agree","1990","Couple + C. GT 16 ","Rural Area","38","0.0762652867094233","0.0518502573744367","0.10068031604441","2"
"Tends to agree","1990","Couple + C. LE and GT 16","Rural Area","20","","","","2"
"Tends to agree","1990","Couple + C. LE and GT 16","Urban Area","15","","","","2"
"Totally disagree","1990","1-pers.-HH","Rural Area","46","0.677363622474604","0.564580601224802","0.790146643724406","4"
"Totally disagree","1990","1-pers.-HH","Urban Area","37","0.539087498457398","0.419730039636584","0.658444957278213","4"
"Totally disagree","1990","(Married) couple without C. ","Urban Area","118","0.52600657487484","0.460617404549241","0.591395745200438","4"
