"plh0190","year","e11102","migback","n","percent","lower_confidence","upper_confidence"
"True entirely","1992","Not Employed","no migration background","155","0.0538269009184966","0.0456568423850936","0.0619969594518997"
"True entirely","1992","Not Employed","direct migration background","12","","",""
"True entirely","1992","Not Employed","indirect migration background","2","","",""
"True entirely","1992","Employed","no migration background","325","0.0476508843405982","0.0426382674036335","0.0526635012775628"
"True entirely","1992","Employed","direct migration background","13","","",""
"True entirely","1992","Employed","indirect migration background","3","","",""
"Tends to agree","1992","Not Employed","no migration background","323","0.108277924029972","0.0970286395072445","0.1195272085527"
"Tends to agree","1992","Not Employed","direct migration background","31","0.134418379246239","0.0886103477016512","0.180226410790827"
"Tends to agree","1992","Not Employed","indirect migration background","4","","",""
"Tends to agree","1992","Employed","no migration background","725","0.10662590015267","0.0993635200201493","0.11388828028519"
"Tends to agree","1992","Employed","direct migration background","32","0.084041289816076","0.0542863442163312","0.113796235415821"
"Tends to agree","1992","Employed","indirect migration background","4","","",""
"Rather not true","1992","Not Employed","no migration background","1006","0.347932105187431","0.330688270801854","0.365175939573008"
"Rather not true","1992","Not Employed","direct migration background","69","0.343858513498898","0.280069346763412","0.407647680234384"
"Rather not true","1992","Not Employed","indirect migration background","10","","",""
"Rather not true","1992","Employed","no migration background","2308","0.33724391364662","0.326119429898217","0.348368397395024"
"Rather not true","1992","Employed","direct migration background","102","0.286916292837872","0.23840724838592","0.335425337289823"
"Rather not true","1992","Employed","indirect migration background","21","","",""
"Totally disagree","1992","Not Employed","no migration background","1447","0.4899630698641","0.471865399779695","0.508060739948504"
"Totally disagree","1992","Not Employed","direct migration background","101","0.471623488075242","0.404584453093437","0.538662523057048"
"Totally disagree","1992","Not Employed","indirect migration background","15","","",""
"Totally disagree","1992","Employed","no migration background","3580","0.508479301860112","0.496715749542343","0.52024285417788"
"Totally disagree","1992","Employed","direct migration background","187","0.575281643338468","0.52227068790092","0.628292598776016"
"Totally disagree","1992","Employed","indirect migration background","21","","",""
"True entirely","1993","Not Employed","no migration background","185","0.0728585180054066","0.0634170361861626","0.0822999998246506"
"True entirely","1993","Not Employed","direct migration background","37","0.0806817351470467","0.0597448547633481","0.101618615530745"
"True entirely","1993","Not Employed","indirect migration background","8","","",""
"True entirely","1993","Employed","no migration background","400","0.0657700138775739","0.059779348824351","0.0717606789307969"
