"plh0190","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Rather not true","1990","16-34 y.","general elemantary","53","0.386915425553151","0.306524551320558","0.467306299785744","3"
"Rather not true","1990","16-34 y.","middle vocational","305","0.337497828064469","0.306587943048006","0.368407713080933","3"
"Rather not true","1990","16-34 y.","inadequately","3","","","","3"
"Rather not true","1990","16-34 y.","vocational + Abi","17","","","","3"
"Rather not true","1990","35-65 y.","vocational + Abi","10","","","","3"
"Rather not true","1990","35-65 y.","higher vocational","38","0.229928569943381","0.166299522036342","0.29355761785042","3"
"Rather not true","1990","35-65 y.","higher education","184","0.294147771323674","0.257128635618917","0.33116690702843","3"
"Rather not true","1990","16-34 y.","higher vocational","16","","","","3"
"Rather not true","1990","16-34 y.","in school","","","","","3"
"Rather not true","1990","35-65 y.","middle vocational","292","0.262576591114544","0.236608095114645","0.288545087114443","3"
"Rather not true","1990","16-34 y.","higher education","90","0.3430458756062","0.28652523591846","0.39956651529394","3"
"Rather not true","1990","35-65 y.","in school","","","","","3"
"Rather not true","1990","35-65 y.","inadequately","1","","","","3"
"Rather not true","1990","35-65 y.","general elemantary","30","0.258619587691311","0.177884907264097","0.339354268118525","3"
"Rather not true","1990","66 and older","higher vocational","","","","","3"
"Rather not true","1990","66 and older","higher education","","","","","3"
"Rather not true","1990","66 and older","in school","","","","","3"
"Rather not true","1990","66 and older","inadequately","","","","","3"
"Rather not true","1990","66 and older","general elemantary","","","","","3"
"Rather not true","1990","66 and older","middle vocational","3","","","","3"
"Rather not true","1990","66 and older","vocational + Abi","","","","","3"
"Tends to agree","1990","16-34 y.","higher education","29","","","","2"
"Tends to agree","1990","16-34 y.","middle vocational","119","0.131350499487083","0.109270126944045","0.153430872030121","2"
"Tends to agree","1990","16-34 y.","vocational + Abi","6","","","","2"
"Tends to agree","1990","16-34 y.","general elemantary","21","","","","2"
"Tends to agree","1990","16-34 y.","inadequately","","","","","2"
"Tends to agree","1990","16-34 y.","higher vocational","4","","","","2"
"Tends to agree","1990","16-34 y.","in school","","","","","2"
"Tends to agree","1990","35-65 y.","in school","","","","","2"
"Tends to agree","1990","35-65 y.","inadequately","1","","","","2"
"Tends to agree","1990","35-65 y.","general elemantary","12","","","","2"
"Tends to agree","1990","35-65 y.","middle vocational","94","0.0836755421593603","0.0673343310136402","0.10001675330508","2"
"Tends to agree","1990","35-65 y.","vocational + Abi","1","","","","2"
"Tends to agree","1990","35-65 y.","higher vocational","11","","","","2"
"Tends to agree","1990","35-65 y.","higher education","59","0.1111374908094","0.085602589320386","0.136672392298413","2"
"Tends to agree","1990","66 and older","in school","","","","","2"
"Tends to agree","1990","66 and older","inadequately","","","","","2"
"Tends to agree","1990","66 and older","general elemantary","","","","","2"
"Tends to agree","1990","66 and older","middle vocational","","","","","2"
"Tends to agree","1990","66 and older","vocational + Abi","1","","","","2"
"Tends to agree","1990","66 and older","higher vocational","1","","","","2"
"Tends to agree","1990","66 and older","higher education","","","","","2"
"Totally disagree","1990","35-65 y.","middle vocational","641","0.584894241367185","0.555815313732927","0.613973169001443","4"
"Totally disagree","1990","35-65 y.","higher vocational","108","0.642890999326478","0.570436973571329","0.715345025081627","4"
"Totally disagree","1990","35-65 y.","vocational + Abi","10","","","","4"
"Totally disagree","1990","16-34 y.","general elemantary","60","0.444591387150496","0.362570330036835","0.526612444264157","4"
"Totally disagree","1990","66 and older","higher education","3","","","","4"
"Totally disagree","1990","35-65 y.","higher education","309","0.54371286696889","0.503246844799144","0.584178889138636","4"
"Totally disagree","1990","16-34 y.","inadequately","","","","","4"
"Totally disagree","1990","16-34 y.","in school","1","","","","4"
"Totally disagree","1990","35-65 y.","in school","","","","","4"
"Totally disagree","1990","35-65 y.","inadequately","","","","","4"
"Totally disagree","1990","35-65 y.","general elemantary","63","0.583685766329443","0.492797242376505","0.67457429028238","4"
"Totally disagree","1990","66 and older","in school","","","","","4"
"Totally disagree","1990","16-34 y.","middle vocational","429","0.483961199277703","0.45129378983159","0.516628608723816","4"
"Totally disagree","1990","66 and older","general elemantary","1","","","","4"
"Totally disagree","1990","66 and older","middle vocational","12","","","","4"
"Totally disagree","1990","66 and older","vocational + Abi","","","","","4"
"Totally disagree","1990","66 and older","higher vocational","4","","","","4"
"Totally disagree","1990","66 and older","inadequately","","","","","4"
"Totally disagree","1990","16-34 y.","vocational + Abi","18","","","","4"
"Totally disagree","1990","16-34 y.","higher vocational","29","","","","4"
"Totally disagree","1990","16-34 y.","higher education","141","0.522617264189985","0.463148532511075","0.582085995868895","4"
"True entirely","1990","16-34 y.","in school","1","","","","1"
"True entirely","1990","16-34 y.","inadequately","","","","","1"
"True entirely","1990","16-34 y.","general elemantary","7","","","","1"
