"plh0190","year","pgcasmin","sampreg","n","percent","lower_confidence","upper_confidence"
"True entirely","1990","(0) in school","West Germany","","","",""
"True entirely","1990","(0) in school","East Germany","1","","",""
"True entirely","1990","(1a) inadequately completed","West Germany","","","",""
"True entirely","1990","(1a) inadequately completed","East Germany","","","",""
"True entirely","1990","(1b) general elementary school","West Germany","","","",""
"True entirely","1990","(1b) general elementary school","East Germany","7","","",""
"True entirely","1990","(1c) basic vocational qualification","West Germany","","","",""
"True entirely","1990","(1c) basic vocational qualification","East Germany","65","0.0645927678975141","0.0491795570878495","0.0800059787071788"
"True entirely","1990","(2b) intermediate general qualification","West Germany","","","",""
"True entirely","1990","(2b) intermediate general qualification","East Germany","8","","",""
"True entirely","1990","(2a) intermediate vocational","West Germany","","","",""
"True entirely","1990","(2a) intermediate vocational","East Germany","69","0.0524270885335739","0.0400512892106486","0.0648028878564992"
"True entirely","1990","(2c_gen) general maturity certificate","West Germany","","","",""
"True entirely","1990","(2c_gen) general maturity certificate","East Germany","2","","",""
"True entirely","1990","(2c_voc) vocational maturity certificate","West Germany","","","",""
"True entirely","1990","(2c_voc) vocational maturity certificate","East Germany","3","","",""
"True entirely","1990","(3a) lower tertiary education","West Germany","","","",""
"True entirely","1990","(3a) lower tertiary education","East Germany","27","","",""
"True entirely","1990","(3b) higher tertiary education","West Germany","","","",""
"True entirely","1990","(3b) higher tertiary education","East Germany","14","","",""
"Tends to agree","1990","(0) in school","West Germany","","","",""
"Tends to agree","1990","(0) in school","East Germany","","","",""
"Tends to agree","1990","(1a) inadequately completed","West Germany","","","",""
"Tends to agree","1990","(1a) inadequately completed","East Germany","1","","",""
"Tends to agree","1990","(1b) general elementary school","West Germany","","","",""
"Tends to agree","1990","(1b) general elementary school","East Germany","12","","",""
"Tends to agree","1990","(1c) basic vocational qualification","West Germany","","","",""
"Tends to agree","1990","(1c) basic vocational qualification","East Germany","87","0.079237015783433","0.0622999259708126","0.0961741055960534"
