"plh0190","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence"
"True entirely","1990","1-pers.-HH","in school","","","",""
"True entirely","1990","1-pers.-HH","inadequately","","","",""
"True entirely","1990","1-pers.-HH","general elemantary","1","","",""
"True entirely","1990","1-pers.-HH","middle vocational","7","","",""
"True entirely","1990","1-pers.-HH","vocational + Abi","","","",""
"True entirely","1990","1-pers.-HH","higher vocational","","","",""
"True entirely","1990","1-pers.-HH","higher education","2","","",""
"True entirely","1990","(Married) couple without C. ","in school","","","",""
"True entirely","1990","(Married) couple without C. ","inadequately","","","",""
"True entirely","1990","(Married) couple without C. ","general elemantary","2","","",""
"True entirely","1990","(Married) couple without C. ","middle vocational","27","","",""
"True entirely","1990","(Married) couple without C. ","vocational + Abi","","","",""
"True entirely","1990","(Married) couple without C. ","higher vocational","3","","",""
"True entirely","1990","(Married) couple without C. ","higher education","10","","",""
"True entirely","1990","Single parent ","in school","","","",""
"True entirely","1990","Single parent ","inadequately","","","",""
"True entirely","1990","Single parent ","general elemantary","2","","",""
"True entirely","1990","Single parent ","middle vocational","7","","",""
"True entirely","1990","Single parent ","vocational + Abi","","","",""
"True entirely","1990","Single parent ","higher vocational","","","",""
"True entirely","1990","Single parent ","higher education","","","",""
"True entirely","1990","Couple + C. LE 16 ","in school","","","",""
"True entirely","1990","Couple + C. LE 16 ","inadequately","","","",""
"True entirely","1990","Couple + C. LE 16 ","general elemantary","1","","",""
"True entirely","1990","Couple + C. LE 16 ","middle vocational","40","0.0483398640821302","0.0332974955218365","0.0633822326424238"
"True entirely","1990","Couple + C. LE 16 ","vocational + Abi","1","","",""
"True entirely","1990","Couple + C. LE 16 ","higher vocational","4","","",""
"True entirely","1990","Couple + C. LE 16 ","higher education","15","","",""
"True entirely","1990","Couple + C. GT 16 ","in school","1","","",""
"True entirely","1990","Couple + C. GT 16 ","inadequately","","","",""
"True entirely","1990","Couple + C. GT 16 ","general elemantary","8","","",""
"True entirely","1990","Couple + C. GT 16 ","middle vocational","25","","",""
"True entirely","1990","Couple + C. GT 16 ","vocational + Abi","1","","",""
"True entirely","1990","Couple + C. GT 16 ","higher vocational","2","","",""
"True entirely","1990","Couple + C. GT 16 ","higher education","9","","",""
"True entirely","1990","Couple + C. LE and GT 16","in school","","","",""
"True entirely","1990","Couple + C. LE and GT 16","inadequately","","","",""
"True entirely","1990","Couple + C. LE and GT 16","general elemantary","","","",""
"True entirely","1990","Couple + C. LE and GT 16","middle vocational","8","","",""
"True entirely","1990","Couple + C. LE and GT 16","vocational + Abi","","","",""
"True entirely","1990","Couple + C. LE and GT 16","higher vocational","3","","",""
"True entirely","1990","Couple + C. LE and GT 16","higher education","2","","",""
"Tends to agree","1990","1-pers.-HH","in school","","","",""
"Tends to agree","1990","1-pers.-HH","inadequately","","","",""
"Tends to agree","1990","1-pers.-HH","general elemantary","1","","",""
"Tends to agree","1990","1-pers.-HH","middle vocational","7","","",""
"Tends to agree","1990","1-pers.-HH","vocational + Abi","3","","",""
"Tends to agree","1990","1-pers.-HH","higher vocational","1","","",""
"Tends to agree","1990","1-pers.-HH","higher education","2","","",""
"Tends to agree","1990","(Married) couple without C. ","in school","","","",""
"Tends to agree","1990","(Married) couple without C. ","inadequately","","","",""
"Tends to agree","1990","(Married) couple without C. ","general elemantary","7","","",""
"Tends to agree","1990","(Married) couple without C. ","middle vocational","40","0.104785900219454","0.0737039288259009","0.135867871613008"
"Tends to agree","1990","(Married) couple without C. ","vocational + Abi","","","",""
"Tends to agree","1990","(Married) couple without C. ","higher vocational","3","","",""
"Tends to agree","1990","(Married) couple without C. ","higher education","18","","",""
"Tends to agree","1990","Single parent ","in school","","","",""
"Tends to agree","1990","Single parent ","inadequately","","","",""
"Tends to agree","1990","Single parent ","general elemantary","2","","",""
"Tends to agree","1990","Single parent ","middle vocational","10","","",""
"Tends to agree","1990","Single parent ","vocational + Abi","","","",""
"Tends to agree","1990","Single parent ","higher vocational","","","",""
"Tends to agree","1990","Single parent ","higher education","4","","",""
"Tends to agree","1990","Couple + C. LE 16 ","in school","","","",""
"Tends to agree","1990","Couple + C. LE 16 ","inadequately","1","","",""
"Tends to agree","1990","Couple + C. LE 16 ","general elemantary","1","","",""
