"plh0190","year","migback","n","percent","lower_confidence","upper_confidence","value"
"Rather not true","1990","no migration background","1014","0.298461791297314","0.282920181189761","0.314003401404867","3"
"Rather not true","1990","direct migration background","28","","","","3"
"Rather not true","1990","indirect migration background","1","","","","3"
"Tends to agree","1990","no migration background","348","0.103359461587833","0.093019705869239","0.113699217306427","2"
"Tends to agree","1990","direct migration background","11","","","","2"
"Tends to agree","1990","indirect migration background","","","","","2"
"Totally disagree","1990","no migration background","1779","0.543934577781602","0.52701798553635","0.560851170026853","4"
"Totally disagree","1990","direct migration background","51","0.496298022997321","0.397307606053001","0.595288439941641","4"
"Totally disagree","1990","indirect migration background","1","","","","4"
"True entirely","1990","no migration background","189","0.0542441693332517","0.0465512351031777","0.0619371035633257","1"
"True entirely","1990","direct migration background","8","","","","1"
"True entirely","1990","indirect migration background","","","","","1"
"Rather not true","1991","no migration background","1106","0.294935260154296","0.280125229185466","0.309745291123127","3"
"Rather not true","1991","direct migration background","36","0.298673106493917","0.21712503183296","0.380221181154874","3"
"Rather not true","1991","indirect migration background","","","","","3"
"Tends to agree","1991","no migration background","392","0.100163041217748","0.0904128353644967","0.109913247070999","2"
"Tends to agree","1991","direct migration background","12","","","","2"
"Tends to agree","1991","indirect migration background","2","","","","2"
"Totally disagree","1991","no migration background","1924","0.545035178430861","0.528862598874845","0.561207757986878","4"
"Totally disagree","1991","direct migration background","62","0.499980299354565","0.410891027399171","0.589069571309959","4"
"Totally disagree","1991","indirect migration background","","","","","4"
"True entirely","1991","no migration background","220","0.0598665201970946","0.0521616577939901","0.0675713826001991","1"
"True entirely","1991","direct migration background","11","","","","1"
"True entirely","1991","indirect migration background","","","","","1"
"Rather not true","1992","no migration background","3314","0.341069123607965","0.33171608669532","0.350422160520609","3"
"Rather not true","1992","direct migration background","171","0.310040144645488","0.27128090002372","0.348799389267255","3"
"Rather not true","1992","indirect migration background","31","0.295560392881424","0.195572342995815","0.395548442767034","3"
"Tends to agree","1992","no migration background","1048","0.107217145001502","0.101113116447175","0.113321173555829","2"
"Tends to agree","1992","direct migration background","63","0.104499086104295","0.0788634740513615","0.130134698157229","2"
"Tends to agree","1992","indirect migration background","8","","","","2"
"Totally disagree","1992","no migration background","5027","0.50185250491254","0.491987926256391","0.51171708356869","4"
"Totally disagree","1992","direct migration background","288","0.533186765528438","0.491378159426184","0.574995371630692","4"
"Totally disagree","1992","indirect migration background","36","0.571440572758407","0.462999411359987","0.679881734156827","4"
"True entirely","1992","no migration background","480","0.0498612264779932","0.0455669844739177","0.0541554684820688","1"
"True entirely","1992","direct migration background","25","","","","1"
"True entirely","1992","indirect migration background","5","","","","1"
"Rather not true","1993","no migration background","3570","0.368080810806842","0.358376535400634","0.37778508621305","3"
"Rather not true","1993","direct migration background","837","0.370316174327458","0.350464552983658","0.390167795671257","3"
"Rather not true","1993","indirect migration background","167","0.342789608201231","0.298237231070904","0.387341985331557","3"
