"plh0190","year","e11102","sex","n","percent","lower_confidence","upper_confidence"
"True entirely","1992","Not Employed","Male","60","0.0563667161861567","0.0419859305907651","0.0707475017815483"
"True entirely","1992","Not Employed","Female","109","0.0522393103731588","0.0429138181820962","0.0615648025642214"
"True entirely","1992","Employed","Male","181","0.0459172597725447","0.0394503007966603","0.0523842187484291"
"True entirely","1992","Employed","Female","160","0.0506031727789777","0.043121454012879","0.0580848915450764"
"Tends to agree","1992","Not Employed","Male","92","0.0885160074787473","0.0708045194420415","0.106227495515453"
"Tends to agree","1992","Not Employed","Female","266","0.119849396908816","0.106237453920875","0.133461339896758"
"Tends to agree","1992","Employed","Male","415","0.103579058936028","0.0941642592935718","0.112993858578483"
"Tends to agree","1992","Employed","Female","346","0.107494184916384","0.0969214673674448","0.118066902465324"
"Rather not true","1992","Not Employed","Male","313","0.319767717160505","0.290686301319853","0.348849133001157"
"Rather not true","1992","Not Employed","Female","772","0.359775593940194","0.339661259730823","0.379889928149564"
"Rather not true","1992","Employed","Male","1395","0.353484125279868","0.338713677589622","0.368254572970114"
"Rather not true","1992","Employed","Female","1036","0.309015394289137","0.293242446669598","0.324788341908677"
"Totally disagree","1992","Not Employed","Male","523","0.535349559174591","0.504250194269632","0.56644892407955"
"Totally disagree","1992","Not Employed","Female","1040","0.468135698777831","0.447223003926462","0.489048393629201"
"Totally disagree","1992","Employed","Male","2033","0.49701955601156","0.481571231154674","0.512467880868445"
"Totally disagree","1992","Employed","Female","1755","0.532887248015501","0.515857150175094","0.549917345855907"
"True entirely","1993","Not Employed","Male","72","0.0658249460704542","0.0516159122157367","0.0800339799251716"
"True entirely","1993","Not Employed","Female","158","0.0765064943285338","0.0661428728117013","0.0868701158453662"
"True entirely","1993","Employed","Male","261","0.0576802479374323","0.0510882949479069","0.0642722009269576"
"True entirely","1993","Employed","Female","244","0.0736291445350729","0.0652082507677705","0.0820500383023752"
"Tends to agree","1993","Not Employed","Male","144","0.128379548894827","0.109211990781803","0.147547107007852"
"Tends to agree","1993","Not Employed","Female","327","0.129074059895355","0.116001652669741","0.142146467120969"
"Tends to agree","1993","Employed","Male","566","0.114120847899713","0.105130611110585","0.123111084688842"
"Tends to agree","1993","Employed","Female","446","0.115198267917074","0.10490420481","0.125492331024149"
"Rather not true","1993","Not Employed","Male","413","0.334028338226985","0.307002778871951","0.36105389758202"
"Rather not true","1993","Not Employed","Female","1011","0.379994620337993","0.361069793121193","0.398919447554793"
"Rather not true","1993","Employed","Male","1836","0.383345594962033","0.369598290450139","0.397092899473926"
"Rather not true","1993","Employed","Female","1314","0.350380310358984","0.334997336359848","0.365763284358121"
"Totally disagree","1993","Not Employed","Male","541","0.471767166807733","0.443162841246714","0.500371492368752"
"Totally disagree","1993","Not Employed","Female","1031","0.414424825438118","0.395217819089025","0.433631831787211"
"Totally disagree","1993","Employed","Male","2142","0.444853309200822","0.430802100463435","0.458904517938208"
"Totally disagree","1993","Employed","Female","1691","0.460792277188869","0.444720218211309","0.476864336166428"
"True entirely","1994","Not Employed","Male","","","",""
"True entirely","1994","Not Employed","Female","","","",""
"True entirely","1994","Employed","Male","","","",""
"True entirely","1994","Employed","Female","","","",""
"Tends to agree","1994","Not Employed","Male","","","",""
"Tends to agree","1994","Not Employed","Female","","","",""
"Tends to agree","1994","Employed","Male","","","",""
"Tends to agree","1994","Employed","Female","","","",""
"Rather not true","1994","Not Employed","Male","","","",""
"Rather not true","1994","Not Employed","Female","","","",""
"Rather not true","1994","Employed","Male","","","",""
"Rather not true","1994","Employed","Female","","","",""
"Totally disagree","1994","Not Employed","Male","","","",""
"Totally disagree","1994","Not Employed","Female","","","",""
"Totally disagree","1994","Employed","Male","","","",""
"Totally disagree","1994","Employed","Female","","","",""
"True entirely","1995","Not Employed","Male","48","0.0344379641579981","0.0246415330434157","0.0442343952725806"
"True entirely","1995","Not Employed","Female","102","0.0415126275401872","0.0340286989922041","0.0489965560881704"
"True entirely","1995","Employed","Male","233","0.0561366015451068","0.0495558303183249","0.0627173727718887"
"True entirely","1995","Employed","Female","204","0.0595322734866848","0.0518570618954353","0.0672074850779344"
"Tends to agree","1995","Not Employed","Male","131","0.103387676362374","0.0870309720609943","0.119744380663754"
"Tends to agree","1995","Not Employed","Female","300","0.115282250325131","0.103300233748729","0.127264266901533"
"Tends to agree","1995","Employed","Male","541","0.111494393383735","0.102496190876955","0.120492595890514"
"Tends to agree","1995","Employed","Female","385","0.102146417513867","0.0923231379424017","0.111969697085332"
"Rather not true","1995","Not Employed","Male","471","0.340546977925026","0.31508808526387","0.366005870586182"
"Rather not true","1995","Not Employed","Female","1055","0.377258215272443","0.359072948365933","0.395443482178954"
"Rather not true","1995","Employed","Male","1832","0.390813696269441","0.376864181050505","0.404763211488377"
"Rather not true","1995","Employed","Female","1398","0.391809237025123","0.375974916943337","0.40764355710691"
"Totally disagree","1995","Not Employed","Male","681","0.521627381554602","0.494791095645889","0.548463667463315"
"Totally disagree","1995","Not Employed","Female","1272","0.465946906862239","0.447231177473114","0.484662636251364"
"Totally disagree","1995","Employed","Male","2094","0.441555308801718","0.427358792001237","0.455751825602199"
"Totally disagree","1995","Employed","Female","1664","0.446512071974325","0.430386584450435","0.462637559498215"
"True entirely","1996","Not Employed","Male","51","0.0435699837036283","0.0323693382232466","0.0547706291840101"
"True entirely","1996","Not Employed","Female","102","0.0387887199030375","0.0314203257636904","0.0461571140423846"
"True entirely","1996","Employed","Male","206","0.0542370094720752","0.0477245128119882","0.0607495061321622"
"True entirely","1996","Employed","Female","164","0.0504162589760334","0.0433276749514911","0.0575048430005756"
"Tends to agree","1996","Not Employed","Male","141","0.101245115435861","0.0846938796491908","0.11779635122253"
"Tends to agree","1996","Not Employed","Female","298","0.124485732126301","0.111887717787467","0.137083746465136"
"Tends to agree","1996","Employed","Male","541","0.11355221761611","0.10442931839503","0.122675116837191"
"Tends to agree","1996","Employed","Female","407","0.116018007117346","0.105642915078933","0.126393099155759"
"Rather not true","1996","Not Employed","Male","486","0.381005431794059","0.354359448182224","0.407651415405895"
"Rather not true","1996","Not Employed","Female","1067","0.391021790675292","0.372400402560682","0.409643178789903"
"Rather not true","1996","Employed","Male","1942","0.425791474362888","0.411573367070693","0.440009581655082"
"Rather not true","1996","Employed","Female","1451","0.399839868916739","0.383969604328302","0.415710133505176"
"Totally disagree","1996","Not Employed","Male","598","0.474179469066452","0.446781845361088","0.501577092771816"
"Totally disagree","1996","Not Employed","Female","1171","0.445703757295369","0.426736487996534","0.464671026594204"
"Totally disagree","1996","Employed","Male","1957","0.406419298548927","0.392296019643831","0.420542577454023"
"Totally disagree","1996","Employed","Female","1638","0.433725864989882","0.417670189865657","0.449781540114106"
"True entirely","1997","Not Employed","Male","74","0.0597597815968123","0.0466817516837716","0.0728378115098531"
"True entirely","1997","Not Employed","Female","122","0.0628784203415124","0.0534659977082241","0.0722908429748006"
"True entirely","1997","Employed","Male","172","0.044920307371197","0.038838041477","0.051002573265394"
"True entirely","1997","Employed","Female","172","0.0485310927607845","0.041393676217843","0.055668509303726"
"Tends to agree","1997","Not Employed","Male","107","0.0922768819328203","0.0763092112452746","0.108244552620366"
"Tends to agree","1997","Not Employed","Female","279","0.116416050617812","0.103979985747128","0.128852115488496"
"Tends to agree","1997","Employed","Male","512","0.118263952575515","0.108781520733281","0.127746384417748"
"Tends to agree","1997","Employed","Female","378","0.11014260688449","0.0997440854884554","0.120541128280525"
"Rather not true","1997","Not Employed","Male","468","0.33746226551378","0.311374533074421","0.363549997953139"
"Rather not true","1997","Not Employed","Female","1072","0.405471836234194","0.386433929187118","0.42450974328127"
"Rather not true","1997","Employed","Male","1895","0.425466971546478","0.410948708428733","0.439985234664222"
"Rather not true","1997","Employed","Female","1408","0.404508553307861","0.38820676210972","0.420810344506002"
"Totally disagree","1997","Not Employed","Male","613","0.510501070956587","0.482921175520208","0.538080966392967"
