"plh0190","year","bula_h","migback","n","percent","lower_confidence","upper_confidence","value"
"Rather not true","1990","Brandenburg","indirect migration background","","","","","3"
"Rather not true","1990","Mecklenburg-Western Pomerania","no migration background","121","0.287471042605024","0.242782283907172","0.332159801302877","3"
"Rather not true","1990","Hamburg","direct migration background","","","","","3"
"Rather not true","1990","Saxony-Anhalt","indirect migration background","1","","","","3"
"Rather not true","1990","Hamburg","indirect migration background","","","","","3"
"Rather not true","1990","Hamburg","no migration background","","","","","3"
"Rather not true","1990","Saxony","direct migration background","11","","","","3"
"Rather not true","1990","Schleswig-Holstein","no migration background","","","","","3"
"Rather not true","1990","Schleswig-Holstein","indirect migration background","","","","","3"
"Rather not true","1990","Lower Saxony","direct migration background","","","","","3"
"Rather not true","1990","Bremen","no migration background","","","","","3"
"Rather not true","1990","Bremen","direct migration background","","","","","3"
"Rather not true","1990","Lower Saxony","indirect migration background","","","","","3"
"Rather not true","1990","Bavaria","indirect migration background","","","","","3"
"Rather not true","1990","Berlin","no migration background","60","0.262399053019719","0.20491482592003","0.319883280119409","3"
"Rather not true","1990","Berlin","indirect migration background","","","","","3"
"Rather not true","1990","Brandenburg","no migration background","162","0.293422719205232","0.255575201702199","0.331270236708266","3"
"Rather not true","1990","Brandenburg","direct migration background","3","","","","3"
"Rather not true","1990","Schleswig-Holstein","direct migration background","","","","","3"
"Rather not true","1990","Saxony-Anhalt","no migration background","169","0.269474032718078","0.233972364933534","0.304975700502622","3"
"Rather not true","1990","Saxony-Anhalt","direct migration background","4","","","","3"
"Rather not true","1990","Lower Saxony","no migration background","","","","","3"
"Rather not true","1990","Thuringia","direct migration background","6","","","","3"
"Rather not true","1990","Thuringia","indirect migration background","","","","","3"
"Rather not true","1990","Mecklenburg-Western Pomerania","direct migration background","2","","","","3"
"Rather not true","1990","Mecklenburg-Western Pomerania","indirect migration background","","","","","3"
"Rather not true","1990","Saxony","no migration background","356","0.356026140267584","0.326437557552162","0.385614722983006","3"
"Rather not true","1990","Saxony","indirect migration background","","","","","3"
"Rather not true","1990","Bremen","indirect migration background","","","","","3"
"Rather not true","1990","North Rhine-Westphalia","no migration background","","","","","3"
"Rather not true","1990","North Rhine-Westphalia","direct migration background","","","","","3"
"Rather not true","1990","North Rhine-Westphalia","indirect migration background","","","","","3"
"Rather not true","1990","Hesse","no migration background","","","","","3"
"Rather not true","1990","Hesse","direct migration background","","","","","3"
"Rather not true","1990","Rhineland-Palatinate,Saarland","indirect migration background","","","","","3"
"Rather not true","1990","Baden-Württemberg","no migration background","","","","","3"
"Rather not true","1990","Baden-Württemberg","direct migration background","","","","","3"
"Rather not true","1990","Baden-Württemberg","indirect migration background","","","","","3"
"Rather not true","1990","Bavaria","no migration background","","","","","3"
"Rather not true","1990","Bavaria","direct migration background","","","","","3"
"Rather not true","1990","Berlin","direct migration background","2","","","","3"
"Rather not true","1990","Thuringia","no migration background","146","0.253306492297631","0.216927030737997","0.289685953857265","3"
"Rather not true","1990","Hesse","indirect migration background","","","","","3"
"Rather not true","1990","Rhineland-Palatinate,Saarland","no migration background","","","","","3"
"Rather not true","1990","Rhineland-Palatinate,Saarland","direct migration background","","","","","3"
"Tends to agree","1990","Schleswig-Holstein","direct migration background","","","","","2"
"Tends to agree","1990","Hamburg","indirect migration background","","","","","2"
"Tends to agree","1990","Schleswig-Holstein","indirect migration background","","","","","2"
"Tends to agree","1990","Hamburg","no migration background","","","","","2"
"Tends to agree","1990","Schleswig-Holstein","no migration background","","","","","2"
"Tends to agree","1990","Lower Saxony","indirect migration background","","","","","2"
"Tends to agree","1990","Hesse","direct migration background","","","","","2"
"Tends to agree","1990","Hamburg","direct migration background","","","","","2"
"Tends to agree","1990","Lower Saxony","direct migration background","","","","","2"
"Tends to agree","1990","Bremen","direct migration background","","","","","2"
"Tends to agree","1990","Bremen","indirect migration background","","","","","2"
"Tends to agree","1990","North Rhine-Westphalia","direct migration background","","","","","2"
