"plh0190","year","pgcasmin","sex","n","percent","lower_confidence","upper_confidence"
"True entirely","1990","(0) in school","Male","1","","",""
"True entirely","1990","(0) in school","Female","","","",""
"True entirely","1990","(1a) inadequately completed","Male","","","",""
"True entirely","1990","(1a) inadequately completed","Female","","","",""
"True entirely","1990","(1b) general elementary school","Male","","","",""
"True entirely","1990","(1b) general elementary school","Female","7","","",""
"True entirely","1990","(1c) basic vocational qualification","Male","39","0.0751114459241376","0.0526933566590871","0.097529535189188"
"True entirely","1990","(1c) basic vocational qualification","Female","26","","",""
"True entirely","1990","(2b) intermediate general qualification","Male","3","","",""
"True entirely","1990","(2b) intermediate general qualification","Female","5","","",""
"True entirely","1990","(2a) intermediate vocational","Male","42","0.054724314086115","0.0378875553344698","0.0715610728377601"
"True entirely","1990","(2a) intermediate vocational","Female","27","","",""
"True entirely","1990","(2c_gen) general maturity certificate","Male","1","","",""
"True entirely","1990","(2c_gen) general maturity certificate","Female","1","","",""
"True entirely","1990","(2c_voc) vocational maturity certificate","Male","1","","",""
"True entirely","1990","(2c_voc) vocational maturity certificate","Female","2","","",""
"True entirely","1990","(3a) lower tertiary education","Male","12","","",""
"True entirely","1990","(3a) lower tertiary education","Female","15","","",""
"True entirely","1990","(3b) higher tertiary education","Male","6","","",""
"True entirely","1990","(3b) higher tertiary education","Female","8","","",""
"Tends to agree","1990","(0) in school","Male","","","",""
"Tends to agree","1990","(0) in school","Female","","","",""
"Tends to agree","1990","(1a) inadequately completed","Male","1","","",""
"Tends to agree","1990","(1a) inadequately completed","Female","","","",""
"Tends to agree","1990","(1b) general elementary school","Male","3","","",""
"Tends to agree","1990","(1b) general elementary school","Female","9","","",""
"Tends to agree","1990","(1c) basic vocational qualification","Male","58","0.098989707703924","0.0735881279111239","0.124391287496724"
"Tends to agree","1990","(1c) basic vocational qualification","Female","29","","",""
"Tends to agree","1990","(2b) intermediate general qualification","Male","11","","",""
"Tends to agree","1990","(2b) intermediate general qualification","Female","10","","",""
"Tends to agree","1990","(2a) intermediate vocational","Male","71","0.104471187164162","0.08182854367026","0.127113830658064"
"Tends to agree","1990","(2a) intermediate vocational","Female","67","0.139916839152018","0.110792568716315","0.169041109587721"
"Tends to agree","1990","(2c_gen) general maturity certificate","Male","1","","",""
"Tends to agree","1990","(2c_gen) general maturity certificate","Female","1","","",""
"Tends to agree","1990","(2c_voc) vocational maturity certificate","Male","5","","",""
"Tends to agree","1990","(2c_voc) vocational maturity certificate","Female","5","","",""
"Tends to agree","1990","(3a) lower tertiary education","Male","20","","",""
"Tends to agree","1990","(3a) lower tertiary education","Female","39","0.124316290058379","0.0883899280388576","0.160242652077901"
"Tends to agree","1990","(3b) higher tertiary education","Male","19","","",""
"Tends to agree","1990","(3b) higher tertiary education","Female","10","","",""
"Rather not true","1990","(0) in school","Male","","","",""
"Rather not true","1990","(0) in school","Female","","","",""
"Rather not true","1990","(1a) inadequately completed","Male","3","","",""
"Rather not true","1990","(1a) inadequately completed","Female","1","","",""
"Rather not true","1990","(1b) general elementary school","Male","12","","",""
