"plh0190","year","n","percent","lower_confidence","upper_confidence","value"
"Rather not true","1990","1043","0.298329243908937","0.283017818146928","0.313640669670947","3"
"Tends to agree","1990","359","0.104228162581878","0.0940024807890286","0.114453844374727","2"
"Totally disagree","1990","1831","0.542422791058374","0.525750234936008","0.55909534718074","4"
"True entirely","1990","197","0.0550198024508112","0.0473889703454828","0.0626506345561397","1"
"Rather not true","1991","1142","0.294946617460418","0.280380348963477","0.309512885957359","3"
"Tends to agree","1991","406","0.100621362532309","0.0910122787161699","0.110230446348448","2"
"Totally disagree","1991","1986","0.543097483419034","0.527185794812732","0.559009172025335","4"
"True entirely","1991","231","0.0613345365882392","0.0536702177290331","0.0689988554474453","1"
"Rather not true","1992","3516","0.338947176914762","0.329891513488079","0.348002840341446","3"
"Tends to agree","1992","1119","0.106961264796448","0.101048581828486","0.112873947764409","2"
"Totally disagree","1992","5351","0.504129369257353","0.494564228332942","0.513694510181764","4"
"True entirely","1992","510","0.0499621890314369","0.0457941924483771","0.0541301856144968","1"
"Rather not true","1993","4574","0.367890780142459","0.359332685330772","0.376448874954146","3"
"Tends to agree","1993","1483","0.119667440604209","0.11390730161618","0.125427579592238","2"
"Totally disagree","1993","5405","0.44491648908221","0.43609706973257","0.45373590843185","4"
"True entirely","1993","735","0.0675252901711226","0.0630720784896459","0.0719785018525993","1"
"Rather not true","1994","","","","","3"
"Tends to agree","1994","","","","","2"
"Totally disagree","1994","","","","","4"
"True entirely","1994","","","","","1"
"Rather not true","1995","4756","0.381184036975061","0.372639415861766","0.389728658088356","3"
"Tends to agree","1995","1357","0.108993517018845","0.10351093081952","0.11447610321817","2"
"Totally disagree","1995","5711","0.459319823219199","0.45055238889589","0.468087257542508","4"
"True entirely","1995","587","0.0505026227868952","0.0466500703859948","0.0543551751877956","1"
"Rather not true","1996","4946","0.404608507089241","0.395906262101654","0.413310752076827","3"
"Tends to agree","1996","1387","0.11546987401925","0.109803527255128","0.121136220783372","2"
"Totally disagree","1996","5364","0.431928376041192","0.423145840734486","0.440710911347899","4"
"True entirely","1996","523","0.047993242850317","0.0442033882235479","0.0517830974770861","1"
"Rather not true","1997","4843","0.403994961003971","0.39512405070587","0.412865871302071","3"
"Tends to agree","1997","1276","0.112441565597401","0.106730499750074","0.118152631444729","2"
"Totally disagree","1997","5095","0.431310479064078","0.422357081574209","0.440263876553947","4"
"True entirely","1997","540","0.0522529943345502","0.04822992933323","0.0562760593358704","1"
"Rather not true","1998","","","","","3"
"Tends to agree","1998","","","","","2"
"Totally disagree","1998","","","","","4"
"True entirely","1998","","","","","1"
"Rather not true","1999","","","","","3"
"Tends to agree","1999","","","","","2"
"Totally disagree","1999","","","","","4"
"True entirely","1999","","","","","1"
"Rather not true","2000","","","","","3"
"Tends to agree","2000","","","","","2"
"Totally disagree","2000","","","","","4"
"True entirely","2000","","","","","1"
"Rather not true","2001","","","","","3"
"Tends to agree","2001","","","","","2"
"Totally disagree","2001","","","","","4"
"True entirely","2001","","","","","1"
"Rather not true","2002","","","","","3"
"Tends to agree","2002","","","","","2"
"Totally disagree","2002","","","","","4"
"True entirely","2002","","","","","1"
"Rather not true","2003","","","","","3"
"Tends to agree","2003","","","","","2"
"Totally disagree","2003","","","","","4"
"True entirely","2003","","","","","1"
"Rather not true","2004","","","","","3"
"Tends to agree","2004","","","","","2"
"Totally disagree","2004","","","","","4"
"True entirely","2004","","","","","1"
"Rather not true","2005","","","","","3"
"Tends to agree","2005","","","","","2"
"Totally disagree","2005","","","","","4"
"True entirely","2005","","","","","1"
"Rather not true","2006","","","","","3"
"Tends to agree","2006","","","","","2"
"Totally disagree","2006","","","","","4"
"True entirely","2006","","","","","1"
"Rather not true","2007","","","","","3"
"Tends to agree","2007","","","","","2"
"Totally disagree","2007","","","","","4"
"True entirely","2007","","","","","1"
"Rather not true","2008","7109","0.404602444533552","0.397376252481764","0.411828636585341","3"
"Tends to agree","2008","1993","0.12315912364361","0.118320905858141","0.12799734142908","2"
"Totally disagree","2008","7895","0.422902344020599","0.415628961538366","0.430175726502831","4"
"True entirely","2008","725","0.0493360878022388","0.04614757927244","0.0525245963320377","1"
"Rather not true","2009","","","","","3"
"Tends to agree","2009","","","","","2"
"Totally disagree","2009","","","","","4"
"True entirely","2009","","","","","1"
"Rather not true","2010","","","","","3"
"Tends to agree","2010","","","","","2"
"Totally disagree","2010","","","","","4"
