"plh0036","year","migback","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Big worries","1984","no migration background","(0) in school","106","0.679766262797246","0.606784960306724","0.752747565287767"
"Big worries","1984","no migration background","(1a) inadequately completed","26","","",""
"Big worries","1984","no migration background","(1b) general elementary school","810","0.408030815375067","0.386110187697263","0.42995144305287"
"Big worries","1984","no migration background","(1c) basic vocational qualification","1811","0.514007299461135","0.497380054288721","0.530634544633549"
"Big worries","1984","no migration background","(2b) intermediate general qualification","264","0.641630263751339","0.594986546094703","0.688273981407975"
"Big worries","1984","no migration background","(2a) intermediate vocational","779","0.582642033965153","0.555836054843519","0.609448013086786"
"Big worries","1984","no migration background","(2c_gen) general maturity certificate","220","0.79025281875311","0.742308262891801","0.838197374614419"
"Big worries","1984","no migration background","(2c_voc) vocational maturity certificate","220","0.702683197431918","0.651554066072046","0.753812328791791"
"Big worries","1984","no migration background","(3a) lower tertiary education","161","0.661046787906485","0.601035200169655","0.721058375643316"
"Big worries","1984","no migration background","(3b) higher tertiary education","296","0.687083680507338","0.642896445084896","0.73127091592978"
"Big worries","1984","direct migration background","(0) in school","13","","",""
"Big worries","1984","direct migration background","(1a) inadequately completed","275","0.270319303472129","0.242983359728711","0.297655247215548"
"Big worries","1984","direct migration background","(1b) general elementary school","365","0.387268675182105","0.357137056604781","0.417400293759429"
"Big worries","1984","direct migration background","(1c) basic vocational qualification","268","0.425051016852104","0.388688486102634","0.461413547601574"
"Big worries","1984","direct migration background","(2b) intermediate general qualification","28","","",""
"Big worries","1984","direct migration background","(2a) intermediate vocational","41","0.493760536022435","0.388094588410693","0.599426483634177"
"Big worries","1984","direct migration background","(2c_gen) general maturity certificate","61","0.624850194073335","0.540975022072046","0.708725366074624"
"Big worries","1984","direct migration background","(2c_voc) vocational maturity certificate","72","0.466631475508122","0.385148373967639","0.548114577048605"
"Big worries","1984","direct migration background","(3a) lower tertiary education","13","","",""
"Big worries","1984","direct migration background","(3b) higher tertiary education","51","0.502242193362855","0.402741098072604","0.601743288653105"
"Big worries","1984","indirect migration background","(0) in school","5","","",""
"Big worries","1984","indirect migration background","(1a) inadequately completed","2","","",""
"Big worries","1984","indirect migration background","(1b) general elementary school","14","","",""
"Big worries","1984","indirect migration background","(1c) basic vocational qualification","23","","",""
"Big worries","1984","indirect migration background","(2b) intermediate general qualification","10","","",""
"Big worries","1984","indirect migration background","(2a) intermediate vocational","9","","",""
"Big worries","1984","indirect migration background","(2c_gen) general maturity certificate","4","","",""
"Big worries","1984","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
