"plh0036","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Big worries","1984","no migration background","in school","105","0.679450454082333","0.606216535739826","0.75268437242484","1"
"Big worries","1984","no migration background","inadequately","29","","","","1"
"Big worries","1984","no migration background","general elemantary","1068","0.446572938119771","0.426343654874553","0.466802221364989","1"
"Big worries","1984","no migration background","middle vocational","2516","0.53760213137477","0.523179887091247","0.552024375658293","1"
"Big worries","1984","no migration background","vocational + Abi","139","0.743359314288855","0.680248857037453","0.806469771540258","1"
"Big worries","1984","no migration background","higher vocational","382","0.622872340027578","0.584026795382192","0.661717884672964","1"
"Big worries","1984","no migration background","higher education","457","0.677600955848403","0.641996613027226","0.71320529866958","1"
"Big worries","1984","direct migration background","in school","13","","","","1"
"Big worries","1984","direct migration background","inadequately","240","0.264470714626576","0.235846113033956","0.293095316219197","1"
"Big worries","1984","direct migration background","general elemantary","391","0.402791833076613","0.37311185716385","0.432471808989375","1"
"Big worries","1984","direct migration background","middle vocational","397","0.445239659349011","0.414664784088274","0.475814534609749","1"
"Big worries","1984","direct migration background","vocational + Abi","62","0.518680360832487","0.43073682114022","0.606623900524755","1"
"Big worries","1984","direct migration background","higher vocational","25","","","","1"
"Big worries","1984","direct migration background","higher education","64","0.522739968999278","0.432998123413944","0.612481814584613","1"
"Big worries","1984","indirect migration background","in school","5","","","","1"
"Big worries","1984","indirect migration background","inadequately","1","","","","1"
"Big worries","1984","indirect migration background","general elemantary","24","","","","1"
"Big worries","1984","indirect migration background","middle vocational","34","0.743142465475255","0.624393833942424","0.861891097008086","1"
"Big worries","1984","indirect migration background","vocational + Abi","","","","","1"
"Big worries","1984","indirect migration background","higher vocational","3","","","","1"
"Big worries","1984","indirect migration background","higher education","3","","","","1"
"No worries","1984","direct migration background","inadequately","276","0.307003513860107","0.277067921158589","0.336939106561624","3"
"No worries","1984","direct migration background","general elemantary","207","0.161931759235708","0.139638885537962","0.184224632933455","3"
"No worries","1984","direct migration background","higher education","14","","","","3"
"No worries","1984","indirect migration background","in school","","","","","3"
"No worries","1984","indirect migration background","middle vocational","4","","","","3"
"No worries","1984","direct migration background","in school","3","","","","3"
"No worries","1984","direct migration background","middle vocational","172","0.13210714705555","0.111276091230806","0.152938202880295","3"
"No worries","1984","direct migration background","vocational + Abi","14","","","","3"
"No worries","1984","direct migration background","higher vocational","3","","","","3"
"No worries","1984","indirect migration background","inadequately","2","","","","3"
"No worries","1984","indirect migration background","general elemantary","6","","","","3"
"No worries","1984","indirect migration background","vocational + Abi","","","","","3"
"No worries","1984","indirect migration background","higher vocational","","","","","3"
"No worries","1984","indirect migration background","higher education","","","","","3"
"No worries","1984","no migration background","in school","8","","","","3"
"No worries","1984","no migration background","inadequately","14","","","","3"
"No worries","1984","no migration background","general elemantary","241","0.112784840234694","0.0999129022152918","0.125656778254096","3"
"No worries","1984","no migration background","middle vocational","253","0.0622025830883489","0.0552161875349565","0.0691889786417414","3"
"No worries","1984","no migration background","vocational + Abi","2","","","","3"
"No worries","1984","no migration background","higher vocational","24","","","","3"
"No worries","1984","no migration background","higher education","19","","","","3"
"Some worries","1984","indirect migration background","in school","3","","","","2"
"Some worries","1984","indirect migration background","inadequately","1","","","","2"
"Some worries","1984","indirect migration background","general elemantary","22","","","","2"
"Some worries","1984","indirect migration background","middle vocational","14","","","","2"
"Some worries","1984","indirect migration background","vocational + Abi","1","","","","2"
"Some worries","1984","indirect migration background","higher vocational","1","","","","2"
"Some worries","1984","indirect migration background","higher education","","","","","2"
"Some worries","1984","no migration background","in school","43","0.267963047841832","0.198462256688193","0.33746383899547","2"
"Some worries","1984","no migration background","inadequately","31","0.438863794754414","0.325797996405725","0.551929593103103","2"
"Some worries","1984","no migration background","general elemantary","1011","0.440642221645535","0.4204403320406","0.46084411125047","2"
"Some worries","1984","no migration background","middle vocational","1822","0.400195285536881","0.38602314774485","0.414367423328912","2"
"Some worries","1984","no migration background","vocational + Abi","43","0.24466256438985","0.182547999698601","0.3067771290811","2"
"Some worries","1984","no migration background","higher vocational","192","0.329207800814259","0.291543790548353","0.366871811080165","2"
"Some worries","1984","no migration background","higher education","186","0.291083784984065","0.256479844367418","0.325687725600712","2"
"Some worries","1984","direct migration background","in school","4","","","","2"
"Some worries","1984","direct migration background","inadequately","396","0.428525771513317","0.39640858678924","0.460642956237395","2"
"Some worries","1984","direct migration background","general elemantary","451","0.435276407687679","0.405273670550049","0.46527914482531","2"
"Some worries","1984","direct migration background","middle vocational","446","0.422653193595439","0.392263555284057","0.45304283190682","2"
"Some worries","1984","direct migration background","vocational + Abi","48","0.408444835160108","0.321927809998523","0.494961860321693","2"
"Some worries","1984","direct migration background","higher vocational","24","","","","2"
"Some worries","1984","direct migration background","higher education","41","0.365949963272494","0.279403917452028","0.452496009092959","2"
"Big worries","1985","no migration background","in school","99","0.651761126586255","0.576760465144491","0.726761788028019","1"
"Big worries","1985","no migration background","inadequately","26","","","","1"
"Big worries","1985","no migration background","general elemantary","869","0.40791722355925","0.386720667776022","0.429113779342479","1"
"Big worries","1985","no migration background","middle vocational","2029","0.476728487752614","0.461598186427596","0.491858789077631","1"
"Big worries","1985","no migration background","vocational + Abi","119","0.676765371800693","0.607070143625308","0.746460599976078","1"
"Big worries","1985","no migration background","higher vocational","301","0.522922519924223","0.481774114855363","0.564070924993083","1"
"Big worries","1985","no migration background","higher education","389","0.595945316543853","0.557928006721344","0.633962626366362","1"
"Big worries","1985","direct migration background","in school","7","","","","1"
"Big worries","1985","direct migration background","inadequately","191","0.267094910241756","0.235087043077071","0.299102777406441","1"
"Big worries","1985","direct migration background","general elemantary","303","0.343041765109114","0.312180869252007","0.37390266096622","1"
"Big worries","1985","direct migration background","middle vocational","355","0.448732051742185","0.416092770936754","0.481371332547617","1"
"Big worries","1985","direct migration background","vocational + Abi","55","0.618962343412339","0.52471609578592","0.713208591038759","1"
"Big worries","1985","direct migration background","higher vocational","26","","","","1"
"Big worries","1985","direct migration background","higher education","60","0.534234588102783","0.440157074334398","0.628312101871167","1"
"Big worries","1985","indirect migration background","in school","9","","","","1"
"Big worries","1985","indirect migration background","inadequately","1","","","","1"
"Big worries","1985","indirect migration background","general elemantary","29","","","","1"
"Big worries","1985","indirect migration background","middle vocational","28","","","","1"
"Big worries","1985","indirect migration background","vocational + Abi","","","","","1"
"Big worries","1985","indirect migration background","higher vocational","","","","","1"
"Big worries","1985","indirect migration background","higher education","3","","","","1"
"No worries","1985","indirect migration background","vocational + Abi","","","","","3"
"No worries","1985","indirect migration background","middle vocational","7","","","","3"
"No worries","1985","direct migration background","higher vocational","2","","","","3"
"No worries","1985","direct migration background","middle vocational","113","0.083538641140226","0.0653807065914196","0.101696575689032","3"
"No worries","1985","direct migration background","vocational + Abi","15","","","","3"
"No worries","1985","indirect migration background","general elemantary","6","","","","3"
"No worries","1985","indirect migration background","in school","","","","","3"
"No worries","1985","direct migration background","in school","4","","","","3"
"No worries","1985","direct migration background","higher education","6","","","","3"
"No worries","1985","indirect migration background","higher vocational","1","","","","3"
"No worries","1985","indirect migration background","higher education","","","","","3"
"No worries","1985","direct migration background","inadequately","205","0.272530507914399","0.240318706249974","0.304742309578823","3"
"No worries","1985","direct migration background","general elemantary","157","0.134164370153371","0.112007802963494","0.156320937343247","3"
"No worries","1985","indirect migration background","inadequately","2","","","","3"
"No worries","1985","no migration background","middle vocational","254","0.067228822293955","0.0596428056755445","0.0748148389123655","3"
"No worries","1985","no migration background","vocational + Abi","2","","","","3"
"No worries","1985","no migration background","higher vocational","25","","","","3"
"No worries","1985","no migration background","higher education","16","","","","3"
"No worries","1985","no migration background","general elemantary","216","0.110410191334206","0.096892966307966","0.123927416360446","3"
"No worries","1985","no migration background","in school","5","","","","3"
"No worries","1985","no migration background","inadequately","12","","","","3"
"Some worries","1985","indirect migration background","higher education","1","","","","2"
"Some worries","1985","indirect migration background","higher vocational","3","","","","2"
"Some worries","1985","indirect migration background","in school","1","","","","2"
"Some worries","1985","indirect migration background","inadequately","2","","","","2"
"Some worries","1985","indirect migration background","general elemantary","25","","","","2"
"Some worries","1985","indirect migration background","middle vocational","22","","","","2"
"Some worries","1985","indirect migration background","vocational + Abi","","","","","2"
"Some worries","1985","direct migration background","middle vocational","424","0.467729307117589","0.434985495544947","0.50047311869023","2"
"Some worries","1985","direct migration background","vocational + Abi","32","0.298118165012947","0.209346528493631","0.386889801532262","2"
"Some worries","1985","direct migration background","higher vocational","20","","","","2"
"Some worries","1985","direct migration background","higher education","42","0.381423039846261","0.289814376844578","0.473031702847943","2"
"Some worries","1985","no migration background","higher vocational","240","0.426625436724877","0.385879673277162","0.467371200172592","2"
"Some worries","1985","no migration background","higher education","235","0.377257519148404","0.339705672172589","0.41480936612422","2"
"Some worries","1985","direct migration background","in school","11","","","","2"
"Some worries","1985","direct migration background","inadequately","338","0.460374581843845","0.424316557395247","0.496432606292443","2"
"Some worries","1985","direct migration background","general elemantary","449","0.522793864737516","0.490323706892395","0.555264022582636","2"
"Some worries","1985","no migration background","in school","51","0.316671126977776","0.243439048322362","0.38990320563319","2"
"Some worries","1985","no migration background","inadequately","41","0.511570647136563","0.401343585103765","0.62179770916936","2"
"Some worries","1985","no migration background","general elemantary","980","0.481672585106543","0.460121650095627","0.50322352011746","2"
"Some worries","1985","no migration background","middle vocational","1903","0.456042689953431","0.440954621801244","0.471130758105619","2"
"Some worries","1985","no migration background","vocational + Abi","52","0.308166585981425","0.239361810851916","0.376971361110935","2"
"Big worries","1986","no migration background","in school","75","0.52567141934065","0.444395681764963","0.606947156916337","1"
"Big worries","1986","no migration background","inadequately","30","0.372708731798725","0.267409552462667","0.478007911134783","1"
"Big worries","1986","no migration background","general elemantary","725","0.368782496794937","0.347162019726199","0.390402973863676","1"
"Big worries","1986","no migration background","middle vocational","1854","0.447702617477026","0.432348291146797","0.463056943807255","1"
"Big worries","1986","no migration background","vocational + Abi","95","0.538867399624835","0.463712273648955","0.614022525600715","1"
"Big worries","1986","no migration background","higher vocational","256","0.470520363070883","0.427661260577826","0.513379465563941","1"
"Big worries","1986","no migration background","higher education","342","0.527136767751544","0.488274074919376","0.565999460583711","1"
"Big worries","1986","direct migration background","in school","9","","","","1"
"Big worries","1986","direct migration background","inadequately","176","0.269217247910308","0.236049551701402","0.302384944119213","1"
