"plh0174","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1984","1-pers.-HH","in school","","","","","0"
"0 Completely dissatisfied","1984","1-pers.-HH","inadequately","1","","","","0"
"0 Completely dissatisfied","1984","1-pers.-HH","general elemantary","4","","","","0"
"0 Completely dissatisfied","1984","1-pers.-HH","middle vocational","14","","","","0"
"0 Completely dissatisfied","1984","1-pers.-HH","vocational + Abi","","","","","0"
"0 Completely dissatisfied","1984","1-pers.-HH","higher vocational","","","","","0"
"0 Completely dissatisfied","1984","1-pers.-HH","higher education","2","","","","0"
"0 Completely dissatisfied","1984","(Married) couple without C. ","in school","","","","","0"
"0 Completely dissatisfied","1984","(Married) couple without C. ","inadequately","","","","","0"
"0 Completely dissatisfied","1984","(Married) couple without C. ","general elemantary","3","","","","0"
"0 Completely dissatisfied","1984","(Married) couple without C. ","middle vocational","7","","","","0"
"0 Completely dissatisfied","1984","(Married) couple without C. ","vocational + Abi","1","","","","0"
"0 Completely dissatisfied","1984","(Married) couple without C. ","higher vocational","1","","","","0"
"0 Completely dissatisfied","1984","(Married) couple without C. ","higher education","1","","","","0"
"0 Completely dissatisfied","1984","Single parent ","in school","","","","","0"
"0 Completely dissatisfied","1984","Single parent ","inadequately","","","","","0"
"0 Completely dissatisfied","1984","Single parent ","general elemantary","3","","","","0"
"0 Completely dissatisfied","1984","Single parent ","middle vocational","8","","","","0"
"0 Completely dissatisfied","1984","Single parent ","vocational + Abi","","","","","0"
"0 Completely dissatisfied","1984","Single parent ","higher vocational","","","","","0"
"0 Completely dissatisfied","1984","Single parent ","higher education","","","","","0"
"0 Completely dissatisfied","1984","Couple + C. LE 16 ","in school","","","","","0"
"0 Completely dissatisfied","1984","Couple + C. LE 16 ","inadequately","2","","","","0"
"0 Completely dissatisfied","1984","Couple + C. LE 16 ","general elemantary","7","","","","0"
"0 Completely dissatisfied","1984","Couple + C. LE 16 ","middle vocational","10","","","","0"
"0 Completely dissatisfied","1984","Couple + C. LE 16 ","vocational + Abi","","","","","0"
"0 Completely dissatisfied","1984","Couple + C. LE 16 ","higher vocational","3","","","","0"
"0 Completely dissatisfied","1984","Couple + C. LE 16 ","higher education","5","","","","0"
"0 Completely dissatisfied","1984","Couple + C. GT 16 ","in school","","","","","0"
"0 Completely dissatisfied","1984","Couple + C. GT 16 ","inadequately","1","","","","0"
"0 Completely dissatisfied","1984","Couple + C. GT 16 ","general elemantary","3","","","","0"
"0 Completely dissatisfied","1984","Couple + C. GT 16 ","middle vocational","13","","","","0"
"0 Completely dissatisfied","1984","Couple + C. GT 16 ","vocational + Abi","1","","","","0"
"0 Completely dissatisfied","1984","Couple + C. GT 16 ","higher vocational","","","","","0"
"0 Completely dissatisfied","1984","Couple + C. GT 16 ","higher education","","","","","0"
"0 Completely dissatisfied","1984","Couple + C. LE and GT 16","in school","2","","","","0"
"0 Completely dissatisfied","1984","Couple + C. LE and GT 16","inadequately","2","","","","0"
"0 Completely dissatisfied","1984","Couple + C. LE and GT 16","general elemantary","10","","","","0"
"0 Completely dissatisfied","1984","Couple + C. LE and GT 16","middle vocational","10","","","","0"
"0 Completely dissatisfied","1984","Couple + C. LE and GT 16","vocational + Abi","","","","","0"
"0 Completely dissatisfied","1984","Couple + C. LE and GT 16","higher vocational","1","","","","0"
"0 Completely dissatisfied","1984","Couple + C. LE and GT 16","higher education","1","","","","0"
"1 on Scale 1 to 10","1984","Couple + C. LE and GT 16","in school","","","","","1"
"1 on Scale 1 to 10","1984","Couple + C. LE and GT 16","vocational + Abi","","","","","1"
"1 on Scale 1 to 10","1984","Couple + C. GT 16 ","higher education","1","","","","1"
"1 on Scale 1 to 10","1984","Couple + C. LE and GT 16","higher vocational","1","","","","1"
"1 on Scale 1 to 10","1984","Couple + C. GT 16 ","higher vocational","","","","","1"
