"plh0174","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1984","no migration background","in school","2","","","","0"
"0 Completely dissatisfied","1984","no migration background","inadequately","","","","","0"
"0 Completely dissatisfied","1984","no migration background","general elemantary","21","","","","0"
"0 Completely dissatisfied","1984","no migration background","middle vocational","51","0.0169987252379487","0.0122702979787284","0.021727152497169","0"
"0 Completely dissatisfied","1984","no migration background","vocational + Abi","1","","","","0"
"0 Completely dissatisfied","1984","no migration background","higher vocational","5","","","","0"
"0 Completely dissatisfied","1984","no migration background","higher education","9","","","","0"
"0 Completely dissatisfied","1984","direct migration background","in school","","","","","0"
"0 Completely dissatisfied","1984","direct migration background","inadequately","7","","","","0"
"0 Completely dissatisfied","1984","direct migration background","general elemantary","16","","","","0"
"0 Completely dissatisfied","1984","direct migration background","middle vocational","14","","","","0"
"0 Completely dissatisfied","1984","direct migration background","vocational + Abi","1","","","","0"
"0 Completely dissatisfied","1984","direct migration background","higher vocational","","","","","0"
"0 Completely dissatisfied","1984","direct migration background","higher education","2","","","","0"
"0 Completely dissatisfied","1984","indirect migration background","in school","","","","","0"
"0 Completely dissatisfied","1984","indirect migration background","inadequately","","","","","0"
"0 Completely dissatisfied","1984","indirect migration background","general elemantary","1","","","","0"
"0 Completely dissatisfied","1984","indirect migration background","middle vocational","1","","","","0"
"0 Completely dissatisfied","1984","indirect migration background","vocational + Abi","","","","","0"
"0 Completely dissatisfied","1984","indirect migration background","higher vocational","","","","","0"
"0 Completely dissatisfied","1984","indirect migration background","higher education","","","","","0"
"1 on Scale 1 to 10","1984","indirect migration background","vocational + Abi","1","","","","1"
"1 on Scale 1 to 10","1984","indirect migration background","middle vocational","1","","","","1"
"1 on Scale 1 to 10","1984","indirect migration background","higher education","","","","","1"
"1 on Scale 1 to 10","1984","no migration background","general elemantary","18","","","","1"
"1 on Scale 1 to 10","1984","indirect migration background","higher vocational","","","","","1"
"1 on Scale 1 to 10","1984","no migration background","middle vocational","30","0.010891358725753","0.00709476151742052","0.0146879559340855","1"
"1 on Scale 1 to 10","1984","no migration background","vocational + Abi","","","","","1"
"1 on Scale 1 to 10","1984","no migration background","in school","2","","","","1"
"1 on Scale 1 to 10","1984","no migration background","inadequately","","","","","1"
"1 on Scale 1 to 10","1984","no migration background","higher vocational","4","","","","1"
"1 on Scale 1 to 10","1984","no migration background","higher education","8","","","","1"
"1 on Scale 1 to 10","1984","direct migration background","in school","","","","","1"
"1 on Scale 1 to 10","1984","direct migration background","inadequately","3","","","","1"
"1 on Scale 1 to 10","1984","direct migration background","general elemantary","8","","","","1"
"1 on Scale 1 to 10","1984","direct migration background","middle vocational","3","","","","1"
"1 on Scale 1 to 10","1984","direct migration background","vocational + Abi","","","","","1"
"1 on Scale 1 to 10","1984","direct migration background","higher vocational","1","","","","1"
"1 on Scale 1 to 10","1984","direct migration background","higher education","1","","","","1"
"1 on Scale 1 to 10","1984","indirect migration background","in school","","","","","1"
"1 on Scale 1 to 10","1984","indirect migration background","inadequately","","","","","1"
"1 on Scale 1 to 10","1984","indirect migration background","general elemantary","1","","","","1"
"10 Completely satisfied","1984","indirect migration background","higher education","","","","","10"
"10 Completely satisfied","1984","indirect migration background","middle vocational","4","","","","10"
"10 Completely satisfied","1984","indirect migration background","vocational + Abi","","","","","10"
"10 Completely satisfied","1984","indirect migration background","higher vocational","1","","","","10"
"10 Completely satisfied","1984","no migration background","in school","4","","","","10"
"10 Completely satisfied","1984","no migration background","inadequately","6","","","","10"
"10 Completely satisfied","1984","no migration background","general elemantary","364","0.21392194615621","0.194604039495421","0.233239852816999","10"
"10 Completely satisfied","1984","no migration background","middle vocational","552","0.198380224385151","0.183793260940434","0.212967187829868","10"
"10 Completely satisfied","1984","no migration background","vocational + Abi","15","","","","10"
"10 Completely satisfied","1984","no migration background","higher vocational","66","0.197592064359463","0.156113012857583","0.239071115861343","10"
"10 Completely satisfied","1984","no migration background","higher education","47","0.142358390558972","0.105593962853333","0.179122818264611","10"
"10 Completely satisfied","1984","direct migration background","in school","1","","","","10"
"10 Completely satisfied","1984","direct migration background","inadequately","146","0.213603317816251","0.183241770248317","0.243964865384185","10"
"10 Completely satisfied","1984","direct migration background","general elemantary","168","0.226608346071142","0.196384339280825","0.256832352861458","10"
"10 Completely satisfied","1984","direct migration background","middle vocational","128","0.219049862028479","0.186227765492807","0.251871958564151","10"
"10 Completely satisfied","1984","direct migration background","vocational + Abi","11","","","","10"
