"hlf0094","year","age_gr","n","percent","lower_confidence","upper_confidence"
"Reasonable","1985","66 and older","130","0.269123473542348","0.229112889729723","0.309134057354973"
"Slightly Expensive","1985","16-34 y.","126","0.0884868652667023","0.0730486431343479","0.103925087399057"
"Slightly Expensive","1985","35-65 y.","199","0.0746979996486547","0.0642600171843818","0.0851359821129277"
"Slightly Expensive","1985","66 and older","25","","",""
"Too Expensive","1985","16-34 y.","36","0.0256559928627197","0.0170613667795329","0.0342506189459066"
"Too Expensive","1985","35-65 y.","59","0.0251879311921863","0.0189666902098722","0.0314091721745003"
"Too Expensive","1985","66 and older","5","","",""
"Very Inexpensive","1986","16-34 y.","225","0.165724989141977","0.145948608006813","0.18550137027714"
"Very Inexpensive","1986","35-65 y.","435","0.181811717198225","0.166564355106911","0.19705907928954"
"Very Inexpensive","1986","66 and older","114","0.239026825575472","0.201644089510759","0.276409561640185"
"Inexpensive","1986","16-34 y.","366","0.277248001284951","0.253439773516127","0.301056229053775"
"Inexpensive","1986","35-65 y.","761","0.3145790758701","0.296222116487458","0.332936035252742"
"Inexpensive","1986","66 and older","184","0.378603436846334","0.336088671311169","0.421118202381498"
"Reasonable","1986","16-34 y.","556","0.412332629723606","0.386151532301351","0.438513727145861"
"Reasonable","1986","35-65 y.","968","0.392181434420305","0.37288008612435","0.411482782716259"
"Reasonable","1986","66 and older","167","0.312944534680243","0.272300887390184","0.353588181970303"
"Slightly Expensive","1986","16-34 y.","163","0.112671568840604","0.0958546055821445","0.129488532099063"
"Slightly Expensive","1986","35-65 y.","229","0.0872277441670669","0.0760728440001947","0.0983826443339391"
"Slightly Expensive","1986","66 and older","30","0.0572445542265697","0.0368821196183147","0.0776069888348247"
"Too Expensive","1986","16-34 y.","48","0.032022811008863","0.0226588306588074","0.0413867913589187"
"Too Expensive","1986","35-65 y.","65","0.0242000283443027","0.0181250394316314","0.0302750172569739"
"Too Expensive","1986","66 and older","5","","",""
"Very Inexpensive","1987","16-34 y.","223","0.166502134495868","0.146674066710771","0.186330202280965"
"Very Inexpensive","1987","35-65 y.","423","0.179863589038169","0.164539166989945","0.195188011086394"
"Very Inexpensive","1987","66 and older","104","0.195336406900485","0.161095658379502","0.229577155421468"
"Inexpensive","1987","16-34 y.","445","0.32792123653862","0.302934294806173","0.352908178271067"
"Inexpensive","1987","35-65 y.","802","0.339085070487714","0.320196610713566","0.357973530261862"
"Inexpensive","1987","66 and older","206","0.408793122359629","0.366334489546195","0.451251755173063"
"Reasonable","1987","16-34 y.","505","0.377577878645005","0.351775245542784","0.403380511747226"
"Reasonable","1987","35-65 y.","909","0.373921891811014","0.354616699362564","0.393227084259464"
"Reasonable","1987","66 and older","175","0.344202136945378","0.303168854820756","0.38523541907"
"Slightly Expensive","1987","16-34 y.","144","0.100398535318656","0.0844026967804162","0.116394373856896"
"Slightly Expensive","1987","35-65 y.","213","0.0794573819835665","0.0686664611681655","0.0902483027989675"
"Slightly Expensive","1987","66 and older","20","","",""
"Too Expensive","1987","16-34 y.","39","0.0276002150018508","0.0188806081111328","0.0363198218925688"
"Too Expensive","1987","35-65 y.","66","0.0276720666795362","0.0211272632225417","0.0342168701365308"
"Too Expensive","1987","66 and older","10","","",""
"Very Inexpensive","1988","16-34 y.","204","0.164403027056394","0.144026571124028","0.18477948298876"
"Very Inexpensive","1988","35-65 y.","411","0.184065738953824","0.168134027310969","0.199997450596678"
"Very Inexpensive","1988","66 and older","109","0.222072054477336","0.185119318583319","0.259024790371352"
"Inexpensive","1988","16-34 y.","416","0.31588153488488","0.290324933929234","0.341438135840525"
"Inexpensive","1988","35-65 y.","776","0.350029473685777","0.330420831919434","0.36963811545212"
"Inexpensive","1988","66 and older","195","0.404911922251659","0.361270302265505","0.448553542237813"
"Reasonable","1988","16-34 y.","507","0.409723559827431","0.382687181864002","0.43675993779086"
"Reasonable","1988","35-65 y.","882","0.379302709491612","0.359355540341247","0.399249878641977"
"Reasonable","1988","66 and older","152","0.317206924250063","0.275831177981114","0.358582670519011"
"Slightly Expensive","1988","16-34 y.","130","0.101238524403596","0.0846552440348137","0.117821804772378"
"Slightly Expensive","1988","35-65 y.","165","0.0693534610546146","0.0589092695595095","0.0797976525497198"
"Slightly Expensive","1988","66 and older","26","","",""
"Too Expensive","1988","16-34 y.","14","","",""
"Too Expensive","1988","35-65 y.","39","0.017248616814173","0.0118962318483202","0.0226010017800259"
"Too Expensive","1988","66 and older","4","","",""
"Very Inexpensive","1989","16-34 y.","222","0.182635150532283","0.161343810775689","0.203926490288878"
"Very Inexpensive","1989","35-65 y.","449","0.210702312131854","0.193684630172345","0.227719994091363"
"Very Inexpensive","1989","66 and older","138","0.268959341885623","0.230247226340686","0.307671457430559"
"Inexpensive","1989","16-34 y.","443","0.347287597855699","0.321050946888605","0.373524248822793"
"Inexpensive","1989","35-65 y.","810","0.368189147388595","0.348062364150507","0.388315930626683"
"Inexpensive","1989","66 and older","203","0.415573160263515","0.37254808441737","0.45859823610966"
"Reasonable","1989","16-34 y.","486","0.378937250007102","0.352203848640896","0.405670651373308"
"Reasonable","1989","35-65 y.","744","0.334344001571643","0.314657568716576","0.35403043442671"
"Reasonable","1989","66 and older","149","0.290191418637964","0.250568566994033","0.329814270281895"
"Slightly Expensive","1989","16-34 y.","96","0.0775204473459903","0.0627841173715909","0.0922567773203897"
"Slightly Expensive","1989","35-65 y.","174","0.0742872089499914","0.063344105869327","0.0852303120306558"
"Slightly Expensive","1989","66 and older","11","","",""
"Too Expensive","1989","16-34 y.","18","","",""
"Too Expensive","1989","35-65 y.","29","","",""
"Too Expensive","1989","66 and older","3","","",""
"Very Inexpensive","1990","16-34 y.","204","0.178522433268349","0.156927151412161","0.200117715124538"
"Very Inexpensive","1990","35-65 y.","465","0.219295784507009","0.201946531748032","0.236645037265985"
"Very Inexpensive","1990","66 and older","116","0.22039393159774","0.184732248717095","0.256055614478385"
"Inexpensive","1990","16-34 y.","439","0.370173460250131","0.342944707916171","0.397402212584091"
"Inexpensive","1990","35-65 y.","786","0.359282587816157","0.339165101307979","0.379400074324335"
"Inexpensive","1990","66 and older","217","0.418160530876141","0.375724229946309","0.460596831805974"
"Reasonable","1990","16-34 y.","459","0.370999485160935","0.343758251096631","0.398240719225239"
"Reasonable","1990","35-65 y.","759","0.343013678318639","0.323108950029951","0.362918406607327"
"Reasonable","1990","66 and older","168","0.328404892063873","0.288001020393001","0.368808763734745"
"Slightly Expensive","1990","16-34 y.","87","0.0686568877013268","0.0543971501105014","0.0829166252921521"
"Slightly Expensive","1990","35-65 y.","153","0.0688260716157268","0.0582112117454681","0.0794409314859855"
"Slightly Expensive","1990","66 and older","17","","",""
"Too Expensive","1990","16-34 y.","19","","",""
"Too Expensive","1990","35-65 y.","22","","",""
"Too Expensive","1990","66 and older","1","","",""
"Very Inexpensive","1991","16-34 y.","186","0.133124940179809","0.116484669286051","0.149765211073567"
"Very Inexpensive","1991","35-65 y.","395","0.152410313818638","0.139490666846567","0.165329960790709"
"Very Inexpensive","1991","66 and older","135","0.206598676196868","0.176078645180911","0.237118707212826"
"Inexpensive","1991","16-34 y.","474","0.316503690785631","0.293720743708994","0.339286637862269"
"Inexpensive","1991","35-65 y.","912","0.330976847485506","0.314061924777189","0.347891770193823"
"Inexpensive","1991","66 and older","239","0.362643408273109","0.326401932188765","0.398884884357453"
"Reasonable","1991","16-34 y.","584","0.387753436910937","0.363886678833895","0.41162019498798"
"Reasonable","1991","35-65 y.","1072","0.376789867587545","0.359371097094876","0.394208638080213"
"Reasonable","1991","66 and older","246","0.360398522773532","0.324205823587868","0.396591221959196"
"Slightly Expensive","1991","16-34 y.","234","0.115251012382189","0.0996092805201015","0.130892744244277"
"Slightly Expensive","1991","35-65 y.","384","0.0948648946745941","0.0843317001323416","0.105398089216847"
"Slightly Expensive","1991","66 and older","36","0.0435504135189416","0.0281652567306871","0.058935570307196"
"Too Expensive","1991","16-34 y.","123","0.0473669197414332","0.0369616623895841","0.0577721770932824"
"Too Expensive","1991","35-65 y.","210","0.0449580764337175","0.0375096297191021","0.0524065231483329"
"Too Expensive","1991","66 and older","20","","",""
"Very Inexpensive","1992","16-34 y.","182","0.151596976325749","0.1334117309385","0.169782221712998"
"Very Inexpensive","1992","35-65 y.","411","0.162171351293626","0.148767188501039","0.175575514086213"
"Very Inexpensive","1992","66 and older","131","0.202112461705468","0.171772994776864","0.232451928634071"
"Inexpensive","1992","16-34 y.","475","0.325436736880162","0.301678324103511","0.349195149656813"
"Inexpensive","1992","35-65 y.","893","0.326777925395221","0.309721793247227","0.343834057543215"
"Inexpensive","1992","66 and older","253","0.37583884805305","0.339246543629442","0.412431152476657"
"Reasonable","1992","16-34 y.","627","0.414876923698019","0.389893264617224","0.439860582778813"
"Reasonable","1992","35-65 y.","1191","0.405974856878056","0.38811709592392","0.423832617832191"
"Reasonable","1992","66 and older","234","0.354467626416499","0.318327650315057","0.390607602517941"
"Slightly Expensive","1992","16-34 y.","159","0.0803126649420877","0.0665315322709207","0.0940937976132548"
"Slightly Expensive","1992","35-65 y.","313","0.0786081795989825","0.0688215969431295","0.0883947622548355"
"Slightly Expensive","1992","66 and older","44","0.0501315706815345","0.0336450906290015","0.0666180507340675"
"Too Expensive","1992","16-34 y.","51","0.0277766981539826","0.0194437992118938","0.0361095970960715"
"Too Expensive","1992","35-65 y.","97","0.0264676868341148","0.0206304380698943","0.0323049355983353"
"Too Expensive","1992","66 and older","11","","",""
"Very Inexpensive","1993","16-34 y.","209","0.155274759879163","0.136672077450762","0.173877442307565"
"Very Inexpensive","1993","35-65 y.","421","0.160554190159443","0.147181124960674","0.173927255358213"
"Very Inexpensive","1993","66 and older","133","0.208677047837473","0.177975888032575","0.239378207642371"
"Inexpensive","1993","16-34 y.","465","0.330337905502763","0.306179155073662","0.354496655931865"
"Inexpensive","1993","35-65 y.","976","0.346309774911622","0.328978034430895","0.363641515392348"
"Inexpensive","1993","66 and older","258","0.373270345367957","0.336728335931133","0.409812354804782"
"Reasonable","1993","16-34 y.","632","0.421136115954133","0.395775086736352","0.446497145171913"
"Reasonable","1993","35-65 y.","1200","0.402887713015301","0.385021034526874","0.420754391503727"
"Reasonable","1993","66 and older","251","0.376760683309611","0.340150595695653","0.413370770923568"
"Slightly Expensive","1993","16-34 y.","120","0.074866469505673","0.0613484430773641","0.0883844959339818"
"Slightly Expensive","1993","35-65 y.","225","0.0666081220771279","0.0575253292047461","0.0756909149495096"
"Slightly Expensive","1993","66 and older","25","","",""
"Too Expensive","1993","16-34 y.","30","0.0183847491582675","0.0114844660987891","0.0252850322177458"
"Too Expensive","1993","35-65 y.","73","0.0236401998365063","0.0181060065444783","0.0291743931285343"
"Too Expensive","1993","66 and older","6","","",""
"Very Inexpensive","1994","16-34 y.","173","0.132684939548614","0.115163648480208","0.15020623061702"
"Very Inexpensive","1994","35-65 y.","462","0.183823416796481","0.169696675926862","0.1979501576661"
"Very Inexpensive","1994","66 and older","139","0.214419285223476","0.183862419737638","0.244976150709314"
"Inexpensive","1994","16-34 y.","451","0.320351016706773","0.29625072861624","0.344451304797306"
"Inexpensive","1994","35-65 y.","894","0.312722949599705","0.295814830648162","0.329631068551247"
"Inexpensive","1994","66 and older","260","0.356784160655659","0.321117485870411","0.392450835440906"
"Reasonable","1994","16-34 y.","635","0.441192852252614","0.415547300026188","0.46683840447904"
"Reasonable","1994","35-65 y.","1242","0.414649844039606","0.396681911061828","0.432617777017383"
"Reasonable","1994","66 and older","270","0.400373539251757","0.363893562572129","0.436853515931385"
"Slightly Expensive","1994","16-34 y.","146","0.0892613303399867","0.0745349704060345","0.103987690273939"
"Slightly Expensive","1994","35-65 y.","235","0.0691051326217208","0.059854850745418","0.0783554144980236"
"Slightly Expensive","1994","66 and older","21","","",""
"Too Expensive","1994","16-34 y.","35","0.0165098611520124","0.0099283812370964","0.0230913410669284"
"Too Expensive","1994","35-65 y.","55","0.0196986569424878","0.0146305286039667","0.0247667852810088"
"Too Expensive","1994","66 and older","3","","",""
"Very Inexpensive","1995","16-34 y.","191","0.145710548121921","0.127631567222408","0.163789529021434"
"Very Inexpensive","1995","35-65 y.","425","0.153589830657073","0.1405986902823","0.166580971031845"
"Very Inexpensive","1995","66 and older","146","0.236292759767174","0.204935204686598","0.26765031484775"
"Inexpensive","1995","16-34 y.","442","0.316431663800481","0.292599862785884","0.340263464815078"
"Inexpensive","1995","35-65 y.","973","0.331125854101688","0.314169036099191","0.348082672104185"
"Inexpensive","1995","66 and older","281","0.394652478216423","0.358572743630219","0.430732212802626"
"Reasonable","1995","16-34 y.","662","0.427398237570896","0.402048782280082","0.45274769286171"
"Reasonable","1995","35-65 y.","1236","0.409714975298031","0.391995640657059","0.427434309939003"
"Reasonable","1995","66 and older","255","0.338845058690983","0.303906439682416","0.373783677699551"
"Slightly Expensive","1995","16-34 y.","146","0.0969601090691174","0.0817974299855161","0.112122788152719"
"Slightly Expensive","1995","35-65 y.","279","0.0876176928533256","0.0774303729892857","0.0978050127173656"
"Slightly Expensive","1995","66 and older","20","","",""
"Too Expensive","1995","16-34 y.","22","","",""
"Too Expensive","1995","35-65 y.","46","0.0179516470898826","0.013167613776512","0.0227356804032532"
"Too Expensive","1995","66 and older","3","","",""
"Very Inexpensive","1996","16-34 y.","178","0.141710794749674","0.123729023876128","0.15969256562322"
"Very Inexpensive","1996","35-65 y.","406","0.164118002386183","0.150888506051172","0.177347498721195"
"Very Inexpensive","1996","66 and older","143","0.219291806244965","0.188835267611322","0.249748344878607"
"Inexpensive","1996","16-34 y.","437","0.292043213401568","0.268598706580463","0.315487720222673"
"Inexpensive","1996","35-65 y.","987","0.324072426462054","0.307355215027479","0.34078963789663"
"Inexpensive","1996","66 and older","278","0.392767954410268","0.356820318185289","0.428715590635247"
"Reasonable","1996","16-34 y.","669","0.470981472524769","0.445244851934016","0.496718093115522"
"Reasonable","1996","35-65 y.","1316","0.410470484681963","0.392899890144159","0.428041079219767"
"Reasonable","1996","66 and older","259","0.355835023864514","0.320594052253286","0.391075995475741"
"Slightly Expensive","1996","16-34 y.","129","0.0730551980115188","0.0596378505906309","0.0864725454324068"
"Slightly Expensive","1996","35-65 y.","254","0.0820286206565036","0.0722271783453596","0.0918300629676476"
"Slightly Expensive","1996","66 and older","27","","",""
"Too Expensive","1996","16-34 y.","32","0.0222093213124708","0.0146112256437424","0.0298074169811991"
"Too Expensive","1996","35-65 y.","48","0.019310465813296","0.0143951111596221","0.0242258204669699"
"Too Expensive","1996","66 and older","2","","",""
"Very Inexpensive","1997","16-34 y.","187","0.137571687107279","0.119909315514107","0.155234058700452"
"Very Inexpensive","1997","35-65 y.","429","0.164735905968779","0.151605805284452","0.177866006653106"
"Very Inexpensive","1997","66 and older","137","0.212086588413293","0.182144131765784","0.242029045060802"
"Inexpensive","1997","16-34 y.","416","0.290481613605084","0.267202623573203","0.313760603636965"
"Inexpensive","1997","35-65 y.","948","0.317416729037596","0.300940616797452","0.33389284127774"
"Inexpensive","1997","66 and older","271","0.379440897379297","0.343897803844095","0.414983990914499"
"Reasonable","1997","16-34 y.","706","0.474121196896197","0.448517038690222","0.499725355102171"
"Reasonable","1997","35-65 y.","1370","0.420395943913008","0.402923366135709","0.437868521690308"
"Reasonable","1997","66 and older","288","0.37962274362363","0.344076343467443","0.415169143779817"
"Slightly Expensive","1997","16-34 y.","126","0.0820104547164421","0.0679410260922575","0.0960798833406267"
"Slightly Expensive","1997","35-65 y.","257","0.074388683548169","0.06510052157911","0.083676845517228"
"Slightly Expensive","1997","66 and older","17","","",""
"Too Expensive","1997","16-34 y.","26","","",""
"Too Expensive","1997","35-65 y.","62","0.0230627375324476","0.0177496033825994","0.0283758716822958"
"Too Expensive","1997","66 and older","3","","",""
"Very Inexpensive","1998","16-34 y.","204","0.138436423742988","0.121556366317933","0.155316481168043"
"Very Inexpensive","1998","35-65 y.","556","0.177419710193401","0.164877637153919","0.189961783232883"
"Very Inexpensive","1998","66 and older","159","0.208863089490341","0.18158397630134","0.236142202679342"
"Inexpensive","1998","16-34 y.","440","0.268802514166145","0.247133503829052","0.290471524503238"
"Inexpensive","1998","35-65 y.","1092","0.304819555264288","0.289706598865712","0.319932511662864"
"Inexpensive","1998","66 and older","354","0.41487647459224","0.3818123704803","0.44794057870418"
"Reasonable","1998","16-34 y.","771","0.485580754335634","0.461152389043191","0.510009119628077"
"Reasonable","1998","35-65 y.","1548","0.418422200303687","0.402226843786372","0.434617556821001"
"Reasonable","1998","66 and older","307","0.338407636355429","0.306654334303795","0.370160938407064"
"Slightly Expensive","1998","16-34 y.","164","0.083216744651506","0.0697164338643203","0.0967170554386917"
"Slightly Expensive","1998","35-65 y.","321","0.0816994997337872","0.0727069809756678","0.0906920184919065"
"Slightly Expensive","1998","66 and older","29","","",""
"Too Expensive","1998","16-34 y.","29","","",""
"Too Expensive","1998","35-65 y.","47","0.0176390345048372","0.0133173585789457","0.0219607104307286"
"Too Expensive","1998","66 and older","4","","",""
"Very Inexpensive","1999","16-34 y.","217","0.145173222477732","0.127618852321648","0.162727592633815"
"Very Inexpensive","1999","35-65 y.","561","0.167898442451046","0.15557167381469","0.180225211087402"
"Very Inexpensive","1999","66 and older","155","0.20730761919756","0.1801829518324","0.234432286562721"
"Inexpensive","1999","16-34 y.","462","0.307700986958174","0.284701707247508","0.33070026666884"
"Inexpensive","1999","35-65 y.","1135","0.338547336950985","0.322941149136327","0.354153524765644"
"Inexpensive","1999","66 and older","341","0.399355896989102","0.366584639466511","0.432127154511693"
"Reasonable","1999","16-34 y.","675","0.422783789627437","0.398167003222187","0.447400576032687"
"Reasonable","1999","35-65 y.","1475","0.400629304976445","0.384468728343374","0.416789881609515"
"Reasonable","1999","66 and older","327","0.357506111368502","0.325437461000098","0.389574761736906"
"Slightly Expensive","1999","16-34 y.","154","0.0986470143985586","0.0837879194508082","0.113506109346309"
"Slightly Expensive","1999","35-65 y.","287","0.0702066801801687","0.0617807050481961","0.0786326553121414"
"Slightly Expensive","1999","66 and older","31","0.031747088045072","0.0200156621610356","0.0434785139291084"
"Too Expensive","1999","16-34 y.","39","0.0256949865380985","0.0178104785036504","0.0335794945725466"
"Too Expensive","1999","35-65 y.","74","0.0227182354413556","0.0178042378508621","0.0276322330318491"
"Too Expensive","1999","66 and older","4","","",""
"Very Inexpensive","2000","16-34 y.","284","0.116837877212611","0.104473880557734","0.129201873867487"
"Very Inexpensive","2000","35-65 y.","957","0.139085747056193","0.131127611515635","0.14704388259675"
"Very Inexpensive","2000","66 and older","334","0.189880570225833","0.172137419472364","0.207623720979302"
"Inexpensive","2000","16-34 y.","754","0.291858816070381","0.274360624486812","0.309357007653949"
"Inexpensive","2000","35-65 y.","2371","0.330938914587238","0.320117180121225","0.341760649053251"
"Inexpensive","2000","66 and older","746","0.392366845400545","0.37027750044517","0.414456190355919"
"Reasonable","2000","16-34 y.","1203","0.453598225713764","0.434436326275649","0.472760125151879"
"Reasonable","2000","35-65 y.","3120","0.420697213833531","0.409343767917418","0.432050659749644"
"Reasonable","2000","66 and older","693","0.359855723602452","0.338142760446805","0.381568686758099"
"Slightly Expensive","2000","16-34 y.","295","0.115161207288166","0.102874598948988","0.127447815627345"
"Slightly Expensive","2000","35-65 y.","687","0.0918339101094496","0.0851922866835464","0.0984755335353527"
"Slightly Expensive","2000","66 and older","91","0.0511537671761328","0.0411870373722286","0.061120496980037"
"Too Expensive","2000","16-34 y.","57","0.0225438737150789","0.0168302749289009","0.0282574725012569"
"Too Expensive","2000","35-65 y.","128","0.0174442144135885","0.0144333279052686","0.0204551009219084"
"Too Expensive","2000","66 and older","13","","",""
"Very Inexpensive","2001","16-34 y.","239","0.117162213029254","0.104069621609388","0.13025480444912"
"Very Inexpensive","2001","35-65 y.","787","0.127033286517807","0.118979090555414","0.135087482480199"
"Very Inexpensive","2001","66 and older","251","0.152114384667744","0.135610525171627","0.168618244163862"
"Inexpensive","2001","16-34 y.","674","0.283596977470561","0.265247619260786","0.301946335680337"
"Inexpensive","2001","35-65 y.","2068","0.307669178921407","0.296506629053302","0.318831728789511"
"Inexpensive","2001","66 and older","688","0.377745304189485","0.355465294777998","0.400025313600973"
"Reasonable","2001","16-34 y.","1137","0.498937232231982","0.478582734110876","0.519291730353088"
"Reasonable","2001","35-65 y.","3027","0.466823091376854","0.454756727604183","0.478889455149526"
"Reasonable","2001","66 and older","757","0.405194254651225","0.382633638405532","0.427754870896917"
"Slightly Expensive","2001","16-34 y.","230","0.0855484777068332","0.0741623025144205","0.0969346528992458"
"Slightly Expensive","2001","35-65 y.","565","0.0797290661992466","0.0731777166143246","0.0862804157841686"
"Slightly Expensive","2001","66 and older","102","0.0553576345129347","0.0448488082291616","0.0658664607967079"
"Too Expensive","2001","16-34 y.","38","0.0147550995613694","0.00984676061730974","0.0196634385054291"
"Too Expensive","2001","35-65 y.","120","0.0187453769846861","0.015465160323146","0.0220255936462261"
"Too Expensive","2001","66 and older","21","","",""
"Very Inexpensive","2002","16-34 y.","230","0.09570599596868","0.0840426840755895","0.10736930786177"
"Very Inexpensive","2002","35-65 y.","921","0.12924966948172","0.121724200711875","0.136775138251565"
"Very Inexpensive","2002","66 and older","313","0.170935247073329","0.154161980688647","0.187708513458012"
"Inexpensive","2002","16-34 y.","723","0.30619650546393","0.287923253329183","0.324469757598676"
"Inexpensive","2002","35-65 y.","2323","0.299861614772341","0.289583241273007","0.310139988271674"
"Inexpensive","2002","66 and older","688","0.360153934762681","0.338764986001853","0.38154288352351"
"Reasonable","2002","16-34 y.","1163","0.471931104033792","0.452139450262454","0.491722757805131"
"Reasonable","2002","35-65 y.","3561","0.468265977561694","0.457072486930073","0.479459468193315"
"Reasonable","2002","66 and older","835","0.414227667923674","0.392279838027846","0.436175497819502"
"Slightly Expensive","2002","16-34 y.","291","0.108369819403984","0.0960460363276315","0.120693602480336"
"Slightly Expensive","2002","35-65 y.","735","0.0909489636850046","0.0844988848349449","0.0973990425350643"
"Slightly Expensive","2002","66 and older","88","0.0497902466981659","0.0400987804563468","0.059481712939985"
"Too Expensive","2002","16-34 y.","37","0.0177965751296145","0.012554944319958","0.0230382059392709"
"Too Expensive","2002","35-65 y.","94","0.0116737744992408","0.00926426954858277","0.0140832794498988"
"Too Expensive","2002","66 and older","11","","",""
"Very Inexpensive","2003","16-34 y.","","","",""
"Very Inexpensive","2003","35-65 y.","","","",""
"Very Inexpensive","2003","66 and older","","","",""
"Inexpensive","2003","16-34 y.","","","",""
"Inexpensive","2003","35-65 y.","","","",""
"Inexpensive","2003","66 and older","","","",""
"Reasonable","2003","16-34 y.","","","",""
"Reasonable","2003","35-65 y.","","","",""
"Reasonable","2003","66 and older","","","",""
"Slightly Expensive","2003","16-34 y.","","","",""
"Slightly Expensive","2003","35-65 y.","","","",""
"Slightly Expensive","2003","66 and older","","","",""
"Too Expensive","2003","16-34 y.","","","",""
"Too Expensive","2003","35-65 y.","","","",""
"Too Expensive","2003","66 and older","","","",""
"Very Inexpensive","2004","16-34 y.","","","",""
"Very Inexpensive","2004","35-65 y.","","","",""
"Very Inexpensive","2004","66 and older","","","",""
"Inexpensive","2004","16-34 y.","","","",""
"Inexpensive","2004","35-65 y.","","","",""
"Inexpensive","2004","66 and older","","","",""
"Reasonable","2004","16-34 y.","","","",""
"Reasonable","2004","35-65 y.","","","",""
"Reasonable","2004","66 and older","","","",""
"Slightly Expensive","2004","16-34 y.","","","",""
"Slightly Expensive","2004","35-65 y.","","","",""
"Slightly Expensive","2004","66 and older","","","",""
"Too Expensive","2004","16-34 y.","","","",""
"Too Expensive","2004","35-65 y.","","","",""
"Too Expensive","2004","66 and older","","","",""
"Very Inexpensive","2005","16-34 y.","202","0.0960742180215783","0.0835651686451094","0.108583267398047"
"Very Inexpensive","2005","35-65 y.","656","0.0959711938166332","0.0889287232972339","0.103013664336032"
"Very Inexpensive","2005","66 and older","268","0.132950916333782","0.118419217619379","0.147482615048185"
"Inexpensive","2005","16-34 y.","597","0.276907794637856","0.257913685841537","0.295901903434176"
"Inexpensive","2005","35-65 y.","1910","0.290932278898391","0.280072943005044","0.301791614791737"
"Inexpensive","2005","66 and older","730","0.348270680352142","0.327879565886349","0.368661794817935"
"Reasonable","2005","16-34 y.","1079","0.521892784307192","0.500689273002529","0.543096295611856"
"Reasonable","2005","35-65 y.","3438","0.508586497114228","0.496633703791838","0.520539290436617"
"Reasonable","2005","66 and older","989","0.468192931590303","0.446836024670815","0.489549838509792"
"Slightly Expensive","2005","16-34 y.","216","0.086030114017635","0.0741274086526037","0.0979328193826663"
"Slightly Expensive","2005","35-65 y.","616","0.0909485103844876","0.0840737828411832","0.097823237927792"
"Slightly Expensive","2005","66 and older","99","0.0463309759382723","0.0373342718071715","0.0553276800693731"
"Too Expensive","2005","16-34 y.","38","0.0190950890157382","0.0132857223431754","0.0249044556883009"
"Too Expensive","2005","35-65 y.","100","0.013561519786261","0.010796153663683","0.0163268859088389"
"Too Expensive","2005","66 and older","11","","",""
"Very Inexpensive","2006","16-34 y.","233","0.106150379741529","0.0933225191419577","0.118978240341099"
"Very Inexpensive","2006","35-65 y.","749","0.0990284698322144","0.0921556490037278","0.105901290660701"
"Very Inexpensive","2006","66 and older","320","0.138484717194254","0.124876760872921","0.152092673515588"
"Inexpensive","2006","16-34 y.","604","0.287708334207845","0.268855945813919","0.306560722601772"
"Inexpensive","2006","35-65 y.","2024","0.282560165667396","0.27220045406779","0.292919877267003"
"Inexpensive","2006","66 and older","855","0.341112470134824","0.322435134138062","0.359789806131585"
"Reasonable","2006","16-34 y.","1125","0.503281899894287","0.48245992711339","0.524103872675184"
"Reasonable","2006","35-65 y.","3637","0.493804955009305","0.482301292804031","0.50530861721458"
