"hlf0094","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence"
"Very Inexpensive","1984","no migration background","in school","22","","",""
"Very Inexpensive","1984","no migration background","inadequately","7","","",""
"Very Inexpensive","1984","no migration background","general elemantary","319","0.27552132350216","0.250062042741798","0.300980604262523"
"Very Inexpensive","1984","no migration background","middle vocational","550","0.265541716368535","0.246622052228447","0.284461380508623"
"Very Inexpensive","1984","no migration background","vocational + Abi","15","","",""
"Very Inexpensive","1984","no migration background","higher vocational","76","0.253266763269132","0.204699394670834","0.30183413186743"
"Very Inexpensive","1984","no migration background","higher education","72","0.237978062929967","0.191320150740114","0.28463597511982"
"Very Inexpensive","1984","direct migration background","in school","","","",""
"Very Inexpensive","1984","direct migration background","inadequately","1","","",""
"Very Inexpensive","1984","direct migration background","general elemantary","10","","",""
"Very Inexpensive","1984","direct migration background","middle vocational","21","","",""
"Very Inexpensive","1984","direct migration background","vocational + Abi","1","","",""
"Very Inexpensive","1984","direct migration background","higher vocational","6","","",""
"Very Inexpensive","1984","direct migration background","higher education","7","","",""
"Very Inexpensive","1984","indirect migration background","in school","2","","",""
"Very Inexpensive","1984","indirect migration background","inadequately","","","",""
"Very Inexpensive","1984","indirect migration background","general elemantary","3","","",""
"Very Inexpensive","1984","indirect migration background","middle vocational","1","","",""
"Very Inexpensive","1984","indirect migration background","vocational + Abi","","","",""
"Very Inexpensive","1984","indirect migration background","higher vocational","","","",""
"Very Inexpensive","1984","indirect migration background","higher education","","","",""
"Inexpensive","1984","no migration background","in school","22","","",""
"Inexpensive","1984","no migration background","inadequately","9","","",""
"Inexpensive","1984","no migration background","general elemantary","379","0.323381803966539","0.296726395325685","0.350037212607392"
"Inexpensive","1984","no migration background","middle vocational","640","0.314772919244024","0.294876294142877","0.334669544345171"
"Inexpensive","1984","no migration background","vocational + Abi","28","","",""
"Inexpensive","1984","no migration background","higher vocational","93","0.30827503867095","0.256703672417533","0.359846404924368"
"Inexpensive","1984","no migration background","higher education","96","0.298397159811374","0.248265034836639","0.34852928478611"
"Inexpensive","1984","direct migration background","in school","","","",""
"Inexpensive","1984","direct migration background","inadequately","8","","",""
"Inexpensive","1984","direct migration background","general elemantary","26","","",""
"Inexpensive","1984","direct migration background","middle vocational","37","0.325596088700243","0.243118324766056","0.40807385263443"
"Inexpensive","1984","direct migration background","vocational + Abi","1","","",""
"Inexpensive","1984","direct migration background","higher vocational","6","","",""
"Inexpensive","1984","direct migration background","higher education","8","","",""
"Inexpensive","1984","indirect migration background","in school","","","",""
"Inexpensive","1984","indirect migration background","inadequately","","","",""
"Inexpensive","1984","indirect migration background","general elemantary","4","","",""
"Inexpensive","1984","indirect migration background","middle vocational","4","","",""
"Inexpensive","1984","indirect migration background","vocational + Abi","","","",""
"Inexpensive","1984","indirect migration background","higher vocational","1","","",""
"Inexpensive","1984","indirect migration background","higher education","","","",""
"Reasonable","1984","no migration background","in school","35","0.377786778519772","0.278715635793196","0.476857921246348"
"Reasonable","1984","no migration background","inadequately","11","","",""
"Reasonable","1984","no migration background","general elemantary","371","0.308719736606952","0.282394941779702","0.335044531434201"
"Reasonable","1984","no migration background","middle vocational","687","0.321717671925833","0.301704948819108","0.341730395032557"
"Reasonable","1984","no migration background","vocational + Abi","24","","",""
"Reasonable","1984","no migration background","higher vocational","99","0.314872696884803","0.263001547401653","0.366743846367952"
"Reasonable","1984","no migration background","higher education","118","0.366820523161087","0.314016947823871","0.419624098498304"
"Reasonable","1984","direct migration background","in school","1","","",""
"Reasonable","1984","direct migration background","inadequately","12","","",""
"Reasonable","1984","direct migration background","general elemantary","34","0.30587448250306","0.206745722473046","0.405003242533075"
"Reasonable","1984","direct migration background","middle vocational","47","0.313400123120606","0.231753412907538","0.395046833333675"
"Reasonable","1984","direct migration background","vocational + Abi","7","","",""
"Reasonable","1984","direct migration background","higher vocational","4","","",""
"Reasonable","1984","direct migration background","higher education","13","","",""
"Reasonable","1984","indirect migration background","in school","2","","",""
"Reasonable","1984","indirect migration background","inadequately","","","",""
"Reasonable","1984","indirect migration background","general elemantary","5","","",""
"Reasonable","1984","indirect migration background","middle vocational","8","","",""
"Reasonable","1984","indirect migration background","vocational + Abi","","","",""
"Reasonable","1984","indirect migration background","higher vocational","2","","",""
"Reasonable","1984","indirect migration background","higher education","","","",""
"Slightly Expensive","1984","no migration background","in school","9","","",""
"Slightly Expensive","1984","no migration background","inadequately","1","","",""
"Slightly Expensive","1984","no migration background","general elemantary","78","0.0642575819586742","0.0502843758018926","0.0782307881154557"
"Slightly Expensive","1984","no migration background","middle vocational","158","0.072475609196773","0.0613679618355987","0.0835832565579473"
"Slightly Expensive","1984","no migration background","vocational + Abi","3","","",""
"Slightly Expensive","1984","no migration background","higher vocational","32","0.0982105338273192","0.0649748707580277","0.131446196896611"
"Slightly Expensive","1984","no migration background","higher education","24","","",""
"Slightly Expensive","1984","direct migration background","in school","1","","",""
"Slightly Expensive","1984","direct migration background","inadequately","5","","",""
"Slightly Expensive","1984","direct migration background","general elemantary","12","","",""
"Slightly Expensive","1984","direct migration background","middle vocational","15","","",""
"Slightly Expensive","1984","direct migration background","vocational + Abi","1","","",""
"Slightly Expensive","1984","direct migration background","higher vocational","2","","",""
"Slightly Expensive","1984","direct migration background","higher education","1","","",""
"Slightly Expensive","1984","indirect migration background","in school","","","",""
"Slightly Expensive","1984","indirect migration background","inadequately","","","",""
"Slightly Expensive","1984","indirect migration background","general elemantary","","","",""
"Slightly Expensive","1984","indirect migration background","middle vocational","","","",""
"Slightly Expensive","1984","indirect migration background","vocational + Abi","","","",""
"Slightly Expensive","1984","indirect migration background","higher vocational","","","",""
"Slightly Expensive","1984","indirect migration background","higher education","","","",""
"Too Expensive","1984","no migration background","in school","4","","",""
"Too Expensive","1984","no migration background","inadequately","","","",""
"Too Expensive","1984","no migration background","general elemantary","36","0.0281195539656749","0.0186992188031304","0.0375398891282194"
"Too Expensive","1984","no migration background","middle vocational","58","0.0254920832648353","0.0187396729157282","0.0322444936139424"
"Too Expensive","1984","no migration background","vocational + Abi","3","","",""
"Too Expensive","1984","no migration background","higher vocational","8","","",""
"Too Expensive","1984","no migration background","higher education","10","","",""
"Too Expensive","1984","direct migration background","in school","","","",""
"Too Expensive","1984","direct migration background","inadequately","1","","",""
"Too Expensive","1984","direct migration background","general elemantary","1","","",""
"Too Expensive","1984","direct migration background","middle vocational","4","","",""
"Too Expensive","1984","direct migration background","vocational + Abi","1","","",""
"Too Expensive","1984","direct migration background","higher vocational","","","",""
"Too Expensive","1984","direct migration background","higher education","1","","",""
"Too Expensive","1984","indirect migration background","in school","","","",""
"Too Expensive","1984","indirect migration background","inadequately","","","",""
"Too Expensive","1984","indirect migration background","general elemantary","","","",""
"Too Expensive","1984","indirect migration background","middle vocational","","","",""
"Too Expensive","1984","indirect migration background","vocational + Abi","","","",""
"Too Expensive","1984","indirect migration background","higher vocational","","","",""
"Too Expensive","1984","indirect migration background","higher education","","","",""
"Very Inexpensive","1985","no migration background","in school","17","","",""
"Very Inexpensive","1985","no migration background","inadequately","5","","",""
"Very Inexpensive","1985","no migration background","general elemantary","262","0.247729234072514","0.221826738761769","0.27363172938326"
"Very Inexpensive","1985","no migration background","middle vocational","451","0.238658217761249","0.219830257989648","0.257486177532849"
"Very Inexpensive","1985","no migration background","vocational + Abi","19","","",""
"Very Inexpensive","1985","no migration background","higher vocational","66","0.238480967996561","0.189348745098805","0.287613190894318"
"Very Inexpensive","1985","no migration background","higher education","66","0.217343449476823","0.171797296119879","0.262889602833767"
"Very Inexpensive","1985","direct migration background","in school","","","",""
"Very Inexpensive","1985","direct migration background","inadequately","","","",""
"Very Inexpensive","1985","direct migration background","general elemantary","14","","",""
"Very Inexpensive","1985","direct migration background","middle vocational","25","","",""
"Very Inexpensive","1985","direct migration background","vocational + Abi","","","",""
"Very Inexpensive","1985","direct migration background","higher vocational","6","","",""
"Very Inexpensive","1985","direct migration background","higher education","5","","",""
"Very Inexpensive","1985","indirect migration background","in school","","","",""
"Very Inexpensive","1985","indirect migration background","inadequately","","","",""
"Very Inexpensive","1985","indirect migration background","general elemantary","6","","",""
"Very Inexpensive","1985","indirect migration background","middle vocational","3","","",""
"Very Inexpensive","1985","indirect migration background","vocational + Abi","","","",""
