"hlf0094","year","age_gr","e11103","n","percent","lower_confidence","upper_confidence","value"
"Inexpensive","1984","16-34 y.","Not Working","121","0.270465390593918","0.229960645540469","0.310970135647366","2"
"Inexpensive","1984","66 and older","Full Time","4","","","","2"
"Inexpensive","1984","16-34 y.","Part Time","79","0.31601671585902","0.259176031110967","0.372857400607072","2"
"Inexpensive","1984","35-65 y.","Not Working","283","0.3355711570668","0.303939076373483","0.367203237760117","2"
"Inexpensive","1984","16-34 y.","Full Time","193","0.335467289051342","0.297465502379785","0.373469075722898","2"
"Inexpensive","1984","35-65 y.","Part Time","123","0.318765769404857","0.272926582231875","0.364604956577839","2"
"Inexpensive","1984","66 and older","Not Working","160","0.312996202489095","0.273254510818874","0.352737894159316","2"
"Inexpensive","1984","35-65 y.","Full Time","393","0.309520957532296","0.284477254312701","0.334564660751891","2"
"Inexpensive","1984","66 and older","Part Time","6","","","","2"
"Reasonable","1984","16-34 y.","Part Time","93","0.342708767239071","0.284682710745829","0.400734823732314","3"
"Reasonable","1984","16-34 y.","Not Working","162","0.347319435945416","0.303904217867466","0.390734654023367","3"
"Reasonable","1984","35-65 y.","Not Working","261","0.297295579016781","0.266676524423353","0.327914633610209","3"
"Reasonable","1984","66 and older","Full Time","6","","","","3"
"Reasonable","1984","66 and older","Part Time","8","","","","3"
"Reasonable","1984","66 and older","Not Working","178","0.325814129246944","0.28564688594961","0.365981372544277","3"
"Reasonable","1984","16-34 y.","Full Time","204","0.323658866978785","0.286001721215102","0.361316012742468","3"
"Reasonable","1984","35-65 y.","Full Time","439","0.321899847894366","0.29659023082626","0.347209464962472","3"
"Reasonable","1984","35-65 y.","Part Time","132","0.331867725285116","0.28554793626884","0.378187514301392","3"
"Slightly Expensive","1984","16-34 y.","Part Time","24","","","","4"
"Slightly Expensive","1984","16-34 y.","Not Working","41","0.083760707307129","0.0584996381695271","0.109021776444731","4"
"Slightly Expensive","1984","66 and older","Part Time","1","","","","4"
"Slightly Expensive","1984","35-65 y.","Not Working","57","0.0636964288213562","0.0473366627037881","0.0800561949389243","4"
"Slightly Expensive","1984","66 and older","Not Working","18","","","","4"
"Slightly Expensive","1984","16-34 y.","Full Time","51","0.0827258197457725","0.0605545345464249","0.10489710494512","4"
"Slightly Expensive","1984","35-65 y.","Full Time","117","0.0835116522617958","0.0685246325093844","0.0984986720142071","4"
"Slightly Expensive","1984","35-65 y.","Part Time","33","0.0762549970205194","0.0501476319040945","0.102362362136944","4"
"Slightly Expensive","1984","66 and older","Full Time","","","","","4"
"Too Expensive","1984","35-65 y.","Part Time","11","","","","5"
"Too Expensive","1984","16-34 y.","Full Time","19","","","","5"
"Too Expensive","1984","35-65 y.","Full Time","47","0.0355361480611807","0.025507176020463","0.0455651201018984","5"
"Too Expensive","1984","16-34 y.","Part Time","14","","","","5"
"Too Expensive","1984","16-34 y.","Not Working","16","","","","5"
"Too Expensive","1984","35-65 y.","Not Working","16","","","","5"
"Too Expensive","1984","66 and older","Full Time","","","","","5"
"Too Expensive","1984","66 and older","Part Time","","","","","5"
"Too Expensive","1984","66 and older","Not Working","4","","","","5"
"Very Inexpensive","1984","16-34 y.","Full Time","126","0.225802916883059","0.192150885629483","0.259454948136636","1"
"Very Inexpensive","1984","16-34 y.","Part Time","47","0.18861058682296","0.14078291606699","0.236438257578929","1"
"Very Inexpensive","1984","16-34 y.","Not Working","122","0.266271648305402","0.225966806863214","0.30657648974759","1"
"Very Inexpensive","1984","35-65 y.","Full Time","313","0.249531394250362","0.226088721289027","0.272974067211696","1"
"Very Inexpensive","1984","35-65 y.","Part Time","98","0.248338790447218","0.205839058817316","0.290838522077119","1"
"Very Inexpensive","1984","35-65 y.","Not Working","239","0.286624041781846","0.256332125279023","0.316915958284669","1"
"Very Inexpensive","1984","66 and older","Full Time","3","","","","1"
"Very Inexpensive","1984","66 and older","Part Time","6","","","","1"
"Very Inexpensive","1984","66 and older","Not Working","163","0.318736748385121","0.278800175184917","0.358673321585326","1"
"Inexpensive","1985","16-34 y.","Not Working","125","0.285325125140443","0.243227148606141","0.327423101674745","2"
"Inexpensive","1985","66 and older","Full Time","5","","","","2"
"Inexpensive","1985","35-65 y.","Not Working","259","0.314774694635814","0.283083565075633","0.346465824195994","2"
"Inexpensive","1985","16-34 y.","Full Time","173","0.312319069977513","0.2743401317919","0.350298008163127","2"
"Inexpensive","1985","16-34 y.","Part Time","87","0.313716597464108","0.259940959616034","0.367492235312182","2"
"Inexpensive","1985","35-65 y.","Part Time","122","0.306558805181965","0.261261927058301","0.351855683305629","2"
"Inexpensive","1985","66 and older","Not Working","152","0.345570507337972","0.301485177311294","0.389655837364649","2"
"Inexpensive","1985","35-65 y.","Full Time","367","0.305780124887796","0.279862697165882","0.331697552609711","2"
"Inexpensive","1985","66 and older","Part Time","3","","","","2"
"Reasonable","1985","66 and older","Full Time","1","","","","3"
"Reasonable","1985","16-34 y.","Part Time","107","0.382691228191095","0.326361124272722","0.439021332109468","3"
"Reasonable","1985","35-65 y.","Not Working","278","0.331098480152966","0.298985485889645","0.363211474416287","3"
"Reasonable","1985","66 and older","Not Working","124","0.271257588634249","0.230040975634717","0.312474201633781","3"
"Reasonable","1985","16-34 y.","Full Time","221","0.381467557322953","0.34166049555361","0.421274619092296","3"
"Reasonable","1985","16-34 y.","Not Working","171","0.385271030945909","0.339901741904385","0.430640319987433","3"
"Reasonable","1985","35-65 y.","Full Time","464","0.374975546044652","0.347742969974566","0.402208122114737","3"
"Reasonable","1985","35-65 y.","Part Time","140","0.345959371175741","0.299226607157115","0.392692135194368","3"
"Reasonable","1985","66 and older","Part Time","5","","","","3"
"Slightly Expensive","1985","16-34 y.","Part Time","28","","","","4"
"Slightly Expensive","1985","35-65 y.","Not Working","59","0.0658924526934008","0.0489632153392311","0.0828216900475705","4"
"Slightly Expensive","1985","16-34 y.","Not Working","45","0.100759979183394","0.07269796728749","0.128821991079299","4"
"Slightly Expensive","1985","66 and older","Part Time","3","","","","4"
"Slightly Expensive","1985","66 and older","Not Working","21","","","","4"
"Slightly Expensive","1985","16-34 y.","Full Time","53","0.0816628487525058","0.0592207527120334","0.104104944792978","4"
"Slightly Expensive","1985","35-65 y.","Full Time","100","0.074631711457409","0.0598488756090393","0.0894145473057788","4"
"Slightly Expensive","1985","35-65 y.","Part Time","40","0.0937634795289631","0.0651253800956173","0.122401578962309","4"
"Slightly Expensive","1985","66 and older","Full Time","1","","","","4"
"Too Expensive","1985","35-65 y.","Part Time","14","","","","5"
"Too Expensive","1985","16-34 y.","Full Time","16","","","","5"
"Too Expensive","1985","35-65 y.","Full Time","32","0.0269934809432623","0.0178770243400289","0.0361099375464956","5"
"Too Expensive","1985","16-34 y.","Part Time","11","","","","5"
"Too Expensive","1985","16-34 y.","Not Working","9","","","","5"
"Too Expensive","1985","35-65 y.","Not Working","13","","","","5"
"Too Expensive","1985","66 and older","Full Time","1","","","","5"
"Too Expensive","1985","66 and older","Part Time","","","","","5"
"Too Expensive","1985","66 and older","Not Working","4","","","","5"
