"hlf0094","year","regtyp","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Inexpensive","1985","Urban Area","West Germany","924","0.322314886367439","0.305406654560796","0.339223118174082","2"
"Inexpensive","1985","Rural Area","East Germany","","","","","2"
"Inexpensive","1985","Rural Area","West Germany","369","0.29285903229087","0.267870215799107","0.317847848782633","2"
"Inexpensive","1985","Urban Area","East Germany","","","","","2"
"Reasonable","1985","Urban Area","East Germany","","","","","3"
"Reasonable","1985","Urban Area","West Germany","1047","0.344981690543414","0.327784053410627","0.362179327676202","3"
"Reasonable","1985","Rural Area","East Germany","","","","","3"
"Reasonable","1985","Rural Area","West Germany","464","0.360895678520989","0.33452385899846","0.387267498043518","3"
"Slightly Expensive","1985","Rural Area","West Germany","95","0.0704548575358968","0.0564023414723229","0.0845073735994707","4"
"Slightly Expensive","1985","Urban Area","West Germany","255","0.0779482276494498","0.068249275557424","0.0876471797414756","4"
"Slightly Expensive","1985","Urban Area","East Germany","","","","","4"
"Slightly Expensive","1985","Rural Area","East Germany","","","","","4"
"Too Expensive","1985","Urban Area","West Germany","64","0.0212952321146866","0.0160723397077536","0.0265181245216196","5"
"Too Expensive","1985","Urban Area","East Germany","","","","","5"
"Too Expensive","1985","Rural Area","West Germany","36","0.0262159983758402","0.0174423970647812","0.0349895996868991","5"
"Too Expensive","1985","Rural Area","East Germany","","","","","5"
"Very Inexpensive","1985","Urban Area","West Germany","645","0.23345996332501","0.218155515459723","0.248764411190297","1"
"Very Inexpensive","1985","Urban Area","East Germany","","","","","1"
"Very Inexpensive","1985","Rural Area","West Germany","310","0.249574433276404","0.225810559618214","0.273338306934594","1"
"Very Inexpensive","1985","Rural Area","East Germany","","","","","1"
"Inexpensive","1986","Urban Area","East Germany","","","","","2"
"Inexpensive","1986","Rural Area","East Germany","","","","","2"
"Inexpensive","1986","Urban Area","West Germany","930","0.320328466366128","0.303664901555161","0.336992031177096","2"
"Inexpensive","1986","Rural Area","West Germany","381","0.300428017879678","0.275545420328326","0.325310615431029","2"
"Reasonable","1986","Rural Area","West Germany","511","0.380746580641999","0.354391672438234","0.407101488845764","3"
"Reasonable","1986","Urban Area","East Germany","","","","","3"
"Reasonable","1986","Urban Area","West Germany","1180","0.387444211368251","0.370046263717842","0.40484215901866","3"
"Reasonable","1986","Rural Area","East Germany","","","","","3"
"Slightly Expensive","1986","Rural Area","East Germany","","","","","4"
"Slightly Expensive","1986","Rural Area","West Germany","126","0.0927704792019982","0.0770243872938294","0.108516571110167","4"
"Slightly Expensive","1986","Urban Area","East Germany","","","","","4"
"Slightly Expensive","1986","Urban Area","West Germany","296","0.0883198071253981","0.0781860399299385","0.0984535743208577","4"
"Too Expensive","1986","Urban Area","West Germany","70","0.0202273804444966","0.0151998688826152","0.025254892006378","5"
"Too Expensive","1986","Urban Area","East Germany","","","","","5"
"Too Expensive","1986","Rural Area","West Germany","48","0.033967490150182","0.0241356027675389","0.0437993775328251","5"
"Too Expensive","1986","Rural Area","East Germany","","","","","5"
"Very Inexpensive","1986","Urban Area","West Germany","536","0.183680134695726","0.169851417840281","0.197508851551171","1"
"Very Inexpensive","1986","Urban Area","East Germany","","","","","1"
"Very Inexpensive","1986","Rural Area","West Germany","238","0.192087432126143","0.170705795097152","0.213469069155134","1"
"Very Inexpensive","1986","Rural Area","East Germany","","","","","1"
"Inexpensive","1987","Rural Area","East Germany","","","","","2"
"Inexpensive","1987","Urban Area","East Germany","","","","","2"
"Inexpensive","1987","Rural Area","West Germany","398","0.324271838974544","0.298228130412662","0.350315547536426","2"
"Inexpensive","1987","Urban Area","West Germany","1055","0.357313445415287","0.34028710150587","0.374339789324703","2"
"Reasonable","1987","Urban Area","West Germany","1130","0.365259845218647","0.348151970276512","0.382367720160783","3"
"Reasonable","1987","Rural Area","East Germany","","","","","3"
"Reasonable","1987","Urban Area","East Germany","","","","","3"
"Reasonable","1987","Rural Area","West Germany","459","0.381253862184281","0.35423135899568","0.408276365372881","3"
"Slightly Expensive","1987","Rural Area","East Germany","","","","","4"
"Slightly Expensive","1987","Urban Area","East Germany","","","","","4"
"Slightly Expensive","1987","Urban Area","West Germany","277","0.0803733432975196","0.0707137485295719","0.0900329380654674","4"
"Slightly Expensive","1987","Rural Area","West Germany","100","0.0732078770233639","0.058715745271977","0.0877000087747508","4"
"Too Expensive","1987","Urban Area","West Germany","81","0.026840838516022","0.0210985224613791","0.0325831545706649","5"
"Too Expensive","1987","Urban Area","East Germany","","","","","5"
"Too Expensive","1987","Rural Area","West Germany","34","0.0234193140888743","0.0150052977445271","0.0318333304332215","5"
"Too Expensive","1987","Rural Area","East Germany","","","","","5"
"Very Inexpensive","1987","Urban Area","West Germany","500","0.170212527552525","0.156859605551113","0.183565449553936","1"
"Very Inexpensive","1987","Urban Area","East Germany","","","","","1"
"Very Inexpensive","1987","Rural Area","East Germany","","","","","1"
"Very Inexpensive","1987","Rural Area","West Germany","250","0.197847107728937","0.175682725550431","0.220011489907443","1"
"Inexpensive","1988","Urban Area","West Germany","1002","0.352234192554765","0.334837224009023","0.369631161100508","2"
"Inexpensive","1988","Rural Area","West Germany","385","0.342319529851134","0.314703269072294","0.369935790629973","2"
"Inexpensive","1988","Rural Area","East Germany","","","","","2"
"Inexpensive","1988","Urban Area","East Germany","","","","","2"
"Reasonable","1988","Urban Area","West Germany","1077","0.367243465225257","0.349686713403648","0.384800217046866","3"
"Reasonable","1988","Urban Area","East Germany","","","","","3"
"Reasonable","1988","Rural Area","East Germany","","","","","3"
"Reasonable","1988","Rural Area","West Germany","464","0.402854275460208","0.374307588285668","0.431400962634747","3"
"Slightly Expensive","1988","Rural Area","West Germany","76","0.066628630754562","0.0521142254782171","0.081143036030907","4"
"Slightly Expensive","1988","Urban Area","West Germany","245","0.0774883156230193","0.0677506947777393","0.0872259364682993","4"
"Slightly Expensive","1988","Urban Area","East Germany","","","","","4"
"Slightly Expensive","1988","Rural Area","East Germany","","","","","4"
"Too Expensive","1988","Urban Area","West Germany","42","0.0150627615774768","0.0106266200618509","0.0194989030931026","5"
"Too Expensive","1988","Urban Area","East Germany","","","","","5"
"Too Expensive","1988","Rural Area","West Germany","15","","","","5"
"Too Expensive","1988","Rural Area","East Germany","","","","","5"
"Very Inexpensive","1988","Urban Area","West Germany","530","0.187971265019481","0.173742072898265","0.202200457140698","1"
"Very Inexpensive","1988","Urban Area","East Germany","","","","","1"
"Very Inexpensive","1988","Rural Area","East Germany","","","","","1"
"Very Inexpensive","1988","Rural Area","West Germany","194","0.176885628726917","0.15467719499114","0.199094062462693","1"
"Inexpensive","1989","Rural Area","East Germany","","","","","2"
"Inexpensive","1989","Rural Area","West Germany","385","0.357600783420905","0.329302569464597","0.385898997377213","2"
"Inexpensive","1989","Urban Area","West Germany","1071","0.375388110440371","0.357681898512373","0.39309432236837","2"
"Inexpensive","1989","Urban Area","East Germany","","","","","2"
"Reasonable","1989","Rural Area","West Germany","378","0.33946556675449","0.311507773488985","0.367423360019995","3"
"Reasonable","1989","Rural Area","East Germany","","","","","3"
"Reasonable","1989","Urban Area","West Germany","1001","0.339578211293544","0.322261680769044","0.356894741818045","3"
"Reasonable","1989","Urban Area","East Germany","","","","","3"
"Slightly Expensive","1989","Rural Area","East Germany","","","","","4"
"Slightly Expensive","1989","Rural Area","West Germany","74","0.05966822315218","0.045682999929361","0.073653446374999","4"
"Slightly Expensive","1989","Urban Area","West Germany","207","0.0682491382006669","0.0590281224154176","0.0774701539859162","4"
"Slightly Expensive","1989","Urban Area","East Germany","","","","","4"
"Too Expensive","1989","Urban Area","West Germany","30","0.0104389486141882","0.00672248440645834","0.014155412821918","5"
"Too Expensive","1989","Urban Area","East Germany","","","","","5"
"Too Expensive","1989","Rural Area","West Germany","20","","","","5"
"Too Expensive","1989","Rural Area","East Germany","","","","","5"
"Very Inexpensive","1989","Urban Area","West Germany","564","0.206345591451229","0.19154791280097","0.221143270101488","1"
"Very Inexpensive","1989","Rural Area","East Germany","","","","","1"
"Very Inexpensive","1989","Urban Area","East Germany","","","","","1"
"Very Inexpensive","1989","Rural Area","West Germany","245","0.227843716417901","0.203079281265075","0.252608151570728","1"
"Inexpensive","1990","Rural Area","East Germany","","","","","2"
"Inexpensive","1990","Urban Area","East Germany","","","","","2"
"Inexpensive","1990","Rural Area","West Germany","366","0.343289462190996","0.314906279824263","0.371672644557729","2"
"Inexpensive","1990","Urban Area","West Germany","1076","0.383446069959931","0.365554184725407","0.401337955194455","2"
"Reasonable","1990","Rural Area","East Germany","","","","","3"
"Reasonable","1990","Urban Area","West Germany","1013","0.348421806352545","0.330888882049238","0.365954730655853","3"
"Reasonable","1990","Rural Area","West Germany","373","0.347691288905817","0.319222607450512","0.376159970361121","3"
"Reasonable","1990","Urban Area","East Germany","","","","","3"
"Slightly Expensive","1990","Urban Area","East Germany","","","","","4"
"Slightly Expensive","1990","Rural Area","East Germany","","","","","4"
"Slightly Expensive","1990","Urban Area","West Germany","175","0.0578113514111622","0.0492233141956294","0.0663993886266949","4"
"Slightly Expensive","1990","Rural Area","West Germany","82","0.0734332324305443","0.0578402732654352","0.0890261915956534","4"
"Too Expensive","1990","Urban Area","East Germany","","","","","5"
"Too Expensive","1990","Urban Area","West Germany","30","0.00865079422502681","0.00524310684865343","0.0120584816014002","5"
"Too Expensive","1990","Rural Area","West Germany","12","","","","5"
"Too Expensive","1990","Rural Area","East Germany","","","","","5"
"Very Inexpensive","1990","Urban Area","West Germany","543","0.201669978051335","0.18690508588645","0.216434870216219","1"
"Very Inexpensive","1990","Rural Area","East Germany","","","","","1"
"Very Inexpensive","1990","Urban Area","East Germany","","","","","1"
"Very Inexpensive","1990","Rural Area","West Germany","242","0.225116681713234","0.200149710881398","0.250083652545071","1"
"Inexpensive","1991","Rural Area","West Germany","387","0.35781718876446","0.329502331956593","0.386132045572327","2"
"Inexpensive","1991","Rural Area","East Germany","223","0.208865445071285","0.185361186751697","0.232369703390873","2"
"Inexpensive","1991","Urban Area","East Germany","33","0.155288552998426","0.106419854283754","0.204157251713097","2"
"Inexpensive","1991","Urban Area","West Germany","980","0.353496888122077","0.335738989068249","0.371254787175904","2"
"Reasonable","1991","Rural Area","East Germany","302","0.292280121039649","0.265982381891346","0.318577860187951","3"
"Reasonable","1991","Urban Area","East Germany","76","0.394352885529984","0.328411327975452","0.460294443084516","3"
"Reasonable","1991","Rural Area","West Germany","441","0.387346907653302","0.358572142149585","0.416121673157018","3"
"Reasonable","1991","Urban Area","West Germany","1083","0.38892552234927","0.370816551485164","0.407034493213376","3"
"Slightly Expensive","1991","Rural Area","West Germany","66","0.0666281853643227","0.0518979133995566","0.0813584573290888","4"
"Slightly Expensive","1991","Urban Area","East Germany","59","0.263361661107775","0.203931035918989","0.322792286296562","4"
"Slightly Expensive","1991","Rural Area","East Germany","362","0.285068060820803","0.258964803350181","0.311171318291425","4"
"Slightly Expensive","1991","Urban Area","West Germany","167","0.0565229090032887","0.0479448030183036","0.0651010149882738","4"
