"hlf0094","year","bula_h","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Inexpensive","1984","Schleswig-Holstein","higher vocational","5","","","","2"
"Inexpensive","1984","Hamburg","inadequately","","","","","2"
"Inexpensive","1984","Hamburg","in school","","","","","2"
"Inexpensive","1984","Hamburg","general elemantary","5","","","","2"
"Inexpensive","1984","Lower Saxony","higher vocational","13","","","","2"
"Inexpensive","1984","Hamburg","higher vocational","2","","","","2"
"Inexpensive","1984","Lower Saxony","higher education","9","","","","2"
"Inexpensive","1984","Schleswig-Holstein","higher education","2","","","","2"
"Inexpensive","1984","Hamburg","higher education","1","","","","2"
"Inexpensive","1984","Schleswig-Holstein","in school","","","","","2"
"Inexpensive","1984","Schleswig-Holstein","inadequately","","","","","2"
"Inexpensive","1984","Schleswig-Holstein","general elemantary","16","","","","2"
"Inexpensive","1984","Hamburg","middle vocational","10","","","","2"
"Inexpensive","1984","Hamburg","vocational + Abi","3","","","","2"
"Inexpensive","1984","Lower Saxony","inadequately","","","","","2"
"Inexpensive","1984","Lower Saxony","general elemantary","61","0.330533085276532","0.262003069505852","0.399063101047212","2"
"Inexpensive","1984","Lower Saxony","middle vocational","77","0.287472220838137","0.233785656788823","0.341158784887452","2"
"Inexpensive","1984","Lower Saxony","vocational + Abi","3","","","","2"
"Inexpensive","1984","Bremen","in school","","","","","2"
"Inexpensive","1984","Bremen","inadequately","","","","","2"
"Inexpensive","1984","Bremen","general elemantary","1","","","","2"
"Inexpensive","1984","Bremen","middle vocational","6","","","","2"
"Inexpensive","1984","Lower Saxony","in school","","","","","2"
"Inexpensive","1984","North Rhine-Westphalia","in school","10","","","","2"
"Inexpensive","1984","North Rhine-Westphalia","inadequately","3","","","","2"
"Inexpensive","1984","Bremen","vocational + Abi","","","","","2"
"Inexpensive","1984","Bremen","higher education","","","","","2"
"Inexpensive","1984","Bremen","higher vocational","","","","","2"
"Inexpensive","1984","Schleswig-Holstein","middle vocational","33","0.304224508691412","0.221212915345361","0.387236102037462","2"
"Inexpensive","1984","Schleswig-Holstein","vocational + Abi","1","","","","2"
"Inexpensive","1984","North Rhine-Westphalia","middle vocational","157","0.324287766940141","0.283460662877038","0.365114871003244","2"
"Inexpensive","1984","North Rhine-Westphalia","vocational + Abi","7","","","","2"
"Inexpensive","1984","North Rhine-Westphalia","higher vocational","21","","","","2"
"Inexpensive","1984","North Rhine-Westphalia","higher education","31","0.29010620252273","0.20288810297908","0.377324302066381","2"
"Inexpensive","1984","Hesse","in school","3","","","","2"
"Inexpensive","1984","Hesse","inadequately","1","","","","2"
"Inexpensive","1984","Hesse","general elemantary","38","0.401739612450124","0.306129273845127","0.497349951055121","2"
"Inexpensive","1984","Hesse","middle vocational","55","0.30626250138744","0.240373387939347","0.372151614835532","2"
"Inexpensive","1984","Hesse","vocational + Abi","4","","","","2"
"Inexpensive","1984","Hesse","higher vocational","6","","","","2"
"Inexpensive","1984","Hesse","higher education","9","","","","2"
"Inexpensive","1984","Rhineland-Palatinate,Saarland","in school","2","","","","2"
"Inexpensive","1984","Rhineland-Palatinate,Saarland","inadequately","2","","","","2"
"Inexpensive","1984","Rhineland-Palatinate,Saarland","general elemantary","47","0.282357410256166","0.213463653975143","0.351251166537188","2"
"Inexpensive","1984","Rhineland-Palatinate,Saarland","middle vocational","73","0.334179298603561","0.271989324965692","0.39636927224143","2"
"Inexpensive","1984","Rhineland-Palatinate,Saarland","vocational + Abi","2","","","","2"
"Inexpensive","1984","Rhineland-Palatinate,Saarland","higher vocational","10","","","","2"
"Inexpensive","1984","Rhineland-Palatinate,Saarland","higher education","9","","","","2"
"Inexpensive","1984","Baden-Württemberg","in school","5","","","","2"
"Inexpensive","1984","Baden-Württemberg","inadequately","9","","","","2"
"Inexpensive","1984","Baden-Württemberg","general elemantary","91","0.337182851756123","0.281510724766258","0.392854978745988","2"
"Inexpensive","1984","Baden-Württemberg","middle vocational","118","0.289447277553884","0.245334138525338","0.33356041658243","2"
"Inexpensive","1984","Baden-Württemberg","vocational + Abi","4","","","","2"
"Inexpensive","1984","Baden-Württemberg","higher vocational","15","","","","2"
"Inexpensive","1984","Baden-Württemberg","higher education","25","","","","2"
"Inexpensive","1984","Mecklenburg-Western Pomerania","middle vocational","","","","","2"
"Inexpensive","1984","Mecklenburg-Western Pomerania","vocational + Abi","","","","","2"
"Inexpensive","1984","Mecklenburg-Western Pomerania","higher vocational","","","","","2"
"Inexpensive","1984","Mecklenburg-Western Pomerania","higher education","","","","","2"
"Inexpensive","1984","Saxony","in school","","","","","2"
"Inexpensive","1984","Saxony","inadequately","","","","","2"
"Inexpensive","1984","Saxony","general elemantary","","","","","2"
"Inexpensive","1984","Saxony","middle vocational","","","","","2"
"Inexpensive","1984","Saxony","vocational + Abi","","","","","2"
"Inexpensive","1984","Saxony","higher vocational","","","","","2"
"Inexpensive","1984","Saxony","higher education","","","","","2"
"Inexpensive","1984","Saxony-Anhalt","in school","","","","","2"
"Inexpensive","1984","Saxony-Anhalt","inadequately","","","","","2"
"Inexpensive","1984","Saxony-Anhalt","general elemantary","","","","","2"
"Inexpensive","1984","Saxony-Anhalt","middle vocational","","","","","2"
"Inexpensive","1984","Saxony-Anhalt","vocational + Abi","","","","","2"
"Inexpensive","1984","Saxony-Anhalt","higher vocational","","","","","2"
