"hlf0094","year","bula_h","migback","n","percent","lower_confidence","upper_confidence","value"
"Inexpensive","1984","Bremen","indirect migration background","","","","","2"
"Inexpensive","1984","Hesse","direct migration background","7","","","","2"
"Inexpensive","1984","North Rhine-Westphalia","no migration background","282","0.325254965964781","0.294302976318339","0.356206955611223","2"
"Inexpensive","1984","Hesse","no migration background","109","0.342141707381472","0.290562389261371","0.393721025501573","2"
"Inexpensive","1984","Hesse","indirect migration background","","","","","2"
"Inexpensive","1984","Rhineland-Palatinate,Saarland","no migration background","139","0.317291674793424","0.273951249779975","0.360632099806873","2"
"Inexpensive","1984","North Rhine-Westphalia","indirect migration background","3","","","","2"
"Inexpensive","1984","Thuringia","direct migration background","","","","","2"
"Inexpensive","1984","Thuringia","indirect migration background","","","","","2"
"Inexpensive","1984","North Rhine-Westphalia","direct migration background","17","","","","2"
"Inexpensive","1984","Schleswig-Holstein","no migration background","55","0.288081673222074","0.224355164232844","0.351808182211303","2"
"Inexpensive","1984","Schleswig-Holstein","direct migration background","2","","","","2"
"Inexpensive","1984","Schleswig-Holstein","indirect migration background","","","","","2"
"Inexpensive","1984","Hamburg","no migration background","19","","","","2"
"Inexpensive","1984","Hamburg","direct migration background","1","","","","2"
"Inexpensive","1984","Hamburg","indirect migration background","1","","","","2"
"Inexpensive","1984","Lower Saxony","no migration background","153","0.270220170847514","0.233603515106499","0.30683682658853","2"
"Inexpensive","1984","Lower Saxony","direct migration background","10","","","","2"
"Inexpensive","1984","Lower Saxony","indirect migration background","","","","","2"
"Inexpensive","1984","Bremen","no migration background","6","","","","2"
"Inexpensive","1984","Brandenburg","indirect migration background","","","","","2"
"Inexpensive","1984","Mecklenburg-Western Pomerania","indirect migration background","","","","","2"
"Inexpensive","1984","Saxony","no migration background","","","","","2"
"Inexpensive","1984","Saxony","direct migration background","","","","","2"
"Inexpensive","1984","Saxony-Anhalt","no migration background","","","","","2"
"Inexpensive","1984","Saxony-Anhalt","direct migration background","","","","","2"
"Inexpensive","1984","Saxony-Anhalt","indirect migration background","","","","","2"
"Inexpensive","1984","Thuringia","no migration background","","","","","2"
"Inexpensive","1984","Bremen","direct migration background","1","","","","2"
"Inexpensive","1984","Mecklenburg-Western Pomerania","no migration background","","","","","2"
"Inexpensive","1984","Mecklenburg-Western Pomerania","direct migration background","","","","","2"
"Inexpensive","1984","Saxony","indirect migration background","","","","","2"
"Inexpensive","1984","Rhineland-Palatinate,Saarland","direct migration background","5","","","","2"
"Inexpensive","1984","Rhineland-Palatinate,Saarland","indirect migration background","1","","","","2"
"Inexpensive","1984","Baden-Württemberg","no migration background","228","0.309219565609564","0.276382884181984","0.342056247037145","2"
"Inexpensive","1984","Baden-Württemberg","direct migration background","35","0.338996648279323","0.240651572194066","0.437341724364581","2"
"Inexpensive","1984","Baden-Württemberg","indirect migration background","4","","","","2"
"Inexpensive","1984","Bavaria","no migration background","264","0.32666904808137","0.294743445097239","0.3585946510655","2"
"Inexpensive","1984","Bavaria","direct migration background","8","","","","2"
"Inexpensive","1984","Bavaria","indirect migration background","","","","","2"
"Inexpensive","1984","Berlin","no migration background","12","","","","2"
"Inexpensive","1984","Berlin","direct migration background","","","","","2"
"Inexpensive","1984","Berlin","indirect migration background","","","","","2"
"Inexpensive","1984","Brandenburg","no migration background","","","","","2"
"Inexpensive","1984","Brandenburg","direct migration background","","","","","2"
"Reasonable","1984","Mecklenburg-Western Pomerania","no migration background","","","","","3"
"Reasonable","1984","Mecklenburg-Western Pomerania","direct migration background","","","","","3"
"Reasonable","1984","Hamburg","no migration background","19","","","","3"
"Reasonable","1984","Mecklenburg-Western Pomerania","indirect migration background","","","","","3"
