"hlf0094","year","migback","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Inexpensive","1984","no migration background","West Germany","1267","0.31477915045887","0.300568446359474","0.328989854558266","2"
"Inexpensive","1984","no migration background","East Germany","","","","","2"
"Inexpensive","1984","direct migration background","West Germany","86","0.332254901569578","0.278595813432096","0.38591398970706","2"
"Inexpensive","1984","direct migration background","East Germany","","","","","2"
"Inexpensive","1984","indirect migration background","West Germany","9","","","","2"
"Inexpensive","1984","indirect migration background","East Germany","","","","","2"
"Reasonable","1984","no migration background","East Germany","","","","","3"
"Reasonable","1984","no migration background","West Germany","1348","0.322661128528009","0.308356596426732","0.336965660629285","3"
"Reasonable","1984","direct migration background","West Germany","118","0.317795783611437","0.264752121425033","0.37083944579784","3"
"Reasonable","1984","direct migration background","East Germany","","","","","3"
"Reasonable","1984","indirect migration background","West Germany","17","","","","3"
"Reasonable","1984","indirect migration background","East Germany","","","","","3"
"Slightly Expensive","1984","no migration background","East Germany","","","","","4"
"Slightly Expensive","1984","direct migration background","West Germany","37","0.0880609921376868","0.0557777666893871","0.120344217585986","4"
"Slightly Expensive","1984","indirect migration background","West Germany","","","","","4"
"Slightly Expensive","1984","no migration background","West Germany","305","0.0711620578947358","0.0632953766024532","0.0790287391870185","4"
"Slightly Expensive","1984","direct migration background","East Germany","","","","","4"
"Slightly Expensive","1984","indirect migration background","East Germany","","","","","4"
"Too Expensive","1984","no migration background","West Germany","119","0.0267348475295143","0.0217991132008523","0.0316705818581763","5"
"Too Expensive","1984","no migration background","East Germany","","","","","5"
"Too Expensive","1984","direct migration background","West Germany","8","","","","5"
"Too Expensive","1984","direct migration background","East Germany","","","","","5"
"Too Expensive","1984","indirect migration background","West Germany","","","","","5"
"Too Expensive","1984","indirect migration background","East Germany","","","","","5"
"Very Inexpensive","1984","no migration background","West Germany","1064","0.264662815588871","0.25116426741915","0.278161363758592","1"
"Very Inexpensive","1984","no migration background","East Germany","","","","","1"
"Very Inexpensive","1984","direct migration background","West Germany","47","0.229915498234831","0.181980187085071","0.27785080938459","1"
"Very Inexpensive","1984","direct migration background","East Germany","","","","","1"
"Very Inexpensive","1984","indirect migration background","West Germany","6","","","","1"
"Very Inexpensive","1984","indirect migration background","East Germany","","","","","1"
"Inexpensive","1985","no migration background","East Germany","","","","","2"
"Inexpensive","1985","no migration background","West Germany","1198","0.315602846017124","0.300937526406976","0.330268165627271","2"
"Inexpensive","1985","direct migration background","West Germany","91","0.282041161716295","0.232814362843764","0.331267960588826","2"
"Inexpensive","1985","direct migration background","East Germany","","","","","2"
"Inexpensive","1985","indirect migration background","West Germany","4","","","","2"
"Inexpensive","1985","indirect migration background","East Germany","","","","","2"
"Reasonable","1985","no migration background","East Germany","","","","","3"
"Reasonable","1985","no migration background","West Germany","1376","0.349812705304609","0.334763831224916","0.364861579384301","3"
"Reasonable","1985","direct migration background","West Germany","124","0.346401546434977","0.29434911822177","0.398453974648184","3"
"Reasonable","1985","direct migration background","East Germany","","","","","3"
"Reasonable","1985","indirect migration background","West Germany","11","","","","3"
"Reasonable","1985","indirect migration background","East Germany","","","","","3"
"Slightly Expensive","1985","no migration background","East Germany","","","","","4"
"Slightly Expensive","1985","no migration background","West Germany","300","0.0728658227549071","0.0646641920321919","0.0810674534776223","4"
"Slightly Expensive","1985","direct migration background","West Germany","47","0.1267204006733","0.0903292740588441","0.163111527287756","4"
"Slightly Expensive","1985","indirect migration background","West Germany","3","","","","4"
"Slightly Expensive","1985","direct migration background","East Germany","","","","","4"
"Slightly Expensive","1985","indirect migration background","East Germany","","","","","4"
"Too Expensive","1985","no migration background","West Germany","90","0.0229629328194535","0.0182364707473434","0.0276893948915636","5"
"Too Expensive","1985","no migration background","East Germany","","","","","5"
"Too Expensive","1985","direct migration background","West Germany","9","","","","5"
"Too Expensive","1985","direct migration background","East Germany","","","","","5"
"Too Expensive","1985","indirect migration background","West Germany","1","","","","5"
"Too Expensive","1985","indirect migration background","East Germany","","","","","5"
"Very Inexpensive","1985","no migration background","West Germany","894","0.238755693103907","0.225303104032205","0.252208282175609","1"
"Very Inexpensive","1985","no migration background","East Germany","","","","","1"
"Very Inexpensive","1985","direct migration background","West Germany","50","0.224263943720658","0.178635853531289","0.269892033910027","1"
"Very Inexpensive","1985","direct migration background","East Germany","","","","","1"
"Very Inexpensive","1985","indirect migration background","West Germany","11","","","","1"
"Very Inexpensive","1985","indirect migration background","East Germany","","","","","1"
"Inexpensive","1986","no migration background","West Germany","1218","0.31561009832425","0.301101781772814","0.330118414875686","2"
"Inexpensive","1986","no migration background","East Germany","","","","","2"
"Inexpensive","1986","direct migration background","West Germany","87","0.295818647753857","0.246944328506944","0.344692967000769","2"
"Inexpensive","1986","indirect migration background","West Germany","6","","","","2"
"Inexpensive","1986","direct migration background","East Germany","","","","","2"
"Inexpensive","1986","indirect migration background","East Germany","","","","","2"
"Reasonable","1986","no migration background","East Germany","","","","","3"
"Reasonable","1986","no migration background","West Germany","1549","0.388420314130983","0.373205478169292","0.403635150092673","3"
"Reasonable","1986","direct migration background","West Germany","125","0.328005977646371","0.277731302661593","0.378280652631149","3"
"Reasonable","1986","direct migration background","East Germany","","","","","3"
"Reasonable","1986","indirect migration background","West Germany","17","","","","3"
"Reasonable","1986","indirect migration background","East Germany","","","","","3"
"Slightly Expensive","1986","no migration background","West Germany","359","0.0859934115334597","0.077241618604797","0.0947452044621224","4"
"Slightly Expensive","1986","no migration background","East Germany","","","","","4"
"Slightly Expensive","1986","direct migration background","West Germany","55","0.148865312653248","0.110748060109411","0.186982565197085","4"
"Slightly Expensive","1986","direct migration background","East Germany","","","","","4"
"Slightly Expensive","1986","indirect migration background","West Germany","8","","","","4"
"Slightly Expensive","1986","indirect migration background","East Germany","","","","","4"
"Too Expensive","1986","no migration background","West Germany","103","0.0239042004935678","0.0191357957169789","0.0286726052701567","5"
"Too Expensive","1986","no migration background","East Germany","","","","","5"
"Too Expensive","1986","direct migration background","West Germany","14","","","","5"
"Too Expensive","1986","direct migration background","East Germany","","","","","5"
"Too Expensive","1986","indirect migration background","West Germany","1","","","","5"
"Too Expensive","1986","indirect migration background","East Germany","","","","","5"
"Very Inexpensive","1986","no migration background","West Germany","713","0.18607197551774","0.17392345850189","0.198220492533591","1"
"Very Inexpensive","1986","no migration background","East Germany","","","","","1"
"Very Inexpensive","1986","direct migration background","West Germany","54","0.190488011640113","0.148437512605151","0.232538510675074","1"
"Very Inexpensive","1986","direct migration background","East Germany","","","","","1"
"Very Inexpensive","1986","indirect migration background","West Germany","7","","","","1"
"Very Inexpensive","1986","indirect migration background","East Germany","","","","","1"
"Inexpensive","1987","no migration background","West Germany","1332","0.34711558763311","0.332153771005342","0.362077404260879","2"
"Inexpensive","1987","direct migration background","West Germany","108","0.349919790667098","0.300236061540346","0.399603519793851","2"
"Inexpensive","1987","no migration background","East Germany","","","","","2"
"Inexpensive","1987","direct migration background","East Germany","","","","","2"
"Inexpensive","1987","indirect migration background","West Germany","13","","","","2"
"Inexpensive","1987","indirect migration background","East Germany","","","","","2"
"Reasonable","1987","no migration background","West Germany","1451","0.375106250154702","0.35988993971061","0.390322560598795","3"
"Reasonable","1987","no migration background","East Germany","","","","","3"
"Reasonable","1987","direct migration background","West Germany","121","0.28615994297757","0.239078329496756","0.333241556458384","3"
"Reasonable","1987","direct migration background","East Germany","","","","","3"
"Reasonable","1987","indirect migration background","West Germany","17","","","","3"
"Reasonable","1987","indirect migration background","East Germany","","","","","3"
"Slightly Expensive","1987","direct migration background","West Germany","62","0.129916693147752","0.0948932082392855","0.164940178056219","4"
"Slightly Expensive","1987","no migration background","West Germany","310","0.0749723309254939","0.06669563523304","0.0832490266179477","4"
"Slightly Expensive","1987","no migration background","East Germany","","","","","4"
"Slightly Expensive","1987","direct migration background","East Germany","","","","","4"
