"hlf0071_h","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence","value"
"A little too big","1985","middle vocational","Rural Area","105","0.102338680530217","0.0845242534478739","0.12015310761256","4"
"A little too big","1985","middle vocational","Urban Area","233","0.0654677359318488","0.0578658418250182","0.0730696300386794","4"
"A little too big","1985","higher education","Rural Area","10","","","","4"
"A little too big","1985","higher vocational","Urban Area","41","0.0847068912580517","0.0600778893174966","0.109335893198607","4"
"A little too big","1985","vocational + Abi","Urban Area","9","","","","4"
"A little too big","1985","higher vocational","Rural Area","8","","","","4"
"A little too big","1985","higher education","Urban Area","47","0.0843515200475248","0.0627865629921162","0.105916477102933","4"
"A little too big","1985","vocational + Abi","Rural Area","2","","","","4"
"A little too big","1985","in school","Urban Area","4","","","","4"
"A little too big","1985","in school","Rural Area","2","","","","4"
"A little too big","1985","inadequately","Urban Area","12","","","","4"
"A little too big","1985","inadequately","Rural Area","3","","","","4"
"A little too big","1985","general elemantary","Urban Area","92","0.0538421771731456","0.0446952319407401","0.0629891224055511","4"
"A little too big","1985","general elemantary","Rural Area","62","0.100976734660985","0.0789074779455058","0.123045991376464","4"
"A little too small","1985","in school","Rural Area","3","","","","2"
"A little too small","1985","inadequately","Urban Area","164","0.224859300584035","0.194677154314958","0.255041446853113","2"
"A little too small","1985","inadequately","Rural Area","16","","","","2"
"A little too small","1985","general elemantary","Urban Area","340","0.102451282604062","0.0901621651420246","0.114740400066099","2"
"A little too small","1985","general elemantary","Rural Area","73","0.0895831268852846","0.0686649015216366","0.110501352248933","2"
"A little too small","1985","middle vocational","Urban Area","624","0.130940476147912","0.120573007650782","0.141307944645041","2"
"A little too small","1985","middle vocational","Rural Area","128","0.100038088175501","0.0824024794845845","0.117673696866417","2"
"A little too small","1985","vocational + Abi","Urban Area","46","0.147868843699688","0.102484535417998","0.193253151981377","2"
"A little too small","1985","vocational + Abi","Rural Area","7","","","","2"
"A little too small","1985","in school","Urban Area","21","","","","2"
"A little too small","1985","higher vocational","Urban Area","73","0.13272701619333","0.10271709053508","0.162736941851581","2"
"A little too small","1985","higher vocational","Rural Area","17","","","","2"
"A little too small","1985","higher education","Urban Area","108","0.14879305995366","0.121177956968216","0.176408162939103","2"
"A little too small","1985","higher education","Rural Area","10","","","","2"
"Just right","1985","middle vocational","Rural Area","858","0.780254048430824","0.755916649884605","0.804591446977042","3"
"Just right","1985","middle vocational","Urban Area","3055","0.773780922414319","0.760922590638505","0.786639254190133","3"
"Just right","1985","vocational + Abi","Rural Area","28","","","","3"
"Just right","1985","in school","Urban Area","121","0.820066955168664","0.758798103863503","0.881335806473824","3"
"Just right","1985","in school","Rural Area","28","","","","3"
"Just right","1985","inadequately","Urban Area","506","0.67393392555729","0.640044368815171","0.707823482299409","3"
"Just right","1985","inadequately","Rural Area","80","0.834393489348894","0.763292180049229","0.90549479864856","3"
"Just right","1985","general elemantary","Urban Area","1769","0.800637336029487","0.784446368062224","0.816828303996749","3"
"Just right","1985","general elemantary","Rural Area","558","0.782819064036831","0.752617243205378","0.813020884868285","3"
"Just right","1985","vocational + Abi","Urban Area","161","0.721877492262994","0.664589450321033","0.779165534204955","3"
"Just right","1985","higher vocational","Urban Area","361","0.74996351841491","0.71166084359696","0.788266193232861","3"
"Just right","1985","higher vocational","Rural Area","98","0.772600026242805","0.699986810453109","0.8452132420325","3"
"Just right","1985","higher education","Urban Area","454","0.724904801120338","0.690253484152765","0.75955611808791","3"
"Just right","1985","higher education","Rural Area","90","0.776451862805196","0.700306761887834","0.852596963722558","3"
"Much too big","1985","vocational + Abi","Urban Area","","","","","5"
"Much too big","1985","general elemantary","Rural Area","5","","","","5"
"Much too big","1985","middle vocational","Urban Area","23","","","","5"
"Much too big","1985","middle vocational","Rural Area","5","","","","5"
"Much too big","1985","vocational + Abi","Rural Area","1","","","","5"
"Much too big","1985","higher vocational","Urban Area","4","","","","5"
"Much too big","1985","higher vocational","Rural Area","3","","","","5"
"Much too big","1985","higher education","Urban Area","4","","","","5"
"Much too big","1985","higher education","Rural Area","3","","","","5"
"Much too big","1985","in school","Urban Area","1","","","","5"
"Much too big","1985","in school","Rural Area","1","","","","5"
"Much too big","1985","inadequately","Urban Area","4","","","","5"
"Much too big","1985","inadequately","Rural Area","","","","","5"
"Much too big","1985","general elemantary","Urban Area","27","","","","5"
"Much too small","1985","in school","Urban Area","4","","","","1"
"Much too small","1985","in school","Rural Area","1","","","","1"
"Much too small","1985","inadequately","Urban Area","49","0.0656962963549963","0.0477853348664099","0.0836072578435827","1"
"Much too small","1985","inadequately","Rural Area","6","","","","1"
"Much too small","1985","general elemantary","Urban Area","111","0.026054044812242","0.019598424384754","0.0325096652397299","1"
"Much too small","1985","general elemantary","Rural Area","18","","","","1"
"Much too small","1985","middle vocational","Urban Area","132","0.023300209299711","0.0186639100123109","0.0279365085871111","1"
"Much too small","1985","middle vocational","Rural Area","16","","","","1"
"Much too small","1985","vocational + Abi","Urban Area","19","","","","1"
"Much too small","1985","vocational + Abi","Rural Area","2","","","","1"
"Much too small","1985","higher vocational","Urban Area","12","","","","1"
"Much too small","1985","higher vocational","Rural Area","2","","","","1"
"Much too small","1985","higher education","Urban Area","25","","","","1"
"Much too small","1985","higher education","Rural Area","2","","","","1"
"A little too big","1986","higher education","Urban Area","9","","","","4"
"A little too big","1986","higher vocational","Rural Area","","","","","4"
"A little too big","1986","higher education","Rural Area","2","","","","4"
"A little too big","1986","middle vocational","Urban Area","33","0.0712766654899402","0.0483788481028114","0.0941744828770689","4"
"A little too big","1986","vocational + Abi","Rural Area","","","","","4"
"A little too big","1986","higher vocational","Urban Area","5","","","","4"
"A little too big","1986","middle vocational","Rural Area","8","","","","4"
"A little too big","1986","vocational + Abi","Urban Area","3","","","","4"
"A little too big","1986","in school","Urban Area","","","","","4"
"A little too big","1986","in school","Rural Area","1","","","","4"
"A little too big","1986","inadequately","Urban Area","2","","","","4"
"A little too big","1986","inadequately","Rural Area","1","","","","4"
"A little too big","1986","general elemantary","Urban Area","6","","","","4"
"A little too big","1986","general elemantary","Rural Area","4","","","","4"
"A little too small","1986","in school","Urban Area","1","","","","2"
"A little too small","1986","in school","Rural Area","","","","","2"
"A little too small","1986","inadequately","Urban Area","12","","","","2"
"A little too small","1986","inadequately","Rural Area","2","","","","2"
"A little too small","1986","general elemantary","Urban Area","36","0.128956344022539","0.0878206036845452","0.170092084360534","2"
"A little too small","1986","general elemantary","Rural Area","9","","","","2"
"A little too small","1986","middle vocational","Urban Area","77","0.158855304401933","0.126323104104645","0.191387504699221","2"
"A little too small","1986","middle vocational","Rural Area","7","","","","2"
"A little too small","1986","vocational + Abi","Urban Area","2","","","","2"
"A little too small","1986","vocational + Abi","Rural Area","","","","","2"
"A little too small","1986","higher vocational","Urban Area","6","","","","2"
"A little too small","1986","higher vocational","Rural Area","","","","","2"
"A little too small","1986","higher education","Urban Area","28","","","","2"
"A little too small","1986","higher education","Rural Area","","","","","2"
"Just right","1986","middle vocational","Urban Area","366","0.746472021745328","0.707755446343656","0.785188597147001","3"
"Just right","1986","middle vocational","Rural Area","88","0.839117822403262","0.770141460730094","0.90809418407643","3"
"Just right","1986","vocational + Abi","Urban Area","23","","","","3"
"Just right","1986","vocational + Abi","Rural Area","4","","","","3"
"Just right","1986","in school","Urban Area","8","","","","3"
"Just right","1986","in school","Rural Area","","","","","3"
"Just right","1986","inadequately","Urban Area","68","0.872005784928819","0.802204790698056","0.941806779159581","3"
"Just right","1986","inadequately","Rural Area","9","","","","3"
"Just right","1986","general elemantary","Urban Area","201","0.795470017464641","0.745962813530644","0.844977221398638","3"
"Just right","1986","general elemantary","Rural Area","41","0.664289800188973","0.547678972850665","0.780900627527281","3"
"Just right","1986","higher vocational","Urban Area","37","0.733474924618025","0.609677467518131","0.857272381717919","3"
"Just right","1986","higher vocational","Rural Area","16","","","","3"
"Just right","1986","higher education","Urban Area","59","0.548256452562747","0.450715735074212","0.645797170051281","3"
"Just right","1986","higher education","Rural Area","12","","","","3"
"Much too big","1986","vocational + Abi","Urban Area","","","","","5"
"Much too big","1986","vocational + Abi","Rural Area","","","","","5"
"Much too big","1986","higher vocational","Urban Area","","","","","5"
"Much too big","1986","higher vocational","Rural Area","","","","","5"
"Much too big","1986","higher education","Urban Area","","","","","5"
"Much too big","1986","higher education","Rural Area","","","","","5"
"Much too big","1986","general elemantary","Rural Area","","","","","5"
"Much too big","1986","middle vocational","Urban Area","2","","","","5"
"Much too big","1986","middle vocational","Rural Area","","","","","5"
"Much too big","1986","in school","Urban Area","","","","","5"
"Much too big","1986","in school","Rural Area","","","","","5"
"Much too big","1986","inadequately","Urban Area","","","","","5"
"Much too big","1986","inadequately","Rural Area","","","","","5"
"Much too big","1986","general elemantary","Urban Area","1","","","","5"
"Much too small","1986","in school","Urban Area","","","","","1"
"Much too small","1986","in school","Rural Area","","","","","1"
"Much too small","1986","inadequately","Urban Area","6","","","","1"
"Much too small","1986","inadequately","Rural Area","1","","","","1"
"Much too small","1986","general elemantary","Urban Area","11","","","","1"
"Much too small","1986","general elemantary","Rural Area","9","","","","1"
"Much too small","1986","middle vocational","Urban Area","7","","","","1"
"Much too small","1986","middle vocational","Rural Area","6","","","","1"
"Much too small","1986","vocational + Abi","Urban Area","2","","","","1"
"Much too small","1986","vocational + Abi","Rural Area","","","","","1"
"Much too small","1986","higher vocational","Urban Area","1","","","","1"
"Much too small","1986","higher vocational","Rural Area","1","","","","1"
"Much too small","1986","higher education","Urban Area","4","","","","1"
"Much too small","1986","higher education","Rural Area","","","","","1"
"A little too big","1987","in school","Urban Area","","","","","4"
"A little too big","1987","in school","Rural Area","","","","","4"
"A little too big","1987","general elemantary","Urban Area","9","","","","4"
"A little too big","1987","vocational + Abi","Rural Area","","","","","4"
"A little too big","1987","middle vocational","Rural Area","7","","","","4"
"A little too big","1987","inadequately","Urban Area","4","","","","4"
"A little too big","1987","inadequately","Rural Area","","","","","4"
"A little too big","1987","general elemantary","Rural Area","1","","","","4"
"A little too big","1987","middle vocational","Urban Area","20","","","","4"
"A little too big","1987","vocational + Abi","Urban Area","1","","","","4"
"A little too big","1987","higher vocational","Rural Area","2","","","","4"
"A little too big","1987","higher education","Urban Area","7","","","","4"
"A little too big","1987","higher education","Rural Area","1","","","","4"
"A little too big","1987","higher vocational","Urban Area","4","","","","4"
"A little too small","1987","in school","Urban Area","1","","","","2"
"A little too small","1987","in school","Rural Area","","","","","2"
"A little too small","1987","inadequately","Urban Area","12","","","","2"
"A little too small","1987","inadequately","Rural Area","3","","","","2"
"A little too small","1987","general elemantary","Urban Area","37","0.130096977775778","0.0827582862255941","0.177435669325962","2"
"A little too small","1987","general elemantary","Rural Area","8","","","","2"
"A little too small","1987","middle vocational","Urban Area","54","0.113519689612619","0.0821163958395408","0.144922983385698","2"
"A little too small","1987","middle vocational","Rural Area","15","","","","2"
"A little too small","1987","vocational + Abi","Urban Area","8","","","","2"
"A little too small","1987","vocational + Abi","Rural Area","1","","","","2"
"A little too small","1987","higher vocational","Urban Area","2","","","","2"
"A little too small","1987","higher vocational","Rural Area","2","","","","2"
"A little too small","1987","higher education","Urban Area","14","","","","2"
"A little too small","1987","higher education","Rural Area","4","","","","2"
"Just right","1987","in school","Urban Area","10","","","","3"
"Just right","1987","in school","Rural Area","1","","","","3"
"Just right","1987","inadequately","Urban Area","65","0.707353343377532","0.614383057569124","0.80032362918594","3"
"Just right","1987","higher vocational","Rural Area","13","","","","3"
"Just right","1987","higher education","Urban Area","59","0.72017712113021","0.624743830589843","0.815610411670578","3"
"Just right","1987","higher education","Rural Area","9","","","","3"
"Just right","1987","inadequately","Rural Area","12","","","","3"
"Just right","1987","general elemantary","Urban Area","140","0.775968889847827","0.717297882283552","0.834639897412103","3"
"Just right","1987","general elemantary","Rural Area","28","","","","3"
"Just right","1987","middle vocational","Urban Area","309","0.799985613343661","0.760387293124292","0.83958393356303","3"
