"hlf0071_h","year","education","migback","n","percent","lower_confidence","upper_confidence"
"1","1984","lower secondary degree","no migration background","120","0.0193174096712198","0.0156615642292205","0.0229732551132192"
"1","1984","lower secondary degree","direct migration background","37","0.0416244481041542","0.0257354741620552","0.0575134220462531"
"1","1984","lower secondary degree","indirect migration background","2","","",""
"1","1984","secondary school degree","no migration background","32","0.0175886583293406","0.0114905937275989","0.0236867229310823"
"1","1984","secondary school degree","direct migration background","4","","",""
"1","1984","secondary school degree","indirect migration background","","","",""
"1","1984","college entrance qualification","no migration background","40","0.033669494807207","0.0233072763065997","0.0440317133078143"
"1","1984","college entrance qualification","direct migration background","6","","",""
"1","1984","college entrance qualification","indirect migration background","1","","",""
"1","1984","Other degree","no migration background","3","","",""
"1","1984","Other degree","direct migration background","128","0.0971462017037941","0.0816714863413003","0.112620917066288"
"1","1984","Other degree","indirect migration background","","","",""
"1","1984","no degree/no degree yet","no migration background","10","","",""
"1","1984","no degree/no degree yet","direct migration background","94","0.0895067024309134","0.072337426200638","0.106675978661189"
"1","1984","no degree/no degree yet","indirect migration background","2","","",""
"2","1984","lower secondary degree","no migration background","664","0.112536511039843","0.104142469391399","0.120930552688287"
"2","1984","lower secondary degree","direct migration background","123","0.153199470979326","0.124546283683657","0.181852658274995"
"2","1984","lower secondary degree","indirect migration background","14","","",""
"2","1984","secondary school degree","no migration background","267","0.13968213840989","0.123600552017566","0.155763724802215"
"2","1984","secondary school degree","direct migration background","36","0.220408525532685","0.153169811575993","0.287647239489376"
"2","1984","secondary school degree","indirect migration background","7","","",""
"2","1984","college entrance qualification","no migration background","210","0.164068890865248","0.142793871412568","0.185343910317927"
"2","1984","college entrance qualification","direct migration background","22","","",""
"2","1984","college entrance qualification","indirect migration background","3","","",""
"2","1984","Other degree","no migration background","6","","",""
"2","1984","Other degree","direct migration background","344","0.230615713153026","0.208605859950397","0.252625566355656"
"2","1984","Other degree","indirect migration background","2","","",""
"2","1984","no degree/no degree yet","no migration background","38","0.159842605542513","0.112170782032147","0.207514429052879"
"2","1984","no degree/no degree yet","direct migration background","234","0.216209848424465","0.191451397417249","0.24096829943168"
"2","1984","no degree/no degree yet","indirect migration background","2","","",""
"3","1984","lower secondary degree","no migration background","4259","0.790176874620609","0.779361589265526","0.800992159975691"
"3","1984","lower secondary degree","direct migration background","426","0.752898089241287","0.718584994072675","0.787211184409899"
"3","1984","lower secondary degree","indirect migration background","51","0.86684922570849","0.787262121712039","0.946436329704942"
"3","1984","secondary school degree","no migration background","1337","0.752272734100408","0.732246303675427","0.772299164525389"
"3","1984","secondary school degree","direct migration background","99","0.679206976199557","0.603491407320514","0.7549225450786"
"3","1984","secondary school degree","indirect migration background","20","","",""
"3","1984","college entrance qualification","no migration background","828","0.721433766410871","0.695680396275041","0.747187136546702"
"3","1984","college entrance qualification","direct migration background","80","0.68161710565246","0.59861282129962","0.764621390005299"
"3","1984","college entrance qualification","indirect migration background","4","","",""
"3","1984","Other degree","no migration background","26","","",""
"3","1984","Other degree","direct migration background","904","0.646580736762438","0.621602744210145","0.671558729314732"
"3","1984","Other degree","indirect migration background","5","","",""
"3","1984","no degree/no degree yet","no migration background","159","0.690501369469869","0.630363671387808","0.75063906755193"
"3","1984","no degree/no degree yet","direct migration background","710","0.665788510143602","0.637418161761288","0.694158858525915"
"3","1984","no degree/no degree yet","indirect migration background","10","","",""
"4","1984","lower secondary degree","no migration background","360","0.0695505203062655","0.0627936475682977","0.0763073930442334"
"4","1984","lower secondary degree","direct migration background","21","","",""
"4","1984","lower secondary degree","indirect migration background","3","","",""
"4","1984","secondary school degree","no migration background","127","0.0767630805251199","0.064413228333503","0.0891129327167368"
"4","1984","secondary school degree","direct migration background","7","","",""
"4","1984","secondary school degree","indirect migration background","1","","",""
