"hlf0071_h","year","migback","pgcasmin","n","percent","lower_confidence","upper_confidence"
"1","1984","no migration background","(0) in school","5","","",""
"1","1984","no migration background","(1a) inadequately completed","5","","",""
"1","1984","no migration background","(1b) general elementary school","43","0.0184518912298065","0.0124817525066394","0.0244220299529736"
"1","1984","no migration background","(1c) basic vocational qualification","80","0.0205256146027823","0.0158315538463073","0.0252196753592574"
"1","1984","no migration background","(2b) intermediate general qualification","13","","",""
"1","1984","no migration background","(2a) intermediate vocational","19","","",""
"1","1984","no migration background","(2c_gen) general maturity certificate","14","","",""
"1","1984","no migration background","(2c_voc) vocational maturity certificate","11","","",""
"1","1984","no migration background","(3a) lower tertiary education","","","",""
"1","1984","no migration background","(3b) higher tertiary education","15","","",""
"1","1984","direct migration background","(0) in school","1","","",""
"1","1984","direct migration background","(1a) inadequately completed","93","0.0913044583166667","0.073798470892362","0.108810445740971"
"1","1984","direct migration background","(1b) general elementary school","93","0.0870245986489102","0.0697687345800601","0.10428046271776"
"1","1984","direct migration background","(1c) basic vocational qualification","41","0.0361940820211902","0.0225515362277121","0.0498366278146683"
"1","1984","direct migration background","(2b) intermediate general qualification","1","","",""
"1","1984","direct migration background","(2a) intermediate vocational","2","","",""
"1","1984","direct migration background","(2c_gen) general maturity certificate","15","","",""
"1","1984","direct migration background","(2c_voc) vocational maturity certificate","15","","",""
"1","1984","direct migration background","(3a) lower tertiary education","2","","",""
"1","1984","direct migration background","(3b) higher tertiary education","6","","",""
"1","1984","indirect migration background","(0) in school","","","",""
"1","1984","indirect migration background","(1a) inadequately completed","2","","",""
"1","1984","indirect migration background","(1b) general elementary school","1","","",""
"1","1984","indirect migration background","(1c) basic vocational qualification","1","","",""
"1","1984","indirect migration background","(2b) intermediate general qualification","","","",""
"1","1984","indirect migration background","(2a) intermediate vocational","","","",""
"1","1984","indirect migration background","(2c_gen) general maturity certificate","1","","",""
"1","1984","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"1","1984","indirect migration background","(3a) lower tertiary education","","","",""
"1","1984","indirect migration background","(3b) higher tertiary education","","","",""
"2","1984","no migration background","(0) in school","26","","",""
"2","1984","no migration background","(1a) inadequately completed","12","","",""
"2","1984","no migration background","(1b) general elementary school","208","0.0966551180282233","0.0835467868168092","0.109763449239637"
"2","1984","no migration background","(1c) basic vocational qualification","458","0.12179818373198","0.110970846806064","0.132625520657896"
"2","1984","no migration background","(2b) intermediate general qualification","54","0.124858112866321","0.0928224248286425","0.156893800904"
"2","1984","no migration background","(2a) intermediate vocational","206","0.146190522847431","0.127058867946509","0.165322177748353"
"2","1984","no migration background","(2c_gen) general maturity certificate","59","0.208255230423664","0.160608121983109","0.25590233886422"
"2","1984","no migration background","(2c_voc) vocational maturity certificate","51","0.137556120028553","0.0991523171039677","0.175959922953138"
"2","1984","no migration background","(3a) lower tertiary education","34","0.131749720246266","0.0891371505220898","0.174362289970443"
"2","1984","no migration background","(3b) higher tertiary education","77","0.16480985484388","0.129537220597949","0.200082489089811"
"2","1984","direct migration background","(0) in school","5","","",""
"2","1984","direct migration background","(1a) inadequately completed","228","0.213431490951499","0.188529793744084","0.238333188158913"
"2","1984","direct migration background","(1b) general elementary school","237","0.173265840929228","0.150095865417155","0.196435816441301"
"2","1984","direct migration background","(1c) basic vocational qualification","166","0.185648565513705","0.157247569257973","0.214049561769437"
"2","1984","direct migration background","(2b) intermediate general qualification","11","","",""
"2","1984","direct migration background","(2a) intermediate vocational","23","","",""
"2","1984","direct migration background","(2c_gen) general maturity certificate","27","","",""
"2","1984","direct migration background","(2c_voc) vocational maturity certificate","32","0.215526897293858","0.148829109396401","0.282224685191316"
"2","1984","direct migration background","(3a) lower tertiary education","5","","",""
"2","1984","direct migration background","(3b) higher tertiary education","25","","",""
"2","1984","indirect migration background","(0) in school","2","","",""
"2","1984","indirect migration background","(1a) inadequately completed","","","",""
"2","1984","indirect migration background","(1b) general elementary school","10","","",""
"2","1984","indirect migration background","(1c) basic vocational qualification","6","","",""
"2","1984","indirect migration background","(2b) intermediate general qualification","5","","",""
"2","1984","indirect migration background","(2a) intermediate vocational","2","","",""
"2","1984","indirect migration background","(2c_gen) general maturity certificate","2","","",""
"2","1984","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"2","1984","indirect migration background","(3a) lower tertiary education","","","",""
"2","1984","indirect migration background","(3b) higher tertiary education","1","","",""
"3","1984","no migration background","(0) in school","120","0.745049546980802","0.677305677383499","0.812793416578105"
"3","1984","no migration background","(1a) inadequately completed","39","0.572490909997366","0.454906265881501","0.690075554113231"
"3","1984","no migration background","(1b) general elementary school","1545","0.799231904410214","0.781461719778678","0.81700208904175"
"3","1984","no migration background","(1c) basic vocational qualification","2723","0.784684993777703","0.771077162906897","0.798292824648509"
"3","1984","no migration background","(2b) intermediate general qualification","308","0.757349061133019","0.715803419491163","0.798894702774874"
"3","1984","no migration background","(2a) intermediate vocational","982","0.752322127917681","0.72894678638399","0.775697469451373"
"3","1984","no migration background","(2c_gen) general maturity certificate","187","0.682127361745715","0.627488040231289","0.736766683260141"
"3","1984","no migration background","(2c_voc) vocational maturity certificate","216","0.713226239880692","0.662800507684335","0.763651972077048"
"3","1984","no migration background","(3a) lower tertiary education","187","0.780707562214161","0.72857651744284","0.832838606985483"
"3","1984","no migration background","(3b) higher tertiary education","302","0.715255089462949","0.672349676189131","0.758160502736766"
"3","1984","direct migration background","(0) in school","15","","",""
"3","1984","direct migration background","(1a) inadequately completed","695","0.666077891687497","0.63741522999477","0.694740553380224"
"3","1984","direct migration background","(1b) general elementary school","673","0.710528921433823","0.682765075352793","0.738292767514854"
"3","1984","direct migration background","(1c) basic vocational qualification","485","0.720424675593159","0.6876434224611","0.753205928725218"
"3","1984","direct migration background","(2b) intermediate general qualification","36","0.671661779883805","0.544023054978625","0.799300504788986"
"3","1984","direct migration background","(2a) intermediate vocational","60","0.697325133588477","0.601338094766426","0.793312172410529"
"3","1984","direct migration background","(2c_gen) general maturity certificate","83","0.615597517843552","0.531652532512891","0.699542503174214"
"3","1984","direct migration background","(2c_voc) vocational maturity certificate","94","0.645949231840349","0.568377475135044","0.723520988545654"
"3","1984","direct migration background","(3a) lower tertiary education","14","","",""
"3","1984","direct migration background","(3b) higher tertiary education","64","0.645754859567915","0.552012931190525","0.739496787945306"
"3","1984","indirect migration background","(0) in school","6","","",""
"3","1984","indirect migration background","(1a) inadequately completed","4","","",""
"3","1984","indirect migration background","(1b) general elementary school","24","","",""
"3","1984","indirect migration background","(1c) basic vocational qualification","30","0.945889862757453","0.873958896215538","1.01782082929937"
"3","1984","indirect migration background","(2b) intermediate general qualification","10","","",""
"3","1984","indirect migration background","(2a) intermediate vocational","10","","",""
"3","1984","indirect migration background","(2c_gen) general maturity certificate","3","","",""
"3","1984","indirect migration background","(2c_voc) vocational maturity certificate","1","","",""
"3","1984","indirect migration background","(3a) lower tertiary education","1","","",""
"3","1984","indirect migration background","(3b) higher tertiary education","1","","",""
"4","1984","no migration background","(0) in school","7","","",""
"4","1984","no migration background","(1a) inadequately completed","12","","",""
"4","1984","no migration background","(1b) general elementary school","138","0.0755046528095891","0.0637841186032722","0.0872251870159059"
"4","1984","no migration background","(1c) basic vocational qualification","220","0.0656275830715684","0.0574295948547236","0.0738255712884133"
"4","1984","no migration background","(2b) intermediate general qualification","31","0.0780029127102983","0.0520128922406939","0.103992933179903"
"4","1984","no migration background","(2a) intermediate vocational","84","0.0713236237424994","0.0573868791108435","0.0852603683741552"
"4","1984","no migration background","(2c_gen) general maturity certificate","13","","",""
"4","1984","no migration background","(2c_voc) vocational maturity certificate","28","","",""
"4","1984","no migration background","(3a) lower tertiary education","20","","",""
"4","1984","no migration background","(3b) higher tertiary education","22","","",""
"4","1984","direct migration background","(0) in school","","","",""
"4","1984","direct migration background","(1a) inadequately completed","22","","",""
"4","1984","direct migration background","(1b) general elementary school","21","","",""
"4","1984","direct migration background","(1c) basic vocational qualification","26","","",""
"4","1984","direct migration background","(2b) intermediate general qualification","4","","",""
"4","1984","direct migration background","(2a) intermediate vocational","3","","",""
"4","1984","direct migration background","(2c_gen) general maturity certificate","3","","",""
"4","1984","direct migration background","(2c_voc) vocational maturity certificate","4","","",""
"4","1984","direct migration background","(3a) lower tertiary education","1","","",""
"4","1984","direct migration background","(3b) higher tertiary education","4","","",""
"4","1984","indirect migration background","(0) in school","","","",""
"4","1984","indirect migration background","(1a) inadequately completed","","","",""
"4","1984","indirect migration background","(1b) general elementary school","2","","",""
"4","1984","indirect migration background","(1c) basic vocational qualification","1","","",""
"4","1984","indirect migration background","(2b) intermediate general qualification","1","","",""
"4","1984","indirect migration background","(2a) intermediate vocational","","","",""
"4","1984","indirect migration background","(2c_gen) general maturity certificate","","","",""
"4","1984","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"4","1984","indirect migration background","(3a) lower tertiary education","","","",""
"4","1984","indirect migration background","(3b) higher tertiary education","","","",""
"5","1984","no migration background","(0) in school","1","","",""
"5","1984","no migration background","(1a) inadequately completed","","","",""
"5","1984","no migration background","(1b) general elementary school","18","","",""
"5","1984","no migration background","(1c) basic vocational qualification","24","","",""
"5","1984","no migration background","(2b) intermediate general qualification","3","","",""
"5","1984","no migration background","(2a) intermediate vocational","19","","",""
"5","1984","no migration background","(2c_gen) general maturity certificate","6","","",""
"5","1984","no migration background","(2c_voc) vocational maturity certificate","3","","",""
"5","1984","no migration background","(3a) lower tertiary education","1","","",""
"5","1984","no migration background","(3b) higher tertiary education","9","","",""
"5","1984","direct migration background","(0) in school","","","",""
"5","1984","direct migration background","(1a) inadequately completed","2","","",""
"5","1984","direct migration background","(1b) general elementary school","1","","",""
"5","1984","direct migration background","(1c) basic vocational qualification","2","","",""
"5","1984","direct migration background","(2b) intermediate general qualification","","","",""
"5","1984","direct migration background","(2a) intermediate vocational","","","",""
"5","1984","direct migration background","(2c_gen) general maturity certificate","1","","",""
"5","1984","direct migration background","(2c_voc) vocational maturity certificate","1","","",""
"5","1984","direct migration background","(3a) lower tertiary education","","","",""
"5","1984","direct migration background","(3b) higher tertiary education","1","","",""
"5","1984","indirect migration background","(0) in school","","","",""
"5","1984","indirect migration background","(1a) inadequately completed","","","",""
"5","1984","indirect migration background","(1b) general elementary school","","","",""
"5","1984","indirect migration background","(1c) basic vocational qualification","","","",""
"5","1984","indirect migration background","(2b) intermediate general qualification","","","",""
"5","1984","indirect migration background","(2a) intermediate vocational","","","",""
"5","1984","indirect migration background","(2c_gen) general maturity certificate","","","",""
"5","1984","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"5","1984","indirect migration background","(3a) lower tertiary education","","","",""
"5","1984","indirect migration background","(3b) higher tertiary education","","","",""
"1","1985","no migration background","(0) in school","3","","",""
"1","1985","no migration background","(1a) inadequately completed","5","","",""
"1","1985","no migration background","(1b) general elementary school","42","0.0204295822207874","0.0137147761750996","0.0271443882664751"
"1","1985","no migration background","(1c) basic vocational qualification","73","0.0205881102765124","0.0156205475239951","0.0255556730290297"
"1","1985","no migration background","(2b) intermediate general qualification","8","","",""
"1","1985","no migration background","(2a) intermediate vocational","26","","",""
"1","1985","no migration background","(2c_gen) general maturity certificate","3","","",""
"1","1985","no migration background","(2c_voc) vocational maturity certificate","11","","",""
"1","1985","no migration background","(3a) lower tertiary education","5","","",""
"1","1985","no migration background","(3b) higher tertiary education","11","","",""
"1","1985","direct migration background","(0) in school","2","","",""
"1","1985","direct migration background","(1a) inadequately completed","56","0.071264638420351","0.0537519081184059","0.0887773687222961"
