"plh0179","year","e11102","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1997","Not Employed","1-pers.-HH","2","","","","0"
"0 Completely dissatisfied","1997","Not Employed","(Married) couple without C. ","6","","","","0"
"0 Completely dissatisfied","1997","Not Employed","Single parent ","4","","","","0"
"0 Completely dissatisfied","1997","Not Employed","Couple + C. LE 16 ","10","","","","0"
"0 Completely dissatisfied","1997","Not Employed","Couple + C. GT 16 ","2","","","","0"
"0 Completely dissatisfied","1997","Not Employed","Couple + C. LE and GT 16","","","","","0"
"0 Completely dissatisfied","1997","Employed","1-pers.-HH","2","","","","0"
"0 Completely dissatisfied","1997","Employed","(Married) couple without C. ","5","","","","0"
"0 Completely dissatisfied","1997","Employed","Single parent ","6","","","","0"
"0 Completely dissatisfied","1997","Employed","Couple + C. LE 16 ","26","","","","0"
"0 Completely dissatisfied","1997","Employed","Couple + C. GT 16 ","7","","","","0"
"0 Completely dissatisfied","1997","Employed","Couple + C. LE and GT 16","4","","","","0"
"1 on Scale 1 to 10","1997","Not Employed","Couple + C. LE 16 ","6","","","","1"
"1 on Scale 1 to 10","1997","Not Employed","Couple + C. GT 16 ","","","","","1"
"1 on Scale 1 to 10","1997","Not Employed","1-pers.-HH","1","","","","1"
"1 on Scale 1 to 10","1997","Not Employed","(Married) couple without C. ","","","","","1"
"1 on Scale 1 to 10","1997","Not Employed","Single parent ","2","","","","1"
"1 on Scale 1 to 10","1997","Not Employed","Couple + C. LE and GT 16","","","","","1"
"1 on Scale 1 to 10","1997","Employed","Single parent ","2","","","","1"
"1 on Scale 1 to 10","1997","Employed","Couple + C. LE 16 ","16","","","","1"
"1 on Scale 1 to 10","1997","Employed","Couple + C. GT 16 ","4","","","","1"
"1 on Scale 1 to 10","1997","Employed","Couple + C. LE and GT 16","3","","","","1"
"1 on Scale 1 to 10","1997","Employed","1-pers.-HH","1","","","","1"
"1 on Scale 1 to 10","1997","Employed","(Married) couple without C. ","1","","","","1"
"10 Completely satisfied","1997","Not Employed","1-pers.-HH","3","","","","10"
"10 Completely satisfied","1997","Not Employed","(Married) couple without C. ","3","","","","10"
"10 Completely satisfied","1997","Not Employed","Single parent ","3","","","","10"
"10 Completely satisfied","1997","Not Employed","Couple + C. LE 16 ","74","0.130435969602629","0.10312160285691","0.157750336348349","10"
"10 Completely satisfied","1997","Not Employed","Couple + C. GT 16 ","3","","","","10"
"10 Completely satisfied","1997","Not Employed","Couple + C. LE and GT 16","14","","","","10"
"10 Completely satisfied","1997","Employed","1-pers.-HH","1","","","","10"
"10 Completely satisfied","1997","Employed","(Married) couple without C. ","5","","","","10"
"10 Completely satisfied","1997","Employed","Single parent ","12","","","","10"
"10 Completely satisfied","1997","Employed","Couple + C. LE 16 ","194","0.103935700759271","0.0896741374929453","0.118197264025597","10"
"10 Completely satisfied","1997","Employed","Couple + C. GT 16 ","10","","","","10"
"10 Completely satisfied","1997","Employed","Couple + C. LE and GT 16","26","","","","10"
"2 on Scale 1 to 10","1997","Employed","(Married) couple without C. ","8","","","","2"
"2 on Scale 1 to 10","1997","Not Employed","1-pers.-HH","","","","","2"
"2 on Scale 1 to 10","1997","Not Employed","Couple + C. LE 16 ","15","","","","2"
"2 on Scale 1 to 10","1997","Not Employed","(Married) couple without C. ","","","","","2"
"2 on Scale 1 to 10","1997","Not Employed","Single parent ","3","","","","2"
"2 on Scale 1 to 10","1997","Not Employed","Couple + C. GT 16 ","2","","","","2"
"2 on Scale 1 to 10","1997","Not Employed","Couple + C. LE and GT 16","3","","","","2"
"2 on Scale 1 to 10","1997","Employed","1-pers.-HH","","","","","2"
"2 on Scale 1 to 10","1997","Employed","Single parent ","3","","","","2"
"2 on Scale 1 to 10","1997","Employed","Couple + C. LE 16 ","59","0.0362021886418271","0.0274729663571324","0.0449314109265219","2"
"2 on Scale 1 to 10","1997","Employed","Couple + C. GT 16 ","3","","","","2"
"2 on Scale 1 to 10","1997","Employed","Couple + C. LE and GT 16","6","","","","2"
"3 on Scale 1 to 10","1997","Employed","Couple + C. LE and GT 16","9","","","","3"
"3 on Scale 1 to 10","1997","Not Employed","1-pers.-HH","1","","","","3"
"3 on Scale 1 to 10","1997","Not Employed","(Married) couple without C. ","1","","","","3"
"3 on Scale 1 to 10","1997","Not Employed","Single parent ","5","","","","3"
"3 on Scale 1 to 10","1997","Not Employed","Couple + C. LE 16 ","30","0.0532277991484181","0.0350209970746631","0.0714346012221731","3"
"3 on Scale 1 to 10","1997","Not Employed","Couple + C. GT 16 ","2","","","","3"
"3 on Scale 1 to 10","1997","Not Employed","Couple + C. LE and GT 16","2","","","","3"
"3 on Scale 1 to 10","1997","Employed","1-pers.-HH","3","","","","3"
"3 on Scale 1 to 10","1997","Employed","(Married) couple without C. ","7","","","","3"
"3 on Scale 1 to 10","1997","Employed","Single parent ","8","","","","3"
"3 on Scale 1 to 10","1997","Employed","Couple + C. LE 16 ","82","0.0550073243253983","0.0443526629219982","0.0656619857287984","3"
"3 on Scale 1 to 10","1997","Employed","Couple + C. GT 16 ","3","","","","3"
"4 on Scale 1 to 10","1997","Not Employed","(Married) couple without C. ","5","","","","4"
"4 on Scale 1 to 10","1997","Not Employed","1-pers.-HH","2","","","","4"
"4 on Scale 1 to 10","1997","Not Employed","Single parent ","4","","","","4"
"4 on Scale 1 to 10","1997","Not Employed","Couple + C. LE 16 ","42","0.0842459239735245","0.0617188105061115","0.106773037440937","4"
"4 on Scale 1 to 10","1997","Not Employed","Couple + C. GT 16 ","4","","","","4"
"4 on Scale 1 to 10","1997","Not Employed","Couple + C. LE and GT 16","5","","","","4"
"4 on Scale 1 to 10","1997","Employed","1-pers.-HH","6","","","","4"
"4 on Scale 1 to 10","1997","Employed","Single parent ","10","","","","4"
"4 on Scale 1 to 10","1997","Employed","Couple + C. LE and GT 16","12","","","","4"
"4 on Scale 1 to 10","1997","Employed","Couple + C. LE 16 ","90","0.0452199113878294","0.0355096325424271","0.0549301902332317","4"
"4 on Scale 1 to 10","1997","Employed","Couple + C. GT 16 ","6","","","","4"
"4 on Scale 1 to 10","1997","Employed","(Married) couple without C. ","9","","","","4"
"5 on Scale 1 to 10","1997","Not Employed","1-pers.-HH","7","","","","5"
"5 on Scale 1 to 10","1997","Not Employed","(Married) couple without C. ","11","","","","5"
"5 on Scale 1 to 10","1997","Not Employed","Single parent ","11","","","","5"
"5 on Scale 1 to 10","1997","Not Employed","Couple + C. LE 16 ","74","0.122854628730394","0.0962306340807186","0.14947862338007","5"
"5 on Scale 1 to 10","1997","Not Employed","Couple + C. GT 16 ","7","","","","5"
"5 on Scale 1 to 10","1997","Not Employed","Couple + C. LE and GT 16","11","","","","5"
"5 on Scale 1 to 10","1997","Employed","1-pers.-HH","14","","","","5"
"5 on Scale 1 to 10","1997","Employed","(Married) couple without C. ","16","","","","5"
"5 on Scale 1 to 10","1997","Employed","Single parent ","20","","","","5"
"5 on Scale 1 to 10","1997","Employed","Couple + C. LE 16 ","227","0.12817936772387","0.112557325577791","0.143801409869949","5"
"5 on Scale 1 to 10","1997","Employed","Couple + C. GT 16 ","13","","","","5"
"5 on Scale 1 to 10","1997","Employed","Couple + C. LE and GT 16","44","0.178156134273284","0.131822913059846","0.224489355486723","5"
"6 on Scale 1 to 10","1997","Not Employed","(Married) couple without C. ","5","","","","6"
"6 on Scale 1 to 10","1997","Not Employed","Couple + C. LE 16 ","63","0.126906792972883","0.0999098613384179","0.153903724607349","6"
"6 on Scale 1 to 10","1997","Not Employed","1-pers.-HH","5","","","","6"
"6 on Scale 1 to 10","1997","Employed","Couple + C. LE and GT 16","26","","","","6"
"6 on Scale 1 to 10","1997","Not Employed","Single parent ","1","","","","6"
"6 on Scale 1 to 10","1997","Employed","Single parent ","10","","","","6"
"6 on Scale 1 to 10","1997","Employed","Couple + C. LE 16 ","195","0.121572065785524","0.106300444751131","0.136843686819917","6"
"6 on Scale 1 to 10","1997","Not Employed","Couple + C. GT 16 ","2","","","","6"
"6 on Scale 1 to 10","1997","Not Employed","Couple + C. LE and GT 16","9","","","","6"
"6 on Scale 1 to 10","1997","Employed","1-pers.-HH","3","","","","6"
"6 on Scale 1 to 10","1997","Employed","(Married) couple without C. ","10","","","","6"
"6 on Scale 1 to 10","1997","Employed","Couple + C. GT 16 ","6","","","","6"
"7 on Scale 1 to 10","1997","Not Employed","1-pers.-HH","2","","","","7"
"7 on Scale 1 to 10","1997","Not Employed","(Married) couple without C. ","3","","","","7"
"7 on Scale 1 to 10","1997","Not Employed","Single parent ","7","","","","7"
"7 on Scale 1 to 10","1997","Not Employed","Couple + C. LE 16 ","84","0.113147955900512","0.0874563879832997","0.138839523817724","7"
"7 on Scale 1 to 10","1997","Not Employed","Couple + C. GT 16 ","2","","","","7"
"7 on Scale 1 to 10","1997","Not Employed","Couple + C. LE and GT 16","14","","","","7"
"7 on Scale 1 to 10","1997","Employed","1-pers.-HH","5","","","","7"
"7 on Scale 1 to 10","1997","Employed","(Married) couple without C. ","6","","","","7"
"7 on Scale 1 to 10","1997","Employed","Single parent ","25","","","","7"
"7 on Scale 1 to 10","1997","Employed","Couple + C. LE 16 ","322","0.17282616368962","0.155156905748112","0.190495421631128","7"
"7 on Scale 1 to 10","1997","Employed","Couple + C. GT 16 ","11","","","","7"
"7 on Scale 1 to 10","1997","Employed","Couple + C. LE and GT 16","46","0.15716664975038","0.113096096846801","0.201237202653958","7"
"8 on Scale 1 to 10","1997","Not Employed","1-pers.-HH","2","","","","8"
"8 on Scale 1 to 10","1997","Not Employed","(Married) couple without C. ","8","","","","8"
"8 on Scale 1 to 10","1997","Not Employed","Single parent ","8","","","","8"
"8 on Scale 1 to 10","1997","Not Employed","Couple + C. LE 16 ","120","0.205447317473492","0.172679067039211","0.238215567907773","8"
"8 on Scale 1 to 10","1997","Not Employed","Couple + C. GT 16 ","3","","","","8"
"8 on Scale 1 to 10","1997","Not Employed","Couple + C. LE and GT 16","17","","","","8"
"8 on Scale 1 to 10","1997","Employed","1-pers.-HH","1","","","","8"
"8 on Scale 1 to 10","1997","Employed","(Married) couple without C. ","7","","","","8"
"8 on Scale 1 to 10","1997","Employed","Single parent ","33","0.189069319095556","0.123017679460708","0.255120958730405","8"
"8 on Scale 1 to 10","1997","Employed","Couple + C. LE 16 ","376","0.216915572200737","0.197655193121056","0.236175951280418","8"
"8 on Scale 1 to 10","1997","Employed","Couple + C. GT 16 ","13","","","","8"
"8 on Scale 1 to 10","1997","Employed","Couple + C. LE and GT 16","50","0.203629250713391","0.15486796178808","0.252390539638702","8"
"9 on Scale 1 to 10","1997","Not Employed","1-pers.-HH","3","","","","9"
"9 on Scale 1 to 10","1997","Not Employed","(Married) couple without C. ","3","","","","9"
"9 on Scale 1 to 10","1997","Not Employed","Single parent ","4","","","","9"
"9 on Scale 1 to 10","1997","Not Employed","Couple + C. LE 16 ","66","0.101583415481436","0.0770819561024209","0.126084874860451","9"
"9 on Scale 1 to 10","1997","Not Employed","Couple + C. GT 16 ","4","","","","9"
"9 on Scale 1 to 10","1997","Not Employed","Couple + C. LE and GT 16","5","","","","9"
"9 on Scale 1 to 10","1997","Employed","Single parent ","6","","","","9"
"9 on Scale 1 to 10","1997","Employed","Couple + C. LE 16 ","172","0.0949061187057236","0.0812096347796055","0.108602602631842","9"
"9 on Scale 1 to 10","1997","Employed","Couple + C. GT 16 ","2","","","","9"
