"plh0179","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1990","in school","West Germany","","","","","0"
"0 Completely dissatisfied","1990","in school","East Germany","","","","","0"
"0 Completely dissatisfied","1990","inadequately","West Germany","","","","","0"
"0 Completely dissatisfied","1990","inadequately","East Germany","","","","","0"
"0 Completely dissatisfied","1990","general elemantary","West Germany","","","","","0"
"0 Completely dissatisfied","1990","general elemantary","East Germany","7","","","","0"
"0 Completely dissatisfied","1990","middle vocational","West Germany","","","","","0"
"0 Completely dissatisfied","1990","middle vocational","East Germany","36","0.0497576220427525","0.0353500410279484","0.0641652030575566","0"
"0 Completely dissatisfied","1990","vocational + Abi","West Germany","","","","","0"
"0 Completely dissatisfied","1990","vocational + Abi","East Germany","1","","","","0"
"0 Completely dissatisfied","1990","higher vocational","West Germany","","","","","0"
"0 Completely dissatisfied","1990","higher vocational","East Germany","2","","","","0"
"0 Completely dissatisfied","1990","higher education","West Germany","","","","","0"
"0 Completely dissatisfied","1990","higher education","East Germany","6","","","","0"
"1 on Scale 1 to 10","1990","inadequately","East Germany","","","","","1"
"1 on Scale 1 to 10","1990","inadequately","West Germany","","","","","1"
"1 on Scale 1 to 10","1990","general elemantary","East Germany","1","","","","1"
"1 on Scale 1 to 10","1990","middle vocational","West Germany","","","","","1"
"1 on Scale 1 to 10","1990","higher education","West Germany","","","","","1"
"1 on Scale 1 to 10","1990","higher vocational","East Germany","","","","","1"
"1 on Scale 1 to 10","1990","general elemantary","West Germany","","","","","1"
"1 on Scale 1 to 10","1990","in school","West Germany","","","","","1"
"1 on Scale 1 to 10","1990","in school","East Germany","","","","","1"
"1 on Scale 1 to 10","1990","higher vocational","West Germany","","","","","1"
"1 on Scale 1 to 10","1990","higher education","East Germany","3","","","","1"
"1 on Scale 1 to 10","1990","middle vocational","East Germany","8","","","","1"
"1 on Scale 1 to 10","1990","vocational + Abi","West Germany","","","","","1"
"1 on Scale 1 to 10","1990","vocational + Abi","East Germany","","","","","1"
"10 Completely satisfied","1990","in school","West Germany","","","","","10"
"10 Completely satisfied","1990","in school","East Germany","","","","","10"
"10 Completely satisfied","1990","inadequately","West Germany","","","","","10"
"10 Completely satisfied","1990","inadequately","East Germany","1","","","","10"
"10 Completely satisfied","1990","general elemantary","West Germany","","","","","10"
"10 Completely satisfied","1990","general elemantary","East Germany","18","","","","10"
"10 Completely satisfied","1990","middle vocational","West Germany","","","","","10"
"10 Completely satisfied","1990","middle vocational","East Germany","305","0.351336437567551","0.319705256178187","0.382967618956915","10"
"10 Completely satisfied","1990","vocational + Abi","West Germany","","","","","10"
"10 Completely satisfied","1990","vocational + Abi","East Germany","11","","","","10"
"10 Completely satisfied","1990","higher vocational","West Germany","","","","","10"
"10 Completely satisfied","1990","higher vocational","East Germany","34","0.450452520368974","0.341426485328911","0.559478555409037","10"
"10 Completely satisfied","1990","higher education","West Germany","","","","","10"
"10 Completely satisfied","1990","higher education","East Germany","122","0.25964944262588","0.218447673547726","0.300851211704033","10"
"2 on Scale 1 to 10","1990","general elemantary","East Germany","2","","","","2"
"2 on Scale 1 to 10","1990","in school","West Germany","","","","","2"
"2 on Scale 1 to 10","1990","in school","East Germany","","","","","2"
"2 on Scale 1 to 10","1990","inadequately","West Germany","","","","","2"
"2 on Scale 1 to 10","1990","general elemantary","West Germany","","","","","2"
"2 on Scale 1 to 10","1990","middle vocational","West Germany","","","","","2"
"2 on Scale 1 to 10","1990","middle vocational","East Germany","19","","","","2"
"2 on Scale 1 to 10","1990","higher vocational","West Germany","","","","","2"
"2 on Scale 1 to 10","1990","higher education","East Germany","6","","","","2"
"2 on Scale 1 to 10","1990","vocational + Abi","West Germany","","","","","2"
"2 on Scale 1 to 10","1990","inadequately","East Germany","","","","","2"
"2 on Scale 1 to 10","1990","higher vocational","East Germany","2","","","","2"
"2 on Scale 1 to 10","1990","higher education","West Germany","","","","","2"
"2 on Scale 1 to 10","1990","vocational + Abi","East Germany","2","","","","2"
"3 on Scale 1 to 10","1990","middle vocational","East Germany","20","","","","3"
"3 on Scale 1 to 10","1990","vocational + Abi","West Germany","","","","","3"
"3 on Scale 1 to 10","1990","in school","East Germany","","","","","3"
"3 on Scale 1 to 10","1990","inadequately","West Germany","","","","","3"
"3 on Scale 1 to 10","1990","inadequately","East Germany","","","","","3"
"3 on Scale 1 to 10","1990","vocational + Abi","East Germany","","","","","3"
"3 on Scale 1 to 10","1990","higher vocational","West Germany","","","","","3"
"3 on Scale 1 to 10","1990","general elemantary","West Germany","","","","","3"
"3 on Scale 1 to 10","1990","middle vocational","West Germany","","","","","3"
