"plh0179","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1990","in school","Urban Area","","","","","0"
"0 Completely dissatisfied","1990","in school","Rural Area","","","","","0"
"0 Completely dissatisfied","1990","inadequately","Urban Area","","","","","0"
"0 Completely dissatisfied","1990","inadequately","Rural Area","","","","","0"
"0 Completely dissatisfied","1990","general elemantary","Urban Area","3","","","","0"
"0 Completely dissatisfied","1990","general elemantary","Rural Area","4","","","","0"
"0 Completely dissatisfied","1990","middle vocational","Urban Area","8","","","","0"
"0 Completely dissatisfied","1990","middle vocational","Rural Area","28","","","","0"
"0 Completely dissatisfied","1990","vocational + Abi","Urban Area","1","","","","0"
"0 Completely dissatisfied","1990","vocational + Abi","Rural Area","","","","","0"
"0 Completely dissatisfied","1990","higher vocational","Urban Area","1","","","","0"
"0 Completely dissatisfied","1990","higher vocational","Rural Area","1","","","","0"
"0 Completely dissatisfied","1990","higher education","Urban Area","2","","","","0"
"0 Completely dissatisfied","1990","higher education","Rural Area","4","","","","0"
"1 on Scale 1 to 10","1990","inadequately","Rural Area","","","","","1"
"1 on Scale 1 to 10","1990","inadequately","Urban Area","","","","","1"
"1 on Scale 1 to 10","1990","general elemantary","Rural Area","","","","","1"
"1 on Scale 1 to 10","1990","middle vocational","Urban Area","1","","","","1"
"1 on Scale 1 to 10","1990","higher education","Urban Area","3","","","","1"
"1 on Scale 1 to 10","1990","higher vocational","Rural Area","","","","","1"
"1 on Scale 1 to 10","1990","general elemantary","Urban Area","1","","","","1"
"1 on Scale 1 to 10","1990","in school","Urban Area","","","","","1"
"1 on Scale 1 to 10","1990","in school","Rural Area","","","","","1"
"1 on Scale 1 to 10","1990","higher vocational","Urban Area","","","","","1"
"1 on Scale 1 to 10","1990","higher education","Rural Area","","","","","1"
"1 on Scale 1 to 10","1990","middle vocational","Rural Area","7","","","","1"
"1 on Scale 1 to 10","1990","vocational + Abi","Urban Area","","","","","1"
"1 on Scale 1 to 10","1990","vocational + Abi","Rural Area","","","","","1"
"10 Completely satisfied","1990","in school","Urban Area","","","","","10"
"10 Completely satisfied","1990","in school","Rural Area","","","","","10"
"10 Completely satisfied","1990","inadequately","Urban Area","","","","","10"
"10 Completely satisfied","1990","inadequately","Rural Area","1","","","","10"
"10 Completely satisfied","1990","general elemantary","Urban Area","8","","","","10"
"10 Completely satisfied","1990","general elemantary","Rural Area","10","","","","10"
"10 Completely satisfied","1990","middle vocational","Urban Area","85","0.340529734909279","0.283581220141044","0.397478249677515","10"
"10 Completely satisfied","1990","middle vocational","Rural Area","214","0.361094448340522","0.322105407596228","0.400083489084816","10"
"10 Completely satisfied","1990","vocational + Abi","Urban Area","5","","","","10"
"10 Completely satisfied","1990","vocational + Abi","Rural Area","6","","","","10"
"10 Completely satisfied","1990","higher vocational","Urban Area","7","","","","10"
"10 Completely satisfied","1990","higher vocational","Rural Area","25","","","","10"
"10 Completely satisfied","1990","higher education","Urban Area","53","0.271744333683841","0.206935980140045","0.336552687227637","10"
"10 Completely satisfied","1990","higher education","Rural Area","65","0.246804053260787","0.192594592747038","0.301013513774536","10"
"2 on Scale 1 to 10","1990","general elemantary","Rural Area","1","","","","2"
"2 on Scale 1 to 10","1990","in school","Urban Area","","","","","2"
"2 on Scale 1 to 10","1990","in school","Rural Area","","","","","2"
"2 on Scale 1 to 10","1990","inadequately","Urban Area","","","","","2"
"2 on Scale 1 to 10","1990","general elemantary","Urban Area","1","","","","2"
"2 on Scale 1 to 10","1990","middle vocational","Urban Area","10","","","","2"
"2 on Scale 1 to 10","1990","middle vocational","Rural Area","7","","","","2"
"2 on Scale 1 to 10","1990","higher vocational","Urban Area","","","","","2"
"2 on Scale 1 to 10","1990","higher education","Rural Area","3","","","","2"
"2 on Scale 1 to 10","1990","vocational + Abi","Urban Area","2","","","","2"
"2 on Scale 1 to 10","1990","inadequately","Rural Area","","","","","2"
"2 on Scale 1 to 10","1990","higher vocational","Rural Area","2","","","","2"
"2 on Scale 1 to 10","1990","higher education","Urban Area","3","","","","2"
"2 on Scale 1 to 10","1990","vocational + Abi","Rural Area","","","","","2"
"3 on Scale 1 to 10","1990","middle vocational","Rural Area","11","","","","3"
"3 on Scale 1 to 10","1990","vocational + Abi","Urban Area","","","","","3"
"3 on Scale 1 to 10","1990","in school","Rural Area","","","","","3"
"3 on Scale 1 to 10","1990","inadequately","Urban Area","","","","","3"
"3 on Scale 1 to 10","1990","inadequately","Rural Area","","","","","3"
"3 on Scale 1 to 10","1990","vocational + Abi","Rural Area","","","","","3"
"3 on Scale 1 to 10","1990","higher vocational","Urban Area","","","","","3"
"3 on Scale 1 to 10","1990","general elemantary","Urban Area","2","","","","3"
"3 on Scale 1 to 10","1990","middle vocational","Urban Area","9","","","","3"
"3 on Scale 1 to 10","1990","in school","Urban Area","","","","","3"
"3 on Scale 1 to 10","1990","general elemantary","Rural Area","2","","","","3"
"3 on Scale 1 to 10","1990","higher vocational","Rural Area","","","","","3"
"3 on Scale 1 to 10","1990","higher education","Urban Area","7","","","","3"
"3 on Scale 1 to 10","1990","higher education","Rural Area","13","","","","3"
"4 on Scale 1 to 10","1990","higher education","Urban Area","8","","","","4"
"4 on Scale 1 to 10","1990","general elemantary","Urban Area","1","","","","4"
"4 on Scale 1 to 10","1990","inadequately","Rural Area","","","","","4"
"4 on Scale 1 to 10","1990","general elemantary","Rural Area","1","","","","4"
"4 on Scale 1 to 10","1990","higher vocational","Rural Area","3","","","","4"
"4 on Scale 1 to 10","1990","inadequately","Urban Area","","","","","4"
"4 on Scale 1 to 10","1990","higher vocational","Urban Area","1","","","","4"
"4 on Scale 1 to 10","1990","in school","Rural Area","","","","","4"
"4 on Scale 1 to 10","1990","middle vocational","Urban Area","7","","","","4"
"4 on Scale 1 to 10","1990","in school","Urban Area","","","","","4"
"4 on Scale 1 to 10","1990","middle vocational","Rural Area","8","","","","4"
"4 on Scale 1 to 10","1990","vocational + Abi","Urban Area","1","","","","4"
"4 on Scale 1 to 10","1990","vocational + Abi","Rural Area","1","","","","4"
"4 on Scale 1 to 10","1990","higher education","Rural Area","5","","","","4"
"5 on Scale 1 to 10","1990","middle vocational","Urban Area","40","0.143757542382793","0.101595564897585","0.185919519868","5"
"5 on Scale 1 to 10","1990","general elemantary","Rural Area","5","","","","5"
"5 on Scale 1 to 10","1990","middle vocational","Rural Area","57","0.0910057023902611","0.0676588307283117","0.11435257405221","5"
"5 on Scale 1 to 10","1990","inadequately","Rural Area","","","","","5"
"5 on Scale 1 to 10","1990","vocational + Abi","Urban Area","","","","","5"
"5 on Scale 1 to 10","1990","vocational + Abi","Rural Area","4","","","","5"
"5 on Scale 1 to 10","1990","higher education","Rural Area","21","","","","5"
"5 on Scale 1 to 10","1990","general elemantary","Urban Area","1","","","","5"
"5 on Scale 1 to 10","1990","in school","Rural Area","","","","","5"
"5 on Scale 1 to 10","1990","inadequately","Urban Area","","","","","5"
"5 on Scale 1 to 10","1990","higher vocational","Rural Area","5","","","","5"
"5 on Scale 1 to 10","1990","higher education","Urban Area","11","","","","5"
"5 on Scale 1 to 10","1990","in school","Urban Area","","","","","5"
"5 on Scale 1 to 10","1990","higher vocational","Urban Area","4","","","","5"
"6 on Scale 1 to 10","1990","middle vocational","Urban Area","12","","","","6"
"6 on Scale 1 to 10","1990","vocational + Abi","Rural Area","1","","","","6"
"6 on Scale 1 to 10","1990","inadequately","Urban Area","","","","","6"
"6 on Scale 1 to 10","1990","middle vocational","Rural Area","22","","","","6"
"6 on Scale 1 to 10","1990","vocational + Abi","Urban Area","","","","","6"
"6 on Scale 1 to 10","1990","in school","Urban Area","","","","","6"
"6 on Scale 1 to 10","1990","in school","Rural Area","","","","","6"
"6 on Scale 1 to 10","1990","higher education","Rural Area","13","","","","6"
"6 on Scale 1 to 10","1990","inadequately","Rural Area","","","","","6"
"6 on Scale 1 to 10","1990","general elemantary","Urban Area","1","","","","6"
"6 on Scale 1 to 10","1990","general elemantary","Rural Area","1","","","","6"
"6 on Scale 1 to 10","1990","higher vocational","Urban Area","","","","","6"
"6 on Scale 1 to 10","1990","higher vocational","Rural Area","2","","","","6"
"6 on Scale 1 to 10","1990","higher education","Urban Area","9","","","","6"
"7 on Scale 1 to 10","1990","in school","Rural Area","","","","","7"
"7 on Scale 1 to 10","1990","in school","Urban Area","","","","","7"
"7 on Scale 1 to 10","1990","inadequately","Urban Area","","","","","7"
"7 on Scale 1 to 10","1990","general elemantary","Urban Area","1","","","","7"
"7 on Scale 1 to 10","1990","general elemantary","Rural Area","3","","","","7"
"7 on Scale 1 to 10","1990","middle vocational","Urban Area","21","","","","7"
"7 on Scale 1 to 10","1990","vocational + Abi","Urban Area","2","","","","7"
"7 on Scale 1 to 10","1990","vocational + Abi","Rural Area","","","","","7"
"7 on Scale 1 to 10","1990","higher vocational","Urban Area","1","","","","7"
"7 on Scale 1 to 10","1990","higher education","Urban Area","18","","","","7"
"7 on Scale 1 to 10","1990","higher education","Rural Area","26","","","","7"
"7 on Scale 1 to 10","1990","middle vocational","Rural Area","45","0.0739297937850978","0.0526902337115185","0.0951693538586771","7"
"7 on Scale 1 to 10","1990","inadequately","Rural Area","","","","","7"
"7 on Scale 1 to 10","1990","higher vocational","Rural Area","3","","","","7"
"8 on Scale 1 to 10","1990","inadequately","Urban Area","","","","","8"
"8 on Scale 1 to 10","1990","general elemantary","Rural Area","3","","","","8"
"8 on Scale 1 to 10","1990","higher vocational","Urban Area","3","","","","8"
"8 on Scale 1 to 10","1990","higher vocational","Rural Area","10","","","","8"
"8 on Scale 1 to 10","1990","in school","Urban Area","","","","","8"
"8 on Scale 1 to 10","1990","in school","Rural Area","","","","","8"
"8 on Scale 1 to 10","1990","inadequately","Rural Area","1","","","","8"
"8 on Scale 1 to 10","1990","general elemantary","Urban Area","4","","","","8"
"8 on Scale 1 to 10","1990","vocational + Abi","Rural Area","5","","","","8"
"8 on Scale 1 to 10","1990","middle vocational","Urban Area","46","0.171959854411489","0.126613069227513","0.217306639595464","8"
"8 on Scale 1 to 10","1990","middle vocational","Rural Area","109","0.194031744737824","0.161931438444554","0.226132051031094","8"
"8 on Scale 1 to 10","1990","vocational + Abi","Urban Area","3","","","","8"
"8 on Scale 1 to 10","1990","higher education","Urban Area","46","0.246068225884265","0.183319834600518","0.308816617168012","8"
