"plh0179","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1990","1-pers.-HH","Male","","","","","0"
"0 Completely dissatisfied","1990","1-pers.-HH","Female","","","","","0"
"0 Completely dissatisfied","1990","(Married) couple without C. ","Male","3","","","","0"
"0 Completely dissatisfied","1990","(Married) couple without C. ","Female","3","","","","0"
"0 Completely dissatisfied","1990","Single parent ","Male","","","","","0"
"0 Completely dissatisfied","1990","Single parent ","Female","3","","","","0"
"0 Completely dissatisfied","1990","Couple + C. LE 16 ","Male","22","","","","0"
"0 Completely dissatisfied","1990","Couple + C. LE 16 ","Female","15","","","","0"
"0 Completely dissatisfied","1990","Couple + C. GT 16 ","Male","3","","","","0"
"0 Completely dissatisfied","1990","Couple + C. GT 16 ","Female","","","","","0"
"0 Completely dissatisfied","1990","Couple + C. LE and GT 16","Male","2","","","","0"
"0 Completely dissatisfied","1990","Couple + C. LE and GT 16","Female","1","","","","0"
"1 on Scale 1 to 10","1990","(Married) couple without C. ","Female","","","","","1"
"1 on Scale 1 to 10","1990","Single parent ","Female","2","","","","1"
"1 on Scale 1 to 10","1990","1-pers.-HH","Male","","","","","1"
"1 on Scale 1 to 10","1990","Single parent ","Male","","","","","1"
"1 on Scale 1 to 10","1990","Couple + C. LE 16 ","Female","6","","","","1"
"1 on Scale 1 to 10","1990","Couple + C. GT 16 ","Male","","","","","1"
"1 on Scale 1 to 10","1990","1-pers.-HH","Female","","","","","1"
"1 on Scale 1 to 10","1990","(Married) couple without C. ","Male","","","","","1"
"1 on Scale 1 to 10","1990","Couple + C. LE 16 ","Male","4","","","","1"
"1 on Scale 1 to 10","1990","Couple + C. GT 16 ","Female","","","","","1"
"1 on Scale 1 to 10","1990","Couple + C. LE and GT 16","Male","","","","","1"
"1 on Scale 1 to 10","1990","Couple + C. LE and GT 16","Female","","","","","1"
"10 Completely satisfied","1990","Couple + C. LE 16 ","Male","194","0.332691232606766","0.294444185820352","0.37093827939318","10"
"10 Completely satisfied","1990","1-pers.-HH","Female","","","","","10"
"10 Completely satisfied","1990","(Married) couple without C. ","Male","1","","","","10"
"10 Completely satisfied","1990","(Married) couple without C. ","Female","3","","","","10"
