variable,question,label_de,topic,var_link
aequiv_income,,Equivalent household income per year,"Income, Taxes, and Social Security",
age_gr,,Age Group,Demography,
agre,,Big Five Traits: Agreeableness Value,"Attitudes, Values, and Personality",
bmi,,Body Mass Index,Health and Care,
bula_h,,Federal States,Demography,
conc,,Big Five Traits: Conscientiousness Value,"Attitudes, Values, and Personality",
corigin,,Country Born In,Demography,<a href='url'>https://paneldata.org/soep-core/data/ppathl/corigin</a>
d11101,,Age of Individual,Demography,<a href='url'>https://paneldata.org/soep-core/data/pequiv/d11101</a>
d11109,,Number of Years of Education,Demography,<a href='url'>https://paneldata.org/soep-core/data/pequiv/d11109</a>
e11102,,Employment Status of Individual,Demography,<a href='url'>https://paneldata.org/soep-core/data/pequiv/e11102</a>
e11103,,Employment Level of Individual,Demography,<a href='url'>https://paneldata.org/soep-core/data/pequiv/e11103</a>
education,,Education Level,Demography,
erwst,,Employment status,Work and Employment,
extr,,Big Five Traits: Extraversion Value,"Attitudes, Values, and Personality",
gebjahr,,Birth Year,Demography,<a href='url'>https://paneldata.org/soep-core/data/ppathl/gebjahr</a>
germborn,,German Born,Demography,<a href='url'>https://paneldata.org/soep-core/data/ppathl/germborn</a>
hghinc,,Monthly household net income (EUR),"Income, Taxes, and Social Security",<a href='url'>https://paneldata.org/soep-core/data/hgen/hghinc</a>
hgowner,,Tenant or Owner of Dwelling,"Home, Amenities, and Contributions of Private HH",<a href='url'>https://paneldata.org/soep-core/data/hgen/hgowner</a>
hgtyp1hh,,Household typology (1-digit),Demography,<a href='url'>https://paneldata.org/soep-core/data/hgen/hgtyp1hh</a>
hid,,Household ID,,<a href='url'>https://paneldata.org/soep-core/data/ppathl/hid</a>
hinceq,,Equivalent household income monthly,"Income, Taxes, and Social Security",
hlf0001_h,,"Main Tenant, Sub-Tenant, Owner","Home, Amenities, and Contributions of Private HH",<a href='url'>https://paneldata.org/soep-core/data/hl/hlf0001_h</a>
hlf0019_h,,Total living space in sqm,"Home, Amenities, and Contributions of Private HH",<a href='url'>https://paneldata.org/soep-core/data/hl/hlf0019_h</a>
hlf0021_h,,Number of rooms in Apartment,"Home, Amenities, and Contributions of Private HH",<a href='url'>https://paneldata.org/soep-core/data/hl/hlf0021_h</a>
hlf0071_h,,Assessment of dwelling size,"Home, Amenities, and Contributions of Private HH",<a href='url'>https://paneldata.org/soep-core/data/hl/hlf0071_h</a>
hlf0094,,Houseing Costs vs Comparable Dwellings,"Home, Amenities, and Contributions of Private HH",<a href='url'>https://paneldata.org/soep-core/data/hl/hlf0094</a>
i11101,,HH Pre-Government Income,"Income, Taxes, and Social Security",<a href='url'>https://paneldata.org/soep-core/data/pequiv/i11101</a>
i11102,,HH Post-Government Income,"Income, Taxes, and Social Security",<a href='url'>https://paneldata.org/soep-core/data/pequiv/i11102</a>
i11103,,HH Labor Income,"Income, Taxes, and Social Security",<a href='url'>https://paneldata.org/soep-core/data/pequiv/i11103</a>
i11106,,HH Private Transfers,"Income, Taxes, and Social Security",<a href='url'>https://paneldata.org/soep-core/data/pequiv/i11106</a>
i11107,,HH Public Transfers,"Income, Taxes, and Social Security",<a href='url'>https://paneldata.org/soep-core/data/pequiv/i11107</a>
m11104,,Frequency of Sport or Exercise,Health and Care,<a href='url'>https://paneldata.org/soep-core/data/pequiv/m11104</a>
m11124,,Disability Status of Individual,Health and Care,<a href='url'>https://paneldata.org/soep-core/data/pequiv/m11124</a>
m11125,,Satisfaction with Health,Health and Care,<a href='url'>https://paneldata.org/soep-core/data/pequiv/m11125</a>
m11126,,Current Self-Rated Health Status,Health and Care,<a href='url'>https://paneldata.org/soep-core/data/pequiv/m11126</a>
migback,,Migration background,Demography,<a href='url'>https://paneldata.org/soep-core/data/ppathl/migback</a>
neur,,Big Five Traits: Neuroticism Value,"Attitudes, Values, and Personality",
open,,Big Five Traits: Openness Value,"Attitudes, Values, and Personality",
party,,Party affiliation,"Attitudes, Values, and Personality",
pgcasmin,,CASMIN-Klassifikation,Demography,<a href='url'>https://paneldata.org/soep-core/data/pgen/pgcasmin</a>
pgfamstd,,Marital Status in Survey Year,"Home, Amenities, and Contributions of Private HH",<a href='url'>https://paneldata.org/soep-core/data/pgen/pgfamstd</a>
pgisced97,,ISCED-1997-Classification,Demography,<a href='url'>https://paneldata.org/soep-core/data/pgen/pgisced97</a>
pglabgro,,Current Gross Labor Income in Euro,"Income, Taxes, and Social Security",<a href='url'>https://paneldata.org/soep-core/data/pgen/pglabgro</a>
pglabnet,,Current Net Labor Income in Euro,"Income, Taxes, and Social Security",<a href='url'>https://paneldata.org/soep-core/data/pgen/pglabnet</a>
pgnation,,Nationality,Demography,<a href='url'>https://paneldata.org/soep-core/data/pgen/pgnation</a>
pgoeffd,,Civil Service,Work and Employment,<a href='url'>https://paneldata.org/soep-core/data/pgen/pgoeffd</a>
pgtatzeit,,Actual Work Time Per Week,Work and Employment,<a href='url'>https://paneldata.org/soep-core/data/pgen/pgtatzeit</a>
pgvebzeit,,Agreed Upon Work Time Per Week,Work and Employment,<a href='url'>https://paneldata.org/soep-core/data/pgen/pgvebzeit</a>
phrf,,Weighting factor,,<a href='url'>https://paneldata.org/soep-core/data/ppathl/phrf</a>
pid,,Individual ID,,<a href='url'>https://paneldata.org/soep-core/data/ppathl/pid</a>
plb0037_h,Do you have a fixed-term or permanent employment contract?,Employment relationship Limited/Unlimited,Work and Employment,<a href='url'>https://paneldata.org/soep-core/data/pl/plb0037_h</a>
plb0050,Does an employee's council exist at your place of work?,"Works council, staff council in company (""Betriebsrat"")",Work and Employment,<a href='url'>https://paneldata.org/soep-core/data/pl/plb0050</a>
plb0158,How far do you travel to work on a normal workday?,Distance from home to work in km,Work and Employment,<a href='url'>https://paneldata.org/soep-core/data/pl/plb0158</a>
plb0195_h,"If you do work overtime, is the work paid, compensated with time off, or not compensated at all?",Compensate overtime,Work and Employment,<a href='url'>https://paneldata.org/soep-core/data/pl/plb0195_h</a>
plb0196_h,Did you work overtime last month?,Overtime last month,Work and Employment,<a href='url'>https://paneldata.org/soep-core/data/pl/plb0196_h</a>
plb0197,"Have you worked overtime in the last month? If so, how many hours?",Overtime last month number,Work and Employment,<a href='url'>https://paneldata.org/soep-core/data/pl/plb0197</a>
plb0218,"Do you have to work weekends? If so, how often?",Work on Saturday,Work and Employment,<a href='url'>https://paneldata.org/soep-core/data/pl/plb0218</a>
plb0219,"Do you have to work weekends? If so, how often?",Work on Sunday,Work and Employment,<a href='url'>https://paneldata.org/soep-core/data/pl/plb0219</a>
pld0043,How often do you ...,Hfk. pers. Lend things to friends,"Attitudes, Values, and Personality",<a href='url'>https://paneldata.org/soep-core/data/pl/pld0043</a>
pld0044,How often do you ...,Hfk. Lend money to friends,"Attitudes, Values, and Personality",<a href='url'>https://paneldata.org/soep-core/data/pl/pld0044</a>
pld0045,How often do you ...,Hfk. Door unlocked,"Attitudes, Values, and Personality",<a href='url'>https://paneldata.org/soep-core/data/pl/pld0045</a>
pld0047,What would you say: How many close friends do you have and how many of them are co-workers?,Number of close friends,Time Use and Environmental Behavior,<a href='url'>https://paneldata.org/soep-core/data/pl/pld0047</a>
ple0004,"If you have to climb stairs, i.e. walk up several floors: Does your state of health restrict you a lot, a little or not at all?",Health condition impaired Climbing stairs,Health and Care,<a href='url'>https://paneldata.org/soep-core/data/pl/ple0004</a>
ple0005,"And what about other strenuous activities in everyday life, e.g. when you have to lift something heavy or need to be mobile: Does your state of health restrict you a lot, a little or not at all?",Health condition impair. exert. Activities,Health and Care,<a href='url'>https://paneldata.org/soep-core/data/pl/ple0005</a>
ple0006,How tall are you? In cm,Body height in cm,Health and Care,<a href='url'>https://paneldata.org/soep-core/data/pl/ple0006</a>
ple0007,How many kilograms do you currently weigh? In kg,Body weight in kg,Health and Care,<a href='url'>https://paneldata.org/soep-core/data/pl/ple0007</a>
ple0008,How would you describe your current health?,Current state of health,Health and Care,<a href='url'>https://paneldata.org/soep-core/data/pl/ple0008</a>
ple0009,Are you restricted in normal everyday activities by a health problem ?,Restriction in everyday life due to health problems,Health and Care,<a href='url'>https://paneldata.org/soep-core/data/pl/ple0009</a>
ple0011,Has a doctor ever diagnosed you to have one or more of the following illnesses?,Sleep disorder,Health and Care,<a href='url'>https://paneldata.org/soep-core/data/pl/ple0011</a>
ple0012,Has a doctor ever diagnosed you to have one or more of the following illnesses?,diabetes,Health and Care,<a href='url'>https://paneldata.org/soep-core/data/pl/ple0012</a>
ple0013,Has a doctor ever diagnosed you to have one or more of the following illnesses?,asthma,Health and Care,<a href='url'>https://paneldata.org/soep-core/data/pl/ple0013</a>
