variable,type,label_de,study,dataset,version,meantable,probtable,template_id,label,concept,description,description_de,minedition,topic,rawdata,documentation_link,documentation_link_html,documentation_paper,documentation_paper_html
aequiv_income,byte,Equivalent household income per year,soep-core,p_data,v36,Yes,No,,,,"Equivalence income is the income that would allow each member of a household, if he or she were an adult and living alone, to have the same (equivalent) standard of living as he or she has within the household community. For this purpose, the income of the entire household is added up and then weighted on the basis of an equivalence scale. The weighting depends on the number and age of the persons in the household community. In most cases, it is calculated as net equivalent income. Equivalence income is per person income. ",,,"Income, Taxes, and Social Security",,,,,
age_gr,float,Age Group,soep-core,p_data,v36,demo,demo,,,,,,,Demography,,,,,
agre,byte,Big Five Traits: Agreeableness Value,soep-core,p_data,v36,Yes,No,,,,"The Big Five personality traits is a suggested taxonomy, or grouping, for personality traits, developed from the 1980s onward in psychological trait theory. The variable agre contains the combined mean score (1-7) of the personality dimension Agreeableness (friendly/compassionate vs. critical/rational). A value of seven indicates that a respondent has received the highest posible score on this dimension. For 2012, 2013, 2017, 2019, question not asked for all samples.",,,"Attitudes, Values, and Personality",,,,,
bmi,float,Body Mass Index,soep-core,p_data,v36,Yes,No,,,,"Body Mass Index is a simple calculation using a person's height and weight. The formula is BMI = kg/m2 where kg is a person's weight in kilograms and m2 is their height in metres squared. A BMI of 25.0 or more is overweight, while the healthy range is 18.5 to 24.9. BMI applies to most adults 18-65 years.",,,Health and Care,,,,,
bula_h,byte,Federal States,soep-core,p_data,v36,demo,demo,,,,,,,Demography,hbrutto,https://paneldata.org/soep-core/data/hbrutto/bula_h,`bula_h <https://paneldata.org/soep-core/data/hbrutto/bula_h>`_,https://www.diw.de/documents/publikationen/73/diw_01.c.830957.de/diw_ssp1041.pdf,`hbrutto Codebook Surveypaper <https://www.diw.de/documents/publikationen/73/diw_01.c.830957.de/diw_ssp1041.pdf>`_
conc,byte,Big Five Traits: Conscientiousness Value,soep-core,p_data,v36,Yes,No,,,,"The Big Five personality traits is a suggested taxonomy, or grouping, for personality traits, developed from the 1980s onward in psychological trait theory. The variable conc contains the combined mean score (1-7) of the personality dimension conscientiousness (efficient/organized vs. extravagant/careless). A value of seven indicates that a respondent has received the highest posible score on this dimension. For 2012, 2013, 2017, 2019, question not asked for all samples.",,,"Attitudes, Values, and Personality",,,,,
corigin,int,Country Born In,soep-core,p_data,v36,,,,,,,,,Demography,ppathl,https://paneldata.org/soep-core/data/ppathl/corigin,`corigin <https://paneldata.org/soep-core/data/ppathl/corigin>`_,https://www.diw.de/documents/publikationen/73/diw_01.c.830977.de/diw_ssp1048.pdf,`ppathl Codebook Surveypaper <https://www.diw.de/documents/publikationen/73/diw_01.c.830977.de/diw_ssp1048.pdf>`_
d11101,int,Age of Individual,soep-core,p_data,v36,,,,,,,,,Demography,pequiv,https://paneldata.org/soep-core/data/pequiv/d11101,`d11101 <https://paneldata.org/soep-core/data/pequiv/d11101>`_,https://www.diw.de/documents/publikationen/73/diw_01.c.704530.de/diw_ssp0772.pdf,`pequiv Codebook Surveypaper <https://www.diw.de/documents/publikationen/73/diw_01.c.704530.de/diw_ssp0772.pdf>`_
d11109,float,Number of Years of Education,soep-core,p_data,v36,,,,,,,,,Demography,pequiv,https://paneldata.org/soep-core/data/pequiv/d11109,`d11109 <https://paneldata.org/soep-core/data/pequiv/d11109>`_,https://www.diw.de/documents/publikationen/73/diw_01.c.704530.de/diw_ssp0772.pdf,`pequiv Codebook Surveypaper <https://www.diw.de/documents/publikationen/73/diw_01.c.704530.de/diw_ssp0772.pdf>`_
e11102,byte,Employment Status of Individual,soep-core,p_data,v36,demo,demo,,,,,,,Demography,pequiv,https://paneldata.org/soep-core/data/pequiv/e11102,`e11102 <https://paneldata.org/soep-core/data/pequiv/e11102>`_,https://www.diw.de/documents/publikationen/73/diw_01.c.704530.de/diw_ssp0772.pdf,`pequiv Codebook Surveypaper <https://www.diw.de/documents/publikationen/73/diw_01.c.704530.de/diw_ssp0772.pdf>`_
e11103,byte,Employment Level of Individual,soep-core,p_data,v36,demo,demo,,,,,,,Demography,pequiv,https://paneldata.org/soep-core/data/pequiv/e11103,`e11103 <https://paneldata.org/soep-core/data/pequiv/e11103>`_,https://www.diw.de/documents/publikationen/73/diw_01.c.704530.de/diw_ssp0772.pdf,`pequiv Codebook Surveypaper <https://www.diw.de/documents/publikationen/73/diw_01.c.704530.de/diw_ssp0772.pdf>`_
education,float,Education Level,soep-core,p_data,v36,,,,,,,,,Demography,,,,,
